Reconstruction Coord z;Map Coord z;Error z;
0.998350;0.632201;0.366149;
0.998762;0.629714;0.369048;
0.998790;0.411886;0.586905;
0.998702;0.411886;0.586816;
0.998878;0.476743;0.522136;
0.998791;0.211692;0.787099;
0.998791;0.211692;0.787099;
0.998921;0.277995;0.720925;
0.998334;0.277995;0.720339;
0.998381;0.467787;0.530594;
0.998462;0.536623;0.461839;
0.996540;0.535125;0.461415;
0.998503;0.527822;0.470681;
0.997303;0.528390;0.468913;
0.998535;0.534989;0.463546;
0.994927;0.493262;0.501665;
0.995843;0.490392;0.505451;
0.997856;0.487138;0.510718;
1.000000;0.462716;0.537284;
0.998739;0.442890;0.555849;
0.998730;0.429420;0.569310;
0.998730;0.429420;0.569310;
0.998736;0.427639;0.571098;
0.998736;0.427639;0.571098;
0.997974;0.111790;0.886185;
0.997984;0.479180;0.518804;
0.997985;0.458725;0.539260;
0.995232;0.498082;0.497150;
0.997986;0.435452;0.562534;
