Reconstruction Coord z;Map Coord z;Error z;
0.015251;0.769377;0.754126;
0.006448;0.774629;0.768181;
-0.037598;inf;inf;
0.015254;0.768545;0.753291;
0.014354;0.970078;0.955725;
0.016894;0.737723;0.720830;
0.006519;0.684491;0.677972;
0.014568;0.827976;0.813408;
0.006315;0.285807;0.279491;
0.014182;inf;inf;
0.017930;0.815636;0.797706;
0.008539;0.205077;0.196539;
0.015334;0.744523;0.729189;
0.009023;0.272694;0.263671;
0.009023;0.272694;0.263671;
0.009089;0.196956;0.187866;
0.009089;0.196956;0.187866;
0.019466;0.813900;0.794434;
0.014618;0.813900;0.799281;
0.014374;0.780730;0.766355;
0.014533;0.777874;0.763341;
0.014542;0.788562;0.774020;
0.009939;0.714751;0.704812;
0.007139;0.743904;0.736764;
0.011251;0.797308;0.786057;
0.006867;0.262824;0.255958;
-0.094839;0.735408;0.830247;
-0.091343;0.736189;0.827532;
0.015357;0.857337;0.841979;
0.014624;0.805364;0.790740;
0.014624;0.805364;0.790740;
0.014184;0.729920;0.715736;
-0.009878;0.861340;0.871218;
0.014264;0.862701;0.848437;
0.013421;0.871527;0.858106;
0.013955;0.736979;0.723025;
0.008936;0.776327;0.767391;
0.013788;0.882516;0.868728;
0.035519;0.981308;0.945789;
0.006955;0.259687;0.252732;
0.015212;0.746532;0.731320;
0.014894;0.775473;0.760580;
0.014641;0.897148;0.882507;
0.006882;0.705001;0.698119;
0.007010;0.258551;0.251540;
0.007558;0.259915;0.252357;
0.008459;0.775076;0.766616;
0.013378;0.981158;0.967779;
0.015074;0.770800;0.755726;
0.015348;0.746259;0.730912;
0.015348;0.746259;0.730912;
0.014847;0.774126;0.759280;
0.007229;0.144423;0.137194;
0.226603;0.565598;0.338995;
0.017255;0.565598;0.548343;
0.017015;inf;inf;
0.006546;0.275281;0.268735;
0.015139;0.773554;0.758415;
0.014903;0.806387;0.791484;
0.017822;0.770941;0.753119;
0.014971;0.770941;0.755970;
0.014971;0.770941;0.755970;
-0.073322;0.506093;0.579415;
0.013374;0.808587;0.795212;
0.016323;0.769639;0.753316;
0.012546;0.841803;0.829257;
0.008975;0.554071;0.545096;
0.016454;0.766242;0.749788;
0.016341;inf;inf;
0.007700;0.510551;0.502851;
0.007672;0.510551;0.502878;
0.008484;0.550922;0.542438;
0.007335;inf;inf;
-0.030526;0.494119;0.524645;
0.026475;inf;inf;
0.013588;0.939785;0.926197;
0.013588;0.939785;0.926197;
0.010485;0.656867;0.646381;
0.007149;0.656256;0.649107;
0.009344;0.137372;0.128028;
0.016985;0.654952;0.637967;
0.007202;0.654952;0.647750;
-0.002561;0.942489;0.945050;
0.007181;0.653921;0.646740;
0.010537;inf;inf;
0.008942;0.583550;0.574608;
-0.002148;0.942256;0.944404;
0.006401;0.554039;0.547638;
0.006376;0.637616;0.631240;
0.006376;0.637616;0.631240;
0.010184;0.578931;0.568747;
0.007662;0.649954;0.642291;
0.007549;0.562677;0.555128;
0.008946;0.448117;0.439171;
0.015366;0.760816;0.745450;
0.010156;0.552076;0.541919;
0.009044;0.622227;0.613183;
0.008744;0.622227;0.613483;
0.012678;0.268774;0.256095;
-0.005429;0.944252;0.949681;
0.020790;0.656477;0.635687;
0.012782;0.944823;0.932040;
0.030064;0.943959;0.913895;
-0.025225;0.943959;0.969184;
-0.002416;0.484662;0.487078;
0.013115;0.943980;0.930865;
0.006541;0.626121;0.619580;
0.018490;0.614359;0.595869;
0.018490;0.614359;0.595869;
0.009119;0.347285;0.338166;
0.009448;0.336957;0.327509;
0.013098;0.942975;0.929877;
