Reconstruction Coord z;Map Coord z;Error z;;;;;
0,040677;0,869918;0,829241;;;;;
0,030657;0,830545;0,799887;;;;;
0,000935;0,745734;0,744799;;;;0,1;185
0,000994;0,743179;0,742184;;;;0,2;160
0,000994;0,743179;0,742184;;;;0,3;112
0,001627;0,739997;0,738369;;;;0,4;276
0,00444;0,74171;0,737271;;;;0,5;316
0,002001;0,738472;0,736471;;;;0,6;87
0,001231;0,727867;0,726635;;;;0,7;40
0,002593;0,728928;0,726335;;;;0,8;21
0,00354;0,7265;0,72296;;;;0,9;0
0,018839;0,740287;0,721448;;;;1;0
0,012303;0,727812;0,715509;;Média;0,321588036;;
0,025659;0,739997;0,714337;;;;;
0,001778;0,715762;0,713984;;;;;
0,026706;0,740383;0,713677;;;;;
0,025258;0,735984;0,710726;;;;;
0,019484;0,724935;0,705451;;;;;
0,037987;0,742154;0,704167;;;;;
0,03368;0,736741;0,703061;;;;;
0,03368;0,736741;0,703061;;;;;
0,026016;0,728392;0,702376;;;;;
0,030506;0,730939;0,700433;;;;;
0,002136;0,701463;0,699328;;;;;
0,02704;0,724028;0,696988;;;;;
0,044162;0,739744;0,695582;;;;;
0,044162;0,739744;0,695582;;;;;
0,002462;0,696528;0,694066;;;;;
0,055301;0,745734;0,690433;;;;;
0,038364;0,727867;0,689503;;;;;
0,020863;0,709213;0,68835;;;;;
0,042376;0,730417;0,688041;;;;;
0,000382;0,686326;0,685944;;;;;
0,058476;0,743645;0,685169;;;;;
0,058476;0,743645;0,685169;;;;;
0,058064;0,741875;0,683812;;;;;
0,058064;0,741875;0,683812;;;;;
0,058591;0,741474;0,682883;;;;;
0,058312;0,74108;0,682768;;;;;
0,012403;0,694299;0,681896;;;;;
0,012403;0,694299;0,681896;;;;;
0,012403;0,694299;0,681896;;;;;
0,061095;0,740383;0,679288;;;;;
0,056893;0,735828;0,678935;;;;;
0,059492;0,737961;0,678469;;;;;
0,036127;0,714269;0,678142;;;;;
0,045421;0,72308;0,677659;;;;;
0,056198;0,732028;0,67583;;;;;
0,057826;0,733342;0,675516;;;;;
0,056179;0,729438;0,673259;;;;;
0,020675;0,688889;0,668214;;;;;
0,053889;0,720093;0,666204;;;;;
0,054612;0,719644;0,665032;;;;;
0,079272;0,741073;0,661801;;;;;
0,047321;0,706407;0,659085;;;;;
0,063658;0,715762;0,652105;;;;;
0,01674;0,644102;0,627362;;;;;
0,012082;0,638249;0,626167;;;;;
0,014447;0,635578;0,621131;;;;;
0,014488;0,632338;0,61785;;;;;
0,121103;0,738728;0,617624;;;;;
0,014286;0,628586;0,6143;;;;;
0,014007;0,621141;0,607134;;;;;
0,048359;0,647538;0,59918;;;;;
0,000905;0,591867;0,590962;;;;;
0,015196;0,596716;0,58152;;;;;
0,015609;0,595563;0,579955;;;;;
0,017186;0,596716;0,57953;;;;;
0,045587;0,622294;0,576707;;;;;
0,034106;0,610537;0,576432;;;;;
0,002002;0,576651;0,574649;;;;;
0,015659;0,589857;0,574198;;;;;
0,0172;0,589376;0,572175;;;;;
0,000004;0,571361;0,571357;;;;;
0,043104;0,611939;0,568835;;;;;
0,000163;0,568131;0,567968;;;;;
0,060838;0,628586;0,567747;;;;;
0,043908;0,606514;0,562606;;;;;
0,011596;0,573951;0,562355;;;;;
0,004429;0,562093;0,557663;;;;;
0,042762;0,599352;0,556589;;;;;
0,043227;0,59972;0,556493;;;;;
0,003917;0,559943;0,556026;;;;;
0,004801;0,559943;0,555142;;;;;
0,020153;0,573625;0,553472;;;;;
0,004402;0,556958;0,552556;;;;;
0,004727;0,556958;0,552232;;;;;
0,020107;0,5722;0,552093;;;;;
0,027628;0,578732;0,551103;;;;;
0,041858;0,591903;0,550045;;;;;
0,001752;0,551228;0,549477;;;;;
0,024442;0,573294;0,548853;;;;;
0,012814;0,55989;0,547076;;;;;
0,012814;0,55989;0,547076;;;;;
0,003341;0,548473;0,545132;;;;;
0,00489;0,548686;0,543796;;;;;
0,016769;0,553007;0,536237;;;;;
0,003503;0,538843;0,53534;;;;;
0,018218;0,552854;0,534637;;;;;
0,04152;0,575072;0,533553;;;;;
0,016416;0,548535;0,532118;;;;;
0,039838;0,571419;0,531581;;;;;
0,039838;0,571419;0,531581;;;;;
0,022349;0,552328;0,529979;;;;;
0,044467;0,573625;0,529158;;;;;
0,003817;0,532542;0,528724;;;;;
0,005485;0,534204;0,528719;;;;;
0,005485;0,534204;0,528719;;;;;
0,000071;0,526743;0,526673;;;;;
0,022742;0,54873;0,525988;;;;;
0,000953;0,525065;0,524112;;;;;
0,003204;0,526731;0,523527;;;;;
0,00305;0,526377;0,523328;;;;;
0,003343;0,526377;0,523034;;;;;
0,003671;0,5265;0,522829;;;;;
0,024426;0,547169;0,522743;;;;;
0,000637;0,521359;0,520722;;;;;
0,004185;0,524795;0,52061;;;;;
0,013898;0,532509;0,518611;;;;;
0,03971;0,558226;0,518516;;;;;
0,014061;0,531016;0,516955;;;;;
0,013185;0,530057;0,516872;;;;;
0,004691;0,521542;0,516851;;;;;
1;0,483456;0,516544;;;;;
0,004872;0,520393;0,515521;;;;;
0,013781;0,528968;0,515187;;;;;
0,013781;0,528968;0,515187;;;;;
