Reconstruction Coord z;Map Coord z;Error z;
0,052922;0,255527;0,202606;
0,022279;0,249709;0,227430;
0,052932;0,256450;0,203518;
0,049798;0,033153;0,016645;
0,058639;0,290599;0,231960;
0,022528;0,349580;0,327051;
0,050544;0,190600;0,140056;
0,021819;0,791318;0,769498;
0,062247;0,204273;0,142026;
0,029558;0,880765;0,851207;
0,053210;0,283066;0,229856;
0,031245;0,805847;0,774602;
0,031245;0,805847;0,774602;
0,031474;0,889764;0,858290;
0,031474;0,889764;0,858290;
0,067591;0,206197;0,138606;
0,050719;0,206197;0,155478;
0,049870;0,242949;0,193080;
0,050423;0,246113;0,195690;
0,050453;0,234270;0,183817;
0,034431;0,316053;0,281622;
0,024687;0,283752;0,259065;
0,038997;0,224581;0,185583;
0,023738;0,816782;0,793045;
0,053291;0,158069;0,104778;
0,050740;0,215654;0,164914;
0,050740;0,215654;0,164914;
0,049207;0,299246;0,250038;
0,049485;0,152126;0,102640;
0,046552;0,142347;0,095795;
0,048409;0,291424;0,243015;
0,030940;0,247828;0,216888;
0,047829;0,130171;0,082343;
0,123466;0,020711;0,102756;
0,024046;0,820259;0,796213;
0,052786;0,280839;0,228053;
0,051678;0,248773;0,197095;
0,050799;0,113958;0,063159;
0,023791;0,326855;0,303064;
0,024238;0,821518;0,797279;
0,026143;0,820006;0,793863;
0,029282;0,249214;0,219932;
0,046403;0,020877;0,025526;
0,052305;0,253951;0,201645;
0,053257;0,281142;0,227885;
0,053257;0,281142;0,227885;
0,051514;0,250265;0,198752;
0,024999;0,947969;0,922970;
0,788562;0,481313;0,307250;
0,059895;0,481313;0,421418;
0,022623;0,802980;0,780357;
0,052530;0,250900;0,198370;
0,051709;0,214521;0,162812;
0,061871;0,253794;0,191923;
0,051947;0,253794;0,201847;
0,051947;0,253794;0,201847;
0,046389;0,212084;0,165695;
0,056654;0,255237;0,198583;
0,043506;0,175280;0,131775;
0,031076;0,494084;0,463009;
0,057108;0,259001;0,201893;
0,026638;0,542304;0,515666;
0,026542;0,542304;0,515762;
0,029367;0,497573;0,468207;
0,047133;0,066718;0,019585;
0,047133;0,066718;0,019585;
0,036334;0,380188;0,343854;
0,024722;0,380864;0,356142;
0,032361;0,955782;0,923421;
0,058955;0,382310;0,323355;
0,024904;0,382310;0,357405;
0,024832;0,383451;0,358619;
0,030962;0,461422;0,430460;
0,022119;0,494119;0,472001;
0,022030;0,401517;0,379487;
0,022030;0,401517;0,379487;
0,035283;0,466540;0,431257;
0,026507;0,387847;0,361340;
0,026114;0,484548;0,458435;
0,030975;0,611480;0,580505;
0,053320;0,265013;0,211693;
0,035189;0,496295;0,461106;
0,031317;0,418568;0,387251;
0,030272;0,418568;0,388296;
0,043967;0,810190;0,766224;
0,072201;0,380619;0,308419;
0,044328;0,061136;0,016808;
0,104479;0,062093;0,042387;
0,045487;0,062069;0,016583;
0,022606;0,414253;0,391647;
0,064194;0,427286;0,363092;
0,064194;0,427286;0,363092;
0,031577;0,723201;0,691624;
0,032723;0,734644;0,701921;
0,045429;0,063183;0,017755;
0,031854;0,604280;0,572426;
0,307319;0,637580;0,330260;
0,051543;0,230478;0,178935;
0,052677;0,407909;0,355232;
0,029806;0,045346;0,015540;
0,022403;0,629937;0,607534;
0,046064;0,080165;0,034101;
0,082818;0,042913;0,039906;
0,022496;0,600870;0,578374;
0,027257;0,621824;0,594567;
0,041125;0,042557;0,001432;
0,045971;0,117922;0,071951;
0,063312;0,628033;0,564721;
0,046749;0,043670;0,003079;
0,060636;0,596293;0,535657;
0,025094;0,255634;0,230540;
0,031167;0,607956;0,576789;
0,070880;0,082729;0,011850;
0,002437;0,423202;0,420766;
0,027428;0,634117;0,606689;
0,062878;0,401282;0,338404;
0,040563;0,436789;0,396226;
0,040563;0,436789;0,396226;
0,045581;0,053002;0,007421;
0,045687;0,053034;0,007347;
0,052200;0,087081;0,034882;
0,042553;0,432870;0,390317;
0,044184;0,440448;0,396264;
0,051583;0,247733;0,196150;
0,033901;0,598794;0,564893;
0,029288;0,597723;0,568435;
0,035687;0,058627;0,022940;
0,042219;0,115422;0,073203;
0,042219;0,115422;0,073203;
0,039912;0,063460;0,023548;
0,096898;0,700837;0,603939;
0,064672;0,452335;0,387663;
0,043473;0,119937;0,076465;
0,043473;0,119937;0,076465;
0,063790;0,400638;0,336849;
0,063790;0,400638;0,336849;
0,037273;0,457097;0,419824;
0,062114;0,432029;0,369915;
0,092656;0,685340;0,592684;
0,031967;0,575899;0,543932;
0,043613;0,448969;0,405355;
0,043613;0,448969;0,405355;
0,054683;0,124985;0,070302;
0,044774;0,124985;0,080211;
0,064721;0,454836;0,390115;
0,033527;0,582676;0,549149;
0,046657;0,443075;0,396418;
0,076337;0,586926;0,510590;
0,064406;0,427653;0,363246;
0,059595;0,427653;0,368058;
0,046176;0,129097;0,082922;
0,046176;0,129097;0,082922;
0,052567;0,598061;0,545493;
0,094159;0,712284;0,618125;
0,023704;0,664686;0,640981;
0,047443;0,132323;0,084880;
0,047443;0,132323;0,084880;
0,034609;0,303127;0,268518;
0,058837;0,418355;0,359518;
0,058837;0,418355;0,359518;
0,023671;0,562684;0,539013;
0,076493;0,574735;0,498241;
0,090648;0,688441;0,597794;
0,035154;0,309876;0,274722;
0,044854;0,084140;0,039286;
0,049388;0,139026;0,089638;
0,049433;0,161258;0,111825;
0,049433;0,161258;0,111825;
0,062730;0,426286;0,363556;
0,097481;0,724313;0,626832;
0,026135;0,595969;0,569834;
0,084579;0,667757;0,583178;
0,063091;0,397404;0,334313;
0,057209;0,348971;0,291762;
0,084643;0,385710;0,301067;
0,054378;0,385710;0,331332;
0,050849;0,554635;0,503786;
0,078004;0,593308;0,515304;
0,078004;0,593308;0,515304;
0,070292;0,578305;0,508013;
0,063597;0,551881;0,488285;
0,059005;0,358642;0,299637;
0,183704;0,599038;0,415333;
0,084045;0,599038;0,514993;
0,052608;0,549552;0,496944;
0,068499;0,159181;0,090681;
0,032008;0,550571;0,518563;
0,076111;0,598995;0,522884;
0,046779;0,728162;0,681383;
0,031955;0,614948;0,582993;
0,060779;0,400685;0,339906;
0,060779;0,400685;0,339906;
0,023237;0,401150;0,377913;
0,045314;0,206015;0,160700;
0,041259;0,551207;0,509948;
0,046828;0,171629;0,124801;
0,067015;0,474427;0,407412;
0,052462;0,159985;0,107523;
0,052462;0,159985;0,107523;
0,052462;0,159985;0,107523;
0,052813;0,348312;0,295499;
0,057811;0,161965;0,104154;
0,051797;0,210653;0,158857;
0,006872;0,166210;0,159338;
0,037644;0,536171;0,498527;
0,048678;0,179017;0,130339;
0,050143;0,205070;0,154927;
0,049050;0,164109;0,115058;
0,051539;0,214772;0,163233;
0,049841;0,225535;0,175694;
0,050233;0,209159;0,158926;
0,050399;0,206577;0,156178;
0,050399;0,206577;0,156178;
0,054992;0,231436;0,176444;
0,050821;0,231436;0,180615;
