Reconstruction Coord z;Map Coord z;Error z;
7,283669;277,179230;0,000000;
3,079227;279,071045;0,000000;
7,285059;276,879242;0,000000;
6,855044;349,484619;0,000000;
8,068165;265,775391;0,000000;
3,113410;246,597839;0,000000;
6,957381;298,290375;0,000000;
3,016129;102,965988;0,000000;
8,563200;293,844604;0,000000;
4,077893;73,882080;0,000000;
7,323204;268,224976;0,000000;
4,309397;98,241936;0,000000;
4,309397;98,241936;0,000000;
4,340806;70,956055;0,000000;
4,340806;70,956055;0,000000;
9,296522;293,219025;0,000000;
6,981431;293,219025;0,000000;
6,864898;281,268951;0,000000;
6,940787;280,240265;0,000000;
6,944967;284,090851;0,000000;
4,746543;257,499146;0,000000;
3,409610;268,001953;0,000000;
5,373108;287,241516;0,000000;
3,279353;94,686172;0,000000;
7,334415;308,867859;0,000000;
6,984370;290,143982;0,000000;
6,984370;290,143982;0,000000;
6,774039;262,964020;0,000000;
6,812157;310,800385;0,000000;
6,409711;313,980011;0,000000;
6,664459;265,507385;0,000000;
4,267550;279,682739;0,000000;
6,584850;317,938934;0,000000;
16,963131;353,530151;0,000000;
3,321626;93,555862;0,000000;
7,265094;268,948914;0,000000;
7,112980;279,375336;0,000000;
6,992484;323,210571;0,000000;
3,286621;253,986786;0,000000;
3,348037;93,146523;0,000000;
3,609417;93,638000;0,000000;
4,040012;279,232056;0,000000;
6,389279;353,476074;0,000000;
7,199091;277,691803;0,000000;
7,329704;268,850616;0,000000;
7,329704;268,850616;0,000000;
7,090495;278,890045;0,000000;
3,452406;52,030586;0,000000;
108,221214;203,764709;0,000000;
8,240479;203,764709;0,000000;
3,126351;99,174065;0,000000;
7,229874;278,683838;0,000000;
7,117355;290,512329;0,000000;
8,511607;277,742645;0,000000;
7,149943;277,742645;0,000000;
7,149943;277,742645;0,000000;
6,387362;291,304840;0,000000;
7,795776;277,273529;0,000000;
5,991699;303,271545;0,000000;
4,286212;199,611938;0,000000;
7,858026;276,049683;0,000000;
3,677337;183,933182;0,000000;
3,664105;183,933182;0,000000;
4,051699;198,477524;0,000000;
6,489374;338,570862;0,000000;
6,489374;338,570862;0,000000;
5,007616;236,645584;0,000000;
3,414441;236,425781;0,000000;
4,462555;49,490173;0,000000;
8,111544;235,955658;0,000000;
3,439431;235,955658;0,000000;
3,429555;235,584503;0,000000;
4,270535;210,232269;0,000000;
3,057168;199,600525;0,000000;
3,045077;229,710403;0,000000;
3,045077;229,710403;0,000000;
4,863452;208,568146;0,000000;
3,659314;234,155106;0,000000;
3,605350;202,712585;0,000000;
4,272439;161,440521;0,000000;
7,338344;274,094757;0,000000;
4,850550;198,893143;0,000000;
4,319260;224,166183;0,000000;
4,175920;224,166183;0,000000;
6,054997;96,829536;0,000000;
9,928967;236,505325;0,000000;
6,104544;340,385864;0,000000;
14,357950;340,074738;0,000000;
6,263508;340,082275;0,000000;
3,124064;225,569122;0,000000;
8,830338;221,331650;0,000000;
8,830338;221,331650;0,000000;
4,355000;125,114250;0,000000;
4,512234;121,393684;0,000000;
6,255549;339,720184;0,000000;
4,392923;163,781677;0,000000;
42,189686;152,954224;0,000000;
7,094541;285,323822;0,000000;
7,250170;227,631927;0,000000;
4,111970;345,519958;0,000000;
3,096191;155,439133;0,000000;
6,342748;334,198547;0,000000;
11,385820;346,311096;0,000000;
3,108950;164,890335;0,000000;
3,762273;158,077087;0,000000;
5,665024;346,426727;0,000000;
6,330036;321,921661;0,000000;
8,709347;156,058212;0,000000;
6,436714;346,064880;0,000000;
8,342173;166,378754;0,000000;
3,465420;277,144562;0,000000;
4,298656;162,586487;0,000000;
9,747713;333,364716;0,000000;
0,356604;222,659393;0,000000;
3,785695;154,079956;0,000000;
8,649862;229,786789;0,000000;
5,587907;218,241730;0,000000;
5,587907;218,241730;0,000000;
6,276433;343,030579;0,000000;
6,290969;343,020325;0,000000;
7,184622;331,949585;0,000000;
5,861002;219,515884;0,000000;
6,084762;217,051849;0,000000;
7,099993;279,713440;0,000000;
4,673880;165,565506;0,000000;
4,040931;165,913513;0,000000;
4,918870;341,201660;0,000000;
5,815183;322,734650;0,000000;
5,815183;322,734650;0,000000;
5,498682;339,630096;0,000000;
13,317671;132,385941;0,000000;
8,896014;213,186768;0,000000;
5,987162;321,266418;0,000000;
