Reconstruction Coord z;Map Coord z;Error z;
3,245657;225,509399;0,000000;
2,881763;225,509399;0,000000;
3,442402;222,665054;0,000000;
3,167488;222,665054;0,000000;
4,793712;267,764618;0,000000;
4,255110;267,764618;0,000000;
7,189162;277,190979;0,000000;
7,153193;278,932892;0,000000;
7,429041;276,176208;0,000000;
3,395275;281,170471;0,000000;
3,409654;284,969879;0,000000;
6,292494;279,149170;0,000000;
3,420474;279,149170;0,000000;
8,566706;284,457092;0,000000;
3,488994;279,417877;0,000000;
3,479998;279,417877;0,000000;
4,339776;284,457092;0,000000;
7,001286;286,532349;0,000000;
7,001286;286,532349;0,000000;
4,591101;290,211761;0,000000;
3,107498;287,308685;0,000000;
2,927570;287,308685;0,000000;
4,064833;288,120331;0,000000;
7,113009;283,584778;0,000000;
4,696352;283,584778;0,000000;
6,854212;349,484619;0,000000;
3,612020;282,031769;0,000000;
5,239858;299,648499;0,000000;
5,239858;299,648499;0,000000;
3,166307;297,483917;0,000000;
3,128313;296,444672;0,000000;
4,679842;349,572998;0,000000;
3,701344;298,999786;0,000000;
3,673985;298,999786;0,000000;
2,857936;246,498077;0,000000;
10,432501;298,201019;0,000000;
3,926673;298,201019;0,000000;
9,217381;281,372559;0,000000;
7,316576;249,975281;0,000000;
3,255347;298,052368;0,000000;
2,864631;255,156815;0,000000;
7,275006;262,279266;0,000000;
7,297448;254,386536;0,000000;
2,965966;280,911072;0,000000;
3,904626;281,483521;0,000000;
4,281983;252,638855;0,000000;
2,864089;252,638855;0,000000;
3,217178;293,419434;0,000000;
3,217178;293,419434;0,000000;
3,907983;261,909760;0,000000;
3,598188;282,540588;0,000000;
3,771773;251,207687;0,000000;
3,137481;263,925568;0,000000;
3,011436;263,925568;0,000000;
3,506512;254,776398;0,000000;
3,349122;254,776398;0,000000;
3,981044;255,058411;0,000000;
3,390242;295,332397;0,000000;
9,496866;295,235229;0,000000;
4,514909;253,564392;0,000000;
3,352861;253,564392;0,000000;
3,941056;265,335236;0,000000;
3,371202;265,335236;0,000000;
3,858531;258,212677;0,000000;
3,265412;258,212677;0,000000;
4,208837;294,011047;0,000000;
5,891358;252,396240;0,000000;
5,882642;252,396240;0,000000;
5,857212;292,334961;0,000000;
5,447106;292,334961;0,000000;
2,842061;268,770905;0,000000;
5,184756;290,051208;0,000000;
3,819462;290,051208;0,000000;
3,687483;104,202469;0,000000;
3,687483;104,202469;0,000000;
3,687483;104,202469;0,000000;
2,893704;248,466415;0,000000;
6,645770;251,929001;0,000000;
7,342982;304,940857;0,000000;
3,291792;304,940857;0,000000;
6,892048;310,310242;0,000000;
4,146350;248,431641;0,000000;
2,892341;248,431641;0,000000;
4,618375;269,355133;0,000000;
4,147605;288,512115;0,000000;
3,473383;312,102478;0,000000;
5,062781;313,980011;0,000000;
6,612244;317,938934;0,000000;
7,096788;280,166809;0,000000;
3,933941;266,899933;0,000000;
3,933941;266,899933;0,000000;
2,864890;287,961975;0,000000;
2,865031;287,961975;0,000000;
2,850723;287,961975;0,000000;
3,039319;267,516937;0,000000;
103,668465;288,266846;0,000000;
3,552782;288,266846;0,000000;
7,604882;280,180908;0,000000;
4,312290;280,180908;0,000000;
3,562586;280,180908;0,000000;
4,942382;321,568817;0,000000;
3,507247;321,568817;0,000000;
17,916557;353,553070;0,000000;
4,764097;353,553070;0,000000;
3,058666;321,436523;0,000000;
7,264208;268,948914;0,000000;
3,538523;288,760651;0,000000;
2,861418;288,523254;0,000000;
7,014769;323,210571;0,000000;
7,103082;279,404602;0,000000;
3,517368;279,404602;0,000000;
2,854818;288,833313;0,000000;
5,896081;351,752930;0,000000;
22,645672;353,421631;0,000000;
3,602373;353,421631;0,000000;
8,063452;274,027161;0,000000;
3,279462;187,101440;0,000000;
2,924416;330,271912;0,000000;
7,428807;268,531097;0,000000;
7,428807;268,531097;0,000000;
2,942891;268,531097;0,000000;
7,148484;279,453003;0,000000;
7,148484;279,453003;0,000000;
3,364696;269,002563;0,000000;
2,971460;185,285645;0,000000;
6,594610;328,565247;0,000000;
50,278915;182,333664;0,000000;
4,990536;330,471405;0,000000;
3,067320;330,471405;0,000000;
47,250629;269,282104;0,000000;
7,215743;278,784851;0,000000;
3,837401;267,445648;0,000000;
4,133207;205,255615;0,000000;
7,643628;246,599182;0,000000;
3,383188;220,515091;0,000000;
3,383188;220,515091;0,000000;
4,356780;201,576569;0,000000;
7,682706;291,304840;0,000000;
3,501395;181,342926;0,000000;
8,512832;222,336670;0,000000;
3,939104;180,161209;0,000000;
5,384552;277,007172;0,000000;
4,906692;277,007172;0,000000;
