Reconstruction Coord z;Map Coord z;Error z;
0,049351;0,288420;0,239069;
0,186023;0,413830;0,227807;
0,059544;0,264173;0,204629;
0,048905;0,290636;0,241731;
0,048395;0,257599;0,209204;
0,050434;0,304244;0,253810;
0,050434;0,304244;0,253810;
0,047872;0,249419;0,201548;
0,047910;0,248842;0,200932;
0,046142;0,252312;0,206171;
0,047600;0,241287;0,193687;
0,050362;0,310394;0,260032;
0,047629;0,249399;0,201770;
0,046972;0,242216;0,195244;
0,048319;0,239956;0,191637;
0,047368;0,231536;0,184168;
0,047095;0,240695;0,193600;
0,048753;0,279812;0,231059;
0,050546;0,314365;0,263819;
0,085457;0,785306;0,699849;
0,046708;0,208966;0,162257;
0,051931;0,967857;0,915926;
0,047611;0,343520;0,295909;
0,023063;0,284524;0,261461;
0,047555;0,248972;0,201417;
0,048006;0,254091;0,206085;
0,046495;0,244721;0,198226;
0,039736;0,274767;0,235031;
0,106937;0,795892;0,688956;
0,047686;0,243123;0,195436;
0,109264;0,805575;0,696311;
0,046428;0,200502;0,154074;
0,059580;0,305082;0,245502;
0,047852;0,256255;0,208403;
0,048126;0,253468;0,205342;
0,047482;0,244143;0,196661;
0,047482;0,244143;0,196661;
0,049758;0,288098;0,238340;
0,103645;0,881174;0,777529;
0,103645;0,881174;0,777529;
0,052655;0,896215;0,843560;
0,048588;0,269022;0,220435;
0,164367;0,267302;0,102934;
0,163131;0,266081;0,102950;
0,048851;0,275919;0,227067;
0,124677;0,883650;0,758973;
0,103017;0,294545;0,191528;
0,046206;0,269455;0,223248;
0,046538;0,270618;0,224081;
0,046411;0,215029;0,168617;
0,050528;0,333117;0,282589;
0,110619;0,945508;0,834889;
0,049093;0,272725;0,223633;
0,109756;0,946035;0,836279;
0,109756;0,946035;0,836279;
0,102572;0,787707;0,685135;
0,048770;0,269377;0,220607;
0,048770;0,269377;0,220607;
0,111930;0,892714;0,780784;
0,051770;0,339044;0,287274;
0,049758;0,305106;0,255348;
0,055821;0,417748;0,361926;
0,044860;0,279526;0,234666;
0,047884;0,254503;0,206619;
0,045315;0,146854;0,101539;
0,029635;0,334548;0,304913;
0,046982;0,228219;0,181237;
0,048673;0,268024;0,219350;
