Reconstruction Coord z;Map Coord z;Error z;
7,391024;266,484070;0,000000;
27,769445;225,706711;0,000000;
8,910945;274,367859;0,000000;
7,324553;265,763458;0,000000;
7,248460;276,505676;0,000000;
7,552569;261,338867;0,000000;
7,552569;261,338867;0,000000;
7,170468;279,165283;0,000000;
7,176203;279,352936;0,000000;
6,912544;278,224487;0,000000;
7,129915;281,809570;0,000000;
7,541779;259,339233;0,000000;
7,134347;279,171631;0,000000;
7,036284;281,507507;0,000000;
7,237191;282,242157;0,000000;
7,095426;284,979858;0,000000;
7,054661;282,001953;0,000000;
7,301864;269,283051;0,000000;
7,569186;258,048035;0,000000;
12,774633;104,920708;0,000000;
6,997040;292,318787;0,000000;
7,775791;45,563950;0,000000;
7,131690;248,568130;0,000000;
3,471404;267,750854;0,000000;
7,123240;279,310547;0,000000;
7,190474;277,646301;0,000000;
6,965221;280,692719;0,000000;
5,957380;270,923462;0,000000;
15,977354;101,478577;0,000000;
7,142839;281,212585;0,000000;
16,324425;98,330147;0,000000;
6,955262;295,070648;0,000000;
8,916319;261,066223;0,000000;
7,167534;276,942566;0,000000;
7,208390;277,848755;0,000000;
7,112353;280,880798;0,000000;
7,112353;280,880798;0,000000;
7,451753;266,588867;0,000000;
15,486526;73,749268;0,000000;
15,486526;73,749268;0,000000;
7,883684;68,858475;0,000000;
7,277246;272,791229;0,000000;
24,540539;273,350647;0,000000;
24,356220;273,747498;0,000000;
7,316548;270,548889;0,000000;
18,622526;72,944130;0,000000;
15,392927;264,492523;0,000000;
6,922190;272,650696;0,000000;
6,971577;272,272339;0,000000;
6,952762;290,347412;0,000000;
7,566501;251,950790;0,000000;
16,526396;52,830883;0,000000;
7,352535;271,587250;0,000000;
16,397749;52,659363;0,000000;
16,397749;52,659363;0,000000;
15,326530;104,140053;0,000000;
7,304464;272,675903;0,000000;
7,304464;272,675903;0,000000;
16,721817;69,996994;0,000000;
7,751683;250,023575;0,000000;
7,451783;261,058594;0,000000;
8,355839;224,432861;0,000000;
6,721419;269,375916;0,000000;
7,172359;277,512085;0,000000;
6,789279;312,514465;0,000000;
4,451292;251,485413;0,000000;
7,037873;286,058411;0,000000;
7,290048;273,115845;0,000000;
7,297539;270,370087;0,000000;
7,762359;248,230331;0,000000;
7,807965;247,883972;0,000000;
7,223716;273,923706;0,000000;
7,624451;258,120239;0,000000;
16,303738;97,226868;0,000000;
16,683191;98,233551;0,000000;
6,978489;321,077515;0,000000;
17,164207;95,297585;0,000000;
17,118856;103,539795;0,000000;
16,321230;100,286179;0,000000;
16,321230;100,286179;0,000000;
7,609617;255,228912;0,000000;
7,333118;267,075256;0,000000;
7,629889;187,323395;0,000000;
7,137473;278,956024;0,000000;
7,448317;263,243652;0,000000;
7,448317;263,243652;0,000000;
7,720176;185,935349;0,000000;
7,881293;65,886414;0,000000;
7,799007;66,331413;0,000000;
6,598744;68,221596;0,000000;
7,359359;268,215210;0,000000;
7,494933;155,000092;0,000000;
7,945013;162,945267;0,000000;
9,212343;205,122833;0,000000;
7,614222;247,086563;0,000000;
8,028033;93,055969;0,000000;
7,859547;181,471481;0,000000;
6,293632;279,085358;0,000000;
18,019629;51,210499;0,000000;
7,557770;200,123077;0,000000;
7,557770;200,123077;0,000000;
9,120949;219,851105;0,000000;
7,948127;240,394821;0,000000;
9,155293;70,971046;0,000000;
9,155293;70,971046;0,000000;
9,304932;193,121872;0,000000;
8,403053;223,736298;0,000000;
8,056278;234,034653;0,000000;
