Reconstruction Coord z;Map Coord z;Error z;
0,000500;0,462022;0,461522;
0,000492;0,758189;0,757697;
0,001317;0,813770;0,812453;
0,000834;0,744916;0,744082;
0,002667;0,502825;0,500159;
0,000631;0,813081;0,812450;
0,000630;0,813081;0,812451;
0,003270;0,609609;0,606338;
0,003270;0,609609;0,606338;
0,001906;0,265948;0,264042;
0,002709;0,517257;0,514548;
0,002751;0,519419;0,516668;
0,001931;0,274112;0,272181;
0,001931;0,274112;0,272181;
0,002879;0,539535;0,536656;
0,000461;0,528334;0,527874;
0,000824;0,523266;0,522441;
0,001913;0,299120;0,297207;
0,000640;0,765277;0,764636;
0,000640;0,765277;0,764636;
0,001674;0,772250;0,770577;
0,000877;0,299109;0,298232;
0,002109;0,271193;0,269084;
0,001991;0,297934;0,295943;
0,002857;0,551385;0,548528;
0,003357;0,632535;0,629178;
0,002985;0,608976;0,605992;
0,001908;0,271715;0,269806;
0,001987;0,296720;0,294733;
0,001992;0,817267;0,815275;
0,002878;0,549847;0,546969;
0,000906;0,288814;0,287908;
0,002334;0,289839;0,287505;
0,002003;0,000000;0,002003;
0,000482;0,535500;0,535018;
0,000524;0,817139;0,816616;
0,000968;0,815537;0,814569;
0,001998;0,300983;0,298985;
0,000972;0,815537;0,814565;
0,002515;0,449164;0,446649;
0,001965;0,285121;0,283157;
0,001965;0,285121;0,283157;
0,002952;0,000000;0,002952;
0,004620;0,441889;0,437269;
0,003004;0,597769;0,594766;
0,001950;0,279957;0,278007;
0,002446;0,743847;0,741401;
0,002073;0,818869;0,816795;
0,003154;0,602580;0,599426;
0,001947;0,790554;0,788607;
0,001947;0,790554;0,788607;
0,003117;0,587847;0,584730;
0,003117;0,587847;0,584730;
0,002401;0,428837;0,426436;
0,000528;0,818120;0,817592;
0,002149;0,335704;0,333555;
0,000567;0,335704;0,335137;
0,002455;0,296173;0,293718;
0,002059;0,299705;0,297647;
0,002577;0,819849;0,817273;
0,000487;0,583510;0,583023;
0,002507;0,425626;0,423120;
0,002747;0,555543;0,552797;
0,001975;0,303238;0,301264;
0,002004;0,820387;0,818383;
0,003031;0,595667;0,592637;
0,007754;0,298878;0,291123;
0,001937;0,240676;0,238739;
0,001996;0,290323;0,288327;
0,001949;0,819725;0,817775;
0,000824;0,276181;0,275357;
0,000658;0,276181;0,275523;
0,004818;0,341540;0,336722;
0,002119;0,341540;0,339421;
0,001977;0,286014;0,284037;
0,000675;0,346470;0,345795;
0,000474;0,346470;0,345996;
0,000478;0,323932;0,323454;
0,001966;0,287560;0,285594;
0,000686;0,597872;0,597186;
0,001971;0,825287;0,823316;
0,000498;0,387620;0,387122;
0,002426;0,743382;0,740956;
0,001966;0,286844;0,284878;
0,000492;0,798167;0,797675;
0,000491;0,798167;0,797675;
0,002402;0,382373;0,379971;
0,000468;0,382373;0,381905;
0,000669;0,289403;0,288734;
0,000671;0,292735;0,292064;
0,001958;0,287186;0,285228;
0,003060;0,589043;0,585984;
0,003024;0,591504;0,588480;
0,000531;0,353063;0,352532;
0,003104;0,577310;0,574206;
0,000490;0,581761;0,581271;
0,002557;0,435902;0,433344;
0,008261;0,361734;0,353473;
0,001660;0,210094;0,208434;
0,000484;0,306250;0,305767;
0,003221;0,623609;0,620387;
0,001675;0,212565;0,210890;
0,003245;0,610959;0,607713;
0,001767;0,212707;0,210941;
0,001313;0,351579;0,350266;
0,005461;0,671170;0,665709;
0,000522;0,870641;0,870119;
0,000484;0,870641;0,870157;
0,003675;0,429398;0,425723;
0,000519;0,840240;0,839720;
0,002033;0,000000;0,002033;
0,000563;0,750347;0,749784;
0,000562;0,212462;0,211901;
0,004259;0,714434;0,710175;
0,003077;0,679985;0,676908;
0,000565;0,215197;0,214632;
0,002464;0,449612;0,447148;
0,002464;0,449612;0,447148;
0,000490;0,449612;0,449122;
0,001322;0,319493;0,318171;
0,026861;0,373439;0,346578;
0,002171;0,712571;0,710401;
0,000959;0,712781;0,711822;
0,000489;0,515028;0,514539;
0,005698;0,490184;0,484486;
0,002184;0,341038;0,338854;
0,002818;0,531693;0,528875;
0,000520;0,509797;0,509277;
0,000521;0,243550;0,243029;
0,000530;0,559578;0,559048;
0,000492;0,524097;0,523605;
0,001926;0,000000;0,001926;
0,000498;0,334123;0,333625;
0,001932;0,000000;0,001932;
0,000525;0,763359;0,762834;
0,000513;0,763359;0,762846;
0,000514;0,766018;0,765504;
0,000512;0,772835;0,772323;
0,004341;0,762083;0,757742;
0,004414;0,760177;0,755763;
0,000532;0,474848;0,474317;
0,000894;0,574872;0,573978;
0,001900;0,000000;0,001900;
0,000546;0,792580;0,792034;
0,004428;0,771901;0,767473;
0,001576;0,782877;0,781301;
0,000656;0,800253;0,799597;
0,004476;0,774228;0,769752;
0,002303;0,421495;0,419191;
0,002303;0,421495;0,419191;
0,000957;0,802212;0,801255;
0,004560;0,785532;0,780972;
0,000489;0,794472;0,793983;
0,004701;0,792537;0,787836;
0,000927;0,790197;0,789270;
0,000646;0,806371;0,805725;
0,002120;0,445981;0,443861;
0,004549;0,782354;0,777805;
0,003346;0,558556;0,555210;
0,004609;0,787762;0,783153;
0,004609;0,787762;0,783153;
0,000714;0,793748;0,793034;
0,000567;0,793748;0,793181;
0,004648;0,790736;0,786088;
0,000546;0,808235;0,807689;
0,000546;0,808235;0,807689;
0,004630;0,792984;0,788354;
0,004687;0,797873;0,793185;
0,004562;0,785163;0,780601;
0,004562;0,785163;0,780601;
0,000629;0,788529;0,787900;
0,000575;0,812481;0,811906;
0,000524;0,814110;0,813586;
0,003086;0,813393;0,810306;
0,000717;0,790737;0,790021;
0,004745;0,797873;0,793129;
0,000600;0,810081;0,809481;
0,004876;0,814044;0,809168;
0,004564;0,786287;0,781724;
0,004636;0,796520;0,791884;
0,001319;0,556749;0,555430;
0,000504;0,556749;0,556245;
0,000534;0,796844;0,796311;
0,004833;0,819845;0,815012;
0,001293;0,819845;0,818552;
0,004951;0,819051;0,814100;
0,000536;0,820423;0,819887;
0,000524;0,820423;0,819900;
0,000536;0,820733;0,820196;
0,000524;0,820733;0,820209;
0,000625;0,793037;0,792412;
0,004771;0,804152;0,799382;
0,004771;0,804152;0,799382;
0,000565;0,818986;0,818421;
0,004518;0,785902;0,781384;
0,004706;0,796343;0,791637;
0,000581;0,796343;0,795762;
0,004926;0,815718;0,810792;
0,004926;0,815718;0,810792;
0,004650;0,792833;0,788184;
0,005122;0,826744;0,821621;
0,000505;0,800756;0,800250;
0,000495;0,800756;0,800260;
0,004627;0,786273;0,781646;
0,004750;0,802697;0,797947;
0,002634;0,506612;0,503978;
0,004999;0,823495;0,818496;
0,001105;0,823495;0,822390;
0,004812;0,802533;0,797721;
0,001127;0,806095;0,804968;
0,004942;0,821121;0,816178;
0,004907;0,814840;0,809933;
0,004907;0,814840;0,809933;
0,000074;0,830684;0,830610;
0,004799;0,806512;0,801713;
0,004779;0,806047;0,801268;
0,004837;0,810801;0,805964;
0,004579;0,830802;0,826223;
0,004775;0,804426;0,799651;
0,004775;0,804426;0,799651;
0,005020;0,818519;0,813499;
0,005020;0,818519;0,813499;
0,000614;0,789259;0,788645;
0,000589;0,640658;0,640069;
0,004817;0,808428;0,803611;
0,004990;0,822896;0,817906;
0,000600;0,822896;0,822296;
0,004759;0,802505;0,797746;
0,004759;0,802505;0,797746;
0,004799;0,808509;0,803709;
0,004853;0,813433;0,808580;
0,004776;0,801718;0,796942;
0,004749;0,836081;0,831332;
0,002325;0,406702;0,404377;
0,005101;0,834314;0,829213;
0,005016;0,824638;0,819622;
0,005016;0,824638;0,819622;
0,005016;0,824638;0,819622;
0,005154;0,837750;0,832596;
0,004749;0,805268;0,800519;
0,004749;0,805268;0,800519;
0,005144;0,837024;0,831880;
0,000581;0,807515;0,806935;
0,005273;0,837502;0,832228;
0,000581;0,818127;0,817546;
0,000564;0,818127;0,817563;
0,002557;0,417473;0,414916;
0,004858;0,811423;0,806565;
0,004806;0,807271;0,802465;
0,005113;0,820427;0,815315;
0,000590;0,820427;0,819838;
0,000571;0,820427;0,819857;
0,000633;0,840231;0,839598;
0,000017;0,840231;0,840214;
0,000562;0,660369;0,659806;
0,000570;0,840241;0,839672;
0,005158;0,839872;0,834714;
0,000603;0,827437;0,826835;
0,000598;0,827437;0,826839;
0,005178;0,838235;0,833057;
0,005167;0,839848;0,834681;
0,004882;0,810473;0,805591;
0,006006;0,840159;0,834152;
0,003660;0,677368;0,673708;
0,004966;0,826128;0,821163;
0,004799;0,806275;0,801476;
0,004834;0,841178;0,836344;
0,004848;0,841338;0,836490;
0,004827;0,809113;0,804286;
0,004664;0,801019;0,796355;
0,004890;0,815111;0,810221;
0,004603;0,791806;0,787203;
0,003532;0,841472;0,837941;
0,003532;0,841472;0,837941;
0,003030;0,592084;0,589054;
0,003030;0,592084;0,589054;
0,003556;0,907733;0,904178;
0,004659;0,799614;0,794955;
0,004812;0,807627;0,802815;
0,005054;0,841759;0,836705;
0,004747;0,801197;0,796450;
0,004866;0,841087;0,836221;
0,003368;0,595511;0,592142;
0,000584;0,674968;0,674384;
0,000547;0,674968;0,674421;
0,005075;0,832241;0,827167;
0,000650;0,841139;0,840488;
0,004924;0,818219;0,813295;
0,004594;0,791087;0,786493;
0,005124;0,835393;0,830270;
0,004811;0,809723;0,804912;
0,004938;0,843235;0,838297;
0,000601;0,801451;0,800849;
0,000557;0,903882;0,903325;
0,004962;0,843108;0,838146;
0,000663;0,894122;0,893458;
0,000537;0,820609;0,820071;
0,000508;0,820609;0,820101;
0,005081;0,829672;0,824591;
0,005034;0,826724;0,821690;
0,004844;0,813824;0,808980;
0,004844;0,813824;0,808980;
0,000565;0,832403;0,831839;
0,000615;0,811099;0,810484;
0,005093;0,835166;0,830073;
0,005093;0,835166;0,830073;
0,000937;0,829824;0,828887;
0,000694;0,829824;0,829130;
0,004796;0,804488;0,799692;
0,004182;0,897786;0,893604;
0,004748;0,803041;0,798293;
