Reconstruction Coord z;Map Coord z;Error z;
0,003727;0,796720;0,792993;
0,003727;0,796720;0,792993;
0,000494;0,792227;0,791733;
0,003778;0,798279;0,794501;
0,003712;0,770181;0,766469;
0,003809;0,800296;0,796487;
0,000490;0,800439;0,799950;
0,003870;0,802501;0,798631;
0,003805;0,800625;0,796821;
0,002734;0,766258;0,763524;
0,003774;0,803988;0,800215;
0,003763;0,800349;0,796586;
0,000792;0,802477;0,801685;
0,003703;0,762418;0,758715;
0,003727;0,780884;0,777157;
0,000498;0,812597;0,812099;
0,000649;0,802648;0,801999;
0,003762;0,800040;0,796278;
0,000444;0,800040;0,799596;
0,003673;0,757922;0,754250;
0,000471;0,813645;0,813175;
0,000704;0,802433;0,801729;
0,000477;0,817612;0,817135;
0,001349;0,736093;0,734744;
0,003670;0,766960;0,763290;
0,003626;0,744414;0,740787;
0,003801;0,804195;0,800394;
0,003641;0,805035;0,801393;
0,005638;0,738042;0,732405;
0,000517;0,797546;0,797030;
0,003919;0,794062;0,790142;
0,001158;0,820622;0,819464;
0,003812;0,000000;0,003812;
0,000861;0,799666;0,798804;
0,000487;0,703103;0,702616;
0,000460;0,797499;0,797039;
0,003746;0,795968;0,792222;
0,004397;0,865653;0,861256;
0,004397;0,865653;0,861256;
1,000000;0,714779;0,285221;
0,003914;0,835376;0,831462;
0,003500;0,708691;0,705191;
0,000865;0,692250;0,691385;
0,003657;0,762203;0,758547;
0,003657;0,762203;0,758547;
0,003771;0,858187;0,854416;
0,000863;0,856624;0,855761;
0,000726;0,788121;0,787395;
0,003423;0,689335;0,685912;
0,003672;0,757245;0,753573;
0,000466;0,863948;0,863482;
0,003757;0,813429;0,809672;
0,002295;0,872191;0,869896;
0,000514;0,782071;0,781557;
0,002601;0,842854;0,840253;
0,003401;0,681868;0,678467;
0,003783;0,858951;0,855167;
0,003783;0,858951;0,855167;
0,000813;0,863497;0,862684;
0,003649;0,752648;0,748999;
0,003634;0,813880;0,810246;
0,003891;0,856080;0,852189;
0,003534;0,814545;0,811011;
0,000547;0,814545;0,813998;
0,002319;0,872961;0,870642;
0,003817;0,872188;0,868371;
0,003755;0,865117;0,861362;
0,003755;0,865117;0,861362;
0,003632;0,755321;0,751689;
0,000512;0,755321;0,754809;
0,000543;0,873998;0,873455;
0,003304;0,663319;0,660015;
0,003930;0,864466;0,860536;
0,004002;0,874616;0,870614;
0,000557;0,873519;0,872962;
0,003938;0,872285;0,868347;
0,000869;0,792717;0,791847;
0,003886;0,812449;0,808563;
0,003721;0,826260;0,822539;
0,003329;0,642748;0,639419;
0,000532;0,793574;0,793042;
0,003336;0,650544;0,647208;
0,000816;0,872711;0,871895;
0,000816;0,872711;0,871895;
0,002942;0,634676;0,631734;
0,003696;0,871891;0,868196;
0,000503;0,860787;0,860284;
0,003155;0,576109;0,572954;
0,003155;0,576109;0,572954;
0,003759;0,870495;0,866736;
0,004028;0,869441;0,865413;
0,003116;0,599744;0,596628;
0,003194;0,619613;0,616419;
0,003228;0,856238;0,853011;
0,000487;0,872533;0,872046;
0,003079;0,738041;0,734962;
0,000501;0,866665;0,866164;
0,000566;0,000000;0,000566;
0,002573;0,852182;0,849609;
0,033849;0,000000;0,033849;
0,000554;0,569771;0,569217;
0,003132;0,577381;0,574249;
0,003132;0,577381;0,574249;
0,000482;0,853101;0,852619;
0,031479;0,862109;0,830631;
0,000540;0,868421;0,867880;
0,000484;0,847327;0,846844;
0,004289;0,728840;0,724551;
0,000622;0,574271;0,573649;
0,000624;0,856043;0,855420;
0,003201;0,615776;0,612574;
0,003137;0,571212;0,568075;
0,003118;0,625690;0,622572;
0,003311;0,804404;0,801093;
0,000509;0,576368;0,575859;
0,000531;0,855785;0,855254;
0,001497;0,860484;0,858987;
0,003373;0,870126;0,866752;
0,000736;0,850766;0,850030;
0,000551;0,850766;0,850215;
0,000639;0,724177;0,723538;
0,003513;0,716087;0,712574;
0,001482;0,566716;0,565234;
0,000485;0,867211;0,866726;
0,000685;0,869702;0,869017;
0,003116;0,566874;0,563758;
0,000742;0,849512;0,848770;
0,003182;0,621684;0,618502;
0,000553;0,726356;0,725802;
0,003296;0,678708;0,675412;
0,000552;0,847319;0,846768;
0,000521;0,868291;0,867771;
0,002830;0,442657;0,439827;
0,002823;0,432011;0,429187;
0,003767;0,683174;0,679407;
0,000537;0,683174;0,682638;
0,002267;0,840636;0,838370;
0,003106;0,584002;0,580896;
0,001030;0,846280;0,845250;
0,004044;0,567034;0,562990;
0,003023;0,587951;0,584928;
0,003212;0,690477;0,687265;
0,001114;0,838096;0,836982;
0,003581;0,659236;0,655655;
0,000712;0,659236;0,658524;
0,000457;0,659236;0,658779;
0,003358;0,678537;0,675179;
0,000458;0,426275;0,425817;
0,003294;0,664560;0,661266;
0,000520;0,000000;0,000520;
0,003346;0,666935;0,663588;
0,003160;0,000000;0,003160;
0,002013;0,854770;0,852756;
0,000565;0,834049;0,833483;
0,003457;0,865336;0,861879;
0,003370;0,849322;0,845952;
0,000484;0,000000;0,000484;
0,001067;0,702410;0,701343;
0,003499;0,879698;0,876199;
0,003470;0,875691;0,872221;
0,003360;0,693566;0,690206;
0,000863;0,693566;0,692703;
0,003429;0,879621;0,876192;
0,003400;0,667700;0,664299;
0,000548;0,673692;0,673145;
0,000494;0,692073;0,691578;
