Reconstruction Coord z;Map Coord z;Error z;
0,000953;0,529633;0,528680;
0,000963;0,000000;0,000963;
0,003223;0,104226;0,101003;
0,005873;0,438788;0,432915;
0,001495;0,462453;0,460958;
0,005816;0,426203;0,420387;
0,001058;0,000000;0,001058;
0,004419;0,268258;0,263839;
0,004419;0,268258;0,263839;
0,001541;0,000000;0,001541;
0,005856;0,439764;0,433908;
0,003278;0,534722;0,531444;
0,003219;0,102268;0,099049;
0,003219;0,102268;0,099049;
0,003202;0,100572;0,097370;
0,000974;0,100572;0,099598;
0,000802;0,100572;0,099770;
0,003173;0,096583;0,093410;
0,001170;0,465200;0,464030;
0,000892;0,465200;0,464308;
0,002634;0,451310;0,448676;
0,003193;0,099626;0,096433;
0,003181;0,097869;0,094688;
0,003227;0,106259;0,103032;
0,001806;0,097270;0,095464;
0,000800;0,097270;0,096470;
0,003172;0,097075;0,093903;
0,001026;0,097075;0,096049;
0,004351;0,000000;0,004351;
0,005934;0,443479;0,437545;
0,000993;0,098890;0,097898;
0,000886;0,098890;0,098004;
0,003210;0,102101;0,098891;
0,009461;0,431968;0,422507;
0,005814;0,431968;0,426154;
0,005829;0,435188;0,429358;
0,003187;0,099459;0,096272;
0,003140;0,101028;0,097887;
0,002913;0,000000;0,002913;
0,001045;0,304765;0,303720;
0,005701;0,423095;0,417395;
0,003203;0,100949;0,097746;
0,003203;0,100949;0,097746;
0,003194;0,099323;0,096129;
0,002390;0,431368;0,428978;
0,003184;0,098570;0,095386;
0,001617;0,437053;0,435437;
0,005760;0,426724;0,420964;
0,005760;0,426724;0,420964;
0,006014;0,450656;0,444642;
0,006014;0,450656;0,444642;
0,002639;0,450656;0,448018;
0,000846;0,267876;0,267030;
0,004363;0,267718;0,263355;
0,000962;0,532491;0,531529;
0,000831;0,532491;0,531661;
0,000920;0,464074;0,463154;
0,005954;0,446205;0,440251;
0,003155;0,529816;0,526661;
0,001043;0,529816;0,528773;
0,006009;0,453140;0,447130;
0,004684;0,551886;0,547202;
0,003209;0,105430;0,102221;
0,001489;0,532240;0,530751;
0,000931;0,530114;0,529184;
0,002292;0,447579;0,445288;
0,001332;0,447579;0,446248;
0,003712;0,554368;0,550656;
0,006065;0,459192;0,453128;
0,006199;0,476065;0,469866;
0,001279;0,476065;0,474786;
0,001970;0,439942;0,437972;
0,001962;0,439942;0,437980;
0,003236;0,104520;0,101284;
0,003236;0,104520;0,101284;
0,000822;0,412923;0,412101;
0,000934;0,415598;0,414664;
0,003261;0,546115;0,542854;
0,005983;0,449780;0,443797;
0,000803;0,546796;0,545994;
0,001432;0,558165;0,556733;
0,006054;0,456453;0,450398;
0,006054;0,456453;0,450398;
0,001395;0,456453;0,455058;
0,001247;0,456453;0,455206;
0,001066;0,114435;0,113368;
0,003274;0,549053;0,545779;
0,005836;0,435492;0,429655;
0,001806;0,105717;0,103911;
0,003458;0,557589;0,554131;
0,001804;0,557589;0,555785;
0,001511;0,557589;0,556079;
0,006338;0,482138;0,475800;
0,006338;0,482138;0,475800;
0,001278;0,428469;0,427191;
0,000933;0,428469;0,427536;
0,003287;0,116024;0,112737;
0,003294;0,115990;0,112696;
0,003294;0,116389;0,113095;
0,003292;0,116381;0,113088;
0,003285;0,116595;0,113310;
0,003291;0,116920;0,113629;
0,003302;0,116821;0,113519;
0,003291;0,116006;0,112715;
0,003291;0,116006;0,112715;
0,003327;0,116911;0,113584;
0,001579;0,114692;0,113113;
0,000905;0,114692;0,113787;
0,003240;0,105502;0,102262;
0,000967;0,115211;0,114244;
0,003217;0,106214;0,102997;
0,005923;0,441852;0,435929;
0,000858;0,543915;0,543058;
0,001130;0,476172;0,475042;
0,003726;0,114134;0,110409;
0,000806;0,542134;0,541328;
0,002119;0,474497;0,472378;
0,002978;0,119025;0,116047;
0,006054;0,458019;0,451965;
0,003292;0,114630;0,111338;
0,003292;0,114630;0,111338;
0,001016;0,114630;0,113614;
0,001118;0,449472;0,448354;
0,000974;0,449472;0,448499;
0,001004;0,481334;0,480330;
0,001380;0,115264;0,113885;
0,006316;0,484353;0,478037;
0,001655;0,484353;0,482698;
0,003305;0,115245;0,111940;
0,000927;0,544825;0,543898;
0,000921;0,544825;0,543903;
0,001018;0,115487;0,114469;
0,004161;0,546764;0,542603;
0,004161;0,546764;0,542603;
0,002058;0,432870;0,430812;
0,000902;0,560130;0,559228;
0,006293;0,478253;0,471960;
0,006356;0,486547;0,480191;
0,003320;0,120158;0,116838;
0,003305;0,119974;0,116669;
0,003335;0,120441;0,117106;
0,003328;0,120441;0,117112;
0,003320;0,120236;0,116916;
0,000895;0,120236;0,119341;
0,006376;0,481994;0,475618;
0,006376;0,481994;0,475618;
0,006315;0,478698;0,472383;
0,006315;0,478698;0,472383;
0,001041;0,109033;0,107992;
0,000809;0,109033;0,108223;
0,003336;0,120834;0,117499;
0,003159;0,108126;0,104968;
0,003837;0,191390;0,187554;
0,003308;0,119270;0,115962;
0,003321;0,555609;0,552288;
0,000840;0,546424;0,545584;
0,005981;0,448869;0,442887;
0,000968;0,120498;0,119529;
0,022490;0,119498;0,097008;
0,006242;0,475230;0,468989;
0,006332;0,480085;0,473754;
0,001168;0,000000;0,001168;
0,006370;0,483653;0,477283;
0,001053;0,121462;0,120409;
0,001093;0,548438;0,547345;
0,003316;0,120125;0,116809;
0,003320;0,120299;0,116978;
0,003322;0,120575;0,117254;
0,003324;0,120453;0,117129;
0,003924;0,548501;0,544576;
0,006048;0,457786;0,451737;
0,001223;0,457786;0,456563;
0,005884;0,442952;0,437068;
0,003370;0,550013;0,546643;
0,005911;0,441216;0,435305;
0,005911;0,441216;0,435305;
0,006343;0,483107;0,476763;
0,005874;0,438483;0,432610;
0,006162;0,467680;0,461518;
0,002055;0,436391;0,434336;
0,001031;0,121191;0,120160;
0,000824;0,000000;0,000824;
0,006339;0,481278;0,474939;
0,006339;0,481278;0,474939;
0,001096;0,556025;0,554929;
0,006245;0,473023;0,466778;
0,006082;0,462473;0,456391;
0,006263;0,480517;0,474253;
0,000813;0,419776;0,418963;
0,004881;0,556693;0,551812;
0,000934;0,546058;0,545125;
0,000817;0,420244;0,419427;
0,002294;0,421665;0,419370;
0,000925;0,194113;0,193188;
0,003410;0,421665;0,418254;
0,000813;0,418520;0,417707;
0,000813;0,419375;0,418561;
0,000865;0,568344;0,567479;
0,006115;0,461138;0,455023;
0,003262;0,112168;0,108906;
0,006021;0,457399;0,451378;
0,006002;0,450855;0,444853;
0,006283;0,462675;0,456392;
0,006464;0,495290;0,488825;
0,006464;0,495290;0,488825;
0,002962;0,194925;0,191963;
0,000817;0,420544;0,419727;
0,000817;0,420544;0,419727;
0,023218;0,420977;0,397759;
0,003830;0,195267;0,191436;
0,000993;0,195267;0,194273;
0,002665;0,420579;0,417915;
0,003833;0,195208;0,191375;
0,003801;0,195208;0,191407;
0,001027;0,420958;0,419931;
0,000814;0,420958;0,420144;
0,000814;0,421065;0,420250;
0,006297;0,113323;0,107026;
0,008498;0,555890;0,547392;
0,003158;0,572417;0,569259;
0,000987;0,544656;0,543669;
0,001656;0,548910;0,547254;
0,006436;0,491691;0,485256;
0,006436;0,491691;0,485256;
0,003468;0,556108;0,552640;
0,005980;0,448796;0,442816;
0,001096;0,570743;0,569647;
0,001026;0,424557;0,423531;
0,001150;0,567148;0,565998;
0,006555;0,501798;0,495242;
0,006555;0,501798;0,495242;
0,002234;0,426845;0,424611;
0,001389;0,449191;0,447802;
0,016770;0,485631;0,468861;
0,007365;0,569930;0,562566;
0,005802;0,432489;0,426687;
0,001171;0,483694;0,482523;
0,004014;0,575774;0,571760;
0,002813;0,570310;0,567497;
0,000947;0,570310;0,569364;
0,000947;0,570310;0,569364;
0,008626;0,553905;0,545279;
0,006548;0,498675;0,492127;
0,006548;0,498675;0,492127;
