Reconstruction Coord z;Map Coord z;Error z;
0,013771;0,396664;0,382893;
0,003156;0,000000;0,003156;
0,010660;0,231368;0,220709;
0,012177;0,000000;0,012177;
0,002997;0,000000;0,002997;
0,010595;0,220080;0,209486;
0,010595;0,220080;0,209486;
0,011328;0,267887;0,256560;
0,012554;-nan(ind);-nan(ind);
0,011406;0,267887;0,256481;
0,011519;0,364959;0,353441;
0,011893;0,287636;0,275743;
0,011802;0,354945;0,343143;
0,011295;0,246812;0,235517;
0,012388;0,404599;0,392211;
0,004090;0,267631;0,263541;
0,003510;0,267631;0,264120;
0,002702;0,267631;0,264929;
0,011214;0,244394;0,233180;
0,011302;0,256655;0,245353;
0,002753;0,256655;0,253901;
0,011385;0,257457;0,246072;
0,003064;0,444705;0,441641;
0,003335;0,445150;0,441815;
0,011851;0,407849;0,395999;
0,003560;0,409447;0,405887;
0,003367;0,412783;0,409416;
0,011355;0,256853;0,245498;
0,022831;0,338349;0,315518;
0,013153;0,461313;0,448160;
0,002812;0,327414;0,324602;
0,005385;0,264955;0,259570;
0,005451;0,477697;0,472246;
0,002707;0,337397;0,334690;
0,012709;0,313993;0,301285;
0,013562;0,000000;0,013562;
0,013628;0,000000;0,013628;
0,003270;0,086526;0,083256;
0,003270;0,086526;0,083256;
0,002833;0,352436;0,349603;
0,016256;0,473250;0,456994;
0,004250;0,481046;0,476795;
0,004227;0,489769;0,485542;
0,004299;0,084477;0,080178;
0,014435;0,000000;0,014435;
0,003257;0,000000;0,003257;
0,005315;0,075577;0,070262;
0,016154;0,449541;0,433387;
0,005758;0,337248;0,331490;
0,003715;0,000000;0,003715;
0,002722;0,065074;0,062352;
0,003420;0,563277;0,559857;
0,003516;-nan(ind);-nan(ind);
0,004574;0,578226;0,573652;
0,002787;0,562831;0,560044;
0,002793;0,570641;0,567849;
0,002983;0,492401;0,489418;
0,002849;0,000000;0,002849;
0,009887;0,150300;0,140413;
0,016892;0,504275;0,487383;
0,009981;0,031162;0,021181;
0,009981;0,031162;0,021181;
0,008874;0,562247;0,553373;
0,003519;0,172929;0,169410;
0,009725;0,000000;0,009725;
0,009601;0,000000;0,009601;
0,009185;0,520850;0,511665;
0,009650;0,000000;0,009650;
0,009650;0,000000;0,009650;
0,003258;0,528935;0,525676;
0,002801;0,481118;0,478317;
0,016518;0,497437;0,480919;
0,023046;0,679816;0,656770;
0,003771;0,679816;0,676044;
0,016547;0,684745;0,668198;
0,009391;0,074965;0,065574;
0,008988;0,153849;0,144861;
0,022910;0,680257;0,657347;
0,022910;0,680257;0,657347;
0,005098;0,279148;0,274050;
0,022451;0,665955;0,643504;
0,002932;0,683648;0,680716;
0,005872;0,679580;0,673707;
0,009203;0,449524;0,440321;
0,004604;0,445308;0,440705;
0,003265;0,067030;0,063765;
0,022565;0,670111;0,647547;
0,022565;0,670111;0,647547;
0,022759;0,673067;0,650308;
0,007608;0,457725;0,450117;
0,002963;0,457725;0,454762;
0,010736;0,348680;0,337944;
0,008103;0,061051;0,052948;
0,007995;0,162118;0,154123;
0,008243;0,058631;0,050388;
0,007060;0,058631;0,051571;
0,011266;0,242864;0,231598;
0,019584;0,590886;0,571302;
0,004401;0,590886;0,586485;
0,002848;0,006141;0,003293;
0,010434;0,334482;0,324048;
0,010214;0,056803;0,046590;
0,023297;0,686142;0,662845;
0,023799;0,687720;0,663921;
0,002803;0,687720;0,684917;
0,002866;0,624038;0,621172;
0,007495;0,008172;0,000677;
0,007495;0,008172;0,000677;
0,003131;0,249777;0,246646;
0,002893;0,120399;0,117506;
0,010893;0,236646;0,225753;
0,002868;0,701986;0,699118;
0,010936;0,236646;0,225710;
0,019293;0,580293;0,561000;
0,019293;0,580293;0,561000;
0,007686;0,473924;0,466238;
0,019830;0,596557;0,576727;
0,013870;0,577331;0,563461;
0,024148;0,705910;0,681762;
0,011245;0,262199;0,250954;
0,019725;0,590730;0,571005;
0,004427;0,000000;0,004427;
0,019565;0,587320;0,567756;
0,023875;0,730730;0,706855;
0,003615;0,450093;0,446478;
0,003222;0,556266;0,553043;
0,025583;0,735548;0,709966;
0,003929;0,000000;0,003929;
0,038387;0,594136;0,555749;
0,066663;0,692283;0,625620;
0,003148;0,692283;0,689136;
0,007660;0,448037;0,440377;
0,011842;0,470073;0,458231;
0,019832;0,596718;0,576886;
0,019832;0,596718;0,576886;
0,023162;0,684712;0,661550;
0,008843;0,106011;0,097168;
0,003395;0,595331;0,591936;
0,002865;0,564722;0,561856;
0,003625;0,647918;0,644293;
0,006936;0,453551;0,446614;
0,006101;0,453551;0,447450;
0,002952;0,453551;0,450599;
0,019958;0,600677;0,580719;
0,003503;0,629300;0,625797;
0,004755;0,468667;0,463913;
0,003409;0,457103;0,453694;
0,003374;0,279329;0,275955;
0,019995;0,602451;0,582457;
0,004659;0,000000;0,004659;
0,008013;0,459177;0,451164;
0,002806;0,000000;0,002806;
0,003761;0,458476;0,454714;
0,007314;0,490856;0,483542;
0,002889;0,603119;0,600230;
0,002924;0,607516;0,604592;
0,002924;0,607516;0,604592;
0,004853;0,460408;0,455555;
0,002816;0,460408;0,457592;
0,003040;0,650936;0,647896;
0,003019;0,462467;0,459447;
0,020681;0,630394;0,609713;
0,020334;0,609662;0,589328;
0,005061;0,448225;0,443164;
0,021749;0,651516;0,629767;
0,021749;0,651516;0,629767;
0,021749;0,651516;0,629767;
0,017873;0,534162;0,516289;
0,017873;0,534162;0,516289;
0,023365;0,000000;0,023365;
0,023240;0,753188;0,729948;
0,127567;0,505232;0,377666;
0,008628;0,092869;0,084240;
0,017380;0,540481;0,523101;
0,005113;0,613384;0,608271;
0,003028;0,612768;0,609741;
0,012044;0,758483;0,746439;
0,002959;0,758483;0,755524;
0,004388;0,000000;0,004388;
0,028978;0,000000;0,028978;
0,020573;0,612744;0,592171;
0,016317;0,500211;0,483894;
0,005560;0,447048;0,441488;
0,007525;0,620907;0,613382;
0,003378;0,662162;0,658784;
0,003913;0,662183;0,658270;
0,003914;0,661087;0,657173;
0,003648;0,628307;0,624660;
0,008530;0,090143;0,081613;
0,021209;0,638806;0,617597;
0,020914;0,627318;0,606403;
0,005255;0,193829;0,188574;
0,003904;0,193829;0,189925;
0,008583;0,091258;0,082675;
0,016262;0,458730;0,442468;
0,002881;0,448678;0,445797;
0,021585;0,641650;0,620066;
0,002996;0,445314;0,442318;
0,016431;0,488421;0,471990;
0,002977;0,630274;0,627297;
0,022701;0,660984;0,638283;
0,003506;0,502960;0,499454;
0,020793;0,629102;0,608309;
0,003961;0,692643;0,688681;
0,662250;0,104290;0,557960;
0,022497;0,667614;0,645117;
0,022497;0,667614;0,645117;
0,005241;0,620124;0,614883;
0,004646;0,279754;0,275108;
0,003060;0,169970;0,166910;
0,017215;0,000000;0,017215;
0,006023;0,000000;0,006023;
0,005025;0,104594;0,099569;
0,021911;0,653415;0,631504;
0,005002;0,263730;0,258728;
0,005880;0,450719;0,444839;
0,003958;0,450719;0,446761;
0,009794;0,166920;0,157126;
0,005796;0,452290;0,446494;
0,002857;0,000000;0,002857;
0,015492;0,451245;0,435753;
0,003479;0,497996;0,494517;
0,003246;0,231838;0,228592;
0,009803;0,159550;0,149746;
0,009803;0,159550;0,149746;
0,015857;0,464079;0,448222;
0,015862;0,293935;0,278073;
0,009538;0,293935;0,284397;
0,002923;0,000000;0,002923;
0,002996;0,457127;0,454131;
0,002950;0,457127;0,454177;
0,003236;0,098932;0,095695;
0,003944;0,147777;0,143833;
0,014484;0,000000;0,014484;
0,000261;0,000000;0,000261;
0,021209;0,000000;0,021209;
0,002943;0,451841;0,448899;
0,022648;0,786315;0,763667;
0,017740;0,527833;0,510093;
0,004474;0,000000;0,004474;
0,067794;0,461503;0,393708;
0,007089;0,242019;0,234930;
0,003134;0,242019;0,238885;
0,000230;0,503027;0,502796;
0,015674;0,461245;0,445571;
0,025236;0,786577;0,761342;
0,004031;0,000000;0,004031;
0,010092;0,112681;0,102590;
0,015855;0,461941;0,446086;
0,012889;0,532632;0,519743;
0,002898;0,532632;0,529734;
0,002940;0,466040;0,463100;
0,015886;0,467759;0,451873;
0,005553;0,534570;0,529018;
0,002982;0,467603;0,464621;
0,022382;0,269404;0,247021;
0,023043;0,000000;0,023043;
0,023043;0,000000;0,023043;
0,003188;0,181576;0,178388;
0,009811;0,204897;0,195086;
0,004614;0,710852;0,706238;
0,006530;0,213098;0,206567;
0,023651;0,000000;0,023651;
0,003532;0,261093;0,257561;
0,002894;0,000000;0,002894;
0,011442;0,504478;0,493035;
0,010846;0,713150;0,702304;
0,008584;0,216720;0,208136;
0,023902;0,698915;0,675013;
0,012657;0,510136;0,497480;
0,023973;0,000000;0,023973;
0,011195;0,255101;0,243907;
0,009362;0,218880;0,209518;
0,024111;0,701947;0,677836;
0,011301;0,255581;0,244279;
0,011054;0,277195;0,266141;
0,003120;0,807941;0,804821;
0,024152;0,703410;0,679259;
0,004347;0,288722;0,284375;
0,003040;0,000000;0,003040;
0,022414;0,687585;0,665170;
0,008253;0,225593;0,217340;
0,003123;0,820948;0,817825;
0,003385;0,681992;0,678607;
0,003385;0,681992;0,678607;
0,005492;0,175325;0,169833;
0,029027;0,818711;0,789684;
0,010629;0,213893;0,203265;
0,005876;0,213893;0,208017;
0,003302;0,000000;0,003302;
0,015527;0,497288;0,481761;
0,010188;0,263666;0,253478;
0,003051;0,689033;0,685982;
0,004430;0,596871;0,592441;
0,003086;0,599959;0,596873;
0,023157;0,686850;0,663693;
0,005694;0,235951;0,230257;
0,023362;0,692593;0,669232;
0,023362;0,692593;0,669232;
0,003179;0,331567;0,328388;
0,009894;0,000000;0,009894;
0,005785;0,329737;0,323951;
0,025994;0,000000;0,025994;
0,004020;0,576041;0,572021;
0,003072;0,692606;0,689534;
0,004532;0,336333;0,331802;
0,003290;0,336333;0,333043;
0,023810;0,000000;0,023810;
0,023713;0,699886;0,676174;
0,030561;0,278270;0,247709;
0,030561;0,278270;0,247709;
0,024955;0,000000;0,024955;
0,024007;0,707206;0,683199;
0,006205;0,193421;0,187216;
0,003142;0,591624;0,588482;
0,008014;0,222690;0,214676;
0,003186;0,189810;0,186624;
0,010796;0,327903;0,317107;
0,004670;0,577519;0,572849;
0,009724;0,578115;0,568391;
0,018761;0,278758;0,259997;
0,010835;0,226849;0,216014;
0,010835;0,226849;0,216014;
0,013867;0,573966;0,560099;
0,005742;0,573966;0,568224;
0,024253;0,726698;0,702445;
0,007369;0,215318;0,207949;
0,002938;0,204244;0,201306;
0,026592;0,732133;0,705542;
0,024115;-nan(ind);-nan(ind);
0,003239;0,210499;0,207261;
0,010798;0,229563;0,218765;
0,011000;0,212103;0,201104;
0,003769;0,212103;0,208334;
0,015772;0,514131;0,498359;
0,010698;0,225900;0,215202;
0,026690;0,755990;0,729300;
0,012419;0,214976;0,202557;
0,010912;0,237016;0,226104;
0,003094;0,237016;0,233922;
0,024445;0,000000;0,024445;
0,024445;0,000000;0,024445;
0,025381;0,737823;0,712441;
0,020288;0,216095;0,195808;
0,006826;0,230800;0,223975;
0,027674;0,736917;0,709244;
0,003177;0,700294;0,697117;
0,003710;0,224019;0,220309;
0,026655;0,752381;0,725725;
0,007094;0,503737;0,496643;
0,010877;0,240630;0,229753;
0,010889;0,000000;0,010889;
0,010889;0,000000;0,010889;
0,023599;0,758250;0,734650;
0,011042;0,000000;0,011042;
0,003883;0,379623;0,375740;
0,010875;0,230498;0,219622;
0,010875;0,230498;0,219622;
0,023688;0,910471;0,886783;
0,000618;0,219937;0,219320;
0,023460;0,000000;0,023460;
0,011041;0,223241;0,212200;
0,023683;0,694387;0,670703;
0,003889;0,160126;0,156236;
0,004740;0,272558;0,267818;
0,003304;0,756012;0,752708;
0,000419;0,756012;0,755593;
0,024806;0,716788;0,691982;
0,011011;0,271086;0,260074;
0,024189;0,782973;0,758784;
0,030179;0,870508;0,840329;
