Reconstruction Coord z;Map Coord z;Error z;
0,028265;0,169684;0,141419;
0,028930;0,281554;0,252625;
0,008061;0,000000;0,008061;
0,028719;0,177509;0,148790;
0,008801;0,234482;0,225681;
0,029282;0,187254;0,157971;
0,028895;0,211305;0,182410;
0,029629;0,214126;0,184497;
0,028692;0,206002;0,177310;
0,027598;0,110754;0,083155;
0,071191;0,141439;0,070248;
0,028840;0,190188;0,161348;
0,028840;0,190188;0,161348;
0,028779;0,188976;0,160196;
0,027806;0,181412;0,153606;
0,011081;0,181412;0,170332;
0,026083;0,140548;0,114465;
0,030734;0,257796;0,227062;
0,082218;0,112433;0,030215;
0,028763;0,177681;0,148918;
0,028763;0,177681;0,148918;
0,028619;0,211061;0,182442;
0,028619;0,211061;0,182442;
0,007291;0,000000;0,007291;
0,007682;0,404121;0,396439;
0,028426;0,177625;0,149199;
0,030510;0,256269;0,225759;
0,008109;0,256269;0,248160;
0,012780;0,206063;0,193283;
0,008138;0,206063;0,197925;
0,055097;0,000000;0,055097;
0,026887;0,116278;0,089391;
0,030899;0,257580;0,226681;
0,008472;0,257580;0,249108;
0,030853;0,259644;0,228792;
0,029643;0,227130;0,197488;
0,028616;0,185349;0,156733;
0,030068;0,242460;0,212392;
0,008474;0,167924;0,159450;
0,030990;0,343299;0,312309;
0,028762;0,186133;0,157372;
0,028762;0,186133;0,157372;
0,013134;0,252269;0,239135;
0,010054;0,148835;0,138782;
0,028816;0,193154;0,164338;
0,029762;0,337224;0,307462;
0,029113;0,194757;0,165644;
0,028767;0,201871;0,173104;
0,029286;0,216021;0,186735;
0,021297;0,204143;0,182846;
0,030987;0,360011;0,329024;
0,026496;0,199956;0,173460;
0,010301;0,199956;0,189655;
0,028148;0,206886;0,178738;
0,027145;0,128955;0,101810;
0,029027;0,203244;0,174217;
0,009058;0,223063;0,214004;
0,030092;0,207892;0,177800;
0,029018;0,203452;0,174434;
0,029449;0,213238;0,183789;
0,027990;0,167732;0,139742;
0,009750;0,195482;0,185732;
0,029536;0,217703;0,188167;
0,031379;0,205521;0,174142;
0,007895;0,218434;0,210539;
0,029112;0,000000;0,029112;
0,030011;0,220857;0,190846;
0,014142;0,217899;0,203757;
0,030249;0,000000;0,030249;
0,010580;0,207299;0,196719;
0,010445;0,207299;0,196854;
0,008866;0,370543;0,361677;
0,007673;0,370543;0,362871;
0,029680;0,223427;0,193746;
0,050115;0,212987;0,162872;
0,029624;0,209702;0,180078;
0,027472;0,224920;0,197448;
0,009131;0,209679;0,200548;
0,030540;0,000000;0,030540;
0,031014;0,246206;0,215193;
0,009242;0,000000;0,009242;
0,012672;0,217319;0,204647;
0,029085;0,209595;0,180510;
0,029837;0,227292;0,197454;
0,007720;0,138078;0,130358;
0,029516;0,215728;0,186212;
0,464229;0,202601;0,261628;
0,029475;0,214524;0,185048;
0,027904;0,000000;0,027904;
0,030098;0,222583;0,192484;
0,029623;0,217946;0,188323;
0,029488;0,223796;0,194308;
0,030432;0,000000;0,030432;
0,030432;0,000000;0,030432;
0,059887;0,141094;0,081207;
0,027467;0,139701;0,112234;
0,029840;0,230426;0,200587;
0,029318;0,223035;0,193717;
0,029595;0,217235;0,187641;
0,030271;0,247022;0,216751;
0,029200;0,206358;0,177157;
0,025311;0,219172;0,193861;
0,008456;0,219172;0,210716;
0,030676;0,000000;0,030676;
0,015042;0,223325;0,208283;
0,029495;0,219750;0,190254;
0,029801;0,223906;0,194105;
0,029423;0,000000;0,029423;
0,029423;0,000000;0,029423;
0,029278;0,209694;0,180416;
0,030169;0,377292;0,347123;
0,030214;0,000000;0,030214;
0,030147;0,237147;0,207000;
0,012400;0,237147;0,224747;
0,013519;0,000000;0,013519;
0,029309;0,234591;0,205282;
0,029987;0,235357;0,205369;
0,029428;0,211815;0,182387;
0,028886;0,189085;0,160199;
0,010478;0,228869;0,218391;
0,008439;0,228869;0,220430;
0,027695;0,149140;0,121446;
0,029249;0,194789;0,165540;
0,029602;0,383309;0,353707;
0,030135;0,234514;0,204379;
0,008801;0,185041;0,176240;
0,029164;0,187040;0,157875;
0,019179;0,187040;0,167860;
0,029391;0,194505;0,165114;
0,029973;0,236120;0,206147;
0,029520;0,208790;0,179270;
0,009576;0,194255;0,184678;
0,007200;0,205097;0,197897;
0,008573;0,242205;0,233633;
0,030331;0,239954;0,209623;
0,041479;0,195130;0,153651;
0,008811;0,463011;0,454199;
0,009280;0,262179;0,252898;
0,007973;0,262179;0,254205;
0,030006;0,241238;0,211232;
0,009193;0,000000;0,009193;
0,029210;0,000000;0,029210;
0,031108;0,263033;0,231925;
0,030025;0,241760;0,211735;
0,178828;0,000000;0,178828;
0,019826;0,253598;0,233772;
0,029723;0,000000;0,029723;
0,030477;0,249326;0,218849;
0,029541;0,216848;0,187306;
0,030461;0,246181;0,215720;
0,027943;0,223152;0,195209;
0,027943;0,223152;0,195209;
0,030858;0,231589;0,200731;
0,011328;0,228171;0,216843;
0,030392;0,251253;0,220861;
0,014693;0,210286;0,195593;
0,011387;0,270977;0,259590;
0,029959;0,226965;0,197006;
0,030516;0,250578;0,220062;
0,031327;0,271953;0,240626;
0,033656;0,349942;0,316285;
0,030683;0,252606;0,221923;
0,034207;0,000000;0,034207;
0,029253;0,209703;0,180450;
0,034352;0,363404;0,329052;
0,029395;0,209270;0,179876;
0,029951;0,217037;0,187086;
0,029951;0,217037;0,187086;
0,036931;0,252318;0,215387;
0,011799;0,220680;0,208881;
0,028151;0,179143;0,150992;
0,032563;0,275995;0,243431;
0,030398;0,231528;0,201130;
0,039535;0,273980;0,234445;
0,032314;0,421703;0,389390;
0,032371;0,425356;0,392985;
0,009410;0,425356;0,415945;
0,032081;0,275834;0,243753;
0,028729;0,173363;0,144634;
0,017459;0,232717;0,215258;
0,007760;0,421046;0,413286;
0,007729;0,421046;0,413316;
0,007697;0,259995;0,252298;
0,030935;0,260359;0,229424;
0,045304;0,429630;0,384326;
0,030586;0,242215;0,211629;
0,029458;0,221977;0,192519;
0,017975;0,191277;0,173302;
0,007903;0,181489;0,173585;
0,030087;0,228397;0,198310;
0,030158;0,228728;0,198570;
0,029340;0,205844;0,176504;
0,030299;0,229534;0,199235;
0,007235;0,432321;0,425086;
0,030102;0,235980;0,205878;
0,008427;0,238869;0,230443;
0,030784;0,259144;0,228360;
0,031445;0,274830;0,243384;
0,009675;0,194373;0,184698;
0,030832;0,257419;0,226587;
0,030958;0,000000;0,030958;
0,009693;0,000000;0,009693;
0,035663;0,256130;0,220467;
0,008865;0,240678;0,231813;
0,035648;0,258331;0,222683;
0,015704;0,258365;0,242661;
0,030089;0,209839;0,179750;
0,028820;0,191246;0,162426;
0,030894;0,267121;0,236227;
0,007425;0,190368;0,182943;
0,014733;0,260447;0,245714;
0,029703;0,233935;0,204232;
0,030645;0,340520;0,309876;
0,030028;0,235734;0,205706;
0,031102;0,270736;0,239634;
0,041327;0,182179;0,140852;
0,009984;0,443589;0,433606;
0,008290;0,252258;0,243968;
0,030839;0,263207;0,232368;
0,031164;0,264281;0,233117;
0,014890;0,261373;0,246484;
0,029285;0,205959;0,176674;
0,029285;0,205959;0,176674;
0,029300;0,205866;0,176566;
0,031547;0,277311;0,245764;
0,031073;0,275040;0,243967;
0,034673;0,000000;0,034673;
0,032507;0,000000;0,032507;
0,011435;0,272341;0,260905;
0,031168;0,275275;0,244107;
0,015371;0,269680;0,254309;
0,030780;0,259874;0,229094;
0,029366;0,216970;0,187604;
0,029366;0,216970;0,187604;
0,030767;0,260908;0,230141;
0,030255;0,256714;0,226459;
0,012152;0,259385;0,247233;
0,031089;0,266069;0,234980;
0,009262;0,237495;0,228233;
0,030983;0,271843;0,240860;
0,031693;0,272256;0,240563;
0,032707;0,256782;0,224075;
0,030922;0,269880;0,238958;
0,035864;0,000000;0,035864;
0,029102;0,218304;0,189202;
0,008373;0,218304;0,209931;
0,030515;0,000000;0,030515;
0,011168;0,337164;0,325996;
0,031408;0,284390;0,252982;
0,031115;0,277560;0,246446;
0,032684;0,330920;0,298236;
0,031460;0,280056;0,248596;
0,031460;0,280056;0,248596;
0,031313;0,269614;0,238302;
0,031313;0,269614;0,238302;
0,031119;0,270828;0,239709;
0,031119;0,270828;0,239709;
0,009944;0,000000;0,009944;
