Reconstruction Coord z;Map Coord z;Error z;
0,000724;0,001044;0,000320;
0,001453;0,003558;0,002104;
0,000567;0,444808;0,444240;
0,001962;0,358492;0,356530;
0,001112;0,358492;0,357380;
0,001182;0,380790;0,379608;
0,000837;0,380790;0,379953;
0,001389;0,526410;0,525021;
0,000657;0,555961;0,555304;
0,001386;0,007928;0,006543;
0,002100;0,514822;0,512722;
0,001481;0,082928;0,081447;
0,001481;0,082928;0,081447;
0,002127;0,527773;0,525646;
0,001483;0,654479;0,652996;
0,000603;0,540093;0,539490;
0,001473;0,079977;0,078505;
0,001473;0,079977;0,078505;
0,002145;0,524415;0,522269;
0,000970;0,440113;0,439143;
0,001791;0,278448;0,276657;
0,000925;0,278448;0,277523;
0,002412;0,548681;0,546269;
0,000691;0,282370;0,281680;
0,000610;0,282370;0,281760;
0,001683;0,530184;0,528501;
0,001480;0,285956;0,284477;
0,000712;0,285956;0,285245;
0,000664;0,397637;0,396973;
0,002275;0,485063;0,482788;
0,001815;0,288923;0,287108;
0,001815;0,288923;0,287108;
0,003223;0,753593;0,750370;
0,002218;0,461953;0,459735;
0,001984;0,552667;0,550683;
0,002273;0,479906;0,477633;
0,000955;0,496154;0,495200;
0,000658;0,495126;0,494468;
0,000611;0,495126;0,494515;
0,000578;0,495126;0,494548;
0,000650;0,661146;0,660496;
0,001833;0,368955;0,367122;
0,000748;0,368955;0,368207;
0,002678;0,514630;0,511951;
0,002354;0,564598;0,562244;
0,000594;0,564598;0,564005;
0,001853;0,000000;0,001853;
0,000748;0,312791;0,312042;
0,000605;0,312791;0,312186;
0,000648;0,312679;0,312031;
0,005706;0,550084;0,544378;
0,000809;0,314334;0,313524;
0,000596;0,314334;0,313737;
0,001142;0,692300;0,691158;
0,002316;0,536603;0,534286;
0,003281;0,712985;0,709704;
0,002187;0,752032;0,749844;
0,001105;0,767722;0,766617;
0,000726;0,681469;0,680743;
0,000880;0,435592;0,434712;
0,001874;0,000000;0,001874;
0,000652;0,776684;0,776032;
0,001890;0,358047;0,356157;
0,000594;0,683829;0,683235;
0,000728;0,576468;0,575741;
0,001074;0,429276;0,428201;
0,000603;0,429276;0,428673;
0,000671;0,533337;0,532666;
0,000579;0,556572;0,555992;
0,000717;0,592874;0,592157;
0,000578;0,737941;0,737363;
0,003340;0,723140;0,719800;
0,003340;0,723140;0,719800;
0,000766;0,323340;0,322574;
0,001131;0,614321;0,613190;
0,002698;0,662237;0,659539;
0,020515;0,516328;0,495813;
0,002583;0,599880;0,597297;
0,001114;0,622038;0,620924;
0,001144;0,652641;0,651497;
0,000611;0,610478;0,609867;
0,000623;0,712581;0,711958;
0,000771;0,694650;0,693880;
0,000755;0,694650;0,693896;
0,001873;0,321410;0,319537;
0,001873;0,321410;0,319537;
0,002095;0,416407;0,414312;
0,000864;0,624018;0,623154;
0,001480;0,079388;0,077908;
0,001096;0,605635;0,604539;
0,000772;0,326119;0,325346;
0,000772;0,326119;0,325346;
0,000601;0,593640;0,593039;
0,001032;0,325258;0,324227;
0,001032;0,325258;0,324227;
0,003968;0,721089;0,717121;
0,002212;0,328014;0,325802;
0,001840;0,328014;0,326174;
0,000587;0,368178;0,367590;
0,002309;0,331465;0,329155;
0,002309;0,331465;0,329155;
0,002667;0,583286;0,580620;
0,002624;0,582703;0,580080;
0,002475;0,612918;0,610442;
0,000642;0,549950;0,549308;
0,002058;0,502059;0,500001;
0,001929;0,437451;0,435522;
0,000576;0,561855;0,561278;
0,001442;0,051661;0,050220;
0,001442;0,051661;0,050220;
0,002073;0,407697;0,405624;
0,002073;0,407697;0,405624;
0,001138;0,051770;0,050632;
0,001138;0,051770;0,050632;
0,002031;0,438197;0,436166;
0,001914;0,341274;0,339360;
0,000811;0,051138;0,050328;
0,000811;0,051138;0,050328;
0,001056;0,614230;0,613173;
0,001275;0,054511;0,053236;
0,001261;0,054511;0,053251;
0,001920;0,344547;0,342628;
0,000620;0,344547;0,343927;
0,000689;0,738944;0,738255;
0,001939;0,356221;0,354282;
0,001801;0,431597;0,429796;
0,001284;0,058776;0,057492;
0,000803;0,058776;0,057972;
0,001150;0,433682;0,432532;
0,002590;0,571178;0,568588;
0,000657;0,507607;0,506950;
0,000616;0,054486;0,053869;
0,000616;0,054486;0,053869;
0,014267;0,348893;0,334626;
0,000804;0,348893;0,348089;
0,002647;0,578408;0,575761;
0,002597;0,560856;0,558259;
0,004977;0,062745;0,057768;
0,001621;0,062745;0,061124;
0,000637;0,056461;0,055824;
0,000799;0,616346;0,615546;
0,001125;0,000000;0,001125;
0,001987;0,354047;0,352060;
0,002799;0,065578;0,062780;
0,001160;0,065578;0,064419;
0,000670;0,560328;0,559658;
0,000589;0,578558;0,577968;
0,001156;0,436153;0,434997;
0,002555;0,560987;0,558432;
0,000610;0,058196;0,057586;
0,001915;0,528240;0,526325;
0,000661;0,359948;0,359287;
0,000914;0,330515;0,329601;
0,000615;0,056448;0,055833;
0,000789;0,506527;0,505739;
0,000632;0,064405;0,063774;
0,001901;0,763185;0,761284;
0,000636;0,622230;0,621594;
0,002001;0,516227;0,514226;
0,000583;0,516227;0,515644;
0,001900;0,334422;0,332522;
0,001900;0,334422;0,332522;
0,002493;0,547905;0,545412;
0,002549;0,566421;0,563872;
0,000621;0,071207;0,070586;
0,000621;0,071207;0,070586;
0,000582;0,547419;0,546837;
0,001932;0,411721;0,409788;
0,000590;0,341204;0,340614;
0,000590;0,341204;0,340614;
0,001069;0,616872;0,615803;
0,000771;0,374444;0,373672;
0,002010;0,368776;0,366766;
0,000772;0,374269;0,373497;
0,000811;0,544666;0,543856;
0,000608;0,372049;0,371441;
0,000622;0,081512;0,080889;
0,000820;0,539509;0,538689;
0,000632;0,639736;0,639104;
0,000581;0,562163;0,561582;
0,001079;0,070682;0,069603;
0,000964;0,543038;0,542074;
0,000720;0,543038;0,542319;
0,000601;0,586474;0,585873;
0,001701;0,701358;0,699657;
0,001709;0,701358;0,699649;
0,001717;0,767286;0,765569;
0,000575;0,000000;0,000575;
0,000588;0,434072;0,433484;
0,000667;0,633560;0,632893;
0,000760;0,354863;0,354103;
0,001919;0,395374;0,393456;
0,000600;0,395374;0,394774;
0,000624;0,609851;0,609227;
0,000718;0,751800;0,751083;
0,000581;0,751800;0,751220;
0,001734;0,815645;0,813912;
0,000601;0,355871;0,355270;
0,000723;0,515296;0,514573;
0,000585;0,515296;0,514711;
0,000642;0,620892;0,620250;
0,001613;0,254791;0,253178;
0,000862;0,091605;0,090744;
0,000600;0,554241;0,553641;
0,000583;0,256470;0,255887;
0,000720;0,573044;0,572324;
0,001619;0,253075;0,251456;
0,000668;0,879626;0,878958;
0,000606;0,616857;0,616251;
0,000577;0,248182;0,247605;
0,000609;0,256001;0,255392;
0,001732;0,246032;0,244301;
0,001748;0,253895;0,252147;
0,001031;0,649349;0,648318;
0,001720;0,243234;0,241513;
0,000790;0,552044;0,551255;
0,000639;0,428853;0,428214;
0,000639;0,428853;0,428214;
0,000628;0,709231;0,708603;
0,001747;0,251066;0,249319;
0,001768;0,254767;0,252998;
0,000845;0,254767;0,253922;
0,000589;0,717522;0,716932;
0,003826;0,081683;0,077857;
0,001712;0,248836;0,247124;
0,001712;0,248836;0,247124;
0,000724;0,567977;0,567252;
0,000617;0,248836;0,248218;
0,000609;0,248836;0,248227;
0,000765;0,393641;0,392876;
0,002029;0,540222;0,538193;
0,002029;0,540222;0,538193;
0,001822;0,280658;0,278835;
0,001184;0,385721;0,384537;
0,000798;0,238624;0,237826;
0,000589;0,480765;0,480176;
0,002270;0,481170;0,478901;
0,000681;0,481170;0,480489;
0,000856;0,550939;0,550083;
0,000844;0,550939;0,550095;
0,000774;0,384102;0,383328;
0,001746;0,260443;0,258697;
0,000647;0,283427;0,282780;
0,002032;0,398460;0,396428;
0,000646;0,426847;0,426201;
0,001153;0,255808;0,254655;
0,000603;0,256546;0,255944;
0,000646;0,517711;0,517065;
0,000585;0,257441;0,256856;
0,000587;0,540749;0,540162;
0,000802;0,395629;0,394827;
0,000600;0,395629;0,395029;
0,000585;0,254750;0,254165;
0,002270;0,250126;0,247855;
0,001749;0,259506;0,257757;
0,001958;0,291907;0,289949;
0,001986;0,379281;0,377294;
0,000577;0,249946;0,249369;
0,000586;0,391273;0,390687;
0,001795;0,296860;0,295066;
0,000780;0,259204;0,258424;
0,001851;0,455958;0,454107;
0,000595;0,253426;0,252832;
0,002061;0,438430;0,436368;
0,001948;0,361890;0,359942;
0,001772;0,253680;0,251908;
0,000902;0,253680;0,252778;
0,002177;0,701146;0,698969;
0,000649;0,701146;0,700497;
0,001727;0,247441;0,245714;
0,000648;0,300174;0,299526;
0,002002;0,381038;0,379036;
0,000583;0,419338;0,418755;
0,000722;0,386805;0,386083;
0,002047;0,392674;0,390627;
0,000629;0,083514;0,082885;
0,000603;0,703293;0,702690;
0,001853;0,304032;0,302179;
0,001108;0,379775;0,378666;
0,000656;0,379775;0,379118;
0,000630;0,657573;0,656943;
0,002286;0,667044;0,664757;
0,001912;0,377157;0,375245;
