Reconstruction Coord z;Map Coord z;Error z;
0,009149;0,759707;0,750558;
0,000701;0,765360;0,764659;
0,009007;0,760458;0,751452;
0,000833;0,432001;0,431168;
0,000694;0,000000;0,000694;
0,003430;0,000000;0,003430;
0,000931;0,760336;0,759404;
0,000750;0,759449;0,758699;
0,000750;0,759905;0,759155;
0,003369;0,349948;0,346579;
0,003066;0,354631;0,351565;
0,003403;0,358689;0,355285;
0,000774;0,440969;0,440194;
0,003383;0,351601;0,348218;
0,003383;0,351601;0,348218;
0,000891;0,357530;0,356639;
0,000929;0,353862;0,352933;
0,000869;0,000000;0,000869;
0,000754;0,000000;0,000754;
0,000970;0,448894;0,447924;
0,000697;0,448894;0,448197;
0,000689;0,400303;0,399614;
0,002986;0,355563;0,352577;
0,000726;0,472007;0,471280;
0,000973;0,351194;0,350221;
0,004192;0,472105;0,467913;
0,003408;0,354017;0,350609;
0,000776;0,447482;0,446706;
0,000743;0,475648;0,474905;
0,000776;0,447758;0,446982;
0,002357;0,177366;0,175009;
0,002565;0,179730;0,177164;
0,001117;0,179730;0,178613;
0,003389;0,447598;0,444209;
0,003375;0,444860;0,441485;
0,001768;0,472309;0,470541;
0,000933;0,472309;0,471376;
0,002991;0,176116;0,173125;
0,002985;0,189894;0,186909;
0,003361;0,443413;0,440051;
0,000828;0,000000;0,000828;
0,000689;0,241365;0,240677;
0,001113;0,000000;0,001113;
0,002513;0,165696;0,163183;
0,002513;0,165696;0,163183;
0,002517;0,180278;0,177761;
0,004173;0,472178;0,468005;
0,003085;0,472178;0,469093;
0,003654;0,000000;0,003654;
0,000692;0,117278;0,116587;
0,006169;0,185707;0,179538;
0,007243;0,697736;0,690493;
0,007173;0,699786;0,692612;
0,001877;0,662719;0,660842;
0,002539;0,169540;0,167000;
0,000753;0,169540;0,168786;
0,001227;0,639637;0,638409;
0,000937;0,185762;0,184825;
0,001382;0,641011;0,639629;
0,000732;0,641011;0,640279;
0,002471;0,147787;0,145316;
0,007204;0,686609;0,679405;
0,000723;0,686609;0,685886;
0,001169;0,193191;0,192022;
0,002502;0,160259;0,157757;
0,002518;0,172197;0,169680;
0,002518;0,172197;0,169680;
0,000709;0,693259;0,692550;
0,004229;0,472268;0,468039;
0,004229;0,472268;0,468039;
0,002528;0,165270;0,162742;
0,002528;0,165270;0,162742;
0,000910;0,200614;0,199704;
0,006506;0,651518;0,645012;
0,001169;0,174277;0,173108;
0,001035;0,174277;0,173242;
0,002524;0,163284;0,160760;
0,001210;0,189136;0,187926;
0,000962;0,177314;0,176352;
0,006992;0,683069;0,676077;
0,002574;0,194954;0,192380;
0,002574;0,194954;0,192380;
0,004241;0,472630;0,468389;
0,001091;0,351394;0,350303;
0,002836;0,472585;0,469749;
0,000991;0,472585;0,471593;
0,005457;0,153530;0,148072;
0,002500;0,150366;0,147866;
0,002437;0,472539;0,470102;
0,002437;0,472539;0,470102;
0,001225;0,218631;0,217406;
0,007233;0,693719;0,686486;
0,002487;0,198453;0,195966;
0,004206;0,472109;0,467903;
0,004206;0,472109;0,467903;
0,002277;0,472109;0,469832;
0,000717;0,242191;0,241474;
0,004082;0,458463;0,454381;
0,002397;0,194906;0,192509;
0,002378;0,184290;0,181911;
0,004115;0,458892;0,454776;
0,002472;0,145773;0,143301;
0,004223;0,472568;0,468345;
0,001100;0,458540;0,457440;
0,001100;0,458540;0,457440;
0,002444;0,142695;0,140250;
0,000714;0,142695;0,141981;
0,000781;0,133424;0,132643;
0,000718;0,191383;0,190666;
0,000960;0,173794;0,172833;
0,002497;0,202248;0,199751;
0,001124;0,000000;0,001124;
0,002457;0,162314;0,159857;
0,000721;0,139195;0,138473;
0,002507;0,170318;0,167810;
0,002507;0,170318;0,167810;
0,004277;0,472516;0,468239;
0,000841;0,146188;0,145347;
0,001126;0,247692;0,246566;
0,001483;0,000000;0,001483;
0,002542;0,183880;0,181338;
0,001392;0,210910;0,209518;
0,001876;0,000000;0,001876;
0,001010;0,459995;0,458985;
0,000811;0,151303;0,150492;
0,003797;0,350836;0,347040;
0,001089;0,472685;0,471596;
0,002510;0,164593;0,162083;
0,005996;0,473187;0,467191;
0,001338;0,339974;0,338636;
0,002339;0,112234;0,109895;
0,002497;0,162767;0,160271;
0,001483;0,103934;0,102451;
0,001294;0,455378;0,454084;
0,000809;0,455378;0,454569;
0,004189;0,472463;0,468274;
0,004189;0,472463;0,468274;
0,000833;0,191420;0,190587;
0,003886;0,443487;0,439601;
0,000746;0,147755;0,147010;
0,001761;0,103579;0,101818;
0,003059;0,411050;0,407992;
0,004241;0,474151;0,469910;
0,000795;0,474151;0,473355;
0,001033;0,307861;0,306828;
0,001033;0,307861;0,306828;
0,001174;0,181480;0,180306;
0,002680;0,204064;0,201384;
0,003283;0,459564;0,456281;
0,001678;0,459564;0,457886;
0,000728;0,194702;0,193974;
0,001725;0,216781;0,215057;
0,002954;0,000000;0,002954;
0,000862;0,277062;0,276201;
0,000706;0,314906;0,314200;
0,003246;0,237981;0,234735;
0,001483;0,122422;0,120939;
0,001891;0,106320;0,104428;
0,000717;0,106320;0,105603;
0,000819;0,330408;0,329589;
0,002522;0,167979;0,165458;
0,000843;0,232308;0,231465;
0,000822;0,351912;0,351090;
0,004118;0,459633;0,455515;
