Reconstruction Coord z;Map Coord z;Error z;
0,012230;0,246014;0,233783;
0,012230;0,246014;0,233783;
0,007842;0,081450;0,073608;
0,057041;0,246223;0,189182;
0,008977;0,078590;0,069614;
0,004709;0,081276;0,076567;
0,013299;0,249979;0,236681;
0,013299;0,249979;0,236681;
0,009192;0,090289;0,081097;
0,006143;0,083046;0,076903;
0,005856;0,083046;0,077190;
0,006231;0,072972;0,066741;
0,009835;0,128046;0,118211;
0,005215;0,128046;0,122831;
0,008963;0,079507;0,070544;
0,004599;0,067855;0,063256;
0,004716;0,088135;0,083419;
0,012424;0,255595;0,243171;
0,005931;0,255595;0,249664;
0,008958;0,089825;0,080867;
0,006560;0,089825;0,083265;
0,008308;0,074183;0,065874;
0,008553;0,136982;0,128429;
0,006332;0,130039;0,123707;
0,006406;0,131148;0,124742;
0,005512;0,080835;0,075323;
0,005388;0,080835;0,075447;
0,006798;0,072805;0,066007;
0,005838;0,257965;0,252128;
0,006802;0,133236;0,126434;
0,009263;0,095641;0,086378;
0,005789;0,095641;0,089851;
0,008926;0,074369;0,065443;
0,006775;0,088896;0,082121;
0,012528;0,259696;0,247168;
0,008357;0,000000;0,008357;
0,006906;0,136956;0,130049;
0,009325;0,100413;0,091088;
0,012546;0,261707;0,249160;
0,012546;0,261707;0,249160;
0,005881;0,088769;0,082888;
0,006639;0,132393;0,125754;
0,006591;0,263362;0,256771;
0,040271;0,262530;0,222259;
0,040271;0,262530;0,222259;
0,007010;0,138783;0,131773;
0,004748;0,101955;0,097208;
0,010026;0,100764;0,090738;
0,005933;0,137135;0,131202;
0,006815;0,093727;0,086912;
0,004892;0,093727;0,088835;
0,006639;0,138668;0,132029;
0,012619;0,265779;0,253160;
0,012719;0,265812;0,253093;
0,012719;0,265812;0,253093;
0,010086;0,105030;0,094944;
0,010025;0,135156;0,125131;
0,008206;0,088925;0,080720;
0,004639;0,082461;0,077822;
0,006980;0,000000;0,006980;
0,009026;0,081904;0,072877;
0,024893;0,269419;0,244526;
0,010012;-nan(ind);-nan(ind);
0,007585;0,080309;0,072724;
0,012751;0,268834;0,256083;
0,012751;0,268834;0,256083;
0,006938;0,107251;0,100313;
0,006344;0,113113;0,106769;
0,005513;0,270354;0,264841;
0,004725;0,105367;0,100642;
0,010561;0,137936;0,127374;
0,007116;0,087756;0,080640;
0,009982;0,000000;0,009982;
0,032255;0,273514;0,241259;
0,011069;0,109827;0,098759;
0,009842;0,094255;0,084413;
0,007944;0,094255;0,086311;
0,009093;0,083142;0,074050;
0,011326;0,142094;0,130768;
0,009037;0,086985;0,077949;
0,012873;0,275941;0,263068;
0,006595;0,275941;0,269347;
0,053074;0,277481;0,224407;
0,008187;0,277481;0,269294;
0,012891;0,278264;0,265374;
0,012891;0,278264;0,265374;
0,009446;0,104166;0,094720;
0,006223;0,277864;0,271641;
0,005681;0,277864;0,272183;
0,007246;0,083696;0,076451;
0,013071;0,278513;0,265442;
0,012969;0,280351;0,267382;
0,012969;0,280351;0,267382;
0,005425;0,280832;0,275407;
0,012361;0,000000;0,012361;
0,010757;0,099293;0,088535;
0,008366;0,099293;0,090927;
0,007549;0,109831;0,102282;
0,007507;0,109831;0,102324;
0,005392;0,281658;0,276266;
0,007174;0,152963;0,145789;
0,006116;0,280714;0,274598;
0,010606;0,092932;0,082326;
0,009191;0,092932;0,083741;
0,006890;0,282777;0,275888;
0,010393;0,150044;0,139650;
0,014114;0,116602;0,102488;
0,006255;0,116602;0,110347;
0,010249;0,150067;0,139818;
0,010249;0,150067;0,139818;
0,010213;0,109218;0,099006;
0,009142;0,109218;0,100076;
0,014194;0,120187;0,105993;
0,013143;0,286262;0,273119;
0,006039;0,286262;0,280223;
0,013912;0,110215;0,096303;
0,007091;0,110215;0,103124;
0,007858;0,115451;0,107593;
0,007096;0,115451;0,108355;
0,004777;0,086761;0,081984;
0,011772;0,097922;0,086150;
0,013199;0,288122;0,274923;
0,013199;0,288122;0,274923;
0,010617;0,151168;0,140551;
0,007723;0,165473;0,157750;
0,005625;0,151714;0,146090;
0,013234;0,289577;0,276343;
0,016801;0,121496;0,104695;
0,007724;0,121496;0,113772;
0,007237;0,087636;0,080399;
0,009038;0,000000;0,009038;
0,004673;0,293189;0,288516;
0,028237;0,154281;0,126044;
0,006637;0,154281;0,147644;
0,016743;-nan(ind);-nan(ind);
0,006192;0,292185;0,285993;
0,006176;0,292590;0,286413;
0,007928;-nan(ind);-nan(ind);
0,005559;0,292355;0,286796;
0,005533;0,292355;0,286821;
0,013280;0,293640;0,280360;
0,005547;0,293484;0,287937;
0,010605;0,168675;0,158070;
0,012655;0,294367;0,281711;
0,006351;0,294367;0,288015;
0,009111;0,000000;0,009111;
0,013615;0,109180;0,095565;
0,006207;0,294632;0,288425;
0,006201;0,294632;0,288431;
0,010588;0,166197;0,155610;
0,007935;0,166197;0,158262;
0,005778;0,123122;0,117344;
0,006451;0,294700;0,288249;
0,005587;0,294700;0,289113;
0,009995;0,000000;0,009995;
0,008393;0,295205;0,286812;
0,006152;0,295205;0,289053;
0,006567;0,123680;0,117113;
0,007072;0,133187;0,126116;
0,013468;0,296346;0,282878;
0,013375;0,296539;0,283164;
0,006379;0,297141;0,290762;
0,013421;0,296880;0,283459;
0,009389;0,102874;0,093486;
0,006504;0,296670;0,290166;
0,021152;0,126576;0,105424;
0,009299;0,126576;0,117277;
0,006548;0,126576;0,120028;
0,008480;0,135160;0,126680;
0,008449;0,108709;0,100260;
0,009357;0,102889;0,093532;
0,015987;0,112054;0,096068;
0,015987;0,112054;0,096068;
0,013420;0,299678;0,286258;
0,013469;0,299894;0,286424;
0,007802;0,299476;0,291674;
0,010272;0,300146;0,289873;
0,008113;0,300146;0,292033;
0,013548;0,300705;0,287157;
0,013326;0,302337;0,289011;
0,013326;0,302337;0,289011;
0,013491;0,301876;0,288385;
0,013491;0,301876;0,288385;
0,007996;0,096235;0,088240;
0,013542;0,301574;0,288032;
0,013469;0,301703;0,288234;
0,013469;0,301703;0,288234;
0,010473;0,302288;0,291815;
0,013576;0,303410;0,289833;
0,013576;0,303410;0,289833;
0,010483;0,162619;0,152135;
0,013578;0,302672;0,289095;
0,005943;0,302672;0,296729;
0,004990;0,122056;0,117067;
0,013517;0,303577;0,290060;
0,007020;0,303577;0,296557;
0,010799;0,196466;0,185666;
0,006009;0,172450;0,166441;
0,007713;0,303860;0,296147;
0,007207;0,303860;0,296653;
0,010930;0,304629;0,293699;
0,006941;0,304629;0,297688;
0,014621;0,305437;0,290816;
0,007127;0,305437;0,298309;
0,006035;0,171256;0,165221;
0,013677;0,305717;0,292040;
0,013617;0,305471;0,291854;
0,007582;0,305762;0,298180;
0,006743;0,305762;0,299019;
0,019913;0,117279;0,097366;
0,019913;0,117279;0,097366;
0,007485;0,304620;0,297135;
0,013663;0,306280;0,292617;
0,029382;0,000000;0,029382;
0,009274;0,305541;0,296267;
0,009274;0,305541;0,296267;
0,014532;0,169453;0,154920;
0,005412;0,169908;0,164496;
0,014644;0,168950;0,154305;
0,054108;0,000000;0,054108;
0,009091;0,129785;0,120694;
0,010615;0,169001;0,158386;
0,008633;0,000000;0,008633;
0,011534;0,000000;0,011534;
0,006282;0,000000;0,006282;
0,013641;0,306682;0,293041;
0,009242;0,093084;0,083842;
0,009262;0,000000;0,009262;
0,010585;0,305043;0,294459;
0,006009;0,169059;0,163051;
0,010685;0,305333;0,294648;
0,010699;0,305984;0,295284;
0,013693;0,307563;0,293870;
0,013693;0,307563;0,293870;
0,017676;0,307499;0,289824;
0,007094;0,307499;0,300406;
0,004974;0,000000;0,004974;
0,010674;0,000000;0,010674;
0,013703;0,308754;0,295051;
0,010750;0,304909;0,294159;
0,010838;0,306762;0,295924;
0,006744;0,307198;0,300454;
0,010630;0,304856;0,294226;
0,019220;0,112889;0,093669;
0,010193;0,112889;0,102696;
0,009895;0,105370;0,095475;
0,010158;0,307053;0,296895;
0,008982;0,137932;0,128950;
0,007948;0,307883;0,299935;
0,010692;0,305246;0,294554;
0,010669;0,305271;0,294602;
0,008426;0,308015;0,299589;
0,013226;0,127078;0,113852;
0,004971;0,000000;0,004971;
0,053060;0,136675;0,083615;
0,004937;0,307834;0,302897;
0,013668;0,309352;0,295684;
0,006456;0,309352;0,302896;
0,006515;0,306554;0,300039;
0,010634;0,306822;0,296187;
0,010634;0,306822;0,296187;
0,010429;0,306822;0,296393;
0,008637;0,310794;0,302157;
0,006362;0,306223;0,299861;
0,011048;0,113055;0,102007;
0,008965;0,310700;0,301734;
0,009134;0,309017;0,299883;
0,013735;0,310992;0,297257;
0,009128;0,310429;0,301300;
0,013683;0,311870;0,298187;
0,013683;0,311870;0,298187;
0,006041;0,310115;0,304074;
0,008290;0,000000;0,008290;
0,008290;0,000000;0,008290;
0,010756;0,309477;0,298721;
0,009554;0,309477;0,299923;
0,009784;0,000000;0,009784;
0,006804;0,117495;0,110691;
0,009780;0,310590;0,300810;
0,009780;0,310590;0,300810;
0,012744;0,310807;0,298063;
0,005415;0,114445;0,109030;
0,005162;0,114445;0,109283;
0,013799;0,313528;0,299729;
0,009544;0,113433;0,103889;
0,009544;0,113433;0,103889;
0,011147;0,186820;0,175673;
0,013781;0,312308;0,298527;
0,009562;0,113433;0,103871;
0,009562;0,113433;0,103871;
0,026973;0,122074;0,095101;
0,026973;0,122074;0,095101;
0,014223;0,309002;0,294779;
0,006051;0,310819;0,304769;
0,009376;0,097764;0,088389;
0,007338;0,097764;0,090426;
0,006190;0,312011;0,305821;
0,012191;0,104700;0,092509;
0,007463;0,309284;0,301821;
0,018037;0,311074;0,293037;
0,013842;0,313139;0,299297;
0,008472;0,314115;0,305643;
0,007511;0,314115;0,306604;
0,013994;0,310734;0,296740;
0,006920;0,310734;0,303814;
0,012730;0,313881;0,301150;
0,016231;0,314666;0,298434;
0,008985;0,314666;0,305681;
0,013036;0,314232;0,301196;
0,009911;0,314398;0,304486;
0,008616;0,314992;0,306376;
0,009312;0,312652;0,303340;
0,013326;0,315793;0,302466;
0,017222;0,310716;0,293494;
0,010620;0,313021;0,302401;
0,008256;0,314603;0,306347;
0,011246;0,314975;0,303728;
0,010599;0,118332;0,107733;
0,008189;0,312820;0,304632;
0,007296;0,312820;0,305525;
0,013848;0,315864;0,302015;
0,009524;0,111079;0,101555;
0,340650;0,141955;0,198694;
0,015264;0,132198;0,116934;
0,012426;0,315139;0,302713;
0,008470;0,315139;0,306669;
0,009619;0,312491;0,302872;
0,005912;0,312491;0,306579;
0,010368;0,316557;0,306189;
0,010261;0,316557;0,306295;
0,026574;0,141216;0,114642;
0,006430;0,141216;0,134785;
0,005547;0,100930;0,095383;
0,007552;0,316080;0,308528;
0,007552;0,316080;0,308528;
0,006934;0,314946;0,308012;
0,013912;0,316955;0,303043;
0,013912;0,316955;0,303043;
0,013820;0,316138;0,302318;
0,011851;0,317281;0,305430;
0,011366;0,316835;0,305470;
0,006982;0,316835;0,309854;
0,013929;0,317281;0,303352;
0,009631;0,319016;0,309385;
0,010189;0,317713;0,307524;
0,006571;0,171553;0,164981;
0,011059;0,314146;0,303087;
0,009289;0,109788;0,100500;
0,011341;0,314314;0,302973;
0,006093;0,314314;0,308221;
0,011411;0,316927;0,305517;
0,009626;0,000000;0,009626;
0,012227;0,317457;0,305230;
0,011082;0,317457;0,306374;
0,012583;0,318606;0,306023;
0,020985;0,193586;0,172601;
0,007535;0,000000;0,007535;
0,008312;0,317234;0,308922;
0,009593;0,318952;0,309359;
0,007332;0,318952;0,311621;
0,008775;0,315154;0,306379;
0,008366;0,315154;0,306788;
0,013980;0,319115;0,305135;
0,009475;0,107272;0,097797;
0,010015;0,316463;0,306448;
0,010790;0,317272;0,306482;
0,013452;0,322374;0,308922;
0,008097;0,133028;0,124931;
0,009539;0,113008;0,103470;
0,007126;0,000000;0,007126;
0,014226;0,321161;0,306935;
0,024392;0,319860;0,295468;
0,010121;0,319860;0,309739;
0,011302;0,212502;0,201200;
0,021278;0,319486;0,298208;
0,011659;0,000000;0,011659;
0,006578;0,213064;0,206486;
0,009801;0,321813;0,312012;
0,007353;0,213042;0,205689;
0,005463;0,213042;0,207579;
0,009034;0,318406;0,309372;
0,010838;0,322402;0,311564;
0,006261;0,321343;0,315082;
0,011543;0,213590;0,202047;
0,014554;0,111542;0,096988;
0,017229;0,318958;0,301728;
0,011410;0,130001;0,118591;
0,259136;0,147232;0,111903;
0,014110;0,323100;0,308990;
0,008213;0,134968;0,126754;
0,021936;0,321503;0,299567;
0,011171;0,214812;0,203641;
0,011539;0,214829;0,203290;
0,011539;0,214829;0,203290;
0,009967;0,319997;0,310030;
0,008505;0,319997;0,311493;
0,009981;0,215072;0,205091;
0,011510;0,215077;0,203567;
0,011549;0,215116;0,203566;
0,011529;0,215163;0,203634;
0,011547;0,214964;0,203417;
0,010769;0,214964;0,204195;
0,011543;0,215363;0,203820;
0,013762;0,123580;0,109818;
0,011544;0,215037;0,203493;
0,023594;0,214865;0,191271;
0,008481;0,132662;0,124180;
0,014114;0,326031;0,311916;
0,011542;0,215946;0,204404;
0,011413;0,322973;0,311560;
0,011543;0,215723;0,204179;
0,011543;0,215723;0,204179;
0,011543;0,215723;0,204179;
0,012176;0,322668;0,310492;
0,011482;0,324068;0,312586;
0,013142;0,325425;0,312283;
0,008811;0,325425;0,316614;
0,007839;0,325124;0,317285;
0,009960;0,136132;0,126172;
0,011524;0,215868;0,204344;
0,011568;0,215915;0,204347;
0,005320;0,215915;0,210596;
0,005491;0,106138;0,100647;
0,011588;0,215964;0,204376;
0,011500;0,321430;0,309930;
0,010624;0,321430;0,310806;
0,009178;0,325638;0,316460;
0,009426;0,325255;0,315828;
0,014143;0,327195;0,313051;
0,028072;0,140031;0,111960;
0,007587;0,216912;0,209325;
0,169835;0,132461;0,037374;
0,008347;0,324746;0,316399;
0,175982;0,132461;0,043521;
0,014065;0,324919;0,310854;
0,017604;0,322739;0,305135;
0,017604;0,322739;0,305135;
0,011587;0,217479;0,205892;
0,011587;0,217479;0,205892;
0,011600;0,217596;0,205997;
0,011894;0,217466;0,205572;
0,011606;0,217466;0,205860;
0,011559;0,217540;0,205981;
0,012596;0,322462;0,309866;
0,012036;0,217546;0,205511;
0,009959;0,133076;0,123117;
0,011598;0,217889;0,206291;
0,014008;0,327136;0,313128;
0,014008;0,327136;0,313128;
0,017432;0,132875;0,115443;
0,005088;0,132875;0,127787;
0,011611;0,217808;0,206196;
0,011599;0,218319;0,206720;
0,005338;0,218216;0,212878;
0,005338;0,218216;0,212878;
0,008334;0,326208;0,317874;
0,008116;0,137298;0,129183;
0,014168;0,327686;0,313518;
0,014168;0,327686;0,313518;
0,007817;0,327889;0,320072;
0,011605;0,218642;0,207038;
0,011605;0,218642;0,207038;
0,011786;0,218822;0,207036;
0,011786;0,218822;0,207036;
0,008517;0,138187;0,129670;
0,014226;0,329845;0,315619;
0,011588;0,218692;0,207104;
0,013193;0,326854;0,313661;
0,010122;0,324517;0,314395;
0,007712;0,328005;0,320293;
0,007767;0,329036;0,321269;
0,014185;0,327872;0,313687;
0,014185;0,327872;0,313687;
0,012255;0,218942;0,206686;
0,011664;0,219241;0,207577;
0,011626;0,219819;0,208193;
0,011684;0,219637;0,207952;
0,011660;0,219832;0,208172;
0,006657;0,219773;0,213115;
0,014240;0,329858;0,315618;
0,011680;0,219889;0,208209;
0,011610;0,220161;0,208551;
0,041783;0,328511;0,286728;
0,011735;0,328511;0,316776;
0,017662;0,000000;0,017662;
0,009541;0,000000;0,009541;
0,012716;0,135391;0,122676;
0,011676;0,220340;0,208664;
0,011680;0,220451;0,208770;
0,011667;0,220396;0,208729;
0,011655;0,220266;0,208611;
0,011662;0,220386;0,208724;
0,008173;0,325908;0,317735;
0,011671;0,220332;0,208661;
0,011711;0,220372;0,208661;
0,011670;0,220372;0,208702;
0,012570;0,220431;0,207861;
0,011725;0,220431;0,208705;
0,011692;0,220328;0,208636;
