Reconstruction Coord z;Map Coord z;Error z;
0,005426;0,764355;0,758929;
0,005280;0,764355;0,759076;
0,006659;0,255011;0,248353;
0,005245;0,274758;0,269513;
0,007212;0,763077;0,755864;
0,006279;0,763077;0,756798;
0,006447;0,272887;0,266440;
0,006355;0,272887;0,266531;
0,013463;0,261362;0,247899;
0,007074;0,263223;0,256149;
0,005903;0,262915;0,257013;
0,006648;0,330622;0,323974;
0,005883;0,737417;0,731535;
0,007129;0,266820;0,259692;
0,007129;0,266820;0,259692;
0,007353;0,327439;0,320087;
0,007348;0,327439;0,320092;
0,005815;0,286562;0,280748;
0,005367;0,286562;0,281195;
0,005314;0,322083;0,316769;
0,005865;0,270189;0,264324;
0,009240;0,284244;0,275004;
0,006412;0,284244;0,277833;
0,013019;0,436201;0,423182;
0,009154;0,436201;0,427047;
0,006543;0,330669;0,324127;
0,005931;0,330669;0,324739;
0,019045;0,270819;0,251774;
0,007204;0,270167;0,262963;
0,007204;0,270167;0,262963;
0,062335;0,426709;0,364374;
0,007339;0,426709;0,419370;
0,006356;0,426709;0,420353;
0,007454;0,323677;0,316223;
0,007688;0,273638;0,265950;
0,006373;0,273638;0,267264;
0,005750;0,424255;0,418505;
0,006080;0,276754;0,270673;
0,006211;0,417805;0,411595;
0,007316;0,275108;0,267792;
0,005797;0,275108;0,269311;
0,007557;0,819873;0,812315;
0,006565;0,296308;0,289743;
0,023730;0,343323;0,319593;
0,013419;0,416936;0,403517;
0,005862;0,416936;0,411074;
0,006557;0,282005;0,275448;
0,008066;0,285845;0,277779;
0,006941;0,276238;0,269296;
0,005812;0,277777;0,271965;
0,005812;0,277777;0,271965;
0,005351;0,249011;0,243660;
0,006463;0,420742;0,414279;
0,005790;0,420742;0,414953;
0,008457;0,284739;0,276282;
0,006542;0,282247;0,275704;
0,006596;0,290982;0,284386;
0,007086;0,294250;0,287164;
0,005832;0,280873;0,275042;
0,005832;0,280873;0,275042;
0,007836;0,405763;0,397927;
0,008470;0,290050;0,281580;
0,007558;0,290050;0,282492;
0,006947;0,291958;0,285011;
0,008584;0,294630;0,286046;
0,006217;0,294630;0,288413;
0,007043;0,282125;0,275082;
0,007043;0,282125;0,275082;
0,005925;0,402088;0,396163;
0,006841;0,298648;0,291807;
0,006201;0,298648;0,292447;
0,005847;0,283592;0,277745;
0,006673;0,294052;0,287379;
0,014068;0,322518;0,308451;
0,008538;0,294308;0,285770;
0,006328;0,294308;0,287980;
0,007065;0,374364;0,367299;
0,007794;0,298789;0,290995;
0,006259;0,302618;0,296359;
0,006542;0,298107;0,291565;
0,008031;0,394600;0,386569;
0,006406;0,305374;0,298968;
0,006335;0,286448;0,280113;
0,008540;0,301755;0,293214;
0,006339;0,298926;0,292587;
0,005830;0,391582;0,385752;
0,006929;0,740169;0,733239;
0,017022;0,325337;0,308315;
0,006199;0,315798;0,309599;
0,006952;0,309759;0,302807;
0,006952;0,309759;0,302807;
0,006103;0,307509;0,301406;
0,005782;0,300767;0,294985;
0,049184;0,397680;0,348496;
0,008220;0,397680;0,389460;
0,006306;0,397680;0,391373;
0,006306;0,397680;0,391373;
0,006298;0,328814;0,322516;
0,019240;0,330515;0,311275;
0,009919;0,389317;0,379398;
0,005840;0,419002;0,413162;
0,006329;0,313494;0,307165;
0,007161;0,316848;0,309686;
0,006471;0,316848;0,310376;
0,022959;0,406695;0,383736;
0,006537;0,406695;0,400158;
0,009472;0,382022;0,372550;
0,006116;0,382022;0,375906;
0,006263;0,326451;0,320188;
0,007215;0,310612;0,303397;
0,006123;0,310612;0,304489;
0,008739;0,325396;0,316657;
0,015870;0,405792;0,389922;
0,005894;0,405792;0,399898;
0,011168;0,199980;0,188811;
0,011168;0,199980;0,188811;
0,013008;0,430744;0,417736;
0,010149;0,333518;0,323369;
0,006090;0,333518;0,327429;
0,008290;0,336419;0,328129;
0,005835;0,197379;0,191544;
0,005835;0,197379;0,191544;
0,007048;0,314130;0,307082;
0,006447;0,330095;0,323648;
0,006447;0,330095;0,323648;
0,006607;0,313052;0,306446;
0,006369;0,313052;0,306684;
0,010605;0,334912;0,324307;
0,008026;0,334912;0,326886;
0,008993;0,317732;0,308739;
0,008144;0,317732;0,309587;
0,015055;0,339817;0,324762;
0,006851;0,339817;0,332965;
0,008540;0,372500;0,363960;
0,008446;0,323474;0,315027;
0,006014;0,323474;0,317460;
0,028708;0,436332;0,407624;
0,008586;0,335228;0,326642;
0,006444;0,335228;0,328784;
0,009135;0,337205;0,328070;
