Reconstruction Coord z;Map Coord z;Error z;
0,000286;0,780357;0,780071;
0,000284;0,711407;0,711123;
0,000296;0,777306;0,777010;
0,003020;0,780383;0,777364;
0,000349;0,785949;0,785600;
0,000356;0,774256;0,773899;
0,000287;0,790924;0,790636;
0,000934;0,726160;0,725226;
0,000289;0,797348;0,797059;
0,000371;0,783921;0,783550;
0,009962;0,733708;0,723746;
0,000382;0,789672;0,789290;
0,000411;0,811934;0,811523;
0,000295;0,814357;0,814063;
0,002233;0,743626;0,741393;
0,000427;0,743626;0,743200;
0,000296;0,815763;0,815467;
0,000297;0,817365;0,817068;
0,000452;0,823292;0,822840;
0,000757;0,754058;0,753300;
0,000562;0,317763;0,317200;
0,002284;0,824970;0,822686;
0,000401;0,828508;0,828107;
0,000333;0,809465;0,809132;
0,000018;0,832183;0,832164;
0,000018;0,832183;0,832164;
0,000397;0,833123;0,832726;
0,000355;0,833123;0,832769;
0,000341;0,832507;0,832166;
0,000319;0,817154;0,816835;
0,000342;0,766383;0,766041;
0,001036;0,830377;0,829341;
0,001321;0,821704;0,820383;
0,000951;0,821704;0,820753;
0,000038;0,817348;0,817310;
0,001188;0,213639;0,212452;
0,000312;0,833217;0,832905;
0,000346;0,213295;0,212949;
0,000353;0,214400;0,214047;
0,000308;0,413834;0,413527;
0,000351;0,212215;0,211864;
0,000524;0,219192;0,218668;
0,000466;0,221166;0,220700;
0,000313;0,221082;0,220769;
0,000412;0,215220;0,214808;
0,000307;0,183645;0,183338;
0,000511;0,189650;0,189139;
0,000302;0,189650;0,189348;
0,000363;0,210518;0,210155;
0,000382;0,223307;0,222926;
0,000441;0,264275;0,263834;
0,000352;0,264275;0,263923;
0,000446;0,217953;0,217507;
0,000340;0,217953;0,217613;
0,000344;0,211729;0,211385;
0,000564;0,196827;0,196263;
0,000564;0,196827;0,196263;
0,000349;0,196827;0,196478;
0,000426;0,182709;0,182283;
0,000460;0,183620;0,183161;
0,000058;0,183620;0,183562;
0,004143;0,252708;0,248565;
0,000014;0,192104;0,192090;
0,000358;0,739394;0,739036;
0,000830;0,215988;0,215158;
0,000577;0,215988;0,215411;
0,000404;0,203285;0,202881;
0,000315;0,217352;0,217037;
0,000361;0,188819;0,188458;
0,000330;0,188819;0,188489;
0,000453;0,196559;0,196106;
0,008484;0,237400;0,228916;
0,001126;0,185646;0,184520;
0,001281;0,172621;0,171340;
0,003127;0,193346;0,190219;
0,003127;0,193346;0,190219;
0,000476;0,179312;0,178836;
0,000326;0,331957;0,331631;
0,000030;0,176030;0,175999;
0,000328;0,186020;0,185693;
0,001436;0,166470;0,165034;
0,000022;0,176342;0,176320;
0,000407;0,199861;0,199454;
0,000469;0,169591;0,169122;
0,000469;0,167922;0,167452;
0,000459;0,168552;0,168093;
0,000371;0,175449;0,175079;
0,000336;0,175449;0,175114;
0,000323;0,174634;0,174311;
0,000396;0,177898;0,177502;
0,000360;0,176060;0,175700;
0,025725;0,174590;0,148865;
0,000457;0,174590;0,174132;
0,000569;0,173967;0,173397;
0,000507;0,165749;0,165242;
0,000516;0,175484;0,174967;
0,000307;0,175484;0,175177;
0,000479;0,151850;0,151371;
0,000323;0,151850;0,151527;
0,000471;0,149444;0,148973;
0,000522;0,162173;0,161651;
0,000395;0,160769;0,160375;
0,000395;0,160769;0,160375;
0,000406;0,154985;0,154579;
0,000330;0,139851;0,139521;
0,000389;0,157810;0,157421;
0,000317;0,157810;0,157493;
0,000335;0,138294;0,137960;
0,000391;0,041322;0,040931;
0,000391;0,041322;0,040931;
0,000391;0,041091;0,040699;
0,000391;0,041091;0,040699;
0,000392;0,041504;0,041112;
0,000392;0,041504;0,041112;
0,000402;0,041544;0,041142;
0,000335;0,041466;0,041131;
0,000477;0,136999;0,136522;
0,000398;0,041771;0,041373;
0,000477;0,041897;0,041421;
0,000394;0,041897;0,041504;
0,000576;0,041930;0,041354;
0,000433;0,041930;0,041497;
0,000394;0,041932;0,041537;
0,000395;0,042122;0,041727;
0,000395;0,042122;0,041727;
0,000696;0,042402;0,041706;
0,000356;0,165904;0,165548;
0,000412;0,042205;0,041793;
0,000400;0,042205;0,041805;
0,000434;0,042226;0,041791;
0,000412;0,042226;0,041814;
0,000368;0,219537;0,219169;
0,000448;0,153735;0,153287;
0,000397;0,042631;0,042234;
0,000403;0,043000;0,042597;
0,000403;0,043000;0,042597;
0,000093;0,043308;0,043215;
0,000591;0,043961;0,043369;
0,000403;0,043961;0,043557;
0,000582;0,043696;0,043115;
0,000612;0,043498;0,042886;
0,000793;0,063981;0,063187;
0,000411;0,063981;0,063570;
0,000002;0,130143;0,130141;
0,000342;0,129664;0,129322;
0,000417;0,043639;0,043223;
0,000400;0,043639;0,043239;
0,000432;0,043894;0,043462;
0,000432;0,043894;0,043462;
0,000408;0,045533;0,045125;
0,000647;0,044162;0,043515;
