Reconstruction Coord z;Map Coord z;Error z;
0,001361;0,785828;0,784467;
0,001361;0,785828;0,784467;
0,001682;0,859312;0,857629;
0,002049;0,868202;0,866153;
0,001458;0,868202;0,866744;
0,001365;0,875394;0,874030;
0,001970;0,864295;0,862326;
0,001412;0,860056;0,858645;
0,001380;0,860056;0,858676;
0,001498;0,755519;0,754021;
0,001974;0,864661;0,862687;
0,002070;0,861544;0,859474;
0,022933;0,858520;0,835587;
0,011838;0,807039;0,795202;
0,011838;0,807039;0,795202;
0,005291;0,806143;0,800852;
0,005291;0,806143;0,800852;
0,002110;0,863827;0,861717;
0,001977;0,863827;0,861850;
0,011575;0,794905;0,783331;
0,011575;0,794905;0,783331;
0,001639;0,857545;0,855907;
0,011603;0,807104;0,795501;
0,002065;0,730526;0,728461;
0,001523;0,730526;0,729003;
0,011780;0,800170;0,788390;
0,005392;0,800170;0,794778;
0,002129;0,857165;0,855037;
0,002548;0,720746;0,718197;
0,002548;0,720746;0,718197;
0,003331;0,803922;0,800591;
0,003331;0,803922;0,800591;
0,004047;0,805234;0,801188;
0,004047;0,805234;0,801188;
0,004047;0,805234;0,801188;
0,002512;0,716232;0,713720;
0,001469;0,716232;0,714763;
0,002946;0,864799;0,861853;
0,001703;0,706630;0,704927;
0,001477;0,706630;0,705153;
0,009243;0,813055;0,803812;
0,030367;0,813036;0,782669;
0,001409;0,813036;0,811627;
0,001530;0,697400;0,695870;
0,001450;0,697400;0,695950;
0,005237;0,819585;0,814348;
0,002170;0,689584;0,687414;
0,002170;0,689584;0,687414;
0,002428;0,830540;0,828113;
0,001412;0,830071;0,828659;
0,013069;0,834289;0,821219;
0,011060;0,817651;0,806591;
0,006938;0,814430;0,807492;
0,002074;0,839015;0,836941;
0,001419;0,839015;0,837596;
0,012335;0,837474;0,825139;
0,031457;0,833825;0,802368;
0,010415;0,833825;0,823410;
0,001928;0,848442;0,846514;
0,026236;0,813943;0,787707;
0,006546;0,813943;0,807397;
