Reconstruction Coord z;Map Coord z;Error z;
0,008801;0,299535;0,290734;
0,005262;0,299535;0,294273;
0,004148;0,345728;0,341581;
0,003757;0,345728;0,341972;
0,012027;0,302845;0,290818;
0,004286;0,307139;0,302853;
0,003823;0,307139;0,303316;
0,003011;0,200000;0,196988;
0,004769;0,000000;0,004769;
0,003989;0,000000;0,003989;
0,003146;0,198402;0,195256;
0,003859;0,157183;0,153324;
0,003297;0,164697;0,161400;
0,003153;0,195092;0,191939;
0,007507;0,167279;0,159772;
0,007507;0,167279;0,159772;
0,002993;0,005302;0,002309;
0,010831;0,171795;0,160964;
0,003552;0,157676;0,154124;
0,005466;0,153825;0,148359;
0,003456;0,166072;0,162616;
0,005379;0,153528;0,148149;
0,003090;0,165734;0,162644;
0,003766;0,123961;0,120195;
0,007430;0,163754;0,156324;
0,003232;0,164775;0,161543;
0,003498;0,161808;0,158310;
0,003920;0,173121;0,169202;
0,003566;0,123889;0,120322;
0,003566;0,123889;0,120322;
0,007525;0,163050;0,155524;
0,003680;0,253530;0,249850;
0,003511;0,248989;0,245479;
0,003512;0,248475;0,244963;
0,004899;0,127179;0,122280;
0,007908;0,171864;0,163956;
0,007225;0,171864;0,164638;
0,004677;0,252397;0,247720;
0,007550;0,166588;0,159038;
0,007550;0,166588;0,159038;
0,003525;0,232123;0,228598;
0,003413;0,232123;0,228710;
0,006851;0,136591;0,129740;
0,006851;0,136591;0,129740;
0,003414;0,231529;0,228114;
0,003576;0,139746;0,136171;
0,109216;0,215784;0,106569;
0,004355;0,215784;0,211429;
0,006755;0,225588;0,218833;
0,007476;0,164363;0,156888;
0,007092;0,126151;0,119059;
0,004431;0,000000;0,004431;
0,003156;0,219688;0,216532;
0,008484;0,131157;0,122672;
0,003275;0,131157;0,127882;
0,005159;0,339054;0,333895;
0,005509;0,347371;0,341862;
0,004167;0,000000;0,004167;
0,003424;0,000000;0,003424;
0,007518;0,164009;0,156491;
0,005255;0,164009;0,158754;
0,007720;0,185446;0,177727;
0,007720;0,185446;0,177727;
0,003777;0,203258;0,199481;
0,003438;0,203258;0,199820;
0,006050;0,224433;0,218383;
0,006456;0,172125;0,165670;
0,003758;0,172125;0,168367;
0,006467;0,172366;0,165900;
0,003430;0,231727;0,228297;
0,003105;0,231727;0,228622;
0,003107;0,228903;0,225796;
0,003105;0,228903;0,225798;
0,003879;0,359013;0,355133;
0,007902;0,200333;0,192431;
0,004090;0,000000;0,004090;
0,003800;0,000000;0,003800;
0,004025;0,183278;0,179253;
0,004070;0,226784;0,222715;
0,004070;0,226784;0,222715;
0,007921;0,196725;0,188803;
0,005984;0,141634;0,135650;
0,004700;0,141634;0,136934;
0,011071;0,192897;0,181825;
0,053936;0,223594;0,169659;
0,003164;0,223594;0,220430;
0,008079;0,237662;0,229583;
0,003192;0,237662;0,234470;
0,006146;0,239809;0,233663;
0,004880;0,239809;0,234929;
0,003568;0,214605;0,211037;
0,003506;0,214605;0,211099;
0,012853;0,142449;0,129597;
0,008278;0,000000;0,008278;
0,008278;0,000000;0,008278;
0,003874;0,095657;0,091783;
0,006284;0,238232;0,231949;
0,003052;0,090057;0,087005;
0,007567;0,150534;0,142967;
0,008231;0,243496;0,235265;
0,008231;0,243496;0,235265;
0,007752;0,191553;0,183801;
0,007085;0,191553;0,184468;
0,003703;0,165943;0,162240;
0,003626;0,165943;0,162318;
0,010617;0,165588;0,154971;
0,003289;0,740339;0,737049;
0,005804;0,410500;0,404696;
0,003710;0,181129;0,177418;
0,004848;0,196896;0,192048;
0,007854;0,192976;0,185122;
0,007836;0,192976;0,185140;
0,003477;0,169921;0,166443;
0,026932;0,209810;0,182878;
0,007402;0,167503;0,160101;
0,003765;0,167503;0,163738;
0,007539;0,169156;0,161617;
0,003484;0,172027;0,168542;
0,003997;0,421212;0,417215;
0,007808;0,197868;0,190060;
0,003150;0,197868;0,194718;
0,007278;0,509385;0,502106;
0,003633;0,246753;0,243120;
0,009637;0,358272;0,348635;
0,009235;0,358272;0,349037;
0,003592;0,423748;0,420156;
0,008139;0,197939;0,189800;
0,003135;0,315460;0,312326;
0,006035;0,426714;0,420679;
0,003650;0,426714;0,423064;
0,004482;0,253538;0,249056;
0,004482;0,253538;0,249056;
0,003568;0,251775;0,248207;
0,003278;0,050283;0,047005;
0,007052;0,174030;0,166978;
0,004984;0,356573;0,351589;
0,003864;0,420804;0,416940;
0,004867;0,313249;0,308383;
0,003485;0,313249;0,309764;
0,003477;0,313249;0,309773;
0,003334;0,313249;0,309915;
0,003626;0,309360;0,305734;
0,004536;0,195056;0,190520;
0,004484;0,195056;0,190572;
0,003453;0,310844;0,307391;
0,003635;0,305531;0,301895;
0,008404;0,264898;0,256494;
0,007580;0,264898;0,257317;
0,008664;0,000000;0,008664;
0,004889;0,263414;0,258525;
0,004645;0,263414;0,258768;
0,010866;0,000000;0,010866;
0,010866;0,000000;0,010866;
0,003232;0,387010;0,383778;
0,003351;0,044136;0,040785;
0,008554;0,307587;0,299032;
0,003225;0,176420;0,173195;
0,003225;0,176420;0,173195;
0,003626;0,261585;0,257959;
0,009128;0,302417;0,293289;
0,025470;0,364001;0,338531;
0,004215;0,000000;0,004215;
0,007493;0,178885;0,171393;
0,010516;0,265258;0,254742;
0,008663;0,265258;0,256595;
0,037960;0,323830;0,285870;
0,010284;0,267932;0,257647;
0,003428;0,289106;0,285678;
0,007395;0,000000;0,007395;
0,003357;0,280569;0,277213;
0,003440;0,289702;0,286262;
0,008568;0,274525;0,265956;
0,004993;0,274525;0,269531;
0,007559;0,000000;0,007559;
0,004259;0,000000;0,004259;
0,008193;0,281551;0,273358;
0,004001;0,181142;0,177141;
0,003367;0,292633;0,289266;
0,004298;0,277042;0,272744;
0,003329;0,293691;0,290362;
0,003329;0,293691;0,290362;
0,004073;0,279267;0,275194;
0,008862;0,300516;0,291655;
0,003377;0,278738;0,275361;
0,004093;0,359887;0,355795;
0,003705;0,359887;0,356183;
0,005949;0,279642;0,273693;
0,010575;0,444897;0,434322;
0,010638;0,444897;0,434259;
0,003384;0,351136;0,347751;
0,003741;0,308904;0,305163;
0,004359;0,190504;0,186144;
0,003310;0,380513;0,377204;
0,004200;0,039544;0,035344;
0,003829;0,369704;0,365875;
0,017889;0,189305;0,171416;
0,005228;0,189305;0,184077;
0,017304;0,277856;0,260552;
0,009036;0,330043;0,321007;
0,003592;0,280194;0,276602;
0,004134;0,319067;0,314933;
0,003880;0,332322;0,328442;
0,004201;0,338590;0,334389;
0,003297;0,316050;0,312752;
0,005487;0,324873;0,319386;
0,004649;0,324873;0,320224;
0,003955;0,313380;0,309426;
0,013287;0,430193;0,416906;
0,012299;0,430193;0,417894;
0,003366;0,000000;0,003366;
0,003366;0,000000;0,003366;
0,005723;0,305581;0,299859;
0,003626;0,000000;0,003626;
0,012692;0,524888;0,512196;
0,121343;0,000000;0,121343;
0,003815;0,000000;0,003815;
0,003540;0,515357;0,511817;
0,004851;0,410565;0,405714;
0,007148;0,420063;0,412915;
0,007148;0,420063;0,412915;
0,010154;0,391074;0,380920;
0,007527;0,414119;0,406592;
0,007527;0,414119;0,406592;
0,006154;0,072334;0,066180;
0,005839;0,072334;0,066495;
0,003850;0,484307;0,480457;
0,005010;0,521651;0,516641;
0,005010;0,521651;0,516641;
0,011223;0,470386;0,459163;
0,019024;0,043812;0,024788;
0,003375;0,517279;0,513904;
0,000049;0,044405;0,044356;
0,008672;0,517696;0,509024;
0,003529;0,313922;0,310393;
0,008589;0,045431;0,036842;
0,008159;0,150847;0,142688;
0,008159;0,150847;0,142688;
0,005210;0,045431;0,040221;
0,006221;0,074037;0,067816;
0,006221;0,074037;0,067816;
0,005164;0,523884;0,518720;
0,004117;0,046732;0,042615;
0,008428;0,400941;0,392514;
0,004618;0,400941;0,396323;
0,003502;0,301649;0,298146;
0,004753;0,027684;0,022931;
0,004753;0,027684;0,022931;
0,004124;0,047315;0,043191;
0,003792;0,476044;0,472252;
0,004671;0,320489;0,315818;
0,006218;0,075478;0,069260;
0,008890;0,394086;0,385196;
0,000200;0,327527;0,327327;
0,004057;0,311438;0,307381;
0,006584;0,077538;0,070954;
0,006584;0,077538;0,070954;
0,010616;0,452965;0,442349;
0,010616;0,452965;0,442349;
0,004221;0,529668;0,525447;
0,004150;0,529668;0,525518;
0,007904;0,474395;0,466490;
0,004271;0,474395;0,470124;
0,006785;0,079767;0,072983;
0,006785;0,079767;0,072983;
0,009145;0,382942;0,373797;
0,008570;0,446298;0,437729;
0,004938;0,446298;0,441360;
0,019783;0,160588;0,140805;
0,009579;0,377595;0,368016;
0,004835;0,377595;0,372760;
0,005393;0,336251;0,330858;
0,012325;0,031448;0,019123;
0,000129;0,440392;0,440264;
0,005500;0,469798;0,464298;
0,004795;0,464865;0,460070;
0,010934;0,364910;0,353976;
0,010491;0,431505;0,421013;
0,010491;0,431505;0,421013;
0,005711;0,058247;0,052536;
0,005711;0,058247;0,052536;
0,004375;0,576168;0,571793;
0,003828;0,310513;0,306686;
0,005260;0,470255;0,464996;
0,010354;0,422325;0,411970;
0,010354;0,422325;0,411970;
0,005682;0,472148;0,466466;
0,008572;0,060974;0,052402;
0,004955;0,060974;0,056019;
0,004326;0,578986;0,574660;
0,006990;0,470543;0,463553;
0,006316;0,470543;0,464227;
0,003355;0,591683;0,588328;
0,003619;0,324221;0,320602;
0,004657;0,469168;0,464511;
0,011144;0,415242;0,404098;
0,010340;0,415242;0,404902;
0,082922;0,039741;0,043180;
0,004330;0,479990;0,475660;
0,006481;0,597286;0,590805;
0,006481;0,597286;0,590805;
0,005659;0,457349;0,451690;
0,010924;0,461651;0,450727;
0,010924;0,461651;0,450727;
0,006858;0,463462;0,456605;
0,003921;0,593564;0,589643;
0,003676;0,467383;0,463707;
0,016152;0,391732;0,375580;
0,008951;0,284943;0,275992;
0,003973;0,590893;0,586920;
0,005620;0,387222;0,381601;
0,005033;0,387222;0,382188;
0,006352;0,387705;0,381353;
0,013500;0,584509;0,571009;
0,005997;0,448859;0,442862;
0,010466;0,443848;0,433383;
0,000275;0,578460;0,578185;
0,000674;0,377039;0,376365;
0,014440;0,451399;0,436959;
0,005814;0,451399;0,445584;
0,003819;0,454441;0,450622;
0,021637;0,375120;0,353482;
0,016010;0,607652;0,591642;
0,021302;0,600832;0,579531;
0,013422;0,600832;0,587411;
0,005798;0,106030;0,100231;
0,008303;0,441372;0,433069;
0,003484;0,367995;0,364511;
0,004523;0,549670;0,545148;
0,022658;0,611616;0,588958;
0,004725;0,108155;0,103429;
0,012405;0,615021;0,602616;
0,005059;0,355816;0,350757;
0,018606;0,578194;0,559588;
0,000637;0,433333;0,432696;
0,014273;0,617874;0,603600;
0,000676;0,617874;0,617197;
0,004520;0,554514;0,549994;
0,004421;0,597160;0,592738;
0,003747;0,000000;0,003747;
0,014124;0,619901;0,605777;
0,007272;0,619901;0,612629;
0,004540;0,577768;0,573227;
0,008606;0,000000;0,008606;
0,008606;0,000000;0,008606;
0,013349;0,578851;0,565503;
0,003912;0,546090;0,542178;
0,008947;0,441730;0,432783;
0,075370;0,066640;0,008730;
0,003823;0,124172;0,120349;
0,004050;0,537158;0,533108;
0,004002;0,537158;0,533156;
0,003982;0,537158;0,533177;
0,000791;0,126437;0,125645;
0,003424;0,552247;0,548823;
0,024413;0,592987;0,568574;
0,006049;0,592987;0,586938;
0,005053;0,426077;0,421025;
0,005169;0,130053;0,124884;
0,000645;0,440095;0,439449;
0,014206;0,621075;0,606870;
0,007281;0,561897;0,554616;
0,004219;0,445626;0,441407;
0,004219;0,445626;0,441407;
0,003484;0,559591;0,556107;
0,000459;0,502513;0,502055;
0,000319;0,000000;0,000319;
0,006162;0,627140;0,620978;
0,003830;0,117226;0,113396;
0,013591;0,617413;0,603822;
0,014785;0,642003;0,627218;
0,016346;0,104590;0,088244;
0,006983;0,000000;0,006983;
0,001007;0,118458;0,117451;
0,005137;0,592524;0,587386;
0,000999;0,108331;0,107331;
0,003405;0,131150;0,127745;
0,007440;0,587250;0,579810;
0,014182;0,607971;0,593789;
0,014182;0,607971;0,593789;
0,014182;0,607971;0,593789;
0,006019;0,589136;0,583117;
0,003514;0,108552;0,105038;
0,003751;0,408166;0,404415;
0,018084;0,593743;0,575660;
0,004245;0,146629;0,142385;
0,003511;0,000000;0,003511;
0,000119;0,000000;0,000119;
0,000066;0,412363;0,412297;
0,011090;0,593037;0,581947;
0,003763;0,404839;0,401076;
0,003913;0,151517;0,147603;
0,000915;0,394532;0,393617;
0,000177;0,394532;0,394355;
0,008643;0,391047;0,382405;
0,000523;0,173655;0,173133;
0,009312;0,392966;0,383654;
0,006788;0,393169;0,386380;
0,003546;0,000000;0,003546;
0,014145;0,614204;0,600060;
0,000301;0,614204;0,613904;
0,006668;0,400853;0,394184;
0,000278;0,400271;0,399993;
0,013692;0,609058;0,595366;
0,013692;0,609058;0,595366;
0,006770;0,389064;0,382294;
0,006250;0,389064;0,382814;
0,001080;0,698524;0,697444;
0,006770;0,586567;0,579796;
0,003780;0,395039;0,391259;
0,004520;0,386983;0,382464;
0,007652;0,708176;0,700524;
0,005768;0,386304;0,380535;
0,005574;0,390374;0,384800;
0,003826;0,395468;0,391642;
0,006903;0,391310;0,384407;
