Reconstruction Coord z;Map Coord z;Error z;
1,000000;0,001592;0,998408;
0,143044;0,001592;0,141452;
0,000302;0,002844;0,002542;
0,001882;0,006551;0,004669;
0,000468;0,006551;0,006083;
0,000373;0,157800;0,157426;
0,000352;0,005410;0,005058;
0,000218;0,383763;0,383546;
0,000831;0,005747;0,004917;
0,000484;0,006678;0,006194;
0,002377;0,128314;0,125937;
0,000395;0,007516;0,007121;
0,001000;0,011080;0,010080;
0,001943;0,008215;0,006272;
0,000435;0,391012;0,390577;
0,003634;0,388970;0,385336;
0,001164;0,133948;0,132784;
0,001164;0,133948;0,132784;
0,000391;0,135132;0,134741;
0,000857;0,013872;0,013015;
0,001367;0,010926;0,009559;
0,000216;0,392435;0,392219;
0,000957;0,012087;0,011130;
0,001884;0,394774;0,392890;
0,003102;0,013990;0,010888;
0,000239;0,395049;0,394810;
0,000234;0,395049;0,394815;
0,009183;0,015753;0,006570;
0,009183;0,015753;0,006570;
0,000235;0,395115;0,394881;
0,000915;0,014756;0,013841;
0,000915;0,014756;0,013841;
0,000224;0,395783;0,395559;
0,000225;0,395895;0,395671;
0,000223;0,395895;0,395672;
0,000917;0,016669;0,015752;
0,000236;0,397612;0,397376;
0,000232;0,397612;0,397380;
0,000236;0,397953;0,397717;
0,000242;0,397930;0,397688;
0,000247;0,397985;0,397738;
0,000242;0,397985;0,397743;
0,000241;0,398287;0,398047;
0,000233;0,398701;0,398468;
0,000237;0,399654;0,399418;
0,000229;0,399654;0,399426;
0,000255;0,400819;0,400564;
0,001678;0,400972;0,399294;
0,000246;0,400942;0,400696;
0,000248;0,401163;0,400915;
0,000261;0,401419;0,401157;
0,000236;0,401561;0,401324;
0,000245;0,401501;0,401255;
0,003098;0,651216;0,648118;
0,003383;0,659615;0,656232;
0,003213;0,660191;0,656978;
0,003326;0,649161;0,645835;
0,002758;0,659810;0,657053;
0,003327;0,648472;0,645146;
0,000739;0,660267;0,659528;
0,000733;0,660267;0,659534;
0,001408;0,662278;0,660870;
0,000000;0,650801;0,650801;
0,002611;0,661635;0,659024;
0,000823;0,661635;0,660812;
0,000413;0,661635;0,661222;
0,000001;0,649312;0,649311;
0,000071;0,660479;0,660408;
0,002844;0,661369;0,658525;
0,000067;0,661369;0,661302;
0,004108;0,657803;0,653695;
0,003339;0,656263;0,652924;
0,000408;0,659876;0,659468;
0,000069;0,661222;0,661153;
0,003320;0,658038;0,654718;
0,003306;0,663360;0,660054;
0,002502;0,662400;0,659898;
0,000719;0,662400;0,661681;
0,003792;0,662269;0,658477;
0,003137;0,662003;0,658866;
0,000607;0,662003;0,661396;
0,003391;0,661866;0,658474;
0,004219;0,663123;0,658905;
0,000802;0,660322;0,659520;
0,000436;0,660050;0,659614;
0,000902;0,663555;0,662654;
0,000602;0,663555;0,662954;
0,003324;0,658256;0,654932;
0,003324;0,658256;0,654932;
0,000523;0,655551;0,655029;
0,000439;0,655551;0,655113;
0,003213;0,662959;0,659746;
0,000018;0,662959;0,662941;
0,002857;0,663392;0,660534;
0,001779;0,662385;0,660605;
0,000740;0,662385;0,661645;
0,003221;0,660198;0,656977;
0,000073;0,657836;0,657763;
0,000046;0,657836;0,657790;
0,003377;0,664870;0,661493;
0,000467;0,664870;0,664403;
0,003408;0,654725;0,651317;
0,000053;0,664094;0,664041;
0,001795;0,663709;0,661914;
0,001480;0,660420;0,658940;
0,000449;0,658829;0,658381;
0,002038;0,664563;0,662525;
0,003350;0,662524;0,659174;
0,002968;0,662524;0,659555;
0,003031;0,663405;0,660373;
0,003289;0,660591;0,657302;
0,000594;0,660591;0,659997;
0,003672;0,664018;0,660347;
0,003345;0,661431;0,658086;
0,003345;0,661431;0,658086;
0,002805;0,664937;0,662132;
0,000549;0,664465;0,663915;
0,003165;0,653847;0,650682;
0,003165;0,653847;0,650682;
0,003437;0,661096;0,657659;
0,003437;0,661096;0,657659;
0,000426;0,664620;0,664194;
0,003685;0,660305;0,656619;
0,000988;0,659341;0,658353;
0,003245;0,666146;0,662901;
0,003334;0,663433;0,660098;
0,003334;0,663433;0,660098;
0,000682;0,664374;0,663692;
0,000682;0,664374;0,663692;
0,000685;0,662309;0,661624;
0,000685;0,662309;0,661624;
0,003455;0,662494;0,659039;
0,000648;0,662494;0,661845;
0,003318;0,661774;0,658455;
0,003318;0,661774;0,658455;
0,003033;0,663769;0,660735;
0,003033;0,663769;0,660735;
0,003033;0,663769;0,660735;
0,000040;0,666283;0,666242;
0,003318;0,659984;0,656666;
0,001397;0,665116;0,663719;
0,001105;0,665116;0,664011;
0,000648;0,666168;0,665519;
0,000076;0,665567;0,665491;
0,001322;0,658009;0,656687;
0,001312;0,658009;0,656697;
0,000013;0,654683;0,654670;
0,003239;0,665090;0,661851;
0,003322;0,665133;0,661811;
0,001562;0,665133;0,663571;
0,003340;0,659723;0,656383;
0,003456;0,664032;0,660576;
0,001462;0,661049;0,659586;
0,000694;0,664105;0,663411;
0,003337;0,660598;0,657261;
0,003357;0,662251;0,658894;
0,000581;0,664467;0,663886;
0,003283;0,665636;0,662353;
0,008734;0,665138;0,656404;
0,000051;0,665138;0,665087;
0,003309;0,665720;0,662412;
0,001350;0,665720;0,664371;
0,000861;0,659172;0,658311;
0,000752;0,659172;0,658420;
0,000072;0,659172;0,659100;
0,003300;0,660888;0,657589;
0,000076;0,666961;0,666885;
0,000072;0,666961;0,666889;
0,000508;0,662770;0,662262;
0,000921;0,665255;0,664335;
0,003336;0,668036;0,664699;
0,003336;0,668036;0,664699;
0,003655;0,657830;0,654175;
0,003290;0,665473;0,662182;
0,003290;0,665473;0,662182;
0,003872;0,657830;0,653958;
0,003326;0,664650;0,661324;
0,003324;0,664141;0,660817;
0,003324;0,664141;0,660817;
0,002939;0,659974;0,657034;
0,000072;0,659974;0,659901;
0,000910;0,667561;0,666651;
0,000956;0,667808;0,666852;
0,003551;0,665386;0,661835;
0,003551;0,665386;0,661835;
0,002971;0,659652;0,656681;
0,002971;0,659652;0,656681;
0,004773;0,657611;0,652838;
0,001446;0,657611;0,656166;
0,000576;0,657611;0,657035;
0,003079;0,660403;0,657324;
0,003359;0,662870;0,659511;
0,000771;0,666668;0,665897;
0,000769;0,666690;0,665922;
0,000470;0,660390;0,659920;
0,003235;0,667350;0,664115;
0,003442;0,666737;0,663295;
0,001330;0,668938;0,667607;
0,000830;0,667194;0,666364;
0,003278;0,664044;0,660766;
0,000924;0,664044;0,663120;
0,001380;0,667689;0,666309;
0,001380;0,667689;0,666309;
0,003427;0,668522;0,665095;
0,000698;0,668522;0,667824;
0,003312;0,661665;0,658353;
0,003312;0,661665;0,658353;
0,003460;0,665298;0,661838;
0,000586;0,667241;0,666655;
0,000580;0,667241;0,666661;
0,000903;0,669030;0,668127;
0,000800;0,669030;0,668231;
0,003504;0,666141;0,662638;
0,000957;0,668250;0,667293;
0,000719;0,668250;0,667531;
0,003544;0,664503;0,660959;
0,003404;0,664819;0,661415;
0,003761;0,668268;0,664507;
0,000074;0,668965;0,668891;
0,001403;0,667194;0,665791;
0,001403;0,667194;0,665791;
0,003514;0,667277;0,663764;
0,001630;0,663884;0,662254;
0,001401;0,663884;0,662483;
0,001439;0,666616;0,665177;
0,001439;0,666616;0,665177;
0,000927;0,664919;0,663991;
0,000927;0,664919;0,663991;
0,001472;0,665946;0,664474;
0,001461;0,665946;0,664485;
0,001400;0,669537;0,668138;
0,000545;0,669537;0,668993;
0,001423;0,669797;0,668374;
0,001423;0,669797;0,668374;
