Reconstruction Coord z;Map Coord z;Error z;
0,037075;0,279287;0,242212;
0,005182;0,266523;0,261342;
0,006354;0,638034;0,631680;
0,006354;0,638034;0,631680;
0,038471;0,636605;0,598134;
0,004624;0,636605;0,631981;
0,022006;0,811032;0,789027;
0,006172;0,810687;0,804516;
0,006172;0,810687;0,804516;
0,010166;0,634728;0,624561;
0,005395;0,225620;0,220224;
0,004452;0,266093;0,261641;
0,006268;0,634392;0,628124;
0,005785;0,633359;0,627573;
0,006221;0,810888;0,804667;
0,005692;0,634044;0,628352;
0,018715;0,809697;0,790982;
0,018715;0,809697;0,790982;
0,017113;0,809697;0,792584;
0,023669;0,634255;0,610586;
0,006519;0,631630;0,625111;
0,083318;0,994625;0,911307;
0,005914;0,994625;0,988711;
0,055334;0,632760;0,577426;
0,005016;0,241896;0,236880;
0,006101;0,632934;0,626833;
0,006470;0,810270;0,803800;
0,085495;0,994093;0,908597;
0,011788;0,245608;0,233820;
0,007951;0,809569;0,801618;
0,050293;0,632132;0,581839;
0,015114;0,632132;0,617018;
0,051174;0,267746;0,216573;
0,007536;0,267746;0,260210;
0,011857;0,249361;0,237503;
0,011927;0,252787;0,240860;
0,006324;0,631195;0,624871;
0,005836;0,631195;0,625359;
0,011998;0,257031;0,245033;
0,008307;0,808783;0,800476;
0,006632;0,808783;0,802150;
0,008716;0,995566;0,986849;
0,004706;0,995566;0,990859;
0,006720;0,809599;0,802878;
0,012368;0,810201;0,797834;
0,012360;0,810201;0,797842;
0,004925;0,810201;0,805276;
0,012070;0,260797;0,248726;
0,004715;0,631765;0,627050;
0,012143;0,264832;0,252689;
0,005728;0,991250;0,985522;
0,004736;0,630745;0,626009;
0,023671;0,629267;0,605597;
0,006279;0,995510;0,989231;
0,013440;0,628010;0,614570;
0,005243;0,628010;0,622766;
0,013326;0,627377;0,614051;
0,006074;0,627377;0,621303;
0,004833;0,231184;0,226351;
0,004833;0,231184;0,226351;
0,004537;0,627751;0,623214;
0,006468;0,626432;0,619964;
0,005953;0,627733;0,621781;
0,012641;0,808159;0,795518;
0,012689;0,808299;0,795611;
0,012526;0,809604;0,797078;
0,010190;0,809604;0,799414;
0,007565;0,809604;0,802038;
0,005337;0,627909;0,622572;
0,011753;0,233929;0,222176;
0,011753;0,233929;0,222176;
0,013669;0,259717;0,246047;
0,026950;0,808888;0,781938;
0,011906;0,808888;0,796982;
0,005543;0,819599;0,814057;
0,012123;0,258760;0,246637;
0,012123;0,258760;0,246637;
0,007407;0,233842;0,226436;
0,006193;0,233716;0,227523;
0,022198;0,624190;0,601991;
0,012150;0,625052;0,612902;
0,004512;0,625052;0,620540;
0,004772;0,624702;0,619930;
0,004772;0,624702;0,619930;
0,033145;0,625951;0,592807;
0,021944;0,621931;0,599987;
0,023050;0,623344;0,600294;
0,010973;0,808762;0,797789;
0,010727;0,808762;0,798035;
0,005870;0,625106;0,619236;
0,004573;0,622594;0,618021;
0,013804;0,807649;0,793845;
0,011153;0,807649;0,796496;
0,007340;0,807649;0,800308;
0,011053;0,240083;0,229029;
0,005221;0,620679;0,615458;
0,012132;0,262946;0,250814;
0,012132;0,262946;0,250814;
0,021659;0,622586;0,600927;
0,006499;0,620891;0,614392;
0,007376;0,807007;0,799630;
0,008318;0,622378;0,614060;
0,182306;0,621870;0,439563;
0,006241;0,621870;0,615629;
0,011230;0,253721;0,242491;
0,011289;0,258388;0,247099;
0,006490;0,620590;0,614100;
0,004544;0,620590;0,616046;
0,022495;0,619199;0,596704;
0,022495;0,619199;0,596704;
0,006911;0,618804;0,611893;
0,008693;0,806778;0,798084;
0,007784;0,806778;0,798993;
0,006605;0,620541;0,613936;
0,007843;0,807769;0,799925;
0,004557;0,619078;0,614521;
0,005689;0,986125;0,980436;
0,008222;0,805939;0,797717;
0,004786;0,617623;0,612838;
0,013414;0,806665;0,793251;
0,012829;0,617410;0,604581;
0,006345;0,617410;0,611065;
0,022797;0,617570;0,594774;
0,015753;0,616710;0,600957;
0,008116;0,806567;0,798451;
0,004812;0,985341;0,980529;
0,004562;0,616170;0,611608;
0,006806;0,614753;0,607947;
0,006806;0,614753;0,607947;
0,006463;0,615260;0,608797;
0,008198;0,804617;0,796420;
0,023120;0,616541;0,593420;
0,022566;0,616304;0,593738;
0,018383;0,617267;0,598884;
0,004832;0,984730;0,979898;
0,010020;0,612596;0,602576;
0,004994;0,612596;0,607602;
0,006910;0,611447;0,604537;
0,019750;0,612373;0,592623;
0,007914;0,612373;0,604459;
0,007837;0,612395;0,604559;
0,022344;0,613358;0,591015;
0,009305;0,613358;0,604053;
0,339871;0,612724;0,272854;
0,006958;0,609804;0,602845;
0,005829;0,609804;0,603975;
0,007163;0,804176;0,797013;
0,005069;0,818304;0,813235;
0,008337;0,608332;0,599995;
0,006109;0,609099;0,602990;
0,008128;0,804085;0,795957;
0,015270;0,802535;0,787265;
0,005043;0,605675;0,600632;
0,008156;0,805604;0,797448;
0,021583;0,803916;0,782333;
0,021583;0,803916;0,782333;
0,021583;0,803916;0,782333;
0,021583;0,803916;0,782333;
0,018628;0,804561;0,785932;
0,018913;0,805951;0,787038;
0,006138;0,607710;0,601572;
0,019223;0,804426;0,785203;
0,007320;0,608391;0,601071;
0,007169;0,608391;0,601222;
0,014875;0,805134;0,790258;
0,005961;0,805134;0,799173;
0,009186;0,603254;0,594068;
0,068644;0,606031;0,537387;
0,008122;0,604060;0,595938;
0,004640;0,604060;0,599420;
0,010338;0,601937;0,591599;
0,018380;0,801814;0,783433;
0,022064;0,607501;0,585437;
0,022064;0,607501;0,585437;
0,006470;0,604828;0,598357;
0,005378;0,604456;0,599078;
0,007014;0,605004;0,597989;
0,007143;0,603636;0,596493;
0,022073;0,601807;0,579734;
0,022073;0,601807;0,579734;
0,008089;0,801142;0,793054;
0,029271;0,804284;0,775013;
0,008167;0,804284;0,796117;
0,013325;0,702721;0,689396;
0,006841;0,811421;0,804581;
0,004805;0,811421;0,806616;
0,021506;0,802585;0,781079;
0,043401;0,599197;0,555796;
0,005176;0,599197;0,594021;
0,009228;0,802894;0,793666;
0,008618;0,802894;0,794276;
0,021961;0,600334;0,578373;
0,004802;0,601937;0,597135;
0,005704;0,686875;0,681171;
0,005456;0,600481;0,595026;
0,005195;0,803648;0,798452;
0,007021;0,597434;0,590413;
0,007021;0,597434;0,590413;
0,009283;0,802751;0,793468;
0,005714;0,803868;0,798155;
0,007948;0,600262;0,592315;
0,044641;0,803009;0,758368;
0,006475;0,599790;0,593314;
0,009337;0,801849;0,792511;
0,007564;0,801849;0,794284;
0,021156;0,600965;0,579809;
0,005758;0,802325;0,796566;
0,025862;0,799906;0,774044;
0,007804;0,799906;0,792103;
0,008599;0,800780;0,792182;
0,019355;0,595462;0,576107;
0,008674;0,800685;0,792011;
0,004691;0,808879;0,804188;
0,010331;0,802987;0,792656;
0,008877;0,802987;0,794110;
0,004706;0,809427;0,804721;
0,015693;0,598314;0,582621;
0,007107;0,596527;0,589420;
0,004805;0,596527;0,591722;
0,004757;0,694260;0,689503;
0,004813;0,809516;0,804703;
0,021282;0,595015;0,573733;
0,006178;0,800582;0,794404;
0,006114;0,800069;0,793955;
0,095038;0,599961;0,504923;
0,310897;0,799434;0,488537;
0,017625;0,596572;0,578947;
0,039795;0,800568;0,760773;
0,006215;0,800568;0,794353;
0,021687;0,592559;0,570872;
0,008431;0,806153;0,797722;
0,017402;0,589866;0,572464;
0,008027;0,798167;0,790140;
0,022176;0,591907;0,569731;
0,012921;0,804397;0,791476;
0,012921;0,804397;0,791476;
0,021243;0,589277;0,568034;
0,037298;0,589385;0,552087;
0,004938;0,593580;0,588642;
0,007678;0,589650;0,581972;
0,007010;0,589650;0,582640;
0,007226;0,584969;0,577743;
0,005813;0,584969;0,579156;
0,024103;0,591231;0,567127;
0,004813;0,583397;0,578584;
0,021637;0,583203;0,561566;
0,008687;0,587486;0,578799;
0,014203;0,418061;0,403859;
0,007330;0,418061;0,410731;
0,014573;0,390138;0,375564;
0,021015;0,581171;0,560156;
0,021015;0,581171;0,560156;
0,021011;0,580458;0,559447;
0,021011;0,580458;0,559447;
0,020959;0,578849;0,557890;
0,017145;0,579730;0,562585;
0,017145;0,579730;0,562585;
0,011484;0,420139;0,408654;
0,005712;0,420139;0,414427;
0,055810;0,585877;0,530067;
0,026511;0,677653;0,651142;
0,014293;0,373668;0,359375;
0,008653;0,373668;0,365015;
0,008049;0,373523;0,365474;
0,019867;0,376998;0,357131;
0,020390;0,577777;0,557387;
0,018198;0,577777;0,559580;
0,008167;0,653659;0,645492;
0,004997;0,000000;0,004997;
0,014147;0,360547;0,346399;
0,004885;0,360547;0,355661;
0,019626;0,576985;0,557359;
0,021778;0,576144;0,554365;
0,021778;0,576144;0,554365;
0,004883;0,354378;0,349495;
0,004879;0,354378;0,349498;
0,014911;0,574234;0,559323;
0,020192;0,000000;0,020192;
0,020192;0,000000;0,020192;
0,015924;0,485568;0,469644;
0,020865;0,574334;0,553469;
0,008621;0,574334;0,565714;
0,013623;0,342305;0,328682;
0,020065;0,673070;0,653005;
0,015662;0,573842;0,558180;
0,013600;0,342079;0,328479;
0,013550;0,341181;0,327630;
0,009032;0,340464;0,331432;
0,029563;0,574758;0,545195;
0,029563;0,574758;0,545195;
0,022066;0,567917;0,545852;
0,013757;0,349036;0,335279;
0,013757;0,349036;0,335279;
0,013796;0,349282;0,335486;
0,013796;0,349282;0,335486;
0,013674;0,349156;0,335482;
0,013674;0,349156;0,335482;
0,007200;0,569107;0,561907;
0,020223;0,565181;0,544958;
0,059368;0,563660;0,504292;
0,021433;0,564040;0,542608;
0,015079;0,564040;0,548962;
0,020466;0,564796;0,544329;
0,006556;0,563630;0,557074;
0,020365;0,565440;0,545075;
0,020768;0,659933;0,639164;
0,006321;0,665747;0,659426;
0,012108;0,564916;0,552808;
0,010781;0,564916;0,554135;
0,020396;0,564505;0,544109;
0,011183;0,353005;0,341822;
0,005936;0,562268;0,556331;
0,006769;0,794093;0,787324;
0,018019;0,562053;0,544034;
0,020386;0,561526;0,541140;
0,009616;0,792898;0,783281;
0,009616;0,792898;0,783281;
0,016257;0,429477;0,413220;
0,013494;0,427656;0,414162;
0,007492;0,466372;0,458881;
0,006297;0,466372;0,460076;
0,006349;0,351797;0,345448;
0,020325;0,560834;0,540509;
0,020222;0,561507;0,541285;
0,006040;0,560985;0,554945;
0,017006;0,560134;0,543128;
0,013504;0,349165;0,335661;
0,010723;0,794088;0,783365;
0,015644;0,429458;0,413814;
0,040121;0,794629;0,754508;
0,020228;0,559864;0,539636;
0,006739;0,559864;0,553126;
0,021572;0,559265;0,537693;
0,013984;0,354874;0,340890;
0,020437;0,559721;0,539284;
0,019723;0,558186;0,538464;
0,005080;0,793262;0,788183;
0,005080;0,793262;0,788183;
0,005937;0,559712;0,553774;
0,020819;0,558119;0,537300;
0,020819;0,558119;0,537300;
1,000000;0,557913;0,442087;
0,010793;0,793976;0,783183;
0,020648;0,572055;0,551406;
0,018520;0,558541;0,540021;
0,020228;0,556971;0,536742;
0,010488;0,430810;0,420322;
0,006382;0,558786;0,552404;
0,020409;0,558446;0,538037;
0,025702;0,555853;0,530152;
0,010534;0,430912;0,420378;
0,014109;0,347905;0,333796;
0,019903;0,555208;0,535305;
0,013499;0,345778;0,332280;
0,020053;0,555717;0,535664;
0,012484;0,791974;0,779490;
0,011734;0,791974;0,780240;
0,006612;0,565394;0,558781;
0,019862;0,554819;0,534957;
0,005256;0,433216;0,427961;
0,005121;0,793606;0,788485;
0,010838;0,350813;0,339975;
0,005529;0,350813;0,345284;
0,019992;0,554047;0,534055;
0,010718;0,554971;0,544252;
0,013796;0,349093;0,335296;
0,020242;0,351288;0,331045;
0,020242;0,351288;0,331045;
0,007303;0,792330;0,785027;
0,159088;0,642630;0,483542;
0,020723;0,553851;0,533128;
0,013879;0,347075;0,333196;
0,013884;0,347075;0,333191;
0,012292;0,348589;0,336297;
0,006803;0,348589;0,341785;
0,010770;0,346439;0,335669;
0,010770;0,346439;0,335669;
0,020012;0,553525;0,533513;
0,006656;0,553284;0,546628;
0,006318;0,553284;0,546966;
0,013607;0,348137;0,334530;
0,011482;0,790542;0,779061;
0,019986;0,553203;0,533217;
0,005579;0,564440;0,558860;
0,013783;0,349457;0,335674;
0,019826;0,552140;0,532314;
0,005239;0,356915;0,351676;
0,019402;0,552418;0,533016;
0,005196;0,791823;0,786627;
0,019777;0,553691;0,533914;
0,019777;0,553691;0,533914;
0,014001;0,358256;0,344254;
0,014001;0,358256;0,344254;
0,005597;0,356277;0,350681;
0,020043;0,551677;0,531634;
0,032057;0,794008;0,761951;
0,024680;0,630781;0,606102;
0,255597;0,793022;0,537425;
0,014007;0,357585;0,343578;
0,019662;0,550990;0,531328;
0,005711;0,353751;0,348040;
0,005592;0,353751;0,348159;
0,005592;0,353751;0,348159;
0,005453;0,355607;0,350154;
0,449338;0,792494;0,343155;
0,449338;0,792494;0,343155;
0,005184;0,357036;0,351852;
0,005197;0,357540;0,352343;
0,013830;0,352139;0,338309;
0,005199;0,358966;0,353768;
0,019749;0,550010;0,530261;
0,014617;0,358590;0,343973;
0,014077;0,358590;0,344513;
0,013998;0,351592;0,337594;
0,019833;0,550010;0,530177;
0,019713;0,550010;0,530298;
0,013523;0,357353;0,343830;
0,012611;0,357353;0,344742;
0,013884;0,354784;0,340900;
0,012976;0,350446;0,337470;
0,012976;0,350446;0,337470;
0,012976;0,350446;0,337470;
0,005289;0,434473;0,429184;
0,006364;0,548471;0,542107;
0,088760;0,789267;0,700507;
0,005174;0,788917;0,783743;
0,019694;0,548681;0,528987;
0,019694;0,548681;0,528987;
0,014009;0,358772;0,344763;
0,014007;0,359504;0,345498;
0,014007;0,359504;0,345498;
0,015718;0,558089;0,542372;
0,019648;0,547759;0,528111;
0,005248;0,358220;0,352972;
0,005282;0,358836;0,353554;
0,005282;0,358836;0,353554;
0,019617;0,547877;0,528259;
0,014857;0,631660;0,616803;
0,005254;0,357030;0,351776;
0,007699;0,360428;0,352729;
0,005451;0,360428;0,354977;
0,014132;0,356398;0,342266;
0,014132;0,356398;0,342266;
0,005816;0,550155;0,544338;
0,011788;0,000000;0,011788;
0,005236;0,359805;0,354570;
0,013023;0,355629;0,342606;
0,019503;0,546481;0,526978;
0,019521;0,545645;0,526124;
0,006006;0,546527;0,540521;
0,022135;0,546332;0,524197;
0,011006;0,352801;0,341794;
0,014129;0,362499;0,348369;
0,005291;0,350771;0,345481;
0,019552;0,545055;0,525503;
0,011088;0,545583;0,534494;
0,015776;0,545818;0,530042;
0,013485;0,435479;0,421993;
0,014017;0,356305;0,342288;
0,014017;0,356305;0,342288;
0,019125;0,554980;0,535855;
0,019125;0,554980;0,535855;
0,019216;0,543777;0,524561;
0,005936;0,543777;0,537841;
