Reconstruction Coord z;Map Coord z;Error z;
0,026250;0,654066;0,627817;
0,006166;0,650846;0,644679;
0,005214;0,652432;0,647217;
0,025344;0,650406;0,625063;
0,005663;0,671789;0,666125;
0,025524;0,650453;0,624929;
0,005789;0,702255;0,696467;
0,006049;0,689001;0,682953;
0,005239;0,651443;0,646204;
0,005239;0,651443;0,646204;
0,005872;0,714616;0,708744;
0,061423;0,650550;0,589127;
0,018723;0,650868;0,632145;
0,006403;0,708065;0,701661;
0,005640;0,708065;0,702425;
0,005538;0,708065;0,702527;
0,005811;0,676321;0,670510;
0,005652;0,676321;0,670669;
0,005243;0,705807;0,700563;
0,005258;0,650938;0,645681;
0,022546;0,667975;0,645428;
0,009823;0,667975;0,658151;
0,005655;0,740100;0,734445;
0,024505;0,649185;0,624680;
0,005239;0,724350;0,719111;
0,005292;0,698661;0,693369;
0,005290;0,698661;0,693371;
0,025547;0,650282;0,624735;
1,000000;0,664104;0,335896;
0,010171;0,664104;0,653933;
0,005709;0,752525;0,746817;
0,025708;0,649004;0,623296;
0,025293;0,690060;0,664767;
0,025293;0,690060;0,664767;
0,025293;0,690060;0,664767;
0,024204;0,651636;0,627432;
0,025591;0,648691;0,623101;
0,117243;0,736325;0,619082;
0,017475;0,714872;0,697397;
0,017475;0,714872;0,697397;
0,008866;0,766079;0,757213;
0,006379;0,766079;0,759700;
0,033147;0,648317;0,615170;
0,005270;0,755892;0,750621;
0,025119;0,649805;0,624686;
0,011867;0,662759;0,650892;
0,011867;0,662759;0,650892;
0,012295;0,663566;0,651271;
0,012295;0,663566;0,651271;
0,005285;0,650702;0,645417;
0,005573;0,746072;0,740499;
0,026094;0,648435;0,622341;
0,011532;0,667461;0,655928;
0,010954;0,667461;0,656507;
0,024482;0,649516;0,625033;
0,006479;0,733513;0,727034;
0,005689;0,753530;0,747841;
0,005433;0,753530;0,748097;
0,029515;0,715625;0,686110;
0,005326;0,715625;0,710299;
0,006174;0,647983;0,641809;
0,026207;0,649465;0,623257;
0,024005;0,774142;0,750137;
0,005329;0,648750;0,643421;
0,030263;0,716325;0,686063;
0,005894;0,648124;0,642230;
0,016961;0,648295;0,631334;
0,005763;0,710146;0,704383;
0,025217;0,647502;0,622286;
0,025378;0,647487;0,622109;
0,013545;0,986259;0,972714;
0,029191;0,690114;0,660923;
0,013504;0,649592;0,636087;
0,011550;0,649592;0,638041;
0,025645;0,648063;0,622418;
0,025645;0,648063;0,622418;
0,025141;0,647439;0,622298;
0,025141;0,647439;0,622298;
0,035434;0,647836;0,612402;
0,006374;0,719235;0,712862;
0,031232;0,731988;0,700756;
0,031232;0,731988;0,700756;
0,005298;0,764296;0,758998;
0,014173;0,665125;0,650952;
0,026186;0,648327;0,622141;
0,026186;0,648327;0,622141;
0,025596;0,647619;0,622023;
0,025596;0,647619;0,622023;
0,005406;0,647232;0,641826;
0,023474;0,000000;0,023474;
0,006423;0,000000;0,006423;
0,031736;0,773084;0,741348;
0,011388;0,773084;0,761697;
0,005592;0,649285;0,643692;
0,005589;0,649285;0,643696;
0,026017;0,647525;0,621508;
0,026017;0,647525;0,621508;
0,023408;0,660654;0,637247;
0,013317;0,660654;0,647338;
0,010770;0,763693;0,752923;
0,025518;0,648577;0,623059;
0,050755;0,772165;0,721410;
0,006094;0,646899;0,640805;
0,006053;0,758330;0,752277;
0,006852;0,831014;0,824162;
0,015526;0,661505;0,645979;
0,015526;0,661505;0,645979;
0,005588;0,830798;0,825210;
0,006041;0,763882;0,757840;
0,005680;0,831121;0,825441;
0,025922;0,647169;0,621246;
0,007039;0,831284;0,824245;
0,007039;0,831284;0,824245;
0,025723;0,648452;0,622729;
0,005415;0,648452;0,643038;
0,005381;0,648452;0,643071;
0,025811;0,648530;0,622720;
0,006052;0,648530;0,642479;
0,005415;0,648530;0,643116;
0,027909;0,659940;0,632031;
0,027909;0,659940;0,632031;
0,007243;0,647384;0,640141;
0,006950;0,833145;0,826195;
0,005880;0,833145;0,827265;
0,007051;0,832024;0,824973;
0,006453;0,832024;0,825571;
0,025621;0,648007;0,622387;
0,005401;0,834013;0,828611;
0,006818;0,646881;0,640063;
0,031015;0,646378;0,615364;
0,017117;0,658446;0,641329;
0,011973;0,648031;0,636058;
0,005462;0,648031;0,642569;
0,013569;0,647826;0,634257;
