Reconstruction Coord z;Map Coord z;Error z;
0,001975;0,222872;0,220897;
0,002108;0,270418;0,268311;
0,003020;0,294050;0,291030;
0,001806;0,276991;0,275186;
0,001972;0,287986;0,286013;
0,001810;0,291440;0,289630;
0,002468;0,299339;0,296872;
0,001880;0,124141;0,122261;
0,001821;0,121995;0,120174;
0,001581;0,352100;0,350519;
0,001581;0,352100;0,350519;
0,001675;0,299429;0,297754;
0,003759;0,308315;0,304556;
0,004156;0,124508;0,120352;
0,002284;0,124508;0,122223;
0,002471;0,292417;0,289946;
0,003997;0,347658;0,343661;
0,002048;0,276419;0,274371;
0,002145;0,324984;0,322839;
0,002145;0,324984;0,322839;
0,003055;0,301362;0,298307;
0,002111;0,352914;0,350803;
0,002275;0,109715;0,107440;
0,002678;0,297108;0,294430;
0,002150;0,125780;0,123630;
0,002347;0,308263;0,305916;
0,005637;0,357313;0,351676;
0,002706;0,357313;0,354607;
0,002023;0,308278;0,306255;
0,002800;0,199384;0,196585;
0,002220;0,118786;0,116566;
0,001908;0,000000;0,001908;
0,002935;0,358975;0,356040;
0,001909;0,129438;0,127529;
0,002993;0,314121;0,311128;
0,002239;0,314121;0,311882;
0,002868;0,128341;0,125474;
0,002246;0,128341;0,126096;
0,004037;0,274701;0,270663;
0,002854;0,274701;0,271847;
0,003242;0,295249;0,292008;
0,002361;0,319366;0,317005;
0,002361;0,306838;0,304477;
0,002296;0,306838;0,304542;
0,002162;0,359956;0,357794;
0,001776;0,359956;0,358180;
0,002228;0,106878;0,104650;
0,002230;0,000000;0,002230;
0,002631;0,130093;0,127463;
0,001834;0,130093;0,128260;
0,002644;0,333497;0,330853;
0,002348;0,277844;0,275496;
0,003041;0,312535;0,309494;
0,002213;0,359391;0,357178;
0,001991;0,134513;0,132521;
0,004035;0,309746;0,305710;
0,003024;0,309746;0,306721;
0,001553;0,363811;0,362258;
0,003390;0,360866;0,357477;
0,002609;0,360866;0,358258;
0,003239;0,322156;0,318917;
0,002257;0,322156;0,319899;
0,002101;0,322156;0,320055;
0,001685;0,278809;0,277123;
0,001624;0,278809;0,277185;
0,002385;0,231243;0,228858;
0,002076;0,132805;0,130729;
