Reconstruction Coord z;Map Coord z;Error z;
0,000035;0,821493;0,821458;
0,000028;0,039171;0,039143;
0,000032;0,035265;0,035233;
0,000034;0,000000;0,000034;
0,000029;0,034682;0,034653;
0,000045;0,039656;0,039611;
0,000038;0,000000;0,000038;
0,000040;0,038288;0,038249;
0,000031;0,033510;0,033479;
0,000027;0,033510;0,033482;
0,000029;0,037008;0,036979;
0,000028;0,037008;0,036980;
0,000028;0,036825;0,036797;
0,000031;0,035832;0,035802;
0,000030;0,036386;0,036356;
0,000043;0,038087;0,038044;
0,000033;0,032729;0,032696;
0,000036;0,036048;0,036012;
0,000028;0,036048;0,036020;
0,000028;0,032084;0,032055;
0,000033;0,035672;0,035639;
0,000030;0,035672;0,035642;
0,000030;0,033900;0,033869;
0,000030;0,033900;0,033869;
0,000036;0,033468;0,033432;
0,000031;0,029073;0,029042;
0,000169;0,019332;0,019163;
0,000061;0,169588;0,169527;
0,000027;0,031347;0,031320;
0,000029;0,019163;0,019135;
0,000029;0,019163;0,019135;
0,000054;0,030280;0,030226;
0,000029;0,030280;0,030251;
0,000028;0,821151;0,821123;
0,000038;0,826123;0,826085;
0,000028;0,030336;0,030307;
0,000028;0,030336;0,030307;
0,000031;0,827001;0,826970;
0,000033;0,030568;0,030535;
0,000030;0,030568;0,030538;
0,000028;0,173595;0,173567;
0,000031;0,827636;0,827606;
0,000044;0,079276;0,079232;
0,000073;0,079285;0,079212;
0,000043;0,079285;0,079242;
0,000041;0,276473;0,276432;
0,000061;0,079317;0,079256;
0,000030;0,079848;0,079818;
0,000029;0,079848;0,079818;
0,000050;0,080219;0,080169;
0,000029;0,080219;0,080190;
0,000033;0,080220;0,080187;
0,000033;0,080220;0,080187;
0,000029;0,079780;0,079750;
0,000061;0,080406;0,080344;
0,000029;0,080406;0,080377;
0,000029;0,080700;0,080671;
0,000029;0,080258;0,080229;
0,000030;0,079566;0,079535;
0,000060;0,080315;0,080254;
0,000029;0,078140;0,078110;
0,000111;0,078104;0,077993;
0,000060;0,079983;0,079922;
0,000060;0,081146;0,081085;
0,000060;0,081146;0,081085;
0,000029;0,000000;0,000029;
0,000041;0,266203;0,266162;
0,000073;0,610045;0,609972;
0,000235;0,217233;0,216997;
0,000073;0,608723;0,608650;
0,000060;0,177177;0,177117;
0,000029;0,843980;0,843951;
0,000028;0,843980;0,843952;
0,000039;0,216369;0,216330;
0,000060;0,079802;0,079742;
0,000042;0,000000;0,000042;
0,000031;0,223548;0,223516;
0,000030;0,221629;0,221599;
0,000032;0,221740;0,221709;
0,000029;0,221740;0,221711;
1,000000;0,218612;0,781388;
0,000061;0,078733;0,078672;
0,000059;0,224304;0,224245;
0,000029;0,224304;0,224274;
0,000035;0,081588;0,081553;
0,000031;0,220484;0,220454;
0,000029;0,220484;0,220455;
0,000042;0,763081;0,763038;
0,000029;0,221426;0,221397;
0,000037;0,023267;0,023230;
0,000061;0,080359;0,080298;
0,000074;0,695964;0,695890;
0,000030;0,219417;0,219387;
0,000029;0,219417;0,219388;
0,000079;0,080716;0,080638;
0,000042;0,217847;0,217805;
0,000060;0,078356;0,078296;
0,000040;0,215244;0,215204;
0,000029;0,215244;0,215215;
0,000043;0,223293;0,223250;
0,000030;0,220062;0,220032;
0,000029;0,220062;0,220032;
0,000041;0,000000;0,000041;
0,000072;0,079890;0,079819;
0,000069;0,079890;0,079821;
0,000054;0,605797;0,605743;
0,000041;0,222671;0,222630;
0,000045;0,694388;0,694343;
0,000060;0,080167;0,080106;
0,000029;0,802659;0,802630;
0,000061;0,078392;0,078331;
0,000061;0,078392;0,078331;
0,000060;0,174347;0,174287;
0,000029;0,807102;0,807072;
0,000093;0,000000;0,000093;
0,000033;0,079182;0,079149;
0,000029;0,079182;0,079153;
0,000075;0,000000;0,000075;
0,000082;0,187357;0,187275;
0,000068;0,000000;0,000068;
0,000077;0,625774;0,625697;
0,000048;0,622969;0,622921;
0,000082;0,604614;0,604533;
0,000284;0,604155;0,603871;
0,000084;0,688506;0,688422;
0,000070;0,206507;0,206437;
0,000030;0,206507;0,206477;
0,000032;0,209067;0,209036;
0,000030;0,209067;0,209037;
0,000074;0,217430;0,217357;
0,000029;0,217430;0,217401;
0,000066;0,212432;0,212366;
0,000037;0,213357;0,213320;
0,000077;0,218174;0,218097;
0,000029;0,698546;0,698517;
0,000060;0,172287;0,172227;
0,000032;0,221137;0,221105;
0,000029;0,046376;0,046347;
0,000031;0,812833;0,812802;
0,000089;0,216210;0,216121;
0,000029;0,216210;0,216181;
0,000076;0,218723;0,218647;
0,000028;0,680381;0,680353;
0,000127;0,211167;0,211040;
0,000030;0,214168;0,214137;
0,000028;0,214168;0,214139;
0,000032;0,220766;0,220734;
0,000031;0,813318;0,813288;
0,000078;0,218803;0,218726;
0,000178;0,723250;0,723073;
0,000033;0,703124;0,703091;
0,000029;0,029246;0,029216;
0,000032;0,218640;0,218608;
0,000033;0,219522;0,219490;
0,000028;0,217405;0,217377;
0,000109;0,817594;0,817485;
0,000109;0,817594;0,817485;
0,000036;0,000000;0,000036;
0,000031;0,062421;0,062390;
0,000031;0,062421;0,062390;
0,000031;0,816311;0,816280;
0,000031;0,816311;0,816280;
0,000059;0,067352;0,067293;
0,000029;0,000000;0,000029;
0,000059;0,172245;0,172186;
0,000029;0,228101;0,228072;
0,000036;0,687634;0,687598;
0,000097;0,070421;0,070324;
0,000029;0,070421;0,070392;
0,000203;0,233962;0,233759;
0,000029;0,233962;0,233933;
0,000061;0,057331;0,057270;
0,000061;0,057331;0,057270;
0,000030;0,701800;0,701770;
0,000033;0,223902;0,223869;
0,000033;0,225345;0,225313;
0,000117;0,229376;0,229259;
0,000031;0,086087;0,086057;
0,000034;0,159239;0,159206;
0,000029;0,159239;0,159211;
0,000059;0,066503;0,066445;
0,000059;0,066503;0,066445;
0,000658;0,234146;0,233489;
0,000658;0,234146;0,233489;
0,000059;0,182054;0,181996;
0,000051;0,237703;0,237651;
0,000033;0,237703;0,237670;
0,000031;0,237983;0,237952;
0,000061;0,000000;0,000061;
0,000061;0,000000;0,000061;
0,000056;0,037299;0,037243;
0,000056;0,037299;0,037243;
0,000056;0,037299;0,037243;
0,000056;0,037299;0,037243;
0,000056;0,037299;0,037243;
0,000080;0,268578;0,268498;
0,000031;0,039412;0,039381;
0,000038;0,000000;0,000038;
0,000051;0,298966;0,298915;
0,000067;0,152974;0,152907;
0,000033;0,139399;0,139366;
0,000065;0,153660;0,153595;
0,000031;0,214568;0,214537;
0,000031;0,143099;0,143068;
0,000036;0,207151;0,207115;
0,000032;0,207151;0,207119;
0,000030;0,681222;0,681192;
0,000030;0,302575;0,302545;
0,000074;0,215189;0,215115;
0,000068;0,142548;0,142480;
0,000074;0,208155;0,208081;
0,000029;0,208155;0,208126;
0,000052;0,263443;0,263391;
0,000033;0,009110;0,009077;
0,000031;0,009110;0,009079;
0,000059;0,170331;0,170272;
0,000055;0,073890;0,073835;
0,000055;0,302135;0,302080;
0,000055;0,302135;0,302080;
0,000059;0,061230;0,061171;
0,000030;0,061230;0,061200;
0,000030;0,597659;0,597629;
0,000005;0,077836;0,077831;
0,000073;0,211320;0,211247;
0,000058;0,048874;0,048817;
0,000057;0,048874;0,048817;
0,000068;0,149343;0,149276;
0,000090;0,198368;0,198278;
0,000059;0,036987;0,036928;
0,000031;0,000000;0,000031;
0,000136;0,153807;0,153671;
0,000057;0,044984;0,044927;
0,000057;0,044984;0,044927;
0,000195;0,225565;0,225370;
0,000036;0,225565;0,225530;
0,000064;0,000000;0,000064;
0,000057;0,000000;0,000057;
0,000214;0,184273;0,184060;
0,000031;0,184273;0,184243;
0,000103;0,175986;0,175883;
0,000038;0,141736;0,141698;
0,000107;0,173545;0,173439;
0,000054;0,173545;0,173492;
0,000256;0,230905;0,230649;
0,000038;0,179093;0,179055;
0,000032;0,179093;0,179060;
0,000031;0,170476;0,170445;
0,000031;0,207586;0,207556;
0,000041;0,008515;0,008473;
0,000030;0,000000;0,000030;
0,000031;0,141303;0,141272;
0,000032;0,142059;0,142028;
0,000031;0,142059;0,142028;
0,000030;0,838400;0,838370;
0,000034;0,122674;0,122640;
0,000035;0,198315;0,198280;
0,000034;0,166324;0,166289;
0,000030;0,841310;0,841281;
0,000034;0,165127;0,165093;
0,000034;0,165127;0,165093;
0,000038;0,165778;0,165740;
0,000039;0,166167;0,166127;
0,000034;0,121847;0,121813;
0,000032;0,121847;0,121815;
0,000052;0,167518;0,167466;
0,000040;0,167518;0,167477;
0,000035;0,154593;0,154558;
0,000039;0,165175;0,165136;
0,000033;0,165175;0,165143;
0,000035;0,148184;0,148150;
0,000040;0,166615;0,166575;
0,000049;0,676718;0,676668;
0,000032;0,167409;0,167377;
0,000032;0,167409;0,167377;
0,000041;0,159622;0,159581;
0,000032;0,159622;0,159590;
0,000043;0,167443;0,167400;
0,000037;0,163930;0,163893;
0,000037;0,163930;0,163893;
0,000042;0,168050;0,168008;
0,000033;0,168050;0,168016;
0,000037;0,162903;0,162866;
0,000033;0,162903;0,162870;
0,000041;0,167172;0,167131;
0,000038;0,677334;0,677296;
0,000065;0,152895;0,152829;
0,000064;0,152895;0,152831;
0,000047;0,000000;0,000047;
0,000035;0,000000;0,000035;
0,000041;0,168346;0,168305;
0,000038;0,168346;0,168308;
0,000033;0,160954;0,160921;
0,000038;0,167370;0,167332;
0,000038;0,167370;0,167332;
0,000038;0,166138;0,166100;
0,000066;0,162140;0,162074;
