Reconstruction Coord z;Map Coord z;Error z;
0,002274;0,510545;0,508272;
0,002265;0,510545;0,508280;
0,009702;0,510584;0,500881;
0,009702;0,510584;0,500881;
0,003966;0,512413;0,508447;
0,014763;0,500021;0,485258;
0,008407;0,071133;0,062726;
0,009207;0,476770;0,467563;
0,011264;0,517044;0,505781;
0,002307;0,517044;0,514737;
0,002692;0,523101;0,520409;
0,002328;0,523101;0,520773;
0,002300;0,526067;0,523767;
0,002338;0,494468;0,492130;
0,003548;0,519869;0,516321;
0,003031;0,496836;0,493806;
0,003555;0,537272;0,533717;
0,003707;0,521350;0,517644;
0,002313;0,497295;0,494981;
0,003656;0,553017;0,549361;
0,003626;0,520697;0,517071;
0,002337;0,500167;0,497831;
0,002797;0,504812;0,502015;
0,002393;0,504812;0,502419;
0,003132;0,498868;0,495735;
0,004561;0,525588;0,521027;
0,004583;0,528513;0,523929;
0,018547;0,537800;0,519254;
0,003916;0,503864;0,499948;
0,002813;0,508498;0,505685;
0,002329;0,515978;0,513650;
0,002814;0,520872;0,518058;
0,002321;0,520872;0,518551;
0,002408;0,517485;0,515077;
0,040521;0,531856;0,491335;
0,002312;0,535368;0,533057;
0,002614;0,578403;0,575788;
0,002530;0,537851;0,535321;
0,004452;0,343167;0,338715;
0,003968;0,519526;0,515558;
0,006029;0,503712;0,497683;
0,003121;0,520565;0,517444;
0,002258;0,537061;0,534803;
0,002688;0,000000;0,002688;
0,002484;0,518832;0,516349;
0,002447;0,522666;0,520220;
0,002512;0,503087;0,500574;
0,002295;0,527510;0,525215;
0,002344;0,519035;0,516691;
0,002327;0,507898;0,505570;
0,002279;0,523131;0,520853;
0,003053;0,539484;0,536432;
0,016345;0,513779;0,497434;
0,002317;0,541080;0,538763;
0,023007;0,542521;0,519514;
0,016660;0,532086;0,515426;
0,002722;0,506009;0,503287;
0,002263;0,525289;0,523026;
0,002263;0,525289;0,523026;
0,002721;0,523516;0,520795;
0,002469;0,512776;0,510307;
0,002462;0,523064;0,520602;
0,002421;0,537577;0,535157;
0,002382;0,527068;0,524686;
0,005027;0,039480;0,034453;
0,002343;0,040960;0,038618;
0,002371;0,508779;0,506408;
0,003341;0,513991;0,510649;
0,003140;0,513991;0,510850;
0,002444;0,544500;0,542056;
0,002255;0,544500;0,542245;
0,002283;0,045920;0,043637;
0,007590;0,049519;0,041929;
0,002307;0,509558;0,507251;
0,002291;0,048414;0,046123;
0,002290;0,536027;0,533736;
0,002290;0,536027;0,533736;
0,012903;0,546823;0,533920;
0,006130;0,053884;0,047754;
0,002396;0,053884;0,051488;
0,004736;0,527764;0,523028;
0,003342;0,531706;0,528364;
0,002646;0,523370;0,520724;
0,002416;0,548397;0,545982;
0,002373;0,548397;0,546024;
0,003799;0,536648;0,532849;
