Reconstruction Coord z;Map Coord z;Error z;
0,000979;0,000000;0,000979;
0,000975;0,000000;0,000975;
0,001060;0,000000;0,001060;
0,000816;0,000000;0,000816;
0,004069;0,000000;0,004069;
0,000989;0,000000;0,000989;
0,003472;0,000000;0,003472;
0,000991;0,000000;0,000991;
0,003785;0,000000;0,003785;
0,000976;0,000000;0,000976;
0,003235;0,233125;0,229890;
0,001290;0,219064;0,217775;
0,003549;0,000000;0,003549;
0,001098;0,000000;0,001098;
0,001456;0,000000;0,001456;
0,003213;0,000000;0,003213;
0,001177;0,281822;0,280644;
0,001454;0,328035;0,326581;
0,000785;0,328035;0,327249;
0,001111;0,311229;0,310119;
0,003551;0,279974;0,276423;
0,001326;0,000000;0,001326;
0,003444;0,247420;0,243976;
0,003444;0,247420;0,243976;
0,003485;0,250860;0,247375;
0,000781;0,000000;0,000781;
0,000803;0,000000;0,000803;
0,001153;0,276875;0,275721;
0,001332;0,296118;0,294787;
0,001332;0,296118;0,294787;
0,001192;0,290937;0,289745;
0,003610;0,283671;0,280061;
0,000831;0,293016;0,292185;
0,000812;0,282447;0,281635;
0,001224;0,294396;0,293172;
0,003694;0,274839;0,271145;
0,003694;0,274839;0,271145;
0,003670;0,289627;0,285956;
0,000806;0,000000;0,000806;
0,003596;0,476713;0,473117;
0,000812;0,000000;0,000812;
0,000808;0,297498;0,296690;
0,000965;0,384674;0,383709;
0,000889;0,390444;0,389555;
0,001271;0,381368;0,380097;
0,031025;0,382696;0,351671;
0,001369;0,382696;0,381327;
0,003556;0,000000;0,003556;
0,003556;0,000000;0,003556;
0,000966;0,389284;0,388318;
0,001209;0,395700;0,394491;
0,001168;0,384187;0,383019;
0,001888;0,405855;0,403967;
0,001163;0,389151;0,387987;
0,001378;0,396578;0,395200;
0,001284;0,383371;0,382087;
0,001322;0,410633;0,409311;
0,002559;0,388661;0,386102;
0,000764;0,416382;0,415618;
0,004112;0,391080;0,386967;
0,001377;0,000000;0,001377;
0,003411;0,000000;0,003411;
