Reconstruction Coord z;Map Coord z;Error z;
0,001885;0,531102;0,529218;
0,001436;0,094594;0,093158;
0,001981;0,098504;0,096523;
0,005611;0,098479;0,092868;
0,002699;0,095790;0,093091;
0,001421;0,095790;0,094368;
0,005622;0,097519;0,091897;
0,005622;0,097519;0,091897;
0,005620;0,096573;0,090953;
0,005620;0,096573;0,090953;
0,001428;0,535462;0,534033;
0,005588;0,096247;0,090659;
0,005588;0,096247;0,090659;
0,001497;0,536872;0,535375;
0,012340;0,535854;0,523514;
0,001586;0,535854;0,534268;
0,001525;0,535854;0,534329;
0,003184;0,097899;0,094715;
0,005621;0,538485;0,532864;
0,001594;0,537800;0,536206;
0,002296;0,097648;0,095352;
0,001460;0,097648;0,096188;
0,001477;0,539469;0,537992;
0,001966;0,538998;0,537032;
0,002191;0,524397;0,522207;
0,001659;0,524397;0,522739;
0,005642;0,101757;0,096115;
0,062798;0,539670;0,476871;
0,027509;0,541215;0,513706;
0,007131;0,099544;0,092413;
0,001432;0,099544;0,098111;
0,005738;0,543508;0,537771;
0,001709;0,543508;0,541799;
0,005745;0,101219;0,095474;
0,001420;0,101219;0,099799;
0,003974;0,544366;0,540392;
0,003974;0,544011;0,540036;
0,001807;0,000000;0,001807;
0,005687;0,102287;0,096600;
0,002701;0,000000;0,002701;
0,003081;0,110659;0,107578;
0,001885;0,114630;0,112745;
0,005706;0,110336;0,104630;
0,001809;0,160754;0,158945;
0,014985;0,554607;0,539622;
0,003597;0,556508;0,552911;
0,001880;0,556508;0,554628;
0,002358;0,543403;0,541045;
0,002057;0,543403;0,541346;
0,001473;0,111897;0,110425;
0,002050;0,567358;0,565308;
0,002050;0,567358;0,565308;
0,001902;0,112701;0,110799;
0,006820;0,561745;0,554924;
0,002075;0,561745;0,559670;
0,001452;0,561745;0,560293;
1,000000;0,112418;0,887582;
0,002527;0,544679;0,542152;
0,001771;0,544679;0,542908;
0,002212;0,564763;0,562551;
0,005744;0,112666;0,106921;
0,005839;0,114379;0,108540;
0,005839;0,114379;0,108540;
0,008572;0,571610;0,563038;
0,001721;0,571610;0,569889;
0,013367;0,571769;0,558402;
0,013367;0,571769;0,558402;
0,001441;0,115014;0,113573;
0,002072;0,561991;0,559919;
0,006234;0,117390;0,111156;
0,040003;0,567736;0,527733;
0,001497;0,567736;0,566239;
0,001557;0,570973;0,569416;
0,018510;0,475467;0,456957;
0,002175;0,575022;0,572847;
0,002119;0,575022;0,572903;
0,005879;0,121421;0,115542;
0,002790;0,118757;0,115967;
0,002886;0,117730;0,114843;
0,002764;0,117730;0,114966;
0,003997;0,574397;0,570400;
0,001823;0,568866;0,567043;
0,001722;0,568866;0,567144;
0,001526;0,575634;0,574107;
0,001598;0,320568;0,318970;
0,002914;0,117470;0,114556;
0,001941;0,117470;0,115529;
0,014543;0,367686;0,353144;
0,001695;0,576037;0,574342;
0,002225;0,577187;0,574962;
0,002297;0,579429;0,577132;
0,002297;0,579429;0,577132;
0,001905;0,573259;0,571354;
0,005691;0,121140;0,115449;
0,001510;0,286189;0,284679;
0,008335;0,315010;0,306675;
0,001921;0,315010;0,313089;
0,002256;0,575978;0,573722;
0,001925;0,580651;0,578726;
0,009060;0,195086;0,186025;
0,001743;0,195086;0,193342;
0,001743;0,195086;0,193342;
0,001974;0,322265;0,320291;
0,001520;0,580331;0,578811;
0,005878;0,121744;0,115866;
0,005876;0,119912;0,114035;
0,005979;0,125267;0,119287;
0,001489;0,125267;0,123777;
0,005868;0,131853;0,125986;
0,005884;0,124096;0,118212;
0,005884;0,124096;0,118212;
0,006110;0,132432;0,126322;
0,002463;0,163107;0,160644;
0,002463;0,163107;0,160644;
0,001494;0,173143;0,171649;
0,001485;0,173052;0,171567;
0,001472;0,173052;0,171580;
0,002009;0,161812;0,159803;
0,001487;0,442347;0,440860;
0,001487;0,442347;0,440860;
0,001745;0,589126;0,587381;
0,001490;0,129022;0,127532;
0,005623;0,591649;0,586026;
0,001488;0,134426;0,132938;
0,002146;0,218249;0,216103;
0,002100;0,000000;0,002100;
0,002100;0,000000;0,002100;
0,001464;0,146603;0,145139;
0,005988;0,128382;0,122394;
0,001478;0,128382;0,126904;
0,002519;0,509027;0,506508;
0,001834;0,509027;0,507193;
0,001466;0,509027;0,507562;
0,001634;0,142599;0,140964;
