Reconstruction Coord z;Map Coord z;Error z;
0,006174;0,131493;0,125319;
0,002180;0,131493;0,129313;
0,003130;0,295313;0,292183;
0,012224;0,241014;0,228791;
0,006054;0,134191;0,128137;
0,005443;0,134191;0,128748;
0,015088;0,297492;0,282404;
0,003192;0,297492;0,294300;
0,005622;0,175526;0,169904;
0,002170;0,175526;0,173356;
0,005593;0,303470;0,297877;
0,002155;0,303470;0,301314;
0,003793;0,595297;0,591505;
0,002653;0,177597;0,174943;
0,007202;0,293705;0,286502;
0,002204;0,178459;0,176256;
0,004403;0,176334;0,171931;
0,003328;0,307138;0,303810;
0,005309;0,602789;0,597480;
0,002748;0,602789;0,600042;
0,004680;0,178669;0,173989;
0,002169;0,305395;0,303226;
0,016005;0,299191;0,283185;
0,004779;0,299191;0,294412;
0,004738;0,307288;0,302550;
0,010083;0,607204;0,597122;
0,005702;0,607204;0,601503;
0,022566;0,176090;0,153524;
0,002211;0,176090;0,173879;
0,005862;0,307324;0,301461;
0,007887;0,181692;0,173804;
0,007445;0,181692;0,174246;
0,002690;0,304692;0,302002;
0,002166;0,304692;0,302527;
0,002182;0,179295;0,177113;
0,002231;0,303122;0,300892;
0,005504;0,301657;0,296153;
0,005711;0,178602;0,172891;
0,010500;0,179305;0,168805;
0,003181;0,310519;0,307338;
0,002893;0,603817;0,600923;
0,007050;0,614617;0,607567;
0,007050;0,614617;0,607567;
0,004909;0,310090;0,305181;
0,005875;0,307656;0,301781;
0,002179;0,307656;0,305477;
0,018267;0,305380;0,287114;
0,004419;0,308464;0,304045;
0,007174;0,615793;0,608620;
0,007174;0,615793;0,608620;
0,005740;0,307051;0,301311;
0,011084;0,587497;0,576413;
0,003781;0,587497;0,583716;
0,004940;0,310421;0,305481;
0,004953;0,313115;0,308162;
0,002656;0,313115;0,310459;
0,008148;0,181761;0,173613;
0,008148;0,181761;0,173613;
0,002190;0,303940;0,301751;
0,007869;0,150542;0,142673;
0,005360;0,306951;0,301591;
0,005064;0,185413;0,180349;
0,002636;0,588373;0,585736;
0,002636;0,588373;0,585736;
0,033625;0,185913;0,152288;
0,033908;0,185973;0,152065;
0,018143;0,599516;0,581373;
0,002244;0,599516;0,597272;
0,040310;0,154046;0,113737;
0,004683;0,594919;0,590236;
0,006193;0,620187;0,613994;
0,017927;0,599463;0,581536;
0,018129;0,602279;0,584151;
0,005308;0,604872;0,599563;
0,002510;0,604872;0,602362;
0,050989;0,616678;0,565689;
0,002245;0,616678;0,614433;
0,017952;0,599319;0,581367;
0,002198;0,333088;0,330890;
0,005637;0,192999;0,187361;
0,008231;0,620251;0,612020;
0,005711;0,602021;0,596311;
0,003116;0,598781;0,595665;
0,003020;0,598781;0,595761;
0,007343;0,321406;0,314063;
0,003565;0,321406;0,317841;
0,009297;0,604143;0,594847;
0,018845;0,612674;0,593830;
0,003744;0,612674;0,608930;
0,006828;0,606855;0,600027;
0,005696;0,020756;0,015060;
0,002820;0,020756;0,017936;
0,005700;0,195903;0,190203;
0,002825;0,195903;0,193078;
0,005597;0,019790;0,014193;
0,005597;0,019790;0,014193;
0,002201;0,612061;0,609860;
0,002199;0,612061;0,609861;
0,003230;0,340595;0,337364;
0,003463;0,324014;0,320551;
0,003463;0,324014;0,320551;
0,010391;0,337003;0,326612;
0,010391;0,337003;0,326612;
0,007805;0,016916;0,009110;
0,005229;0,615582;0,610353;
0,017565;0,601155;0,583590;
0,017565;0,601155;0,583590;
0,018257;0,603506;0,585249;
0,018257;0,603506;0,585249;
0,002456;0,615390;0,612934;
0,018984;0,615224;0,596240;
0,003001;0,615224;0,612223;
0,010456;0,605320;0,594864;
0,002898;0,633767;0,630870;
0,002512;0,617571;0,615059;
0,021903;0,626842;0,604939;
0,007384;0,626842;0,619458;
0,002393;0,610020;0,607628;
0,002884;0,022496;0,019612;
0,002215;0,022496;0,020281;
0,017502;0,608839;0,591337;
0,002245;0,016986;0,014741;
0,003381;0,618443;0,615062;
0,010951;0,617983;0,607032;
0,002243;0,617983;0,615740;
0,005692;0,630526;0,624834;
0,022943;0,619043;0,596100;
0,012264;0,611169;0,598905;
0,002909;0,019252;0,016343;
0,006464;0,613080;0,606615;
0,002412;0,613080;0,610668;
0,002201;0,021220;0,019019;
0,002234;0,000000;0,002234;
0,002875;0,638753;0,635878;
0,002235;0,638753;0,636518;
0,018383;0,609834;0,591451;
0,018383;0,609834;0,591451;
0,009266;0,637648;0,628382;
0,002993;0,603272;0,600279;
0,023126;0,620675;0,597549;
0,002658;0,620963;0,618305;
0,003574;0,620118;0,616544;
0,002653;0,620118;0,617465;
0,004871;0,621466;0,616595;
0,010035;0,621791;0,611756;
0,018321;0,610706;0,592385;
0,009812;0,000000;0,009812;
0,002264;0,616416;0,614152;
0,004458;0,623036;0,618579;
0,002614;0,624211;0,621597;
0,033636;0,624344;0,590708;
0,006871;0,624344;0,617472;
0,002246;0,335192;0,332947;
0,009863;0,202713;0,192850;
0,004313;0,354105;0,349792;
0,015961;0,346724;0,330763;
0,002223;0,346724;0,344501;
0,006014;0,625002;0,618988;
0,018149;0,616936;0,598786;
0,005180;0,614108;0,608928;
0,002280;0,625082;0,622802;
0,004189;0,626821;0,622632;
0,002678;0,626821;0,624143;
0,002258;0,626821;0,624562;
0,010381;0,332235;0,321853;
0,004036;0,335853;0,331818;
0,014174;0,616706;0,602532;
0,003035;0,628266;0,625231;
0,002244;0,628266;0,626022;
0,002413;0,627879;0,625466;
0,004952;0,618752;0,613800;
0,018907;0,612510;0,593603;
0,018907;0,612510;0,593603;
0,004697;0,612510;0,607813;
0,003025;0,612510;0,609485;
0,010094;0,336273;0,326178;
0,017849;0,621825;0,603976;
0,006572;0,630470;0,623898;
0,004655;0,630205;0,625550;
0,019014;0,612852;0,593837;
0,004869;0,621394;0,616525;
0,010677;0,631530;0,620853;
0,004433;0,631530;0,627097;
0,018372;0,617991;0,599619;
0,017522;0,614697;0,597175;
0,009480;0,623087;0,613606;
0,008277;0,623087;0,614810;
0,008277;0,623087;0,614810;
0,013429;0,616129;0,602701;
0,007216;0,616129;0,608913;
0,007699;0,621403;0,613704;
0,019137;0,353878;0,334741;
0,018375;0,618099;0,599724;
0,011546;0,342096;0,330550;
0,018839;0,622713;0,603875;
0,008429;0,622713;0,614284;
0,004883;0,636911;0,632027;
0,017671;0,628797;0,611125;
0,003811;0,636512;0,632701;
0,018904;0,624790;0,605886;
0,005656;0,624790;0,619134;
0,018878;0,626558;0,607680;
0,005054;0,627632;0,622578;
0,003151;0,627632;0,624481;
0,002313;0,640806;0,638493;
0,039298;0,364893;0,325595;
0,039298;0,364893;0,325595;
0,019070;0,628401;0,609330;
0,007335;0,364884;0,357549;
0,003145;0,642335;0,639190;
0,002750;0,623152;0,620403;
0,019143;0,626097;0,606954;
0,010065;0,628575;0,618509;
0,005082;0,645000;0,639919;
0,002768;0,646321;0,643554;
0,003081;0,367149;0,364068;
0,003081;0,367149;0,364068;
0,002256;0,646130;0,643875;
0,002256;0,646130;0,643875;
0,004248;0,647039;0,642791;
0,002903;0,626795;0,623892;
0,003096;0,368681;0,365586;
0,002270;0,368681;0,366411;
0,118474;0,367966;0,249492;
0,274500;0,371459;0,096958;
0,274500;0,371459;0,096958;
0,002294;0,380783;0,378489;
0,119024;0,636287;0,517263;
0,007252;0,636287;0,629035;
0,016677;0,361092;0,344416;
0,016677;0,361092;0,344416;
0,019394;0,638445;0,619051;
0,011950;0,638332;0,626382;
0,005735;0,638332;0,632597;
0,019412;0,640763;0,621352;
0,019412;0,640763;0,621352;
0,020201;0,352410;0,332208;
0,007782;0,352410;0,344628;
