Reconstruction Coord z;Map Coord z;Error z;
0,021776;0,208347;0,186570;
0,032313;0,287354;0,255041;
0,022823;0,268107;0,245284;
0,023212;0,247181;0,223969;
0,022614;0,236067;0,213453;
0,031676;0,239844;0,208168;
0,023833;0,239844;0,216011;
0,084439;0,253650;0,169212;
0,022815;0,257129;0,234314;
0,089810;0,000000;0,089810;
0,089488;0,410839;0,321351;
0,095193;0,596451;0,501257;
0,100240;0,302787;0,202546;
0,088332;0,413823;0,325491;
0,088332;0,413823;0,325491;
0,020612;0,314968;0,294356;
0,020612;0,314968;0,294356;
0,024694;0,322911;0,298217;
0,020652;0,337152;0,316500;
0,020652;0,337152;0,316500;
0,024495;0,328815;0,304320;
0,045136;0,339425;0,294289;
0,035942;0,339425;0,303482;
0,020233;0,473418;0,453185;
0,039305;0,337397;0,298092;
0,028124;0,337397;0,309273;
0,020074;0,339849;0,319775;
0,020074;0,339849;0,319775;
0,040212;0,482052;0,441840;
0,032370;0,343879;0,311510;
0,032370;0,343879;0,311510;
0,038392;0,340954;0,302561;
0,076779;0,345050;0,268272;
0,021585;0,488421;0,466836;
0,022680;0,490655;0,467975;
0,022680;0,490655;0,467975;
0,064281;0,091788;0,027507;
0,025318;0,081152;0,055834;
0,023849;0,081152;0,057303;
0,030415;0,473287;0,442872;
0,062634;0,080103;0,017469;
0,062707;0,000000;0,062707;
0,062707;0,000000;0,062707;
0,119216;0,460601;0,341384;
0,119216;0,460601;0,341384;
0,024566;0,553843;0,529277;
0,020780;0,553843;0,533063;
0,067150;0,552224;0,485074;
0,020860;0,462873;0,442013;
0,020702;0,578984;0,558282;
0,028836;0,466157;0,437321;
0,041270;0,056857;0,015587;
0,020967;0,579529;0,558562;
0,025817;0,469528;0,443712;
0,120838;0,469663;0,348825;
0,027807;0,473101;0,445293;
0,021049;0,473101;0,452051;
0,065313;0,474117;0,408803;
0,064357;0,576982;0,512624;
0,020736;0,576982;0,556246;
0,070907;0,107532;0,036626;
0,024442;0,478495;0,454054;
0,134541;0,479892;0,345350;
0,069695;0,479892;0,410197;
0,087852;0,585756;0,497904;
0,025257;0,585756;0,560500;
0,031295;0,000000;0,031295;
0,023826;0,000000;0,023826;
0,031319;0,102189;0,070869;
0,023833;0,102189;0,078356;
0,026444;0,527312;0,500869;
0,041230;0,486670;0,445440;
0,021186;0,181419;0,160233;
0,075088;0,518193;0,443105;
0,023920;0,518193;0,494273;
0,072429;0,163500;0,091071;
0,072429;0,163500;0,091071;
0,912825;0,586265;0,326560;
0,022454;0,587000;0,564546;
0,020993;0,587000;0,566007;
0,021077;0,198833;0,177757;
0,070072;0,481118;0,411045;
0,070072;0,481118;0,411045;
0,499313;0,189012;0,310301;
0,050958;0,202018;0,151060;
0,319479;0,199633;0,119845;
0,028797;0,528280;0,499483;
0,021225;0,194950;0,173725;
0,021225;0,194950;0,173725;
0,066130;0,153848;0,087718;
0,021142;0,214506;0,193363;
0,020946;0,212277;0,191331;
0,020946;0,212277;0,191331;
0,055694;0,530141;0,474447;
