Reconstruction Coord z;Map Coord z;Error z;
0,008344;0,591740;0,583396;
0,008344;0,591740;0,583396;
0,019285;0,439839;0,420555;
0,003756;0,439839;0,436084;
0,019558;0,474102;0,454544;
0,019558;0,474102;0,454544;
0,005278;0,566161;0,560882;
0,003713;0,000000;0,003713;
0,012006;0,607824;0,595818;
0,003707;0,607824;0,604117;
0,012661;0,000000;0,012661;
0,007185;0,000000;0,007185;
0,008576;0,540591;0,532015;
0,006305;0,540591;0,534287;
0,010366;0,000000;0,010366;
0,009282;0,538823;0,529541;
0,003774;0,538823;0,535049;
0,006192;0,558913;0,552721;
0,005721;0,558913;0,553191;
0,003686;0,556114;0,552428;
0,010082;0,556114;0,546032;
0,004874;0,000000;0,004874;
0,003810;0,659763;0,655953;
0,040811;0,592536;0,551725;
0,005083;0,547457;0,542373;
0,003712;0,547457;0,543744;
0,008836;0,665892;0,657056;
0,162502;0,595879;0,433378;
0,025336;0,595879;0,570544;
0,011244;0,549741;0,538497;
0,006269;0,549741;0,543473;
0,020241;0,500409;0,480168;
0,087341;0,545834;0,458493;
0,007123;0,545834;0,538710;
0,007822;0,528819;0,520997;
0,003724;0,528819;0,525094;
0,003835;0,543549;0,539714;
0,003716;0,543549;0,539833;
0,003759;0,540096;0,536336;
0,003801;0,517412;0,513611;
0,003837;0,507648;0,503810;
0,099891;0,494012;0,394121;
0,099891;0,494012;0,394121;
0,008052;0,433668;0,425616;
0,003980;0,433668;0,429688;
0,003943;0,446829;0,442886;
0,005513;0,460434;0,454920;
0,003927;0,460434;0,456506;
0,003867;0,410604;0,406737;
0,003863;0,410604;0,406741;
0,003913;0,408636;0,404723;
0,011162;0,466085;0,454922;
0,005788;0,466085;0,460296;
0,003844;0,415488;0,411644;
0,004016;0,397976;0,393960;
0,018624;0,374528;0,355904;
0,019238;0,398728;0,379490;
0,017918;0,374843;0,356925;
0,003849;0,372593;0,368744;
0,009923;0,372038;0,362115;
0,009923;0,372038;0,362115;
0,004078;0,365538;0,361460;
0,003842;0,373131;0,369289;
0,004009;0,374371;0,370363;
0,013758;0,376553;0,362796;
0,003805;0,376247;0,372441;
0,003805;0,376247;0,372441;
0,006090;0,376044;0,369954;
0,003942;0,400744;0,396802;
0,003821;0,400744;0,396922;
0,018681;0,378202;0,359521;
0,018681;0,378202;0,359521;
0,011290;0,775041;0,763750;
0,003829;0,398697;0,394868;
0,000000;0,358505;0,358505;
0,016434;0,386061;0,369626;
0,003833;0,395511;0,391677;
0,003839;0,829597;0,825758;
0,017253;0,346752;0,329499;
0,009040;0,404623;0,395584;
0,006862;0,841551;0,834688;
0,003835;0,841551;0,837716;
0,017402;0,347979;0,330577;
0,007106;0,344047;0,336942;
0,017531;0,350466;0,332935;
0,018088;0,347913;0,329825;
0,017688;0,356320;0,338633;
0,000056;0,868261;0,868206;
0,016730;0,899359;0,882629;
0,040413;0,849321;0,808908;
0,004092;0,845659;0,841567;
0,004331;0,937080;0,932749;
0,009370;0,850320;0,840949;
0,038953;0,862854;0,823901;
0,000108;0,862854;0,862745;
0,044871;0,863661;0,818790;
0,009529;0,863661;0,854132;
0,005754;0,939418;0,933664;
0,004062;0,858141;0,854079;
0,003906;0,924479;0,920573;
0,004097;0,837555;0,833458;
0,022392;0,705034;0,682642;
0,006000;0,705034;0,699034;
0,042881;0,716774;0,673893;
0,018313;0,716774;0,698461;
0,038350;0,922938;0,884588;
0,004074;0,915111;0,911037;
0,000623;0,915111;0,914488;
0,004160;0,928067;0,923907;
0,072371;0,939302;0,866931;
0,009454;0,000000;0,009454;
0,047577;0,856236;0,808659;
0,047577;0,856236;0,808659;
0,000824;0,841635;0,840811;
0,004197;0,842556;0,838359;
0,042776;0,845828;0,803052;
0,041225;0,868799;0,827574;
0,000889;0,871258;0,870368;
0,000889;0,871258;0,870368;
0,114483;0,704964;0,590481;
0,004566;0,704964;0,700398;
0,051359;0,864275;0,812916;
0,012172;0,847657;0,835485;
0,000019;0,857805;0,857785;
0,022309;0,929683;0,907375;
0,000681;0,851694;0,851013;
0,009467;0,846087;0,836620;
0,004355;0,846087;0,841732;
0,011542;0,435018;0,423476;
0,004516;0,867529;0,863014;
0,001054;0,867529;0,866475;
0,000982;0,931911;0,930929;
0,000950;0,931911;0,930962;
0,015528;0,852410;0,836882;
0,015528;0,852410;0,836882;
0,004224;0,419288;0,415064;
0,039305;0,880164;0,840860;
0,039305;0,880164;0,840860;
0,007681;0,678715;0,671034;
0,006347;0,678715;0,672368;
0,027664;0,696922;0,669258;
0,005090;0,696922;0,691832;
0,005852;0,718279;0,712427;
0,004080;0,718279;0,714199;
0,036278;0,878716;0,842439;
0,005557;0,854338;0,848780;
0,004813;0,855563;0,850750;
0,019294;0,282350;0,263056;
0,000116;0,282350;0,282234;
0,005574;0,270973;0,265399;
0,000189;0,270973;0,270784;
0,000787;0,678524;0,677736;
0,029180;0,703944;0,674764;
0,004528;0,694488;0,689960;
0,013333;0,266076;0,252744;
0,051631;0,883444;0,831813;
0,008919;0,000000;0,008919;
0,001114;0,892420;0,891306;
0,001023;0,892420;0,891396;
0,005652;0,859360;0,853708;
0,014992;0,383689;0,368697;
0,029829;0,712180;0,682351;
0,000500;0,427942;0,427443;
0,653972;0,671144;0,017173;
0,244586;0,671144;0,426558;
0,006655;0,726855;0,720200;
0,034698;0,891543;0,856845;
0,004686;0,000000;0,004686;
0,012000;0,476534;0,464534;
0,010605;0,720158;0,709553;
0,001117;0,935838;0,934721;
0,004231;0,950219;0,945988;
0,000211;0,886782;0,886571;
0,006220;0,376724;0,370504;
0,004135;0,900441;0,896307;
0,001172;0,881290;0,880117;
0,001028;0,881290;0,880262;
0,007941;0,000000;0,007941;
0,007189;0,696488;0,689299;
0,041417;0,365713;0,324296;
0,000884;0,884793;0,883909;
0,004385;0,889960;0,885575;
0,000138;0,000000;0,000138;
0,021269;0,699120;0,677850;
0,021269;0,699120;0,677850;
0,007308;0,382169;0,374861;
0,007243;0,314557;0,307314;
0,016113;0,902421;0,886308;
0,016518;0,910593;0,894075;
0,016842;0,921140;0,904297;
0,017252;0,931040;0,913788;
0,017626;0,940900;0,923274;
0,006776;0,222266;0,215490;
0,000017;0,222266;0,222249;
0,004424;0,937268;0,932844;
0,020116;0,423338;0,403222;
0,018057;0,948193;0,930136;
0,008861;0,000000;0,008861;
0,007398;0,065058;0,057660;
0,021845;0,955971;0,934125;
0,001150;0,050315;0,049165;
0,001150;0,050315;0,049165;
0,001355;0,241073;0,239717;
0,042458;0,710900;0,668442;
0,004731;0,909221;0,904490;
0,004731;0,909221;0,904490;
0,006330;0,173184;0,166855;
0,006330;0,173184;0,166855;
0,009606;0,040267;0,030661;
0,000867;0,000000;0,000867;
0,010073;0,041223;0,031150;
0,000697;0,041223;0,040526;
0,079997;0,716650;0,636653;
0,079997;0,716650;0,636653;
0,004455;0,000000;0,004455;
0,004433;0,000000;0,004433;
0,005604;0,759558;0,753955;
0,004691;0,759558;0,754868;
0,010934;0,003877;0,007057;
0,011408;0,089612;0,078204;
0,006485;0,089612;0,083127;
0,018117;0,367794;0,349677;
0,004763;0,367794;0,363031;
0,005794;0,770134;0,764339;
0,005794;0,770134;0,764339;
0,004238;0,000000;0,004238;
0,000470;0,000000;0,000470;
0,005309;0,006035;0,000726;
0,000009;0,006035;0,006026;
0,000018;0,008817;0,008799;
0,011285;0,734316;0,723031;
0,010668;0,013402;0,002734;
0,010668;0,013402;0,002734;
0,001078;0,013402;0,012323;
0,006067;0,010294;0,004227;
0,000628;0,007537;0,006909;
0,000051;0,007537;0,007486;
0,008344;0,006511;0,001833;
0,006827;0,009403;0,002576;
0,004633;0,013418;0,008784;
0,004379;0,000000;0,004379;
0,019961;0,012317;0,007644;
0,007788;0,012317;0,004529;
0,000190;0,778841;0,778651;
0,000183;0,016771;0,016588;
0,010985;0,010103;0,000882;
0,008380;0,434840;0,426460;
0,004737;0,017724;0,012987;
0,004737;0,017724;0,012987;
0,005495;0,266267;0,260771;
0,000236;0,015493;0,015257;
0,000236;0,015493;0,015257;
0,011816;0,752382;0,740566;
0,011816;0,752382;0,740566;
0,004650;0,000000;0,004650;
0,004650;0,000000;0,004650;
0,007809;0,795613;0,787804;
0,018910;0,794658;0,775748;
0,004965;0,794658;0,789693;
0,005507;0,020697;0,015190;
0,005294;0,025340;0,020046;
0,000865;0,802341;0,801477;
0,004742;0,794248;0,789506;
0,007650;0,798639;0,790988;
0,001347;0,798639;0,797291;
0,005405;0,738556;0,733150;
0,004542;0,031050;0,026508;
0,004542;0,031050;0,026508;
0,001454;0,747900;0,746446;
0,031939;0,028710;0,003230;
0,005923;0,028710;0,022786;
0,030727;0,766529;0,735802;
0,030761;0,720095;0,689334;
