Reconstruction Coord z;Map Coord z;Error z;
0,005301;0,179007;0,173706;
0,000842;0,179007;0,178165;
0,000376;0,142815;0,142439;
0,000362;0,197386;0,197024;
0,000403;0,396851;0,396448;
0,000534;0,000000;0,000534;
0,000672;0,000000;0,000672;
0,000460;0,000000;0,000460;
0,000364;0,000000;0,000364;
0,001421;0,172647;0,171226;
0,013027;0,000000;0,013027;
0,000682;0,424385;0,423703;
0,001459;0,174180;0,172721;
0,001459;0,174180;0,172721;
0,000560;0,000000;0,000560;
0,000386;0,000000;0,000386;
0,000615;0,000000;0,000615;
0,000595;0,000000;0,000595;
0,000426;0,000000;0,000426;
0,001396;0,183308;0,181913;
0,000370;0,000000;0,000370;
0,001424;0,344830;0,343406;
0,000416;0,000000;0,000416;
0,000391;0,000000;0,000391;
0,001456;0,353293;0,351837;
0,001456;0,353293;0,351837;
0,001465;0,349797;0,348332;
0,001455;0,349797;0,348342;
0,001469;0,356709;0,355240;
0,000460;0,000000;0,000460;
0,001494;0,362591;0,361096;
0,001484;0,362591;0,361106;
0,000371;0,181978;0,181607;
0,001498;0,183276;0,181777;
0,001498;0,183276;0,181777;
0,001414;0,350170;0,348756;
0,001406;0,356677;0,355271;
0,001290;0,353664;0,352374;
0,001458;0,359247;0,357789;
0,001450;0,365594;0,364143;
0,001392;0,188565;0,187173;
0,000542;0,000000;0,000542;
0,000382;0,000000;0,000382;
0,000436;0,000000;0,000436;
0,000377;0,000000;0,000377;
0,001570;0,428411;0,426840;
0,001570;0,428411;0,426840;
0,001578;0,429734;0,428156;
0,001585;0,432545;0,430960;
0,001549;0,434031;0,432482;
0,001609;0,436089;0,434479;
0,001592;0,436089;0,434497;
0,001708;0,423154;0,421446;
0,001708;0,423154;0,421446;
0,002335;0,184189;0,181854;
0,002165;0,184189;0,182024;
0,000381;0,000000;0,000381;
0,001472;0,185904;0,184433;
0,000387;0,473456;0,473069;
0,002039;0,433872;0,431833;
0,001754;0,433872;0,432118;
0,001905;0,431457;0,429552;
0,001905;0,431457;0,429552;
0,002061;0,437470;0,435409;
0,001918;0,435329;0,433411;
0,001918;0,435329;0,433411;
0,000437;0,000000;0,000437;
0,000387;0,000000;0,000387;
0,001688;0,425933;0,424245;
0,001654;0,424967;0,423312;
0,000415;0,424967;0,424552;
0,000534;0,475245;0,474710;
0,001858;0,438277;0,436419;
0,001858;0,438277;0,436419;
0,001801;0,436171;0,434370;
0,000543;0,436171;0,435628;
0,001815;0,440586;0,438771;
0,000543;0,440586;0,440042;
0,001970;0,000000;0,001970;
0,000649;0,437121;0,436472;
0,000421;0,000000;0,000421;
0,000547;0,475603;0,475055;
0,000427;0,371113;0,370687;
0,000509;0,244067;0,243559;
0,000396;0,244067;0,243672;
0,000497;0,493556;0,493058;
0,001595;0,445263;0,443668;
0,000390;0,355201;0,354811;
0,000532;0,260569;0,260037;
0,000369;0,392624;0,392255;
0,000980;0,443414;0,442434;
0,002700;0,463300;0,460600;
0,009622;0,442129;0,432507;
0,000375;0,260089;0,259714;
0,001776;0,000000;0,001776;
0,000376;0,000000;0,000376;
0,000505;0,000000;0,000505;
0,000397;0,000000;0,000397;
0,001067;0,000000;0,001067;
0,001671;0,293700;0,292029;
0,001992;0,000000;0,001992;
0,000400;0,000000;0,000400;
0,003839;0,442468;0,438629;
0,000538;0,442468;0,441930;
0,000656;0,219070;0,218415;
0,000538;0,333572;0,333034;
0,001484;0,000000;0,001484;
0,000394;0,000000;0,000394;
0,000487;0,349393;0,348906;
0,000391;0,000000;0,000391;
0,000488;0,351427;0,350939;
0,000389;0,000000;0,000389;
0,000426;0,503487;0,503061;
0,000433;0,506993;0,506560;
0,000393;0,000000;0,000393;
0,000414;0,202022;0,201608;
0,000414;0,202022;0,201608;
0,000749;0,000000;0,000749;
0,000396;0,188341;0,187945;
0,000388;0,506024;0,505635;
0,000753;0,453128;0,452376;
0,000418;0,173162;0,172745;
0,000612;0,186079;0,185467;
0,000394;0,186079;0,185685;
0,000389;0,176931;0,176543;
0,000401;0,181269;0,180868;
0,000401;0,181269;0,180868;
0,001287;0,397857;0,396571;
0,001729;0,161981;0,160252;
0,000619;0,410864;0,410245;
0,000528;0,514126;0,513598;
0,000704;0,479723;0,479019;
0,000432;0,153133;0,152700;
0,000404;0,155968;0,155564;
0,000387;0,439153;0,438766;
0,000398;0,146661;0,146262;
0,000433;0,143308;0,142875;
0,000393;0,000000;0,000393;
0,000378;0,103842;0,103464;
0,000457;0,516111;0,515654;
0,001537;0,463440;0,461903;
0,001537;0,463440;0,461903;
0,000396;0,000000;0,000396;
0,000385;0,000000;0,000385;
0,000563;0,177686;0,177123;
0,000528;0,177686;0,177157;
0,000384;0,000000;0,000384;
0,000397;0,517048;0,516651;
0,001506;0,455462;0,453956;
0,001506;0,455462;0,453956;
0,004153;0,433390;0,429236;
0,000463;0,518451;0,517988;
0,001298;0,443686;0,442388;
0,000469;0,445766;0,445298;
0,000535;0,440469;0,439934;
0,000398;0,514713;0,514315;
0,000746;0,486246;0,485500;
0,000399;0,417805;0,417407;
0,000387;0,417805;0,417418;
0,000399;0,521780;0,521382;
0,000381;0,449548;0,449167;
0,000393;0,515800;0,515407;
0,000003;0,236147;0,236144;
0,000400;0,000000;0,000400;
0,000400;0,000000;0,000400;
0,005049;0,517743;0,512695;
0,000540;0,311137;0,310598;
0,000486;0,482320;0,481834;
0,000665;0,520518;0,519852;
