Reconstruction Coord z;Map Coord z;Error z;
0,001983;0,000000;0,001983;
0,001106;0,673892;0,672786;
0,001080;0,673892;0,672812;
0,001742;0,673567;0,671825;
0,596909;0,990841;0,393932;
0,001101;0,667881;0,666781;
0,002391;0,938393;0,936001;
0,013649;0,937376;0,923727;
0,014775;0,937530;0,922755;
0,001848;0,939057;0,937209;
0,001804;0,939057;0,937253;
0,001853;0,939236;0,937383;
0,001809;0,939236;0,937427;
0,001886;0,939523;0,937637;
0,001823;0,939523;0,937701;
0,005001;0,939792;0,934791;
0,005001;0,939792;0,934791;
0,004914;0,665093;0,660180;
0,001988;0,990637;0,988649;
0,001078;0,990637;0,989558;
0,016892;0,000000;0,016892;
0,001999;0,939618;0,937619;
0,001083;0,939618;0,938535;
0,050517;0,989902;0,939386;
0,001081;0,989902;0,988822;
0,021924;0,936209;0,914285;
0,018735;0,936209;0,917475;
0,018735;0,936209;0,917475;
0,001489;0,938996;0,937507;
0,001185;0,938996;0,937811;
0,001911;0,939686;0,937775;
0,001863;0,939686;0,937823;
0,001639;0,663187;0,661548;
0,001917;0,939898;0,937981;
0,001868;0,939898;0,938030;
0,001928;0,940150;0,938222;
0,001878;0,940150;0,938272;
0,001940;0,940072;0,938132;
0,001889;0,940072;0,938183;
0,001084;0,746040;0,744956;
0,001073;0,746040;0,744968;
0,001968;0,940373;0,938405;
0,001099;0,742451;0,741352;
0,018038;0,974748;0,956709;
0,003444;0,662563;0,659119;
0,002021;0,940384;0,938363;
0,001922;0,940384;0,938462;
0,006017;0,741585;0,735568;
0,006017;0,741585;0,735568;
0,001576;0,974152;0,972576;
0,002454;0,973522;0,971069;
0,001615;0,974096;0,972481;
0,001079;0,974096;0,973017;
0,002164;0,960185;0,958021;
0,001092;0,960185;0,959092;
0,041153;0,967944;0,926791;
0,007582;0,967944;0,960362;
0,015349;0,940356;0,925007;
0,001176;0,941518;0,940343;
0,001134;0,824337;0,823203;
0,018235;0,000000;0,018235;
0,018235;0,000000;0,018235;
0,007347;0,819698;0,812351;
0,001541;0,971793;0,970253;
0,001541;0,971793;0,970253;
0,007516;0,820972;0,813456;
0,014012;0,942246;0,928234;
0,002965;0,942246;0,939281;
0,001102;0,980511;0,979409;
0,007699;0,822026;0,814327;
0,007890;0,823446;0,815557;
0,008090;0,824671;0,816581;
0,008296;0,826377;0,818082;
0,008049;0,829011;0,820962;
0,008049;0,829011;0,820962;
0,008505;0,827358;0,818853;
0,003424;0,977718;0,974294;
0,008240;0,820958;0,812718;
0,008247;0,820946;0,812699;
0,007885;0,831166;0,823282;
0,007874;0,831876;0,824001;
0,002105;0,745884;0,743779;
0,001103;0,745884;0,744781;
0,008083;0,832665;0,824581;
0,008530;0,833227;0,824697;
0,002144;0,987693;0,985550;
0,002144;0,987693;0,985550;
0,001137;0,747591;0,746455;
0,001137;0,747591;0,746455;
0,008231;0,825540;0,817309;
0,008778;0,833938;0,825160;
0,003260;0,988331;0,985071;
0,007879;0,834792;0,826913;
0,001582;0,751342;0,749761;
0,001252;0,751342;0,750091;
0,008534;0,835607;0,827073;
0,001145;0,754111;0,752966;
0,003240;0,754810;0,751570;
0,001138;0,754810;0,753672;
0,008525;0,836706;0,828180;
0,008230;0,827953;0,819724;
0,008230;0,827953;0,819724;
0,008243;0,827986;0,819743;
0,008243;0,827986;0,819743;
0,008776;0,837301;0,828525;
0,008172;0,820422;0,812250;
0,008172;0,820422;0,812250;
0,009329;0,838338;0,829009;
0,009003;0,824692;0,815689;
0,008097;0,820792;0,812694;
0,007966;0,821170;0,813204;
0,007966;0,821170;0,813204;
0,001140;0,000000;0,001140;
0,001138;0,000000;0,001138;
0,016257;0,827450;0,811193;
0,001170;0,000000;0,001170;
0,002797;0,821351;0,818554;
0,001168;0,821351;0,820183;
0,008012;0,830222;0,822210;
0,011342;0,831556;0,820213;
0,001632;0,000000;0,001632;
0,007880;0,835294;0,827415;
0,001628;0,000000;0,001628;
0,001628;0,000000;0,001628;
0,008085;0,000000;0,008085;
