Reconstruction Coord z;Map Coord z;Error z;
0,006158;0,003028;0,003131;
0,006631;0,895929;0,889298;
0,014717;0,919952;0,905235;
0,006815;0,919952;0,913136;
0,005084;0,871610;0,866526;
0,004629;0,871610;0,866981;
0,004279;0,871610;0,867331;
0,004705;0,004287;0,000418;
0,004279;0,878660;0,874380;
0,004279;0,878660;0,874380;
0,005728;0,890857;0,885129;
0,030779;0,878745;0,847966;
0,004580;0,878745;0,874165;
0,014193;0,919774;0,905581;
0,005042;0,919774;0,914731;
0,008878;0,356803;0,347925;
0,008546;0,000000;0,008546;
0,007519;0,368436;0,360917;
0,006895;0,531221;0,524326;
0,004364;0,485496;0,481132;
0,004405;0,413684;0,409279;
0,007666;0,000000;0,007666;
0,004248;0,012653;0,008405;
0,007158;0,525101;0,517944;
0,042771;0,079256;0,036485;
0,005159;0,079256;0,074097;
0,005813;0,458981;0,453168;
0,004547;0,501066;0,496519;
0,004370;0,501066;0,496696;
0,004438;0,487126;0,482688;
0,010583;0,518473;0,507890;
0,006793;0,518473;0,511680;
0,004188;0,018134;0,013946;
0,004390;0,522156;0,517766;
0,004232;0,522156;0,517924;
0,004174;0,522156;0,517982;
0,004387;0,554565;0,550178;
0,006189;0,361510;0,355321;
0,019865;0,473272;0,453407;
0,013480;0,473272;0,459792;
0,004457;0,284796;0,280339;
0,008138;0,504729;0,496590;
0,008497;0,578936;0,570439;
0,005594;0,578936;0,573342;
0,004400;0,578936;0,574536;
0,009512;0,483169;0,473657;
0,012663;0,404894;0,392231;
0,005863;0,404894;0,399031;
0,010134;0,416598;0,406464;
0,008402;0,586971;0,578569;
0,005996;0,390506;0,384510;
0,008318;0,498732;0,490414;
0,015625;0,378845;0,363220;
0,009588;0,465743;0,456155;
0,004299;0,465743;0,461444;
0,018880;0,413238;0,394359;
0,004664;0,077634;0,072970;
0,004370;0,077634;0,073264;
0,006261;0,649214;0,642954;
0,004756;0,649214;0,644459;
0,006679;0,493072;0,486393;
0,006679;0,493072;0,486393;
0,013656;0,408678;0,395022;
0,013656;0,408678;0,395022;
0,008886;0,416155;0,407269;
0,009020;0,494791;0,485771;
0,008697;0,359501;0,350804;
0,004508;0,359501;0,354993;
0,004569;0,399131;0,394562;
0,006295;0,357888;0,351593;
0,009499;0,475258;0,465759;
0,004684;0,362935;0,358250;
0,023710;0,416368;0,392657;
0,013731;0,416368;0,402637;
0,013103;0,410551;0,397447;
0,004426;0,410551;0,406125;
0,004578;0,390181;0,385603;
0,004578;0,390181;0,385603;
0,004449;0,524330;0,519881;
0,004283;0,524330;0,520046;
0,004569;0,378962;0,374393;
0,004713;0,358049;0,353336;
0,014205;0,395646;0,381441;
0,016135;0,369107;0,352972;
0,004173;0,369107;0,364933;
0,015431;0,486765;0,471334;
0,005942;0,417741;0,411799;
0,007210;0,410269;0,403060;
0,004516;0,388216;0,383700;
0,004720;0,364581;0,359861;
0,005353;0,484806;0,479453;
0,074458;0,417870;0,343411;
0,014836;0,417870;0,403033;
0,004216;0,375576;0,371360;
0,004181;0,375576;0,371395;
0,016996;0,408545;0,391549;
0,006476;0,408545;0,402069;
0,004539;0,526660;0,522121;
0,004341;0,526660;0,522319;
0,004551;0,552468;0,547917;
0,004346;0,552468;0,548122;
0,004578;0,380805;0,376227;
0,015546;0,473043;0,457498;
0,011044;0,361306;0,350262;
0,005855;0,377108;0,371252;
0,004739;0,377108;0,372368;
0,014230;0,373593;0,359363;
0,004910;0,378462;0,373552;
0,004314;0,378462;0,374148;
0,009340;0,594965;0,585626;
0,009340;0,594965;0,585626;
0,064687;0,486897;0,422210;
0,006010;0,520196;0,514186;
0,009367;0,581264;0,571897;
0,012391;0,577358;0,564967;
0,004399;0,650650;0,646252;
0,028554;0,530153;0,501599;
0,028558;0,412341;0,383782;
0,015539;0,364522;0,348983;
0,004264;0,396446;0,392182;
0,004543;0,479164;0,474621;
0,006910;0,400781;0,393871;
0,012053;0,588823;0,576769;
0,005350;0,364044;0,358694;
0,005045;0,364044;0,358998;
0,004310;0,364044;0,359734;
0,004189;0,364044;0,359854;
0,014199;0,467437;0,453239;
0,006578;0,538454;0,531876;
0,007544;0,372681;0,365138;
0,004417;0,372681;0,368265;
0,004417;0,372681;0,368265;
0,005068;0,053130;0,048062;
0,006971;0,636862;0,629891;
0,004385;0,379650;0,375266;
0,004385;0,379650;0,375266;
0,006985;0,626359;0,619373;
0,005849;0,626359;0,620510;
0,005542;0,397964;0,392422;
0,004477;0,414060;0,409584;
0,004477;0,414060;0,409584;
0,010210;0,358619;0,348409;
0,004635;0,358619;0,353984;
0,008332;0,366545;0,358213;
0,004224;0,382845;0,378622;
0,004375;0,479341;0,474966;
0,004687;0,404655;0,399968;
0,006392;0,000000;0,006392;
0,006119;0,000000;0,006119;
0,005936;0,395068;0,389132;
0,004374;0,370820;0,366446;
0,004321;0,370820;0,366499;
0,004630;0,488840;0,484210;
0,004660;0,603001;0,598340;
0,004376;0,370703;0,366326;
0,070477;0,415984;0,345507;
0,006140;0,594043;0,587903;
0,004728;0,594043;0,589315;
0,004510;0,476946;0,472435;
0,032436;0,538170;0,505734;
0,004467;0,373177;0,368709;
0,004467;0,373177;0,368709;
0,006788;0,398824;0,392036;
0,006822;0,520280;0,513458;
0,004656;0,589915;0,585259;
0,098363;0,598579;0,500216;
0,007010;0,598579;0,591569;
0,008628;0,364558;0,355930;
0,006023;0,643142;0,637119;
0,004383;0,489740;0,485358;
0,004383;0,489740;0,485358;
0,004765;0,467189;0,462424;
0,033050;0,391507;0,358457;
0,005044;0,399221;0,394177;
0,034961;0,492881;0,457920;
0,004651;0,476812;0,472161;
0,004453;0,374922;0,370469;
0,004281;0,494115;0,489834;
0,004200;0,494115;0,489915;
0,004865;0,592757;0,587892;
0,004542;0,592757;0,588216;
0,004789;0,484511;0,479722;
0,277308;0,413765;0,136457;
0,012022;0,360877;0,348855;
0,007997;0,508090;0,500094;
0,035674;0,469011;0,433337;
0,005020;0,469011;0,463991;
0,004527;0,402503;0,397976;
0,006287;0,420761;0,414474;
0,006180;0,514353;0,508172;
0,005093;0,415745;0,410653;
0,004762;0,415745;0,410983;
0,004385;0,404180;0,399795;
0,004480;0,718490;0,714010;
0,004431;0,355691;0,351260;
0,012650;0,724520;0,711869;
0,005278;0,724520;0,719242;
0,006326;0,384334;0,378008;
0,005799;0,839124;0,833325;
0,004872;0,715673;0,710801;
0,009724;0,577084;0,567360;
0,007628;0,577084;0,569455;
0,009201;0,533945;0,524744;
0,006232;0,533945;0,527713;
0,007215;0,478642;0,471428;
0,004901;0,399148;0,394247;
0,004635;0,512053;0,507418;
0,010468;0,724421;0,713952;
0,021856;0,411863;0,390007;
0,009619;0,411863;0,402244;
0,024911;0,718459;0,693548;
0,005371;0,718459;0,713088;
0,004670;0,419332;0,414662;
0,012709;0,416413;0,403704;
0,004321;0,416413;0,412092;
0,025461;0,414950;0,389489;
0,004456;0,414950;0,410493;
0,004281;0,414950;0,410669;
0,004897;0,377322;0,372425;
0,006474;0,254227;0,247753;
0,004386;0,386282;0,381896;
0,004332;0,386282;0,381950;
0,004744;0,318979;0,314235;
0,005013;0,347034;0,342021;
0,011283;0,841963;0,830680;
0,004679;0,841963;0,837283;
0,004663;0,344765;0,340102;
0,005120;0,342846;0,337726;
0,006111;0,337879;0,331768;
0,009512;0,853819;0,844306;
0,009593;0,853767;0,844175;
0,006804;0,353002;0,346198;
0,005187;0,501162;0,495974;
0,005665;0,853738;0,848074;
0,005173;0,853738;0,848566;
0,004632;0,938632;0,934000;
0,004370;0,412517;0,408147;
0,004370;0,412517;0,408147;
0,004865;0,416082;0,411218;
0,017763;0,408433;0,390670;
0,017763;0,408433;0,390670;
0,004627;0,396378;0,391750;
0,005349;0,935809;0,930460;
0,019139;0,396039;0,376899;
0,010681;0,961269;0,950589;
0,010681;0,961269;0,950589;
0,000000;0,420151;0,420151;
0,004340;0,381084;0,376745;
0,010456;0,853505;0,843049;
0,007318;0,374406;0,367088;
0,009538;0,422764;0,413226;
0,005732;0,923867;0,918135;
0,004913;0,923867;0,918954;
0,005192;0,943473;0,938280;
0,046682;0,427942;0,381260;
0,004845;0,427942;0,423097;
0,011373;0,842056;0,830683;
0,004326;0,390612;0,386286;
0,004268;0,390612;0,386343;
0,004719;0,399315;0,394596;
0,004556;0,418966;0,414409;
0,008983;0,408147;0,399164;
0,004723;0,408147;0,403423;
0,054762;0,492249;0,437487;
0,004731;0,492249;0,487518;
0,025113;0,502563;0,477451;
0,025113;0,502563;0,477451;
0,004500;0,493767;0,489267;
0,000169;0,389049;0,388880;
0,000169;0,389049;0,388880;
0,021625;0,410159;0,388534;
0,000386;0,394122;0,393736;
0,010963;0,501527;0,490564;
0,000188;0,416253;0,416065;
0,004899;0,375956;0,371057;
0,000310;0,393483;0,393174;
0,011069;0,487068;0,475999;
0,005739;0,487068;0,481329;
0,000384;0,389140;0,388755;
0,000784;0,363835;0,363051;
0,004599;0,491825;0,487225;
0,000150;0,391137;0,390987;
0,005062;0,419180;0,414118;
0,005062;0,419180;0,414118;
0,004602;0,487512;0,482909;
0,005997;0,376076;0,370079;
0,005959;0,402144;0,396185;
0,015630;0,412695;0,397066;
0,005072;0,392457;0,387385;
0,000873;0,370319;0,369447;
0,008291;0,491155;0,482865;
0,004730;0,491155;0,486425;
0,005161;0,366467;0,361306;
0,006098;0,393630;0,387532;
0,008804;0,371725;0,362921;
0,000604;0,402732;0,402128;
0,000604;0,402732;0,402128;
0,004773;0,480957;0,476183;
0,004687;0,395221;0,390534;
0,021693;0,365487;0,343794;
0,004677;0,365487;0,360810;
0,000312;0,359660;0,359348;
0,005167;0,118143;0,112976;
0,004432;0,480933;0,476500;
0,004403;0,480933;0,476530;
0,004473;0,486630;0,482157;
0,028437;0,410224;0,381788;
0,028437;0,410224;0,381788;
0,022357;0,364601;0,342244;
0,032409;0,414351;0,381941;
0,000999;0,414351;0,413352;
0,006364;0,486940;0,480576;
0,004904;0,486940;0,482036;
0,005081;0,363619;0,358538;
0,004728;0,367690;0,362961;
0,004728;0,367690;0,362961;
0,001013;0,372138;0,371125;
0,005276;0,380269;0,374993;
0,005041;0,361148;0,356107;
0,001217;0,414757;0,413539;
0,006433;0,000000;0,006433;
