Reconstruction Coord z;Map Coord z;Error z;
0,021413;0,803089;0,781676;
0,019102;0,803089;0,783987;
0,021633;0,803231;0,781597;
0,021302;0,802989;0,781686;
0,021302;0,802989;0,781686;
0,019848;0,224901;0,205053;
0,019380;0,224901;0,205521;
0,126512;0,799406;0,672894;
0,019936;0,805985;0,786048;
0,132443;0,798527;0,666084;
0,019419;0,000000;0,019419;
0,019118;0,010832;0,008286;
0,020088;0,010389;0,009699;
0,168280;0,229604;0,061324;
0,080728;0,229604;0,148876;
0,152160;0,000000;0,152160;
0,027680;0,656563;0,628884;
0,028323;0,069563;0,041240;
0,026068;0,010138;0,015930;
0,019748;0,010138;0,009611;
0,138607;0,657769;0,519162;
0,118285;0,658334;0,540049;
0,118285;0,658334;0,540049;
0,124983;0,654959;0,529976;
0,042214;0,655151;0,612937;
0,027520;0,658146;0,630625;
0,021275;0,654915;0,633640;
0,021266;0,654461;0,633196;
0,020480;0,654563;0,634083;
0,020112;0,654563;0,634451;
0,022431;0,009879;0,012553;
0,019269;0,009879;0,009390;
0,019962;0,654371;0,634409;
0,019210;0,010044;0,009166;
0,029864;0,654478;0,624615;
0,028959;0,654478;0,625520;
0,141618;0,658009;0,516391;
0,060153;0,655397;0,595244;
0,020248;0,656603;0,636355;
0,023036;0,656653;0,633618;
0,023036;0,656653;0,633618;
0,065149;0,655997;0,590848;
0,020484;0,655997;0,635512;
0,022713;0,655197;0,632484;
0,022447;0,009737;0,012711;
0,023220;0,009653;0,013566;
0,023074;0,009653;0,013420;
0,145793;0,658992;0,513198;
0,025679;0,653888;0,628208;
0,021932;0,655374;0,633442;
0,019872;0,655374;0,635502;
0,133433;0,241632;0,108199;
0,020258;0,655711;0,635453;
0,067316;0,009623;0,057693;
0,020198;0,009535;0,010662;
0,073351;0,658367;0,585016;
0,073351;0,658367;0,585016;
0,023199;0,654985;0,631786;
0,136293;0,654955;0,518662;
0,021987;0,009572;0,012415;
0,083018;0,654534;0,571516;
0,022134;0,654534;0,632401;
0,019689;0,657966;0,638278;
0,021604;0,249155;0,227552;
0,051457;0,249511;0,198054;
0,051457;0,249511;0,198054;
0,023421;0,009075;0,014346;
0,062101;0,559009;0,496908;
0,062101;0,559009;0,496908;
0,030876;0,657702;0,626825;
0,027027;0,657702;0,630675;
0,020133;0,657218;0,637085;
0,040118;0,570906;0,530788;
0,025023;0,570906;0,545882;
0,296638;0,263543;0,033095;
0,019995;0,652683;0,632687;
0,033638;0,564499;0,530861;
0,033638;0,564499;0,530861;
0,023479;0,656707;0,633229;
0,081020;0,566058;0,485038;
0,026143;0,566058;0,539915;
0,155152;0,566567;0,411415;
0,019625;0,575449;0,555823;
0,022525;0,007709;0,014817;
0,111050;0,570754;0,459703;
0,111050;0,570754;0,459703;
0,025584;0,572018;0,546434;
0,020734;0,278259;0,257525;
0,025739;0,574129;0,548390;
0,024280;0,007280;0,017000;
0,022942;0,007280;0,015661;
0,094814;0,282942;0,188128;
0,138191;0,283472;0,145281;
0,138191;0,283472;0,145281;
0,089955;0,575249;0,485294;
0,089955;0,575249;0,485294;
0,089965;0,575249;0,485285;
0,037124;0,575249;0,538125;
0,056080;0,287536;0,231456;
0,088190;0,577189;0,488998;
0,058207;0,577577;0,519369;
0,019958;0,653800;0,633842;
0,104914;0,649036;0,544122;
0,020993;0,304300;0,283306;
0,121057;0,648641;0,527584;
0,121057;0,648641;0,527584;
0,019863;0,648479;0,628616;
0,088517;0,313340;0,224824;
0,026816;0,647242;0,620427;
0,026816;0,647242;0,620427;
0,121877;0,647271;0,525394;
0,121877;0,647271;0,525394;
0,020021;0,000000;0,020021;
0,047217;0,607875;0,560658;
0,049058;0,611502;0,562445;
0,023747;0,000000;0,023747;
0,048144;0,609945;0,561801;
0,048144;0,609945;0,561801;
0,063846;0,337559;0,273713;
0,023872;0,608178;0,584306;
0,093626;0,605000;0,511374;
0,020353;0,352409;0,332056;
0,052098;0,609817;0,557719;
0,074781;0,346619;0,271838;
0,051672;0,346619;0,294946;
0,065577;0,351651;0,286073;
0,051028;0,611483;0,560455;
0,020265;0,354985;0,334720;
0,020265;0,354985;0,334720;
0,040404;0,532530;0,492126;
0,092016;0,528415;0,436400;
0,065563;0,614090;0,548527;
0,020136;0,614090;0,593955;
0,024639;0,534014;0,509375;
0,024794;0,535496;0,510702;
0,048801;0,617007;0,568205;
0,060414;0,539261;0,478847;
0,053851;0,539261;0,485410;
0,002191;0,532819;0,530629;
0,062181;0,539375;0,477194;
0,053342;0,539375;0,486034;
0,024743;0,550028;0,525285;
0,075554;0,553535;0,477982;
0,026093;0,533216;0,507123;
0,077196;0,558872;0,481676;
0,056500;0,547851;0,491351;
0,078750;0,563209;0,484458;
0,024566;0,532597;0,508031;
0,001773;0,532597;0,530824;
0,031055;0,526413;0,495358;
0,075566;0,567362;0,491796;
0,082558;0,571058;0,488500;
0,084211;0,571058;0,486847;
0,064878;0,546821;0,481944;
0,000347;0,553676;0,553329;
0,086442;0,573416;0,486974;
0,072732;0,539123;0,466391;
0,032674;0,534114;0,501440;
0,082280;0,537323;0,455043;
0,027958;0,003061;0,024897;
0,020198;0,538594;0,518397;
0,066708;0,541121;0,474413;
0,066708;0,541121;0,474413;
0,024703;0,539508;0,514805;
0,002077;0,542750;0,540672;
0,029077;0,002835;0,026242;
0,020458;0,002835;0,017623;
0,022511;0,537450;0,514939;
0,020221;0,538639;0,518419;
0,021155;0,531162;0,510007;
0,002613;0,539927;0,537314;
0,023609;0,541485;0,517875;
0,023609;0,541485;0,517875;
0,161405;0,538894;0,377488;
0,190810;0,540895;0,350085;
0,084836;0,540895;0,456059;
0,098607;0,548510;0,449902;
0,000471;0,548510;0,548038;
0,068088;0,546521;0,478434;
0,201130;0,542900;0,341770;
0,088946;0,542900;0,453954;
