Reconstruction Coord z;Map Coord z;Error z;
0,012376;0,965936;0,953560;
0,015662;0,951783;0,936122;
0,012298;0,951783;0,939485;
0,022749;0,966053;0,943303;
0,012429;0,951115;0,938687;
0,012083;0,951115;0,939033;
0,029656;0,951964;0,922308;
0,012516;0,951964;0,939447;
1,000000;0,954856;0,045144;
0,066580;0,967336;0,900756;
0,022001;0,960216;0,938215;
0,022001;0,960216;0,938215;
0,022350;0,954481;0,932131;
0,143742;0,960926;0,817184;
0,020173;0,955504;0,935330;
0,012730;0,961252;0,948522;
0,177422;0,961888;0,784466;
0,177422;0,961888;0,784466;
0,013561;0,713044;0,699483;
0,012954;0,713044;0,700090;
0,126791;0,961178;0,834388;
0,019410;0,961178;0,941768;
0,012861;0,956179;0,943317;
0,025136;0,705838;0,680702;
0,100750;0,956109;0,855359;
0,013442;0,962015;0,948572;
0,022425;0,545019;0,522594;
0,013796;0,545019;0,531223;
0,022646;0,377115;0,354469;
0,016824;0,373735;0,356912;
0,220854;0,973485;0,752632;
0,013498;0,329424;0,315926;
0,012860;0,668695;0,655835;
0,019946;0,962492;0,942546;
0,000969;0,957676;0,956707;
0,000969;0,957676;0,956707;
0,013668;0,957905;0,944237;
0,081193;0,954987;0,873794;
0,001125;0,954987;0,953862;
0,044212;0,330862;0,286650;
0,044212;0,330862;0,286650;
0,001141;0,962212;0,961071;
0,054633;0,959212;0,904578;
0,055472;0,956737;0,901265;
0,030310;0,655761;0,625450;
0,014590;0,650659;0,636069;
0,015735;0,000000;0,015735;
0,070998;0,000000;0,070998;
0,072331;0,000000;0,072331;
0,013591;0,628877;0,615286;
0,013386;0,628877;0,615491;
0,026133;0,640601;0,614468;
0,025883;0,621287;0,595404;
0,025883;0,621287;0,595404;
0,141475;0,611093;0,469618;
0,026407;0,598741;0,572334;
0,013846;0,598741;0,584895;
0,013780;0,629540;0,615760;
0,021436;0,608316;0,586880;
0,116734;0,570572;0,453837;
0,253711;0,584318;0,330607;
0,155133;0,584318;0,429185;
0,029604;0,574615;0,545011;
0,012847;0,543755;0,530908;
0,000000;0,535795;0,535795;
0,047621;0,583272;0,535651;
0,031487;0,546457;0,514971;
0,029326;0,525460;0,496134;
0,013798;0,525460;0,511662;
0,013709;0,525460;0,511751;
0,012833;0,533500;0,520667;
0,022763;0,508025;0,485262;
0,000981;0,000000;0,000981;
0,000694;0,000000;0,000694;
0,012868;0,493510;0,480642;
0,027791;0,527622;0,499831;
0,033678;0,338767;0,305089;
0,000400;0,531183;0,530783;
0,013479;0,637073;0,623594;
0,013515;0,630775;0,617260;
0,031140;0,620123;0,588983;
0,013645;0,620123;0,606477;
0,035247;0,133401;0,098154;
0,035247;0,133401;0,098154;
0,001738;0,975624;0,973886;
0,016722;0,134898;0,118176;
0,001416;0,986084;0,984668;
0,038069;0,989884;0,951815;
0,017537;0,989367;0,971831;
0,001303;0,986235;0,984931;
0,176738;0,988539;0,811801;
0,004533;0,000000;0,004533;
0,027677;0,124648;0,096971;
0,024426;0,000000;0,024426;
0,006354;0,639187;0,632833;
0,004511;0,254708;0,250197;
0,019423;0,635266;0,615844;
0,004303;0,635266;0,630963;
0,006126;0,631699;0,625573;
