Reconstruction Coord z;Map Coord z;Error z;
0,001358;0,113166;0,111808;
0,000379;0,113166;0,112787;
0,001419;0,108377;0,106958;
0,002058;0,445591;0,443532;
0,003332;0,000000;0,003332;
0,000507;0,607343;0,606835;
0,000441;0,607848;0,607407;
0,000640;0,609183;0,608543;
0,019869;0,610487;0,590618;
0,009669;0,610487;0,600818;
0,000519;0,463902;0,463382;
0,000369;0,151803;0,151433;
0,000383;0,513383;0,512999;
0,002343;0,466375;0,464032;
0,000427;0,120757;0,120330;
0,011078;0,046285;0,035207;
0,011078;0,046285;0,035207;
0,002099;0,426920;0,424822;
0,002099;0,426920;0,424822;
0,000896;0,048779;0,047882;
0,000537;0,484909;0,484372;
0,000436;0,195089;0,194653;
0,001677;0,476011;0,474334;
0,000399;0,476011;0,475613;
0,000431;0,154402;0,153971;
0,000615;0,472882;0,472267;
0,000375;0,472882;0,472507;
0,000436;0,541871;0,541435;
0,000400;0,541871;0,541470;
0,000397;0,043122;0,042725;
0,000397;0,043122;0,042725;
0,004938;0,434382;0,429444;
0,001747;0,434382;0,432635;
0,001305;0,045933;0,044628;
0,002197;0,631595;0,629398;
0,002197;0,631595;0,629398;
0,001656;0,439904;0,438248;
0,001656;0,439904;0,438248;
0,004098;0,444264;0,440166;
0,001723;0,446537;0,444813;
0,002287;0,446948;0,444661;
0,002287;0,446948;0,444661;
0,000405;0,447910;0,447505;
0,001788;0,449311;0,447523;
0,000397;0,449311;0,448915;
0,000402;0,453208;0,452806;
0,000431;0,655132;0,654701;
0,000477;0,036333;0,035856;
0,000462;0,036333;0,035871;
0,002796;0,593221;0,590425;
0,000422;0,593221;0,592800;
0,000467;0,677436;0,676969;
0,002740;0,803129;0,800389;
0,001168;0,677033;0,675866;
0,002397;0,806825;0,804428;
0,001454;0,815745;0,814290;
0,001454;0,815597;0,814143;
0,001305;0,059797;0,058492;
0,001305;0,059797;0,058492;
0,000470;0,584242;0,583772;
0,000388;0,584242;0,583854;
0,001469;0,000000;0,001469;
0,000471;0,584368;0,583896;
0,000429;0,584368;0,583939;
0,001505;0,129290;0,127785;
0,001436;0,000000;0,001436;
