Reconstruction Coord z;Map Coord z;Error z;
0,000603;0,243213;0,242610;
0,000603;0,243213;0,242610;
0,000621;0,242785;0,242164;
0,000604;0,242785;0,242180;
0,000621;0,244358;0,243736;
0,000604;0,244358;0,243753;
0,000653;0,077560;0,076907;
0,000649;0,244583;0,243934;
0,000641;0,096651;0,096010;
0,000789;0,248188;0,247398;
0,000789;0,248188;0,247398;
0,000597;0,080546;0,079949;
0,000685;0,247104;0,246419;
0,000685;0,247104;0,246419;
0,000585;0,081285;0,080700;
0,000584;0,081285;0,080701;
0,000969;0,082769;0,081800;
0,001924;0,119910;0,117986;
0,000906;0,119910;0,119004;
0,000774;0,119586;0,118812;
0,000593;0,100165;0,099572;
0,000760;0,252541;0,251781;
0,000593;0,077472;0,076878;
0,000770;0,252909;0,252138;
0,000968;0,121558;0,120590;
0,001027;0,102720;0,101694;
0,000931;0,085514;0,084582;
0,000605;0,085514;0,084909;
0,000602;0,085514;0,084911;
0,000599;0,080375;0,079776;
0,000599;0,080375;0,079776;
0,000739;0,105427;0,104688;
0,000739;0,105427;0,104688;
0,001216;0,124842;0,123626;
0,003063;0,075539;0,072476;
0,000650;0,075539;0,074888;
0,000804;0,070957;0,070153;
0,000804;0,070957;0,070153;
0,000803;0,095864;0,095061;
0,000600;0,082595;0,081995;
0,000647;0,076380;0,075732;
0,000695;0,260855;0,260160;
0,000654;0,262310;0,261656;
0,000654;0,262310;0,261656;
0,000713;0,084379;0,083666;
0,000589;0,084379;0,083790;
0,000616;0,263547;0,262931;
0,000811;0,078478;0,077667;
0,000809;0,078478;0,077669;
0,000724;0,265110;0,264385;
0,001116;0,141525;0,140408;
0,000800;0,267169;0,266369;
0,000623;0,079953;0,079330;
0,001346;0,131629;0,130283;
0,000601;0,083387;0,082786;
0,001605;0,102146;0,100541;
0,001605;0,102146;0,100541;
0,001618;0,000000;0,001618;
0,000809;0,270340;0,269530;
0,001093;-nan(ind);-nan(ind);
0,001117;0,269741;0,268624;
0,001117;0,269741;0,268624;
0,000917;0,087756;0,086839;
0,000835;0,083798;0,082963;
0,001282;0,137473;0,136190;
0,001282;0,137473;0,136190;
0,001295;0,138193;0,136897;
0,001295;0,138193;0,136897;
0,000636;0,117916;0,117280;
0,001134;0,080747;0,079613;
0,001134;0,078524;0,077390;
0,001082;0,275605;0,274523;
0,000641;0,275605;0,274963;
0,000859;0,275559;0,274700;
0,000676;0,081343;0,080668;
0,000866;0,280048;0,279182;
0,000755;0,282248;0,281492;
0,001772;0,145022;0,143249;
0,000928;0,282712;0,281784;
0,000625;0,283775;0,283150;
0,001533;0,147149;0,145617;
0,001533;0,147149;0,145617;
0,001773;0,148630;0,146857;
0,001487;0,162219;0,160731;
0,001966;0,152305;0,150339;
0,000633;0,293842;0,293209;
0,001308;0,294087;0,292779;
0,000630;0,170264;0,169634;
0,002226;0,155985;0,153759;
0,000717;0,295716;0,295000;
0,000694;0,295425;0,294731;
0,000686;0,160804;0,160118;
0,000679;0,160804;0,160126;
0,001336;0,296124;0,294788;
0,001354;0,168835;0,167481;
0,004673;0,157223;0,152550;
0,004673;0,157223;0,152550;
0,001354;0,167781;0,166427;
0,001354;0,169243;0,167889;
0,001543;0,166775;0,165232;
0,001363;0,166839;0,165476;
0,001348;0,296849;0,295502;
0,000773;0,159677;0,158904;
0,000637;0,299910;0,299273;
0,000637;0,299910;0,299273;
0,001336;0,160051;0,158714;
0,000812;0,160199;0,159386;
0,000812;0,160199;0,159387;
0,000634;0,172533;0,171899;
0,000634;0,172533;0,171899;
0,000725;0,301222;0,300498;
0,000954;0,301223;0,300269;
0,001365;0,162830;0,161465;
0,001365;0,162830;0,161465;
0,000703;0,164339;0,163636;
0,000847;0,000000;0,000847;
0,000807;0,303885;0,303079;
0,000642;0,305762;0,305119;
0,000621;0,305762;0,305141;
0,001345;0,000000;0,001345;
0,000606;0,305845;0,305239;
0,000606;0,305845;0,305239;
0,001005;0,305533;0,304528;
