Reconstruction Coord z;Map Coord z;Error z;
0,281474;0,751558;0,470084;
0,257518;0,334643;0,077125;
0,230776;0,293563;0,062787;
0,259390;0,294099;0,034709;
0,280648;0,384336;0,103688;
0,199401;0,000000;0,199401;
0,190332;0,127313;0,063019;
0,458613;0,570778;0,112165;
0,226495;0,781688;0,555194;
0,192901;0,586465;0,393564;
0,225603;0,773977;0,548374;
0,235910;0,792199;0,556288;
0,228881;0,796962;0,568082;
0,219732;0,773758;0,554027;
0,222477;0,812559;0,590082;
0,222477;0,812559;0,590082;
0,194353;0,814013;0,619660;
0,224295;0,786945;0,562650;
0,202776;0,514823;0,312047;
0,226498;0,819576;0,593077;
0,226498;0,819576;0,593077;
0,207808;0,150977;0,056831;
0,606938;0,813598;0,206660;
0,240588;0,806137;0,565549;
0,237997;0,787443;0,549446;
0,237997;0,787443;0,549446;
0,203953;0,562806;0,358854;
0,304817;0,821575;0,516759;
0,203209;0,827330;0,624122;
0,195032;0,515354;0,320322;
0,650928;0,828017;0,177088;
0,206301;0,053738;0,152562;
0,254509;0,817828;0,563319;
0,898350;0,932199;0,033849;
0,278531;0,840826;0,562295;
0,231013;0,064397;0,166616;
0,273058;0,861730;0,588673;
0,268753;0,864389;0,595636;
0,228565;0,852149;0,623583;
0,283334;0,866541;0,583206;
0,070634;0,931809;0,861175;
0,366046;0,840262;0,474216;
0,251422;0,862338;0,610916;
0,244001;0,855980;0,611979;
0,237349;0,536341;0,298993;
0,237349;0,536341;0,298993;
0,245424;0,857507;0,612082;
0,232417;0,118070;0,114347;
0,232417;0,118070;0,114347;
0,239750;0,000000;0,239750;
0,940223;0,838912;0,101311;
0,240150;0,316475;0,076325;
0,286691;0,859533;0,572843;
0,217663;0,193206;0,024457;
0,298135;0,865224;0,567089;
0,255008;0,575238;0,320230;
0,223666;0,955343;0,731677;
0,347819;0,581691;0,233872;
0,347819;0,581691;0,233872;
0,278119;0,544616;0,266497;
0,007326;0,840174;0,832848;
0,072099;0,836710;0,764611;
0,086564;0,866802;0,780238;
0,287960;0,283003;0,004957;
0,446360;0,552005;0,105645;
0,446360;0,552005;0,105645;
0,017686;0,853307;0,835621;
0,007458;0,837293;0,829834;
0,391767;0,524936;0,133169;
0,041513;0,834828;0,793315;
0,041112;0,835748;0,794636;
0,000559;0,867441;0,866882;
0,000559;0,867441;0,866882;
0,418038;0,542933;0,124895;
0,039164;0,838521;0,799357;
0,386344;0,851429;0,465085;
0,035903;0,838437;0,802534;
0,042188;0,838731;0,796542;
0,053119;0,830503;0,777384;
0,341138;0,832071;0,490933;
0,049751;0,831266;0,781514;
0,020384;0,836076;0,815692;
0,024883;0,828457;0,803574;
0,021638;0,833582;0,811945;
0,338958;0,831897;0,492940;
0,435070;0,830049;0,394979;
0,347857;0,443389;0,095531;
0,026172;0,828426;0,802254;
0,007547;0,828364;0,820816;
0,622257;0,827678;0,205421;
0,677786;0,829420;0,151634;
0,342743;0,841548;0,498805;
0,635757;0,831794;0,196037;
0,679295;0,837349;0,158053;
0,036399;0,813195;0,776795;
0,058303;0,895892;0,837589;
0,078913;0,842177;0,763264;
0,074613;0,355333;0,280720;
0,098955;0,868297;0,769343;
0,100665;0,849695;0,749030;
0,098256;0,888792;0,790537;
1,000000;0,841635;0,158365;
0,532880;0,862874;0,329994;
0,000000;0,216520;0,216520;
0,082630;0,861211;0,778581;
0,054359;0,300515;0,246157;
0,028801;0,308973;0,280172;
0,000725;0,322430;0,321705;
0,053767;0,871910;0,818143;
0,497400;0,274367;0,223033;
0,094927;0,866300;0,771373;
0,092672;0,856258;0,763585;
0,034919;0,997257;0,962338;
0,003991;0,357667;0,353676;
0,065102;0,946011;0,880909;
