Reconstruction Coord z;Map Coord z;Error z;
0,003790;0,708139;0,704349;
0,026346;0,780070;0,753725;
0,008360;0,730173;0,721813;
0,017494;0,798380;0,780886;
0,001889;0,789847;0,787958;
0,001897;0,814669;0,812772;
0,013969;0,811769;0,797800;
0,025577;0,307730;0,282153;
0,023976;0,763195;0,739218;
0,002776;0,833438;0,830663;
0,002776;0,833438;0,830663;
0,009412;0,213309;0,203897;
0,009036;0,398635;0,389598;
0,009036;0,398635;0,389598;
0,011065;0,193221;0,182155;
0,002121;0,183612;0,181492;
0,003059;0,217884;0,214825;
0,007473;0,212908;0,205436;
0,007455;0,209542;0,202087;
0,007455;0,209542;0,202087;
0,007344;0,199469;0,192125;
0,007220;0,212847;0,205627;
0,003608;0,174147;0,170540;
0,002696;0,228776;0,226081;
0,007283;0,164158;0,156875;
0,003608;0,167666;0,164058;
0,006019;0,191389;0,185370;
0,002724;0,220789;0,218065;
0,006737;0,219580;0,212843;
0,007327;0,000000;0,007327;
0,004273;0,162723;0,158449;
0,002875;0,160527;0,157652;
0,017588;0,160575;0,142988;
0,005127;0,157810;0,152682;
0,002557;0,138002;0,135445;
0,002588;0,135051;0,132463;
0,006259;0,043134;0,036874;
0,002828;0,130151;0,127322;
0,002736;0,133601;0,130865;
0,006582;0,129480;0,122898;
0,002558;0,213814;0,211255;
0,002439;0,182950;0,180511;
0,003539;0,136196;0,132657;
0,002357;0,200353;0,197996;
0,002242;0,200353;0,198111;
0,005919;0,121631;0,115713;
0,002753;0,121631;0,118879;
0,002748;0,143943;0,141194;
0,005050;0,104243;0,099194;
0,005590;0,221912;0,216321;
0,006509;0,118380;0,111871;
0,000655;0,129485;0,128829;
0,002125;0,731869;0,729744;
0,002125;0,731869;0,729744;
0,007430;0,000000;0,007430;
0,007430;0,000000;0,007430;
0,002669;0,202867;0,200198;
0,019087;0,106260;0,087174;
0,010153;0,175443;0,165290;
0,002638;0,107155;0,104517;
0,002638;0,107155;0,104517;
0,005767;0,168040;0,162273;
0,003517;0,227730;0,224214;
0,002672;0,189840;0,187168;
0,002672;0,189840;0,187168;
0,002881;0,112444;0,109563;
0,003844;0,000000;0,003844;
0,003844;0,000000;0,003844;
0,005719;0,110596;0,104877;
0,006558;0,111256;0,104697;
0,002488;0,059362;0,056874;
0,003460;0,000000;0,003460;
0,002721;0,059888;0,057168;
0,006639;0,102792;0,096153;
0,002737;0,734071;0,731334;
0,002164;0,734071;0,731908;
0,002248;0,112142;0,109894;
0,006785;0,105685;0,098900;
0,006779;0,000000;0,006779;
0,017208;0,137832;0,120623;
0,017208;0,137832;0,120623;
0,006541;0,111501;0,104960;
0,006541;0,108085;0,101544;
0,020798;0,214458;0,193659;
0,006387;0,110592;0,104206;
0,006802;0,111055;0,104253;
0,000731;0,115082;0,114351;
0,002311;0,115336;0,113025;
0,000719;0,117123;0,116403;
0,008172;0,117254;0,109082;
0,006520;0,064888;0,058368;
0,006603;0,117875;0,111272;
0,007537;0,172985;0,165448;
0,007537;0,172985;0,165448;
0,003195;0,163151;0,159956;
0,003004;0,163151;0,160147;
0,002163;0,117096;0,114933;
0,008506;0,123316;0,114811;
0,002251;0,128145;0,125894;
0,004858;0,141637;0,136779;
0,006636;0,116908;0,110271;
0,006084;0,121175;0,115091;
0,002283;0,130404;0,128121;
0,006500;0,115514;0,109014;
0,006500;0,115514;0,109014;
0,006634;0,122406;0,115771;
0,006634;0,122406;0,115771;
0,008364;0,133933;0,125569;
0,006619;0,000000;0,006619;
0,002170;0,132712;0,130542;
0,014522;0,167182;0,152660;
0,000000;0,141788;0,141788;
0,007182;0,134803;0,127621;
0,003445;0,153701;0,150256;
0,000704;0,127386;0,126683;
0,016949;0,735929;0,718980;
0,016949;0,735929;0,718980;
1,000000;0,124766;0,875234;
0,005620;0,123042;0,117422;
0,014997;0,000000;0,014997;
0,006727;0,136305;0,129579;
0,003967;0,000000;0,003967;
0,006817;0,120561;0,113744;
0,006927;0,162880;0,155953;
0,003074;0,173764;0,170689;
0,002967;0,173764;0,170796;
0,002967;0,173764;0,170796;
0,006838;0,148253;0,141415;
0,007273;0,000000;0,007273;
0,373545;0,223997;0,149548;
0,006881;0,189554;0,182674;
0,002669;0,190049;0,187380;
0,005800;0,148975;0,143175;
0,004691;0,161033;0,156342;
0,004379;0,000000;0,004379;
0,010136;0,075406;0,065270;
0,003207;0,177258;0,174051;
0,003082;0,177258;0,174176;
0,012751;0,226684;0,213932;
0,006597;0,759738;0,753141;
0,007091;0,181990;0,174899;
0,002295;0,133397;0,131102;
0,003855;0,135544;0,131689;
0,007044;0,183144;0,176100;
0,007206;0,160864;0,153658;
0,003089;0,000000;0,003089;
0,003983;0,170373;0,166391;
0,006538;0,106616;0,100077;
0,006538;0,106616;0,100077;
0,106461;0,133600;0,027139;
0,006451;0,097284;0,090833;
0,006451;0,097284;0,090833;
0,023261;0,167699;0,144438;
0,015512;0,167699;0,152186;
0,006707;0,143246;0,136538;
0,006862;0,145796;0,138934;
