Reconstruction Coord z;Map Coord z;Error z;
0,061509;0,785828;0,724319;
0,061509;0,785828;0,724319;
0,292590;0,800170;0,507580;
0,430952;0,724855;0,293903;
0,342981;0,724855;0,381873;
0,332179;0,811856;0,479677;
0,694271;0,687211;0,007060;
0,139000;0,687211;0,548211;
0,947390;0,679290;0,268100;
0,947390;0,679290;0,268100;
0,671041;0,835113;0,164072;
0,729103;0,827009;0,097906;
0,147476;0,670070;0,522594;
0,147476;0,670070;0,522594;
0,466365;0,833443;0,367077;
0,109225;0,844563;0,735338;
0,350561;0,833825;0,483264;
0,111667;0,832243;0,720576;
1,000000;0,814117;0,185883;
0,489259;0,814117;0,324858;
0,301255;0,814117;0,512863;
0,113232;0,803119;0,689887;
0,063944;0,784936;0,720992;
0,299439;0,842211;0,542772;
0,299439;0,842211;0,542772;
0,483138;0,809595;0,326457;
0,472481;0,836829;0,364348;
0,572886;0,841915;0,269029;
0,639046;0,843000;0,203954;
0,280410;0,806183;0,525773;
0,484895;0,820878;0,335983;
0,468976;0,818788;0,349812;
0,816446;0,592336;0,224109;
0,438550;0,425953;0,012597;
0,463573;0,809640;0,346067;
0,454180;0,809640;0,355460;
0,064003;0,697459;0,633456;
0,200947;0,719201;0,518254;
0,456902;0,809666;0,352764;
0,457165;0,817202;0,360037;
0,495825;0,695301;0,199476;
0,064478;0,806779;0,742301;
0,438790;0,817893;0,379103;
0,333621;0,817893;0,484272;
0,455363;0,822403;0,367040;
0,403089;0,747927;0,344838;
0,429929;0,825018;0,395089;
0,429929;0,825018;0,395089;
0,526186;0,503322;0,022864;
0,075288;0,000000;0,075288;
0,414594;0,000000;0,414594;
0,414594;0,000000;0,414594;
0,092968;0,731288;0,638319;
0,092968;0,731288;0,638319;
0,066898;0,450250;0,383353;
0,065749;0,571669;0,505920;
0,091817;0,791424;0,699607;
0,091817;0,791424;0,699607;
0,393182;0,392551;0,000631;
0,451212;0,500470;0,049259;
0,156164;0,499157;0,342993;
0,243979;0,749662;0,505683;
0,067065;0,791227;0,724162;
0,000000;0,452600;0,452600;
0,090878;0,822083;0,731205;
0,160742;0,807395;0,646653;
0,316517;0,894029;0,577512;
0,068993;0,831838;0,762845;
0,100138;0,867948;0,767810;
0,547519;0,874855;0,327336;
0,547519;0,874855;0,327336;
0,435853;0,471984;0,036132;
0,608583;0,878350;0,269767;
0,434354;0,447801;0,013447;
0,069546;0,276825;0,207279;
0,528820;0,854880;0,326059;
0,330322;0,858031;0,527709;
0,071169;0,154939;0,083770;
0,085243;0,858407;0,773163;
0,076072;0,890560;0,814487;
0,076072;0,890560;0,814487;
0,372690;0,866966;0,494276;
0,372690;0,866966;0,494276;
0,396527;0,864884;0,468356;
0,396527;0,864884;0,468356;
0,329570;0,865525;0,535955;
0,329570;0,865525;0,535955;
0,021579;0,174811;0,153232;
0,021579;0,174811;0,153232;
0,021904;0,176825;0,154920;
0,337805;0,000000;0,337805;
0,337805;0,000000;0,337805;
0,338321;0,847723;0,509402;
0,338321;0,847723;0,509402;
0,339810;0,000000;0,339810;
0,339810;0,000000;0,339810;
0,337256;0,000000;0,337256;
0,333865;0,191719;0,142146;
0,333865;0,191719;0,142146;
0,023088;0,194195;0,171107;
0,214303;0,520653;0,306350;
0,146821;0,213725;0,066904;
0,178371;0,214865;0,036494;
0,224020;0,000000;0,224020;
0,323670;0,485180;0,161510;
0,131182;0,668215;0,537034;
0,298094;0,780889;0,482795;
0,396437;0,015659;0,380778;
0,013607;0,745100;0,731493;
0,029837;0,256377;0,226540;
0,029837;0,256377;0,226540;
0,029673;0,951380;0,921707;
0,325380;0,053950;0,271430;
0,325380;0,053950;0,271430;
0,030869;0,269757;0,238888;
0,030869;0,269757;0,238888;
0,091424;0,074679;0,016745;
0,094589;0,723404;0,628815;
0,032431;0,773480;0,741049;
0,022018;0,695443;0,673426;
0,106162;0,884714;0,778552;
0,108529;0,300935;0,192405;
0,021257;0,307544;0,286287;
0,119264;0,632664;0,513399;
0,622030;0,638114;0,016083;
0,030552;0,638114;0,607562;
0,992384;0,655771;0,336612;
0,322457;0,655771;0,333315;
0,116808;0,882195;0,765388;
0,115107;0,888692;0,773584;
0,203755;0,826235;0,622480;
0,034892;0,864719;0,829827;
0,400630;0,894039;0,493409;
0,034021;0,662762;0,628742;
0,527654;0,801983;0,274329;
0,527654;0,801983;0,274329;
0,318359;0,676773;0,358415;
0,000606;0,832804;0,832198;
0,034242;0,693664;0,659421;
0,512526;0,870428;0,357902;
