Reconstruction Coord z;Map Coord z;Error z;
0,052922;0,173781;0,120860;
0,022279;0,169401;0,147121;
0,052932;0,174478;0,121546;
0,049798;0,020580;0,029217;
0,058639;0,200658;0,142019;
0,022528;0,247759;0,225230;
0,050544;0,126107;0,075563;
0,021819;0,699133;0,677314;
0,049200;0,000000;0,049200;
0,062247;0,135930;0,073683;
0,029558;0,819058;0,789501;
0,053210;0,194815;0,141606;
0,031245;0,717791;0,686546;
0,031245;0,717791;0,686546;
0,031474;0,831825;0,800351;
0,031474;0,831825;0,800351;
0,067591;0,137321;0,069730;
0,050719;0,137321;0,086602;
0,049870;0,164339;0,114469;
0,050423;0,166704;0,116282;
0,050453;0,157883;0,107430;
0,034431;0,220684;0,186253;
0,024687;0,195346;0,170659;
0,038997;0,150730;0,111733;
0,023738;0,732037;0,708299;
0,053291;0,103180;0,049889;
0,050740;0,144193;0,093453;
0,050740;0,144193;0,093453;
0,049207;0,207410;0,158203;
0,049485;0,099058;0,049572;
0,046552;0,092319;0,045767;
0,048409;0,201299;0,152890;
0,030940;0,167989;0,137049;
0,047829;0,084003;0,036174;
0,123466;0,012794;0,110672;
0,024046;0,736603;0,712557;
0,052786;0,193096;0,140310;
0,051678;0,168698;0,117021;
0,050799;0,073057;0,022258;
0,023791;0,229319;0,205529;
0,024238;0,738261;0,714022;
0,026143;0,736270;0,710127;
0,029282;0,169029;0,139747;
0,046403;0,012898;0,033506;
0,052305;0,172592;0,120287;
0,053257;0,193329;0,140072;
0,053257;0,193329;0,140072;
0,051514;0,169819;0,118305;
0,024999;0,917796;0,892797;
0,788562;0,362507;0,426055;
0,059895;0,362507;0,302612;
0,059060;0,000000;0,059060;
0,022623;0,714085;0,691463;
0,052530;0,170296;0,117766;
0,051709;0,143367;0,091658;
0,061871;0,172474;0,110603;
0,051947;0,172474;0,120527;
0,051947;0,172474;0,120527;
0,046389;0,141593;0,095204;
0,056654;0,173562;0,116908;
0,043506;0,115233;0,071727;
0,031076;0,374402;0,343326;
0,057108;0,176407;0,119300;
0,056715;0,000000;0,056715;
0,026638;0,420653;0,394015;
0,026542;0,420653;0,394111;
0,029367;0,377676;0,348310;
0,025367;0,000000;0,025367;
0,091988;0,000000;0,091988;
0,047133;0,041969;0,005164;
0,047133;0,041969;0,005164;
0,036334;0,273196;0,236863;
0,024722;0,273766;0,249044;
0,032361;0,929804;0,897443;
0,058955;0,274986;0,216031;
0,024904;0,274986;0,250081;
0,024832;0,275950;0,251118;
0,036514;0,000000;0,036514;
0,030962;0,344267;0,313305;
0,022119;0,374435;0,352316;
0,022030;0,291344;0,269314;
0,022030;0,291344;0,269314;
0,035283;0,348928;0,313645;
0,026507;0,279673;0,253166;
0,026114;0,365507;0,339393;
0,030975;0,490957;0,459981;
0,053320;0,180970;0,127650;
0,035189;0,376476;0,341287;
0,031317;0,306110;0,274793;
0,030272;0,306110;0,275838;
0,043967;0,723429;0,679462;
0,072201;0,273560;0,201359;
0,044328;0,038373;0,005955;
