Reconstruction Coord z;Map Coord z;Error z;
0,155025;0,001592;0,153433;
0,002107;0,006551;0,004444;
0,000481;0,006551;0,006070;
0,001321;0,157800;0,156479;
0,000345;0,005410;0,005065;
0,000689;0,006678;0,005989;
0,002716;0,128314;0,125598;
0,002841;0,007516;0,004675;
0,004186;0,388970;0,384783;
0,001307;0,133948;0,132641;
0,001307;0,133948;0,132641;
0,001222;0,013872;0,012649;
0,002299;0,392685;0,390386;
0,002021;0,394774;0,392753;
0,010835;0,015753;0,004918;
0,010835;0,015753;0,004918;
0,000611;0,395285;0,394675;
0,001000;0,014756;0,013756;
0,001011;0,014756;0,013745;
0,002266;0,395783;0,393517;
0,001007;0,016669;0,015662;
0,003080;0,400819;0,397739;
0,002043;0,400972;0,398928;
0,002232;0,401163;0,398931;
0,003560;0,651216;0,647656;
0,003889;0,659615;0,655726;
0,003694;0,660191;0,656497;
0,003826;0,649161;0,645335;
0,003573;0,659810;0,656237;
0,003827;0,648472;0,644645;
0,003842;0,660267;0,656425;
0,002874;0,661369;0,658495;
0,003863;0,656263;0,652399;
0,003819;0,658038;0,654219;
0,003807;0,663360;0,659553;
0,004592;0,662269;0,657678;
0,003903;0,661866;0,657963;
0,005147;0,663123;0,657977;
0,003846;0,660322;0,656476;
0,003664;0,663555;0,659892;
0,003824;0,658256;0,654432;
0,003824;0,658256;0,654432;
0,003714;0,662959;0,659245;
0,003240;0,663392;0,660151;
0,002016;0,662385;0,660369;
0,003869;0,664870;0,661001;
0,003922;0,654725;0,650803;
0,000434;0,663709;0,663275;
0,001665;0,660420;0,658755;
0,003479;0,663405;0,659926;
0,004192;0,664018;0,659826;
0,003860;0,661431;0,657571;
0,003860;0,661431;0,657571;
0,003194;0,664937;0,661743;
0,003641;0,653847;0,650206;
0,003641;0,653847;0,650206;
0,003955;0,661096;0,657142;
0,003955;0,661096;0,657142;
0,003754;0,666146;0,662393;
0,003836;0,663433;0,659597;
0,003836;0,663433;0,659597;
0,034445;0,662494;0,628049;
0,003817;0,661774;0,657956;
0,003817;0,661774;0,657956;
0,003555;0,663769;0,660213;
0,003555;0,663769;0,660213;
0,003555;0,663769;0,660213;
0,003817;0,659984;0,656167;
0,001569;0,665116;0,663547;
0,003828;0,665567;0,661739;
0,003731;0,665090;0,661358;
0,003829;0,665133;0,661304;
0,001761;0,665133;0,663371;
0,003843;0,659723;0,655880;
0,003978;0,664032;0,660054;
0,001645;0,661049;0,659404;
0,003839;0,660598;0,656759;
0,003862;0,662251;0,658388;
0,000614;0,664467;0,663853;
0,003776;0,665636;0,661860;
0,003807;0,665720;0,661913;
0,001513;0,665720;0,664207;
0,003795;0,660888;0,657093;
0,000529;0,662770;0,662242;
0,003830;0,668036;0,664206;
0,003830;0,668036;0,664206;
0,004211;0,657830;0,653619;
0,003796;0,665473;0,661676;
0,003796;0,665473;0,661676;
0,004465;0,657830;0,653365;
0,003826;0,664650;0,660823;
0,003824;0,664141;0,660317;
0,003824;0,664141;0,660317;
0,003374;0,659974;0,656600;
0,004090;0,665386;0,661296;
0,004090;0,665386;0,661296;
0,003353;0,659652;0,656299;
0,003538;0,660403;0,656865;
0,003865;0,662870;0,659005;
