Reconstruction Coord z;Map Coord z;Error z;
0,016578;0,637610;0,621032;
0,012815;0,638321;0,625506;
0,057016;0,634840;0,577824;
0,048531;0,632405;0,583873;
0,087641;0,633607;0,545967;
0,024369;0,245608;0,221239;
0,033972;0,995811;0,961839;
0,010875;0,809421;0,798545;
0,010669;0,808094;0,797425;
0,039416;0,624315;0,584899;
0,039416;0,624315;0,584899;
0,104857;0,624226;0,519369;
0,025091;0,258760;0,233670;
0,025091;0,258760;0,233670;
0,010945;0,806301;0,795356;
0,009233;0,622000;0,612767;
0,141635;0,619605;0,477970;
0,307172;0,619971;0,312798;
0,050211;0,617629;0,567419;
0,045955;0,616513;0,570557;
0,046753;0,617033;0,570280;
0,047428;0,615992;0,568564;
0,030623;0,617267;0,586645;
0,011061;0,804089;0,793028;
0,041138;0,611420;0,570282;
0,011447;0,804356;0,792910;
0,021711;0,610267;0,588556;
0,011237;0,802972;0,791735;
0,035023;0,607439;0,572416;
0,035023;0,607439;0,572416;
0,034828;0,605605;0,570777;
0,029038;0,604562;0,575523;
0,029038;0,604562;0,575523;
0,034084;0,603623;0,569539;
0,045418;0,601554;0,556137;
0,017990;0,601145;0,583156;
0,040431;0,601049;0,560619;
0,018684;0,599480;0,580796;
0,038559;0,599760;0,561202;
0,037696;0,598312;0,560616;
0,019040;0,597216;0,578176;
0,055367;0,601226;0,545859;
0,045172;0,595820;0,550648;
0,043446;0,596577;0,553130;
0,045193;0,595714;0,550521;
0,033137;0,593612;0,560475;
0,012742;0,800568;0,787827;
0,012742;0,800568;0,787827;
0,018604;0,742564;0,723959;
0,012563;0,804397;0,791834;
0,028201;0,588000;0,559799;
0,012299;0,803241;0,790942;
0,029669;0,418566;0,388897;
0,029669;0,418566;0,388897;
0,043624;0,581171;0,537547;
0,043624;0,581171;0,537547;
0,030598;0,388194;0,357596;
0,030778;0,386714;0,355937;
0,043534;0,580037;0,536503;
0,043534;0,580037;0,536503;
0,043508;0,578849;0,535341;
0,043469;0,575765;0,532296;
0,029267;0,360547;0,331280;
0,056594;0,000000;0,056594;
0,042709;0,576585;0,533876;
0,044005;0,575837;0,531832;
0,030031;0,421862;0,391831;
0,042446;0,574363;0,531917;
0,042262;0,574508;0,532246;
0,042262;0,574508;0,532246;
0,041920;0,000000;0,041920;
0,041920;0,000000;0,041920;
0,028580;0,341725;0,313145;
0,041767;0,673070;0,631303;
0,037958;0,568796;0,530838;
0,042525;0,568672;0,526146;
0,042190;0,565181;0,522991;
0,041967;0,565706;0,523740;
0,041967;0,565706;0,523740;
0,041960;0,566337;0,524377;
0,029090;0,352204;0,323114;
0,029090;0,352204;0,323114;
0,031156;0,564040;0,532884;
0,042480;0,564796;0,522315;
0,042480;0,564796;0,522315;
0,042267;0,565440;0,523173;
0,042877;0,660983;0,618106;
0,022026;0,564916;0,542890;
0,023619;0,352020;0,328401;
0,042333;0,564505;0,522172;
0,032605;0,429477;0,396872;
0,041853;0,560818;0,518964;
0,042097;0,560834;0,518737;
0,041970;0,561507;0,519537;
0,023372;0,560045;0,536673;
0,023372;0,560045;0,536673;
0,032624;0,429458;0,396834;
0,039862;0,559226;0,519364;
0,041982;0,559864;0,517882;
0,044757;0,559265;0,514507;
0,028902;0,354620;0,325718;
0,042423;0,559721;0,517297;
0,042417;0,557913;0,515496;
0,042859;0,572055;0,529195;
0,076033;0,794664;0,718631;
0,042043;0,556971;0,514928;
0,032855;0,430810;0,397955;
0,032884;0,430912;0,398028;
0,023260;0,356188;0,332927;
0,040876;0,556502;0,515626;
0,041317;0,555208;0,513891;
0,041317;0,555208;0,513891;
0,041451;0,555717;0,514267;
0,036608;0,554769;0,518162;
0,029032;0,348557;0,319524;
0,034488;0,356450;0,321962;
0,041429;0,554047;0,512618;
0,045040;0,554955;0,509915;
0,028659;0,349371;0,320712;
0,037168;0,553851;0,516683;
0,041655;0,553525;0,511869;
0,029123;0,350107;0,320984;
0,041461;0,553203;0,511742;
0,041438;0,552407;0,510970;
0,023164;0,348427;0,325264;
0,040295;0,552418;0,512123;
0,041047;0,553691;0,512645;
0,011622;0,791621;0,779999;
0,028623;0,347823;0,319200;
0,041645;0,550904;0,509259;
1,000000;0,631978;0,368022;
0,041304;0,551677;0,510372;
0,028583;0,348015;0,319431;
0,028961;0,357825;0,328864;
0,040857;0,550632;0,509775;
0,040857;0,550632;0,509775;
0,029777;0,793506;0,763729;
0,026703;0,349268;0,322565;
0,028751;0,352856;0,324105;
0,028751;0,352856;0,324105;
0,040839;0,550342;0,509503;
0,041115;0,550010;0,508895;
0,029011;0,352342;0,323331;
0,026425;0,350446;0,324021;
0,026931;0,549035;0,522104;
0,040922;0,551471;0,510549;
0,028847;0,352385;0,323538;
0,028813;0,354052;0,325239;
0,040604;0,548105;0,507501;
0,049010;0,634735;0,585725;
0,049022;0,634735;0,585713;
0,031495;0,352950;0,321455;
0,026562;0,350650;0,324087;
0,029114;0,360726;0,331612;
0,026737;0,351238;0,324501;
