Reconstruction Coord z;Map Coord z;Error z;
0,126608;0,654031;0,527423;
0,126504;0,652432;0,525928;
0,227359;0,986077;0,758719;
0,129723;0,663734;0,534011;
0,121648;0,650618;0,528970;
0,128814;0,652967;0,524153;
0,127661;0,669354;0,541693;
0,120480;0,650561;0,530082;
0,118663;0,649531;0,530868;
0,138543;0,696447;0,557904;
0,046031;0,651168;0,605137;
0,124720;0,651443;0,526724;
0,144644;0,650868;0,506224;
0,122644;0,652389;0,529745;
0,142304;0,705689;0,563384;
0,137687;0,705807;0,568120;
0,157786;0,650938;0,493152;
0,131741;0,000000;0,131741;
0,146816;0,728130;0,581313;
0,120848;0,650370;0,529522;
0,150154;0,727721;0,577567;
0,124524;0,649864;0,525340;
0,132351;0,661381;0,529029;
0,056046;0,661381;0,605334;
0,122455;0,649004;0,526549;
0,121535;0,651561;0,530026;
0,121816;0,648691;0,526876;
0,134115;0,000000;0,134115;
0,167339;0,766196;0,598857;
0,147158;0,715628;0,568471;
0,121348;0,649983;0,528635;
0,128073;0,667133;0,539060;
0,128273;0,664046;0,535774;
0,123597;0,648086;0,524488;
0,124083;0,648435;0,524351;
0,124083;0,648435;0,524351;
0,121344;0,649465;0,528120;
0,121344;0,649465;0,528120;
0,123164;0,000000;0,123164;
0,114349;0,774142;0,659792;
0,114349;0,774142;0,659792;
0,142305;0,716325;0,574021;
0,129243;0,662758;0,533515;
0,129243;0,662758;0,533515;
0,097348;0,648295;0,550947;
0,135783;0,647340;0,511557;
0,121753;0,647487;0,525734;
0,169241;0,773775;0,604534;
0,169241;0,773775;0,604534;
0,136458;0,710740;0,574283;
0,033557;0,690096;0,656539;
0,122034;0,648063;0,526029;
0,122034;0,648063;0,526029;
0,121532;0,647439;0,525908;
0,121532;0,647439;0,525908;
0,149246;0,722599;0,573353;
0,152846;0,734093;0,581247;
0,122537;0,648533;0,525996;
0,121808;0,647489;0,525681;
0,121808;0,647489;0,525681;
0,149053;0,725787;0,576734;
0,161103;0,773194;0,612091;
0,128716;0,666345;0,537629;
0,128716;0,666345;0,537629;
0,179771;0,647810;0,468039;
0,179771;0,647810;0,468039;
0,122647;0,647374;0,524727;
0,122592;0,698727;0,576135;
0,122592;0,698727;0,576135;
0,121754;0,648577;0,526823;
0,085564;0,647418;0,561854;
0,130817;0,660806;0,529989;
0,130817;0,660806;0,529989;
0,034655;0,831818;0,797163;
0,034031;0,831014;0,796983;
0,122053;0,647081;0,525028;
0,132943;0,000000;0,132943;
0,034665;0,831376;0,796711;
0,032827;0,832980;0,800153;
0,121470;0,648572;0,527102;
0,121278;0,647357;0,526080;
0,121278;0,647357;0,526080;
0,125226;0,660146;0,534920;
0,125226;0,660146;0,534920;
0,121335;0,646587;0,525252;
0,121335;0,646587;0,525252;
0,096138;0,776232;0,680094;
0,088075;0,776232;0,688157;
0,034696;0,832024;0,797328;
0,121578;0,648629;0,527051;
0,121556;0,648066;0,526510;
0,121774;0,646428;0,524654;
0,136898;0,705881;0,568983;
0,122292;0,648151;0,525859;
0,136243;0,000000;0,136243;
0,494852;0,646380;0,151528;
0,122010;0,648222;0,526212;
0,122010;0,648222;0,526212;
0,113667;0,775496;0,661828;
0,113667;0,775496;0,661828;
0,107507;0,665142;0,557635;
0,137207;0,704823;0,567616;
0,137207;0,704823;0,567616;
0,121089;0,646228;0,525139;
0,157363;0,837393;0,680030;
0,206421;0,774522;0,568101;
0,121448;0,646278;0,524830;
0,121448;0,646278;0,524830;
0,025302;0,837991;0,812689;
0,138976;0,705047;0,566071;
0,157021;0,769493;0,612472;
0,157021;0,769493;0,612472;
0,027718;0,745844;0,718126;
0,121932;0,647379;0,525447;
0,133266;0,700303;0,567037;
0,163696;0,647489;0,483792;
0,045556;0,696489;0,650934;
0,144015;0,699235;0,555220;
0,135991;0,000000;0,135991;
0,077298;0,043810;0,033489;
0,137266;0,000000;0,137266;
0,040866;0,044929;0,004063;
0,028215;0,695415;0,667199;
0,140703;0,782399;0,641696;
0,000000;0,046492;0,046492;
0,040962;0,044080;0,003117;
0,040962;0,044080;0,003117;
0,028174;0,082689;0,054515;
0,039888;0,018329;0,021559;
0,039888;0,018329;0,021559;
0,060298;0,043847;0,016452;
0,035596;0,042899;0,007304;
0,039565;0,016751;0,022814;
0,039560;0,016751;0,022809;
0,039900;0,022962;0,016938;
0,029373;0,043120;0,013747;
0,039953;0,022462;0,017490;
