Reconstruction Coord z;Map Coord z;Error z;
0,014188;0,218857;0,204668;
0,040959;0,201036;0,160077;
0,017226;0,281513;0,264287;
0,010130;0,125703;0,115573;
0,019619;0,320826;0,301207;
0,040770;0,303689;0,262919;
0,019050;0,296279;0,277230;
0,020996;0,126876;0,105881;
0,020996;0,126876;0,105881;
0,008208;0,128341;0,120133;
0,017054;0,322274;0,305221;
0,026973;0,126896;0,099922;
0,025104;0,276007;0,250904;
0,025003;0,276007;0,251005;
0,022347;0,302864;0,280517;
0,019535;0,128745;0,109210;
0,011392;0,128745;0,117353;
0,020253;0,107275;0,087022;
0,023992;0,314090;0,290098;
0,022200;0,130913;0,108714;
0,021404;0,317863;0,296459;
0,052350;0,218134;0,165784;
0,029744;0,133944;0,104200;
0,021095;0,133944;0,112849;
0,020839;0,112660;0,091821;
0,010099;0,223122;0,213023;
0,021162;0,331239;0,310077;
0,018424;0,351196;0,332773;
0,018176;0,351196;0,333020;
0,022113;0,344427;0,322315;
0,022113;0,344427;0,322315;
0,019256;0,135174;0,115918;
0,036586;0,231626;0,195040;
0,010127;0,136940;0,126814;
0,008397;0,139649;0,131252;
0,008292;0,139649;0,131357;
0,018494;0,341217;0,322723;
0,031134;0,229136;0,198002;
0,022840;0,142583;0,119743;
0,040956;0,374174;0,333217;
0,039457;0,558174;0,518717;
0,039457;0,558174;0,518717;
0,038993;0,558876;0,519883;
0,067076;0,358243;0,291168;
0,023864;0,358243;0,334379;
0,010883;0,150284;0,139400;
0,009923;0,150284;0,140360;
0,041004;0,560882;0,519878;
0,039715;0,559497;0,519782;
0,030447;0,235866;0,205419;
0,021404;0,147103;0,125699;
0,022366;0,325253;0,302887;
0,022366;0,325253;0,302887;
0,015056;0,138617;0,123561;
0,039573;0,561078;0,521505;
0,037677;0,560468;0,522792;
0,042225;0,153653;0,111428;
0,020087;0,377141;0,357054;
0,054663;0,159981;0,105318;
0,027446;0,364546;0,337100;
0,049593;0,228697;0,179105;
0,042295;0,228697;0,186402;
0,027286;0,330479;0,303193;
0,030515;0,354292;0,323777;
0,014338;0,378321;0,363982;
0,039794;0,557347;0,517553;
0,026525;0,334750;0,308224;
0,026405;0,334750;0,308344;
0,026405;0,334750;0,308344;
0,013496;0,441728;0,428232;
0,013496;0,441728;0,428232;
0,019839;0,154419;0,134580;
0,026380;0,235974;0,209594;
0,026286;0,383408;0,357122;
0,038858;0,559335;0,520478;
0,015374;0,164142;0,148768;
0,042323;0,000000;0,042323;
0,036302;0,381478;0,345175;
0,031857;0,159828;0,127972;
0,031857;0,159828;0,127972;
0,025340;0,385028;0,359688;
0,024038;0,383880;0,359843;
0,024038;0,383880;0,359843;
0,024055;0,149093;0,125038;
0,027991;0,559302;0,531311;
0,023539;0,360337;0,336798;
0,040243;0,322124;0,281881;
0,012496;0,444915;0,432420;
0,027955;0,565006;0,537051;
0,024367;0,386886;0,362519;
0,037263;0,318457;0,281194;
0,020195;0,563449;0,543255;
0,021227;0,558157;0,536930;
0,046490;0,298741;0,252251;
0,009949;0,471482;0,461534;
0,031258;0,353621;0,322362;
0,025577;0,353621;0,328044;
0,059616;0,000000;0,059616;
0,025755;0,164070;0,138315;
0,042865;0,392130;0,349265;
0,010212;0,317962;0,307750;
0,080618;0,349230;0,268611;
0,049886;0,293341;0,243455;
0,019092;0,240426;0,221334;
0,038523;0,344230;0,305707;
0,048698;0,352920;0,304223;
0,086131;0,367012;0,280881;
0,031008;0,391365;0,360357;
0,031348;0,391417;0,360069;
0,039787;0,396617;0,356830;
0,029918;0,395045;0,365127;
0,019590;0,555921;0,536330;
0,036193;0,357845;0,321652;
0,030118;0,395126;0,365008;
0,036595;0,347619;0,311023;
0,026681;0,328046;0,301365;
0,008886;0,328663;0,319778;
0,095430;0,245163;0,149733;
0,017393;0,163944;0,146551;
0,032717;0,454540;0,421823;
0,032717;0,454540;0,421823;
0,030217;0,398482;0,368265;
0,027482;0,396103;0,368621;
0,027067;0,396237;0,369170;
0,036721;0,400438;0,363717;
0,014542;0,452684;0,438142;
0,019012;0,401964;0,382953;
0,033349;0,400514;0,367165;
0,030143;0,399433;0,369289;
0,030143;0,399433;0,369289;
0,021864;0,181447;0,159583;
0,028190;0,362900;0,334710;
0,025965;0,334081;0,308116;
0,011992;0,245175;0,233182;
0,024258;0,399959;0,375701;
0,008621;0,240670;0,232049;
0,099631;0,556918;0,457287;
0,023653;0,340365;0,316713;
0,019180;0,399884;0,380704;
0,030176;0,402469;0,372293;
0,035386;0,404100;0,368714;
0,015557;0,404138;0,388581;
0,032543;0,181271;0,148728;
0,028566;0,360805;0,332239;
0,031435;0,401565;0,370130;
0,030260;0,401799;0,371539;
0,030260;0,401799;0,371539;
0,016522;0,455442;0,438921;
0,033573;0,183130;0,149557;
0,015836;0,402598;0,386762;
0,113518;0,456302;0,342784;
0,013133;0,456302;0,443169;
0,030062;0,402652;0,372590;
0,018245;0,402652;0,384407;
0,015453;0,402522;0,387069;
0,027797;0,369488;0,341691;
0,011468;0,187142;0,175674;
0,013346;0,191467;0,178121;
0,012675;0,191467;0,178793;
0,018347;0,342528;0,324181;
0,045688;0,186281;0,140593;
0,043601;0,349697;0,306096;
0,015383;0,405769;0,390386;
0,011540;0,325014;0,313474;
0,023479;0,192555;0,169077;
0,039877;0,364184;0,324308;
0,039877;0,364184;0,324308;
0,030035;0,407132;0,377098;
0,050061;0,193687;0,143626;
0,013077;0,193687;0,180611;
0,036035;0,405074;0,369039;
0,231109;0,329932;0,098823;
0,010951;0,197259;0,186308;
0,436941;0,251769;0,185172;
0,023928;0,348897;0,324969;
0,011616;0,259915;0,248299;
0,046589;0,351954;0,305365;
0,055503;0,254098;0,198595;
0,027484;0,461175;0,433690;
0,042275;0,184989;0,142714;
0,025763;0,197757;0,171994;
0,015808;0,416523;0,400714;
0,028302;0,331206;0,302905;
0,015964;0,462995;0,447031;
0,021967;0,171263;0,149296;
0,019905;0,462280;0,442376;
0,021903;0,418369;0,396466;
0,021903;0,418369;0,396466;
0,015747;0,360307;0,344560;
0,017538;0,359650;0,342112;
0,570397;0,263017;0,307380;
0,031036;0,419227;0,388190;
0,029568;0,259989;0,230421;
0,030631;0,422269;0,391638;
0,015051;0,370328;0,355276;
0,028622;0,355236;0,326614;
0,039293;0,368574;0,329281;
0,017633;0,181546;0,163913;
0,025699;0,423156;0,397456;
0,031288;0,421815;0,390527;
0,031509;0,421634;0,390125;
0,027710;0,358181;0,330472;
0,035220;0,420142;0,384922;
0,018826;0,360435;0,341609;
0,031215;0,427640;0,396425;
0,019507;0,364562;0,345055;
0,015795;0,364562;0,348767;
0,021883;0,195514;0,173631;
0,027301;0,375894;0,348594;
0,032669;0,334959;0,302291;
0,012077;0,334959;0,322883;
