Reconstruction Coord z;Map Coord z;Error z;
0,007734;0,030351;0,022617;
0,008067;0,079284;0,071217;
0,009077;0,079916;0,070839;
0,022016;0,266104;0,244088;
0,015306;0,240424;0,225119;
0,016907;0,177177;0,160270;
0,016908;0,079802;0,062894;
0,028119;0,606810;0,578692;
0,008312;0,224308;0,215996;
0,010315;0,221668;0,211352;
0,008169;0,218657;0,210488;
0,016903;0,174347;0,157444;
0,021684;0,604254;0,582570;
0,021276;0,687422;0,666146;
0,008188;0,000000;0,008188;
0,015332;0,037782;0,022450;
0,023675;0,686202;0,662527;
0,010334;0,219541;0,209207;
0,008197;0,219541;0,211344;
0,012908;0,210814;0,197906;
0,008215;0,214026;0,205811;
0,014631;0,205465;0,190834;
0,014631;0,205465;0,190834;
0,030294;0,219501;0,189207;
0,030294;0,219501;0,189207;
0,022147;0,217143;0,194996;
0,020972;0,217257;0,196286;
0,008164;0,217330;0,209166;
0,016799;0,172287;0,155488;
0,021270;0,218723;0,197453;
0,021270;0,218723;0,197453;
0,008971;0,215539;0,206568;
0,008971;0,215539;0,206568;
0,008929;0,216654;0,207725;
0,017274;0,048546;0,031273;
0,052841;0,673662;0,620821;
0,016427;0,067915;0,051488;
0,016977;0,057331;0,040354;
0,015743;0,037299;0,021556;
0,015743;0,037299;0,021556;
0,015743;0,037299;0,021556;
0,015743;0,037299;0,021556;
0,015743;0,037299;0,021556;
0,018808;0,152974;0,134166;
0,015396;0,142357;0,126962;
0,015396;0,142357;0,126962;
0,025055;0,597431;0,572377;
0,021152;0,214067;0,192915;
0,016542;0,000000;0,016542;
0,016542;0,000000;0,016542;
0,014300;0,209584;0,195283;
0,016059;0,044984;0,028925;
0,016059;0,044984;0,028925;
0,015763;0,000000;0,015763;
0,015763;0,000000;0,015763;
0,025431;0,141778;0,116347;
0,001854;0,233394;0,231540;
0,001854;0,233394;0,231540;
0,013270;0,141474;0,128204;
0,013270;0,141474;0,128204;
0,016241;0,167182;0,150940;
0,043146;0,676382;0,633235;
0,043146;0,676382;0,633235;
0,011019;0,166593;0,155574;
0,011944;0,167443;0,155499;
0,012210;0,167172;0,154962;
0,011552;0,168050;0,156497;
0,010565;0,167370;0,156806;
0,009099;0,168241;0,159142;
0,012356;0,168095;0,155739;
0,012356;0,168095;0,155739;
0,012260;0,164333;0,152073;
0,016893;0,166183;0,149290;
0,015652;0,000000;0,015652;
0,015652;0,000000;0,015652;
0,011921;0,169239;0,157318;
0,009192;0,169239;0,160047;
0,019491;0,154710;0,135219;
0,011944;0,162820;0,150877;
0,013465;0,146588;0,133123;
0,011296;0,167286;0,155990;
0,012082;0,162501;0,150419;
0,012331;0,160697;0,148366;
0,019291;0,156567;0,137276;
0,009415;0,169670;0,160255;
0,019300;0,163072;0,143772;
0,009270;0,173363;0,164093;
0,019404;0,161346;0,141942;
0,018448;0,165175;0,146727;
0,009882;0,149177;0,139294;
0,019607;0,168156;0,148549;
0,009934;0,165833;0,155899;
0,012287;0,140721;0,128434;
0,015441;0,155807;0,140366;
0,019232;0,162176;0,142944;
0,019776;0,171596;0,151820;
0,019270;0,000000;0,019270;
0,017052;0,087118;0,070066;
0,017052;0,087118;0,070066;
0,017587;0,102759;0,085172;
0,022633;0,168716;0,146083;
0,022633;0,168716;0,146083;
0,017827;0,152335;0,134508;
0,010085;0,147315;0,137230;
0,018968;0,134388;0,115421;
0,011144;0,133362;0,122218;
0,009280;0,175925;0,166645;
0,017863;0,119487;0,101624;
0,017863;0,119487;0,101624;
0,018713;0,130197;0,111485;
0,018130;0,863846;0,845716;
0,018130;0,863846;0,845716;
0,017285;0,160691;0,143406;
0,013555;0,134534;0,120979;
0,018495;0,000000;0,018495;
0,015037;0,123339;0,108302;
0,013344;0,158161;0,144817;
0,013896;0,129524;0,115628;
0,018315;0,169393;0,151078;
0,018684;0,128767;0,110083;
0,018365;0,000000;0,018365;
0,018993;0,151063;0,132070;
0,018993;0,151063;0,132070;
0,019032;0,156389;0,137357;
0,017173;0,141969;0,124796;
0,009204;0,132824;0,123620;
0,018398;0,129356;0,110958;
0,009895;0,868361;0,858465;
0,010792;0,140505;0,129713;
0,010770;0,136305;0,125535;
0,018292;0,122359;0,104067;
0,018286;0,133719;0,115433;
0,018288;0,124974;0,106687;
0,018645;0,138848;0,120203;
0,018980;0,150149;0,131168;
