Reconstruction Coord z;Map Coord z;Error z;
0,138039;0,000000;0,138039;
0,162655;0,000000;0,162655;
0,170474;0,503309;0,332835;
0,131141;0,472922;0,341781;
0,131141;0,472922;0,341781;
0,141211;0,494073;0,352863;
0,149510;0,519869;0,370359;
0,149510;0,519869;0,370359;
0,150727;0,537272;0,386545;
0,150727;0,537272;0,386545;
0,990513;0,529272;0,461241;
0,141377;0,000000;0,141377;
0,022467;0,553017;0,530551;
0,025158;0,597479;0,572321;
0,052449;0,505164;0,452715;
0,146919;0,520451;0,373532;
0,146955;0,516752;0,369797;
0,043727;0,528099;0,484372;
0,043310;0,504875;0,461565;
0,152688;0,531691;0,379002;
0,147390;0,524493;0,377103;
0,146339;0,507282;0,360944;
0,152951;0,528042;0,375091;
0,152569;0,522666;0,370098;
0,178478;0,000000;0,178478;
0,152564;0,523064;0,370500;
0,162865;0,546234;0,383368;
0,145121;0,515144;0,370023;
0,152858;0,531706;0,378848;
0,152858;0,531706;0,378848;
0,152536;0,523370;0,370833;
0,153576;0,536648;0,383072;
0,153576;0,536648;0,383072;
0,190119;0,544027;0,353908;
0,024191;0,538224;0,514033;
0,152595;0,537874;0,385279;
0,152523;0,531470;0,378947;
0,027494;0,017864;0,009630;
0,027494;0,017864;0,009630;
1,000000;0,517463;0,482537;
0,150050;0,522707;0,372658;
0,150050;0,522707;0,372658;
0,148040;0,516334;0,368293;
0,141749;0,516334;0,374585;
0,147882;0,517073;0,369192;
0,147882;0,517073;0,369192;
0,151181;0,545839;0,394658;
0,153451;0,473465;0,320015;
0,148712;0,473465;0,324753;
0,152286;0,533837;0,381551;
0,091109;0,113064;0,021955;
0,145035;0,474808;0,329773;
0,029096;0,036471;0,007375;
0,136821;0,476924;0,340102;
0,136821;0,476924;0,340102;
0,153257;0,520770;0,367514;
0,048031;0,114268;0,066238;
0,152612;0,556827;0,404216;
0,149370;0,543094;0,393723;
0,159391;0,522033;0,362642;
0,027839;0,065257;0,037418;
0,067676;0,523820;0,456144;
0,048298;0,123357;0,075059;
0,058789;0,565376;0,506587;
0,022371;0,573549;0,551178;
0,107366;0,554486;0,447120;
0,121244;0,542332;0,421089;
0,151901;0,518008;0,366107;
0,104415;0,066596;0,037819;
0,080969;0,548769;0,467800;
0,080969;0,548769;0,467800;
0,033283;0,067928;0,034646;
0,030740;0,516182;0,485442;
0,071176;0,554238;0,483062;
0,082233;0,065230;0,017003;
0,152375;0,527170;0,374794;
0,150246;0,532515;0,382269;
0,152331;0,532826;0,380495;
0,039509;0,146094;0,106586;
0,002191;0,526547;0,524356;
0,034431;0,587112;0,552681;
0,034431;0,587112;0,552681;
0,083723;0,286884;0,203161;
0,022064;0,674192;0,652128;
0,022064;0,674192;0,652128;
0,074716;0,088785;0,014069;
0,062325;0,081516;0,019191;
0,038668;0,000000;0,038668;
0,037564;0,082210;0,044646;
0,090667;0,081146;0,009521;
0,029008;0,092265;0,063257;
0,075750;0,095227;0,019476;
0,072208;0,087556;0,015348;
0,072208;0,087556;0,015348;
0,072721;0,086251;0,013530;
0,031583;0,097489;0,065906;
0,089273;0,098517;0,009244;
0,095819;0,262340;0,166521;
0,080792;0,109473;0,028681;
0,073779;0,087407;0,013628;
0,080141;0,000000;0,080141;
0,003495;0,058511;0,055015;
0,167824;0,593674;0,425851;
0,028945;0,091366;0,062421;
0,073239;0,088587;0,015348;
0,075182;0,097572;0,022390;
0,074931;0,098987;0,024057;
0,171748;0,591057;0,419308;
0,135871;0,121823;0,014048;
0,076088;0,121823;0,045735;
0,076102;0,098027;0,021925;
0,175073;0,607249;0,432176;
0,427299;0,748570;0,321271;
0,169915;0,624680;0,454765;
0,179666;0,611259;0,431593;
0,073821;0,084255;0,010435;
0,074380;0,102765;0,028386;
0,074380;0,102765;0,028386;
0,074380;0,102765;0,028386;
0,075537;0,096425;0,020888;
0,075110;0,100941;0,025832;
0,075995;0,111228;0,035233;
0,023055;0,096119;0,073063;
0,180467;0,629997;0,449530;
0,003242;0,113194;0,109952;
0,078497;0,112809;0,034313;
0,073963;0,092513;0,018550;
0,073963;0,092513;0,018550;
0,180823;0,636298;0,455475;
0,024416;0,084651;0,060235;
0,075885;0,110955;0,035070;
0,029909;0,633929;0,604020;
0,076792;0,114409;0,037617;
0,077103;0,112087;0,034983;
0,076064;0,112167;0,036103;
0,076064;0,112167;0,036103;
0,030603;0,603908;0,573305;
0,068043;0,027085;0,040957;
0,000000;0,607297;0,607297;
0,026533;0,260944;0,234412;
0,031881;0,107836;0,075955;
0,006411;0,000000;0,006411;
0,086192;0,192250;0,106058;
0,086192;0,192250;0,106058;
0,086192;0,192250;0,106058;
0,075122;0,100420;0,025298;
0,031359;0,713417;0,682058;
0,033001;0,723641;0,690641;
0,215025;0,762821;0,547796;
0,233460;0,758337;0,524876;
0,230628;0,755590;0,524962;
0,236660;0,766966;0,530305;
0,256236;0,781160;0,524924;
0,237554;0,755016;0,517462;
0,259112;0,787705;0,528593;
0,241659;0,768794;0,527135;
0,001166;0,822438;0,821272;
0,244676;0,781350;0,536674;
0,218728;0,805476;0,586748;
0,218728;0,805476;0,586748;
0,247630;0,783176;0,535546;
0,002269;0,793094;0,790825;
0,041364;0,757895;0,716531;
0,172922;0,805260;0,632337;
0,172922;0,805260;0,632337;
0,002190;0,604944;0,602754;
0,179694;0,598215;0,418521;
0,179694;0,598215;0,418521;
0,171972;0,595729;0,423756;
0,173211;0,808056;0,634845;
