Reconstruction Coord z;Map Coord z;Error z;
0,083476;0,212784;0,129308;
0,086735;0,214964;0,128229;
0,088057;0,211465;0,123408;
0,033059;0,204565;0,171506;
0,066884;0,000000;0,066884;
0,021077;0,203064;0,181986;
0,021077;0,203064;0,181986;
0,045497;0,204057;0,158560;
0,045410;0,202246;0,156836;
0,092645;0,000000;0,092645;
0,096645;0,203691;0,107046;
0,077387;0,194548;0,117161;
0,197152;0,201782;0,004630;
0,069301;0,201782;0,132481;
0,081200;0,195394;0,114194;
0,044789;0,201152;0,156363;
0,043432;0,201152;0,157719;
0,092861;0,000000;0,092861;
0,053935;0,201068;0,147132;
0,084500;0,000000;0,084500;
0,079892;0,174866;0,094974;
0,093945;0,290049;0,196103;
0,031193;0,495808;0,464615;
0,087119;0,247761;0,160642;
0,087119;0,247761;0,160642;
0,058012;0,208741;0,150729;
0,094352;0,448900;0,354548;
0,094169;0,285865;0,191697;
0,039825;0,285865;0,246040;
1,000000;0,209777;0,790223;
0,088539;0,182053;0,093514;
0,094886;0,000000;0,094886;
0,097379;0,277664;0,180286;
0,082031;0,200097;0,118066;
0,093513;0,292278;0,198765;
0,095741;0,287132;0,191391;
0,098723;0,274659;0,175936;
0,093676;0,291217;0,197541;
0,039342;0,537344;0,498002;
0,102888;0,287301;0,184413;
0,095597;0,297448;0,201851;
0,095597;0,297448;0,201851;
0,091250;0,480976;0,389726;
0,041081;0,544904;0,503823;
0,096787;0,489575;0,392788;
0,081123;0,232814;0,151691;
0,095755;0,000000;0,095755;
0,095755;0,000000;0,095755;
0,182420;0,226972;0,044552;
0,096187;0,493189;0,397002;
0,087876;0,245807;0,157931;
0,116013;0,251589;0,135576;
0,310337;0,254157;0,056179;
0,090806;0,251644;0,160837;
0,526732;0,257418;0,269313;
0,097970;0,257286;0,159317;
0,101076;0,259407;0,158332;
0,090714;0,264956;0,174243;
0,090714;0,264956;0,174243;
0,100314;0,278638;0,178325;
0,090191;0,486668;0,396476;
0,094601;0,531501;0,436900;
0,095377;0,557850;0,462473;
0,125395;0,488030;0,362635;
0,125395;0,488030;0,362635;
0,126987;0,579605;0,452618;
0,126987;0,579605;0,452618;
0,035881;0,647465;0,611583;
0,102754;0,633960;0,531206;
0,102754;0,633960;0,531206;
0,117303;0,533292;0,415989;
0,026173;0,326693;0,300520;
0,027477;0,572382;0,544905;
0,103233;0,365592;0,262359;
0,027857;0,571171;0,543314;
0,032739;0,384354;0,351615;
0,133078;0,674200;0,541122;
0,133078;0,674200;0,541122;
0,063700;0,362642;0,298942;
0,063700;0,362642;0,298942;
0,038400;0,628478;0,590078;
0,044481;0,695915;0,651434;
0,040346;0,659232;0,618886;
0,040470;0,659232;0,618762;
0,036350;0,494538;0,458189;
0,043157;0,575560;0,532403;
0,038334;0,447094;0,408760;
0,049398;0,410899;0,361502;
0,185829;0,363809;0,177980;
0,026366;0,363809;0,337443;
0,036367;0,456692;0,420324;
0,036366;0,462429;0,426063;
0,035934;0,450613;0,414679;
0,037398;0,457240;0,419843;
0,036040;0,526835;0,490795;
0,043956;0,505710;0,461754;
0,054751;0,455008;0,400257;
0,028133;0,325480;0,297347;
0,057453;0,528016;0,470563;
0,057453;0,528016;0,470563;
0,028592;0,318767;0,290174;
0,087185;0,613591;0,526406;
0,029252;0,373970;0,344718;
0,045586;0,567276;0,521690;
0,038847;0,570416;0,531568;
0,033002;0,380490;0,347488;
0,033922;0,364383;0,330460;
0,035888;0,354974;0,319086;
0,036605;0,407446;0,370842;
0,004186;0,339985;0,335799;
0,041415;0,710749;0,669334;
0,005182;0,314019;0,308837;
0,007248;0,490570;0,483322;
0,007087;0,494246;0,487159;
0,006893;0,491012;0,484120;
0,036067;0,000000;0,036067;
0,036998;0,000000;0,036998;
0,210834;0,417621;0,206786;
0,029276;0,733180;0,703904;
0,034999;0,572470;0,537471;
0,049732;0,379714;0,329982;
0,034536;0,375234;0,340697;
0,138302;0,566623;0,428321;
0,138020;0,551175;0,413155;
0,059835;0,368535;0,308700;
0,041316;0,603597;0,562281;
0,000000;0,524258;0,524258;
