Reconstruction Coord z;Map Coord z;Error z;
0,025633;0,098479;0,072846;
0,025676;0,096130;0,070455;
0,025505;0,096001;0,070496;
0,025505;0,096001;0,070496;
0,025651;0,097519;0,071868;
0,025651;0,097519;0,071868;
0,028671;0,102010;0,073339;
0,016653;0,105161;0,088508;
0,016653;0,105161;0,088508;
0,042022;0,101219;0,059197;
0,042022;0,101219;0,059197;
0,025510;0,102312;0,076801;
0,026405;0,105845;0,079440;
0,031498;0,110621;0,079123;
0,031498;0,110621;0,079123;
0,007901;0,558100;0,550199;
0,008021;0,563010;0,554989;
0,025863;0,112708;0,086846;
0,007448;0,568308;0,560860;
0,007448;0,568308;0,560860;
0,006208;0,117470;0,111262;
0,008176;0,572299;0,564124;
0,006335;0,120965;0,114630;
0,012907;0,575900;0,562993;
0,006400;0,124298;0,117898;
0,006400;0,124298;0,117898;
0,012004;0,131877;0,119873;
0,011213;0,000000;0,011213;
0,013862;0,143301;0,129440;
0,006503;0,143301;0,136798;
0,007834;0,596307;0,588473;
0,019330;0,158743;0,139412;
0,015656;0,000000;0,015656;
0,016164;0,215234;0,199071;
0,016164;0,215234;0,199071;
0,012424;0,215234;0,202811;
0,010598;0,126960;0,116362;
0,008126;0,112242;0,104115;
0,006795;0,112568;0,105772;
0,009715;0,102457;0,092741;
0,006479;0,088928;0,082449;
0,006472;0,151108;0,144636;
0,008061;0,000000;0,008061;
0,006549;0,178277;0,171728;
0,006566;0,479630;0,473064;
0,074931;0,021857;0,053074;
0,022248;0,010623;0,011625;
0,021282;0,008931;0,012352;
0,021181;0,014013;0,007168;
0,020496;0,008400;0,012096;
0,011923;0,180287;0,168364;
0,020940;0,007797;0,013143;
0,014707;0,542713;0,528005;
0,026574;0,016835;0,009739;
0,022454;0,015413;0,007040;
0,020951;0,001001;0,019950;
0,022299;0,689149;0,666850;
0,000508;0,005911;0,005403;
0,017556;0,193958;0,176402;
0,024817;0,500426;0,475608;
0,000394;0,019579;0,019186;
0,015642;0,015484;0,000158;
0,021332;0,017532;0,003801;
0,007512;0,442442;0,434930;
0,033027;0,603467;0,570440;
0,010413;0,604963;0,594550;
0,021821;0,022237;0,000416;
0,012077;0,031744;0,019667;
0,012077;0,031744;0,019667;
0,010484;0,610194;0,599710;
0,082040;0,032954;0,049087;
0,082040;0,032954;0,049087;
0,082714;0,033895;0,048819;
0,082714;0,033895;0,048819;
0,022980;0,216850;0,193870;
0,022245;0,028226;0,005981;
0,022245;0,028226;0,005981;
0,022388;0,586263;0,563875;
0,007435;0,028042;0,020607;
0,022693;0,038678;0,015985;
0,007774;0,159131;0,151358;
0,028086;0,035560;0,007474;
0,015845;0,229633;0,213788;
0,020299;0,172002;0,151704;
0,008714;0,234393;0,225679;
0,008691;0,187742;0,179051;
0,008938;0,192851;0,183913;
0,000458;0,222070;0,221612;
0,012896;0,112569;0,099673;
0,019192;0,121128;0,101936;
0,002541;0,121128;0,118587;
0,023202;0,166811;0,143609;
0,023202;0,166811;0,143609;
0,024269;0,161726;0,137458;
1,000000;0,072056;0,927944;
0,036146;0,138591;0,102445;
0,036146;0,138591;0,102445;
0,002001;0,142913;0,140912;
0,002598;0,153122;0,150524;
0,026408;0,151715;0,125308;
0,026914;0,150397;0,123483;
0,027443;0,151666;0,124224;
0,027443;0,151666;0,124224;
0,002697;0,222019;0,219322;
0,000017;0,220048;0,220031;
0,001423;0,159251;0,157828;
0,028190;0,218093;0,189903;
0,027793;0,218093;0,190300;
0,001651;0,215279;0,213629;
0,001947;0,092731;0,090784;
0,001318;0,092731;0,091413;
0,001751;0,000000;0,001751;
0,028147;0,217080;0,188933;
0,027989;0,537363;0,509374;
0,002047;0,000000;0,002047;
0,028632;0,111502;0,082870;
0,001734;0,185401;0,183668;
0,002548;0,180822;0,178273;
0,001640;0,180373;0,178733;
0,029312;0,177023;0,147711;
0,002086;0,094677;0,092591;
0,002924;0,124202;0,121279;
0,002046;0,120606;0,118560;
0,002228;0,118005;0,115778;
0,001193;0,118005;0,116812;
0,002322;0,122218;0,119896;
0,002122;0,118167;0,116045;
0,000000;0,220697;0,220697;
0,001106;0,224232;0,223126;
