Reconstruction Coord z;Map Coord z;Error z;
0,044596;0,588373;0,543777;
0,045709;0,599516;0,553807;
0,044750;0,599002;0,554252;
0,006404;0,603427;0,597023;
0,011806;0,595838;0,584032;
0,046676;0,602392;0,555716;
0,045395;0,604904;0,559509;
0,015936;0,601425;0,585489;
0,015049;0,601425;0,586376;
0,040422;0,598781;0,558359;
0,046018;0,604143;0,558125;
0,042665;0,602695;0,560029;
0,045540;0,608839;0,563299;
0,061280;0,619281;0,558001;
0,030699;0,610491;0,579791;
0,047190;0,621791;0,574601;
0,024098;0,605461;0,581364;
0,022530;0,610453;0,587924;
0,025553;0,612559;0,587006;
0,019482;0,612559;0,593077;
0,046433;0,614245;0,567812;
0,046433;0,614245;0,567812;
0,047499;0,624344;0,576845;
0,013370;0,624344;0,610974;
0,046412;0,616936;0,570524;
0,048704;0,617123;0,568419;
0,084361;0,628266;0,543905;
0,047137;0,612510;0,565373;
0,047137;0,612510;0,565373;
0,045845;0,621343;0,575497;
0,045845;0,621343;0,575497;
0,029593;0,630470;0,600877;
0,048798;0,616695;0,567896;
0,044111;0,616695;0,572584;
0,018721;0,616695;0,597974;
0,017727;0,621638;0,603911;
0,046175;0,612223;0,566048;
0,048022;0,617991;0,569969;
0,099883;0,618973;0,519090;
0,046521;0,614697;0,568176;
0,042714;0,630338;0,587623;
0,019392;0,621655;0,602263;
0,046467;0,616741;0,570275;
0,046467;0,616741;0,570275;
0,046639;0,620146;0,573507;
0,045324;0,617336;0,572013;
0,026752;0,623122;0,596370;
0,044257;0,627740;0,583484;
0,024114;0,628293;0,604179;
0,037281;0,619310;0,582028;
0,064431;0,624618;0,560187;
0,032313;0,624618;0,592305;
0,006929;0,629132;0,622204;
0,038293;0,628424;0,590131;
0,030450;0,629062;0,598612;
0,012426;0,646321;0,633895;
0,031521;0,647995;0,616473;
0,037240;0,629890;0,592650;
0,674847;0,636287;0,038560;
0,674847;0,636287;0,038560;
0,048757;0,638445;0,589688;
0,023808;0,639421;0,615613;
0,023808;0,639421;0,615613;
0,024016;0,640099;0,616083;
0,024016;0,640099;0,616083;
0,048794;0,640763;0,591969;
0,048794;0,640763;0,591969;
0,029433;0,652763;0,623330;
0,019448;0,374216;0,354769;
0,330564;0,644656;0,314093;
0,048727;0,644656;0,595929;
0,048717;0,644422;0,595705;
0,014217;0,094060;0,079843;
0,030868;0,000000;0,030868;
0,021608;0,095923;0,074316;
0,014841;0,097093;0,082252;
0,048837;0,647769;0,598932;
0,048837;0,647769;0,598932;
0,040636;0,644437;0,603801;
0,040820;0,666507;0,625688;
0,062925;0,658283;0,595358;
0,047372;0,631509;0,584137;
0,046875;0,634954;0,588079;
0,021500;0,101034;0,079534;
0,047624;0,638280;0,590656;
0,047624;0,638280;0,590656;
