Reconstruction Coord z;Map Coord z;Error z;
0,006021;0,313626;0,307605;
0,005603;0,417813;0,412210;
0,005624;0,344053;0,338429;
0,005794;0,114090;0,108296;
0,007576;0,080100;0,072524;
0,007576;0,080100;0,072524;
0,006083;0,138456;0,132373;
0,006060;0,149316;0,143256;
0,001646;0,000000;0,001646;
0,000231;0,222088;0,221857;
0,000309;0,162471;0,162162;
0,000000;0,189934;0,189934;
0,001632;0,071665;0,070033;
0,007057;0,158700;0,151644;
0,001354;0,104643;0,103289;
0,001364;0,119837;0,118473;
0,001725;0,178717;0,176992;
0,001749;0,180671;0,178922;
0,001688;0,210866;0,209177;
0,017674;0,937190;0,919516;
0,007827;0,368933;0,361107;
0,001772;0,298807;0,297035;
0,001806;0,300948;0,299142;
0,002442;0,400503;0,398061;
0,001697;0,415671;0,413974;
0,014125;0,319832;0,305707;
0,012917;0,000000;0,012917;
0,008418;0,820264;0,811846;
0,001944;0,000000;0,001944;
0,000634;0,331207;0,330573;
0,002180;0,395177;0,392997;
0,002072;0,335530;0,333457;
0,002711;0,549748;0,547036;
0,002753;0,285513;0,282761;
0,002884;0,410085;0,407200;
0,001116;0,312588;0,311472;
0,067585;0,384323;0,316737;
0,002260;0,298101;0,295841;
0,002172;0,299088;0,296916;
0,002500;0,397427;0,394926;
0,017218;0,318642;0,301424;
0,002677;0,295054;0,292376;
0,002677;0,295054;0,292376;
0,002302;0,318342;0,316040;
0,002586;0,296080;0,293494;
0,001573;0,296203;0,294630;
0,042506;0,000000;0,042506;
1,000000;0,296984;0,703016;
0,037603;0,286646;0,249043;
0,003139;-nan(ind);-nan(ind);
