Reconstruction Coord z;Map Coord z;Error z;
0,093656;0,610768;0,517112;
0,037484;0,610768;0,573284;
0,140615;0,374866;0,234251;
0,040906;0,819102;0,778197;
0,000000;0,718430;0,718430;
0,315310;0,893944;0,578634;
0,000070;0,578287;0,578217;
0,000443;0,541423;0,540980;
0,025515;0,854340;0,828825;
0,002795;0,663025;0,660231;
1,000000;0,932443;0,067557;
0,024046;0,000000;0,024046;
0,023084;0,466228;0,443144;
0,004817;0,773802;0,768985;
0,026788;0,655065;0,628278;
0,027251;0,675099;0,647849;
0,000741;0,101251;0,100511;
0,007340;0,879637;0,872296;
0,007318;0,891837;0,884519;
0,007601;0,888887;0,881286;
0,005960;0,947011;0,941051;
0,008078;0,878369;0,870291;
0,007742;0,878369;0,870627;
0,004947;0,879077;0,874130;
0,005939;0,845296;0,839357;
0,038263;0,782970;0,744706;
0,008126;0,781876;0,773750;
0,041577;0,764316;0,722739;
0,004361;0,000000;0,004361;
0,004387;0,834821;0,830433;
0,007876;0,606175;0,598299;
0,007876;0,606175;0,598299;
0,007599;0,802679;0,795080;
0,008683;0,794591;0,785907;
0,075981;0,777977;0,701997;
0,009028;0,745620;0,736592;
