Reconstruction Coord z;Map Coord z;Error z;
0,177412;0,000000;0,177412;
0,058103;0,138725;0,080622;
0,204818;0,111027;0,093790;
0,057773;0,141065;0,083291;
0,057773;0,141065;0,083291;
0,096428;0,112770;0,016342;
0,320155;0,175116;0,145039;
0,187816;0,175116;0,012699;
0,103435;0,165067;0,061632;
0,186148;0,147295;0,038853;
0,202153;0,149028;0,053126;
0,202153;0,149028;0,053126;
0,195472;0,168453;0,027019;
0,060639;0,359619;0,298980;
0,188988;0,154491;0,034497;
0,178306;0,126555;0,051751;
0,178306;0,126555;0,051751;
0,178909;0,128725;0,050185;
0,189948;0,176368;0,013580;
0,234591;0,159384;0,075207;
0,127408;0,159384;0,031976;
0,190331;0,163772;0,026559;
0,176232;0,134412;0,041821;
0,137472;0,134175;0,003297;
0,198581;0,000000;0,198581;
0,063651;0,436407;0,372756;
0,146629;0,170693;0,024064;
0,189503;0,171949;0,017554;
0,191406;0,220347;0,028940;
0,195352;0,000000;0,195352;
0,199088;0,000000;0,199088;
0,188766;0,177026;0,011740;
0,123648;0,177026;0,053378;
0,186669;0,182742;0,003927;
0,192403;0,000000;0,192403;
0,190264;0,178945;0,011319;
0,192083;0,192508;0,000425;
0,191980;0,194660;0,002680;
0,192222;0,192508;0,000286;
0,195044;0,191599;0,003445;
0,187252;0,174037;0,013215;
0,187252;0,174037;0,013215;
0,191315;0,179242;0,012073;
0,192687;0,187181;0,005506;
0,188697;0,177318;0,011379;
0,188697;0,177318;0,011379;
0,195336;0,194847;0,000489;
0,190287;0,184378;0,005909;
0,195907;0,208790;0,012883;
0,195907;0,208790;0,012883;
0,137166;0,156830;0,019664;
0,106057;0,205028;0,098971;
0,211767;0,264201;0,052434;
0,196924;0,000000;0,196924;
0,156211;0,000000;0,156211;
0,192303;0,183308;0,008995;
0,195187;0,212220;0,017033;
0,047294;0,218344;0,171050;
0,138255;0,217704;0,079449;
0,209428;0,421341;0,211913;
0,209428;0,421341;0,211913;
0,186078;0,208612;0,022534;
0,278934;0,230305;0,048629;
0,062196;0,000000;0,062196;
0,062196;0,000000;0,062196;
0,199186;0,225471;0,026285;
0,223160;0,425674;0,202514;
0,199661;0,216772;0,017111;
0,199661;0,216772;0,017111;
0,139041;0,211998;0,072957;
0,222777;0,363242;0,140465;
0,222777;0,363242;0,140465;
0,257650;0,475365;0,217716;
0,199383;0,223902;0,024519;
0,137291;0,230881;0,093590;
0,194957;0,185163;0,009793;
0,223742;0,419970;0,196228;
0,200206;0,228715;0,028509;
0,189869;0,172779;0,017090;
0,051359;0,216811;0,165452;
0,235147;0,421283;0,186136;
0,199562;0,236247;0,036686;
0,199562;0,236247;0,036686;
0,243240;0,437960;0,194720;
0,239411;0,426285;0,186874;
0,241973;0,423574;0,181601;
0,256927;0,475851;0,218925;
0,233944;0,272286;0,038342;
0,164125;0,000000;0,164125;
0,200751;0,257917;0,057166;
0,204763;0,000000;0,204763;
0,202579;0,265698;0,063119;
0,186424;0,178707;0,007717;
0,148963;0,251074;0,102112;
0,204822;0,210277;0,005454;
0,243986;0,000000;0,243986;
0,607929;0,259862;0,348067;
0,208279;0,277187;0,068908;
0,208279;0,277187;0,068908;
0,199264;0,235734;0,036470;
0,193034;0,199346;0,006312;
0,203161;0,252258;0,049096;
0,203161;0,252258;0,049096;
0,239113;0,451456;0,212343;
0,202535;0,212844;0,010309;
0,202535;0,212844;0,010309;
0,188341;0,182189;0,006152;
0,188341;0,182189;0,006152;
0,251068;0,455297;0,204229;
0,049371;0,328475;0,279104;
0,049764;0,250721;0,200957;
0,198998;0,223617;0,024619;
0,193955;0,206503;0,012548;
0,207594;0,260610;0,053015;
0,207049;0,266094;0,059045;
0,168027;0,459782;0,291754;
0,105575;0,459782;0,354206;
0,279037;0,457382;0,178345;
0,201212;0,256514;0,055302;
0,204012;0,469182;0,265170;
0,205388;0,271473;0,066085;
0,205388;0,271473;0,066085;
0,203121;0,229348;0,026226;
0,048264;0,268697;0,220433;
0,348410;0,461497;0,113087;
0,051750;0,442468;0,390718;
