Reconstruction Coord z;Map Coord z;Error z;
0,063033;0,000000;0,063033;
0,033385;0,991095;0,957710;
0,035564;0,939942;0,904377;
0,035564;0,939942;0,904377;
0,035859;0,741808;0,705949;
0,036108;0,748591;0,712483;
0,033878;0,742119;0,708241;
0,036362;0,740586;0,704224;
1,000000;0,940443;0,059557;
0,853139;0,940843;0,087704;
0,853139;0,940843;0,087704;
0,489731;0,825359;0,335628;
0,036165;0,987253;0,951088;
0,303105;0,820598;0,517493;
0,270962;0,820237;0,549275;
0,556424;0,822148;0,265723;
0,060812;0,820947;0,760135;
0,090634;0,821019;0,730386;
0,089176;0,828535;0,739359;
0,033699;0,000000;0,033699;
0,033709;0,000000;0,033709;
0,099676;0,822904;0,723228;
0,093966;0,000000;0,093966;
0,106732;0,824147;0,717415;
0,108038;0,824622;0,716584;
0,037965;0,710497;0,672531;
0,037588;0,824426;0,786838;
0,036179;0,000000;0,036179;
0,168188;0,822358;0,654169;
0,166906;0,821712;0,654806;
0,166906;0,821712;0,654806;
0,197693;0,820257;0,622564;
0,202372;0,820978;0,618606;
0,042977;0,820209;0,777232;
0,125604;0,566301;0,440698;
0,125604;0,566301;0,440698;
0,281216;0,819584;0,538367;
0,124465;0,559772;0,435306;
0,124465;0,559772;0,435306;
0,043157;0,820029;0,776872;
0,121462;0,550343;0,428881;
0,121462;0,550343;0,428881;
0,108775;0,552061;0,443287;
0,041280;0,927864;0,886584;
0,128337;0,547976;0,419639;
0,052257;0,549162;0,496905;
0,036346;0,833401;0,797055;
0,137141;0,000000;0,137141;
0,044119;0,975082;0,930963;
0,114336;0,543668;0,429332;
0,038560;0,542582;0,504022;
0,114282;0,542192;0,427910;
0,046062;0,974938;0,928876;
0,046153;0,975443;0,929289;
0,046861;0,976146;0,929285;
0,441543;0,899468;0,457925;
0,441543;0,899468;0,457925;
0,112231;0,546418;0,434188;
0,045489;0,820495;0,775006;
0,058079;0,542139;0,484060;
0,043276;0,819221;0,775945;
0,138930;0,540922;0,401992;
0,182102;0,974229;0,792127;
0,049680;0,974716;0,925035;
0,049743;0,974828;0,925086;
0,048244;0,975536;0,927292;
0,050917;0,974730;0,923813;
0,050163;0,975652;0,925489;
0,208234;0,537247;0,329013;
0,521398;0,960403;0,439005;
0,053988;0,974501;0,920513;
0,053797;0,974278;0,920481;
0,658728;0,816481;0,157753;
0,043039;0,529096;0,486057;
0,546012;0,000000;0,546012;
0,356359;0,959504;0,603144;
0,332358;0,959229;0,626871;
0,045347;0,530077;0,484730;
0,311692;0,959355;0,647663;
0,119392;0,540650;0,421258;
0,113161;0,540650;0,427489;
0,118509;0,539418;0,420910;
0,264657;0,815714;0,551057;
0,120090;0,544405;0,424315;
0,119959;0,542267;0,422309;
0,118664;0,540822;0,422158;
0,387478;0,000000;0,387478;
0,506021;0,000000;0,506021;
0,424964;0,000000;0,424964;
0,459910;0,960748;0,500838;
0,120006;0,542814;0,422808;
0,734964;0,960010;0,225046;
0,096073;0,433318;0,337244;
0,083243;0,366288;0,283045;
0,074759;0,247217;0,172458;
0,087369;0,360992;0,273624;
0,058995;0,000000;0,058995;
0,080352;0,207265;0,126913;
0,099191;0,357118;0,257928;
0,067434;0,362577;0,295143;
0,081344;0,368659;0,287315;
0,081949;0,294761;0,212812;
0,000000;0,499285;0,499285;
0,067458;0,365698;0,298240;
0,095416;0,364014;0,268597;
0,095416;0,364014;0,268597;
0,066966;0,364014;0,297048;
0,068039;0,357686;0,289647;
0,081274;0,365762;0,284488;
0,001970;0,365762;0,363793;
0,069064;0,359731;0,290666;
0,118301;0,236374;0,118073;
0,264369;0,000000;0,264369;
0,172862;0,277053;0,104191;
0,188819;0,000000;0,188819;
0,002442;0,000000;0,002442;
0,123369;0,361797;0,238428;
0,125754;0,361985;0,236231;
