Reconstruction Coord z;Map Coord z;Error z;
0,080339;0,588871;0,508532;
0,021593;0,478081;0,456488;
0,086368;0,413180;0,326812;
0,077146;0,471423;0,394276;
0,034020;0,380556;0,346537;
0,022928;0,502799;0,479871;
0,089814;0,393593;0,303779;
0,041888;0,393593;0,351705;
0,022767;0,498732;0,475965;
0,020608;0,384364;0,363756;
0,026357;0,812994;0,786637;
0,026357;0,812994;0,786637;
0,020044;0,408667;0,388623;
0,091406;0,524436;0,433030;
0,022388;0,524436;0,502048;
0,047103;0,414190;0,367087;
0,020427;0,384402;0,363974;
0,097633;0,469346;0,371712;
0,050479;0,389989;0,339510;
0,020335;0,364520;0,344185;
0,267817;0,408679;0,140862;
0,219136;0,391937;0,172800;
0,186558;0,361275;0,174717;
0,020264;0,646725;0,626461;
0,069881;0,382748;0,312867;
0,070350;0,378903;0,308554;
0,070350;0,378903;0,308554;
0,022353;0,484915;0,462562;
0,124011;0,373206;0,249195;
0,078808;0,467595;0,388787;
0,068331;0,358619;0,290287;
0,068331;0,358619;0,290287;
0,021676;0,624999;0,603323;
1,000000;0,402840;0,597160;
0,022448;0,542062;0,519614;
0,022448;0,542062;0,519614;
0,020646;0,365912;0,345266;
0,069323;0,371230;0,301907;
0,079300;0,488775;0,409475;
0,078722;0,478661;0,399939;
0,070939;0,398824;0,327885;
0,068512;0,362756;0,294245;
0,023792;0,476871;0,453079;
0,021034;0,373021;0,351987;
0,022967;0,467144;0,444177;
0,179606;0,478632;0,299026;
0,072283;0,413765;0,341482;
0,021387;0,358199;0,336812;
0,021387;0,358199;0,336812;
0,020311;0,000000;0,020311;
0,020322;0,487847;0,467525;
0,079339;0,469015;0,389676;
0,079339;0,469015;0,389676;
0,062045;0,491124;0,429079;
0,071006;0,508303;0,437297;
0,021344;0,719546;0,698202;
0,083472;0,518205;0,434734;
0,063077;0,518205;0,455129;
0,063077;0,518205;0,455129;
0,063077;0,518205;0,455129;
0,068078;0,531837;0,463758;
0,022388;0,393459;0,371071;
0,210669;0,251508;0,040839;
0,022378;0,385321;0,362942;
0,025012;0,265300;0,240288;
0,023116;0,344652;0,321536;
0,034344;0,853695;0,819351;
0,034217;0,844122;0,809904;
0,023711;0,441714;0,418004;
0,021356;0,395319;0,373963;
0,023459;0,358621;0,335162;
0,023979;0,402765;0,378786;
0,025452;0,931224;0,905772;
0,020664;0,378597;0,357933;
0,021141;0,537936;0,516796;
0,044630;0,497914;0,453284;
0,001286;0,497914;0,496628;
0,023458;0,368460;0,345001;
0,021532;0,536584;0,515053;
0,021155;0,535333;0,514178;
0,020906;0,491825;0,470918;
0,027572;0,447534;0,419962;
0,064198;0,524632;0,460434;
0,020787;0,534274;0,513487;
0,021395;0,359142;0,337747;
0,002671;0,359142;0,356470;
0,002671;0,359142;0,356470;
0,021653;0,373530;0,351877;
0,021701;0,384678;0,362977;
0,024565;0,419323;0,394758;
0,021199;0,389850;0,368652;
0,004298;0,350444;0,346146;
0,077468;0,485768;0,408300;
0,021958;0,384537;0,362579;
0,003117;0,496441;0,493323;
0,021141;0,506029;0,484888;
0,021170;0,651080;0,629910;
0,021673;0,500789;0,479116;
0,200376;0,490593;0,290217;
0,004932;0,395526;0,390593;
0,026710;0,419600;0,392890;
0,026710;0,419600;0,392890;
0,022846;0,408040;0,385194;
0,021556;0,408040;0,386484;
0,021964;0,672379;0,650415;
0,000228;0,387834;0,387606;
0,046421;0,787292;0,740870;
0,046421;0,787292;0,740870;
0,047613;0,778294;0,730681;
0,029928;0,363705;0,333778;
0,029928;0,363705;0,333778;
0,062478;0,475918;0,413440;
0,042725;0,495792;0,453067;
0,030245;0,495792;0,465547;
0,046024;0,492324;0,446300;
0,007123;0,484837;0,477715;
0,078176;0,488501;0,410325;
0,079755;0,490678;0,410922;
0,090598;0,457378;0,366780;
0,042834;0,470687;0,427853;
0,076507;0,455321;0,378814;
0,079113;0,484470;0,405357;
0,079113;0,484470;0,405357;
0,004963;0,971347;0,966384;
0,004682;0,478693;0,474012;
0,147877;0,480481;0,332603;
0,001509;0,843148;0,841639;
0,034185;0,351240;0,317055;
0,084253;0,517329;0,433075;
