Reconstruction Coord z;Map Coord z;Error z;
0,573653;0,798915;0,225262;
0,578622;0,798550;0,219928;
0,387384;0,009996;0,377388;
0,545252;0,655014;0,109762;
0,136554;0,654354;0,517800;
0,136554;0,654354;0,517800;
0,532972;0,654556;0,121585;
0,114617;0,009763;0,104854;
0,076899;0,009763;0,067136;
0,114689;0,009747;0,104941;
0,114689;0,009747;0,104941;
0,114854;0,009730;0,105124;
0,115822;0,009576;0,106246;
0,504083;0,654933;0,150850;
0,188735;0,654933;0,466198;
0,108621;0,009477;0,099144;
0,669373;0,654760;0,014613;
0,751226;0,654752;0,096475;
0,446083;0,566895;0,120812;
0,540260;0,000000;0,540260;
0,481023;0,571600;0,090577;
0,139720;0,008468;0,131251;
0,076292;0,007759;0,068533;
0,076292;0,007759;0,068533;
0,083333;0,007577;0,075756;
0,541812;0,651302;0,109490;
0,606173;0,590742;0,015431;
0,141789;0,587827;0,446038;
1,000000;0,590389;0,409611;
0,240188;0,329465;0,089277;
0,101234;0,608877;0,507643;
0,275512;0,354853;0,079341;
0,406822;0,650001;0,243178;
0,102042;0,533646;0,431604;
0,090821;0,616457;0,525636;
0,101496;0,531948;0,430452;
0,433479;0,000000;0,433479;
0,415938;0,554140;0,138202;
0,414877;0,563651;0,148773;
0,433698;0,567724;0,134026;
0,415354;0,554827;0,139473;
0,112755;0,002562;0,110193;
0,139759;0,607482;0,467723;
0,116706;0,016734;0,099971;
0,109263;0,005253;0,104010;
0,115197;0,013929;0,101269;
0,116642;0,017832;0,098810;
0,106142;0,008057;0,098085;
0,118024;0,021463;0,096561;
0,118024;0,021463;0,096561;
0,117982;0,020932;0,097050;
0,010676;0,026385;0,015709;
0,120635;0,027712;0,092922;
0,120930;0,030118;0,090812;
0,120525;0,028317;0,092208;
0,119806;0,026973;0,092833;
0,119806;0,026973;0,092833;
0,081376;0,032537;0,048839;
0,085523;0,032948;0,052576;
0,113065;0,024271;0,088794;
0,013747;0,034618;0,020871;
0,122658;0,036686;0,085971;
0,085588;0,036686;0,048902;
0,121205;0,031468;0,089737;
0,089424;0,031804;0,057621;
0,086649;0,031804;0,054845;
0,120795;0,031145;0,089649;
0,122898;0,034589;0,088309;
0,122498;0,036159;0,086339;
0,122498;0,036159;0,086339;
0,480047;0,602970;0,122923;
0,122507;0,036284;0,086224;
0,128250;0,037033;0,091216;
0,124783;0,023346;0,101437;
0,125375;0,045562;0,079813;
0,086832;0,045562;0,041270;
0,114865;0,027410;0,087455;
0,138915;0,034614;0,104301;
0,139770;0,044283;0,095487;
0,091044;0,044481;0,046563;
0,479680;0,000000;0,479680;
0,499148;0,000000;0,499148;
0,001373;0,623468;0,622095;
0,135459;0,055889;0,079570;
0,137280;0,049393;0,087887;
0,088064;0,056124;0,031940;
0,514547;0,631909;0,117362;
0,089302;0,052783;0,036519;
0,130127;0,059384;0,070743;
0,088727;0,042302;0,046425;
0,144728;0,056800;0,087928;
0,090542;0,063565;0,026977;
0,085949;0,058824;0,027125;
0,028027;0,636302;0,608276;
0,150200;0,052153;0,098047;
0,026811;0,062830;0,036019;
0,160092;0,047507;0,112585;
0,027692;0,633758;0,606066;
0,027701;0,633681;0,605980;
0,140717;0,065280;0,075437;
0,350454;0,000000;0,350454;
0,489140;0,632173;0,143032;
0,333929;0,634818;0,300889;
0,242346;0,631080;0,388734;
0,137802;0,063957;0,073845;
0,131966;0,063957;0,068009;
0,104803;0,365946;0,261143;
0,104803;0,365946;0,261143;
0,133630;0,066935;0,066695;
0,133257;0,060294;0,072963;
0,090907;0,067045;0,023863;
0,158217;0,000000;0,158217;
0,094579;0,175147;0,080568;
0,090697;0,433693;0,342996;
0,032813;0,000000;0,032813;
0,099880;0,000000;0,099880;
0,085874;0,261746;0,175873;
0,001292;0,765898;0,764606;
0,119314;0,267381;0,148067;
0,098053;0,260933;0,162880;
0,087734;0,261876;0,174143;
0,271534;0,259404;0,012130;
0,271534;0,259404;0,012130;
0,101214;0,259404;0,158190;
0,123811;0,263316;0,139505;
0,194143;0,225350;0,031207;
0,088832;0,259682;0,170850;
0,190342;0,223923;0,033581;
0,145485;0,223923;0,078437;
0,474866;0,159351;0,315516;
0,011353;0,162163;0,150810;
0,161280;0,154920;0,006361;
0,161280;0,154920;0,006361;
0,171098;0,165193;0,005905;
0,171098;0,165193;0,005905;
0,192549;0,225530;0,032982;
0,122746;0,220840;0,098094;
0,145305;0,174821;0,029516;
0,024275;0,163067;0,138791;
0,267258;0,229452;0,037807;
0,176534;0,749175;0,572641;
0,186030;0,229371;0,043341;
0,163590;0,159596;0,003994;
0,120420;0,156536;0,036116;
0,164404;0,157272;0,007131;
0,148262;0,157272;0,009010;
0,192626;0,218142;0,025516;
0,191251;0,225507;0,034256;
0,191251;0,225507;0,034256;
0,190353;0,226916;0,036563;
0,114627;0,000000;0,114627;
0,173538;0,000000;0,173538;
0,192104;0,223090;0,030987;
0,190823;0,221522;0,030698;
0,198080;0,224697;0,026616;
0,186706;0,219333;0,032627;
0,161668;0,154139;0,007529;
0,163614;0,152128;0,011487;
0,160364;0,150831;0,009533;
0,160493;0,150831;0,009662;
0,185908;0,217784;0,031876;
0,182544;0,206845;0,024302;
0,183423;0,206396;0,022973;
0,161656;0,149035;0,012620;
0,177952;0,208042;0,030090;
0,186741;0,214409;0,027668;
0,203475;0,207450;0,003975;
0,182328;0,207450;0,025122;
0,161571;0,151169;0,010402;
0,189913;0,217640;0,027727;
0,233859;0,145058;0,088801;
0,188670;0,225235;0,036565;
0,033803;0,149084;0,115281;
0,142181;0,145986;0,003805;
0,158583;0,195706;0,037124;
0,290336;0,149403;0,140933;
0,159380;0,195993;0,036613;
0,288300;0,147079;0,141221;
0,189412;0,220471;0,031059;
0,189830;0,216237;0,026406;
0,189830;0,216237;0,026406;
0,316536;0,149147;0,167389;
0,168211;0,151382;0,016829;
0,134847;0,148714;0,013867;
0,183276;0,214314;0,031038;
0,183276;0,214314;0,031038;
0,161684;0,738167;0,576483;
0,166185;0,139464;0,026722;
0,001633;0,146171;0,144537;
0,001633;0,146171;0,144537;
0,309548;0,139074;0,170474;
0,309548;0,139074;0,170474;
0,041783;0,146294;0,104511;
0,660374;0,146576;0,513798;
0,231274;0,734378;0,503105;
0,000000;0,140055;0,140055;
0,042546;0,145559;0,103014;
0,159134;0,000000;0,159134;
0,035134;0,000000;0,035134;
0,026331;0,000000;0,026331;
0,234429;0,729910;0,495481;
0,234429;0,729910;0,495481;
0,185137;0,000000;0,185137;
0,029986;0,238399;0,208413;
0,155803;0,232826;0,077023;
0,155803;0,232826;0,077023;
0,038340;0,230773;0,192433;
0,043613;0,233724;0,190111;
0,043613;0,233724;0,190111;
0,042119;0,230608;0,188490;
0,042129;0,230608;0,188479;
0,041981;0,228784;0,186803;
0,043534;0,230551;0,187017;
0,040218;0,000000;0,040218;
0,041116;0,242270;0,201154;
0,005522;0,244253;0,238731;
0,040334;0,248982;0,208648;
0,041567;0,250590;0,209023;
0,003226;0,250596;0,247369;
0,002777;0,250596;0,247818;
0,035010;0,000000;0,035010;
0,041552;0,000000;0,041552;
0,019030;0,686606;0,667576;
0,033684;0,718894;0,685210;
