Reconstruction Coord z;Map Coord z;Error z;
0,003656;0,000000;0,003656;
0,003678;0,700404;0,696726;
0,063747;0,713237;0,649491;
0,003827;0,350726;0,346899;
0,003827;0,350726;0,346899;
0,025630;0,447855;0,422225;
0,012048;0,177506;0,165458;
0,031835;0,447074;0,415238;
0,003426;0,447074;0,443648;
0,012826;0,105760;0,092934;
0,020219;0,464488;0,444269;
0,020722;0,468544;0,447822;
0,020319;0,466468;0,446149;
0,020319;0,466468;0,446149;
0,011782;0,109726;0,097944;
0,012090;0,157740;0,145651;
0,012090;0,157740;0,145651;
0,012544;0,176230;0,163686;
0,012544;0,176230;0,163686;
0,012231;0,178890;0,166660;
0,020568;0,467480;0,446913;
0,020290;0,466011;0,445721;
0,012679;0,239222;0,226543;
0,012679;0,239222;0,226543;
0,029094;0,621127;0,592033;
0,043971;0,700881;0,656910;
0,012549;0,253020;0,240471;
0,012549;0,253020;0,240471;
0,030803;0,632309;0,601506;
0,030803;0,632309;0,601506;
0,027978;0,637483;0,609505;
0,029868;0,634580;0,604711;
0,034480;0,690211;0,655731;
0,028257;0,635159;0,606902;
0,012672;0,216888;0,204215;
0,031719;0,647782;0,616063;
0,004518;0,690092;0,685574;
0,012984;0,124346;0,111362;
0,003573;0,284608;0,281035;
0,012182;0,179187;0,167005;
0,011958;0,184015;0,172057;
0,013583;0,321424;0,307841;
0,011731;0,142302;0,130572;
0,041137;0,690314;0,649176;
0,032406;0,659822;0,627416;
0,032406;0,659822;0,627416;
0,012500;0,187291;0,174792;
0,010570;0,177321;0,166751;
0,003938;0,189066;0,185128;
0,006646;0,202236;0,195589;
0,017622;0,361317;0,343695;
0,003922;0,226138;0,222216;
0,010780;0,000000;0,010780;
0,015092;0,380592;0,365500;
0,004746;0,380592;0,375846;
0,012035;0,158913;0,146878;
0,029376;0,642193;0,612817;
0,007419;0,399945;0,392526;
0,004410;0,315632;0,311222;
0,004410;0,315632;0,311222;
0,004824;0,367690;0,362866;
0,004824;0,367690;0,362866;
0,011167;0,115723;0,104556;
0,005145;0,387424;0,382279;
0,016461;0,649466;0,633005;
0,011881;0,313550;0,301669;
0,004583;0,378821;0,374239;
0,004452;0,340405;0,335953;
0,016174;0,360019;0,343845;
0,005558;0,103441;0,097882;
0,003799;0,103441;0,099642;
0,012020;0,161686;0,149666;
0,009471;0,113304;0,103833;
0,006398;0,323800;0,317402;
0,004486;0,314051;0,309565;
0,012999;0,000000;0,012999;
0,004075;0,189479;0,185404;
0,013881;0,235607;0,221726;
0,013881;0,235607;0,221726;
0,014169;0,420212;0,406043;
0,003995;0,140174;0,136179;
0,006328;0,697330;0,691002;
0,013135;0,689617;0,676481;
0,018588;0,650053;0,631464;
0,011652;0,094069;0,082417;
0,014451;0,000000;0,014451;
0,011371;0,271047;0,259676;
0,004435;0,231671;0,227236;
0,004383;0,231671;0,227288;
0,014290;0,275187;0,260897;
0,011719;0,131590;0,119871;
0,004022;0,131590;0,127568;
0,004550;0,182372;0,177822;
0,005950;0,145997;0,140047;
0,012675;0,130370;0,117695;
0,011950;0,138250;0,126300;
0,011950;0,138250;0,126300;
0,014360;0,263919;0,249559;
0,014322;0,271429;0,257107;
0,012256;0,169073;0,156818;
0,015315;0,240245;0,224930;
0,012295;0,158184;0,145889;
0,007315;0,698659;0,691344;
0,013336;0,247219;0,233882;
0,014139;0,257089;0,242950;
0,004749;0,000000;0,004749;
0,009440;0,000000;0,009440;
0,003627;0,262278;0,258652;
0,004965;0,046249;0,041285;
0,009230;0,053114;0,043884;
0,014064;0,269034;0,254970;
0,004855;0,269034;0,264179;
0,010546;0,052444;0,041898;
0,008454;0,699501;0,691047;
0,004486;0,053539;0,049053;
0,008464;0,267277;0,258813;
0,004121;0,115824;0,111703;
0,105822;0,262705;0,156884;
0,004595;0,000000;0,004595;
0,033309;0,676988;0,643678;
0,014326;0,230849;0,216523;
0,014376;0,275669;0,261294;
0,014376;0,275669;0,261294;
0,008374;0,700189;0,691814;
0,014716;0,279448;0,264732;
0,033354;0,672738;0,639384;
0,033354;0,672738;0,639384;
0,097087;0,276697;0,179610;
0,033893;0,700851;0,666958;
0,004789;0,281631;0,276842;
0,004789;0,281631;0,276842;
0,008848;0,285507;0,276659;
0,031463;0,692223;0,660760;
0,031524;0,701311;0,669788;
0,004526;0,181447;0,176921;
0,012560;0,177591;0,165030;
0,012560;0,177591;0,165030;
0,012945;0,186704;0,173759;
0,012945;0,186704;0,173759;
0,022989;0,642573;0,619584;
0,022989;0,642573;0,619584;
0,012285;0,175308;0,163023;
0,016500;0,649451;0,632951;
0,015126;0,287508;0,272382;
0,017844;0,648568;0,630724;
0,031455;0,702086;0,670631;
0,012458;0,172246;0,159788;
0,012532;0,185949;0,173418;
0,012553;0,173925;0,161372;
0,012870;0,194633;0,181763;
0,012316;0,183762;0,171446;
0,007055;0,187855;0,180800;
0,003785;0,183723;0,179938;
0,012506;0,175586;0,163080;
0,007920;0,175586;0,167666;
0,007920;0,175586;0,167666;
0,012814;0,195973;0,183160;
0,004426;0,165884;0,161458;
0,012425;0,205546;0,193121;
0,012377;0,167250;0,154873;
0,012921;0,190140;0,177218;
0,013455;0,168620;0,155165;
0,012946;0,177674;0,164728;
