Reconstruction Coord z;Map Coord z;Error z;
0,047017;0,113166;0,066149;
0,008827;0,113166;0,104339;
0,049408;0,108377;0,058969;
0,074904;0,445591;0,370687;
0,084470;0,466375;0,381905;
0,073978;0,426335;0,352357;
0,040526;0,430397;0,389870;
0,044946;0,045933;0,000987;
0,058646;0,439904;0,381258;
0,058646;0,439904;0,381258;
0,077629;0,444264;0,366635;
0,061274;0,446537;0,385263;
0,083240;0,446948;0,363708;
0,083240;0,446948;0,363708;
0,080576;0,449437;0,368862;
0,052399;0,453243;0,400844;
0,100869;0,451098;0,350229;
0,012672;0,036333;0,023661;
0,102048;0,593221;0,491173;
0,102694;0,803206;0,700512;
0,025645;0,807916;0,782271;
0,094211;0,807001;0,712790;
0,026453;0,809974;0,783522;
0,044949;0,059797;0,014848;
0,044949;0,059797;0,014848;
0,052967;0,129290;0,076324;
0,058886;0,121802;0,062917;
0,050025;0,000000;0,050025;
0,049013;0,024823;0,024191;
0,049150;0,025281;0,023869;
0,049150;0,025281;0,023869;
0,050014;0,702066;0,652052;
0,049989;0,703300;0,653311;
0,038070;0,828541;0,790471;
0,049990;0,701577;0,651586;
0,034003;0,834457;0,800454;
0,020501;0,836083;0,815581;
0,028380;0,846155;0,817775;
0,043547;0,849941;0,806394;
0,073936;0,861736;0,787799;
1,000000;0,873044;0,126956;
0,198376;0,873044;0,674668;
0,048585;0,889301;0,840717;
0,051919;0,000000;0,051919;
0,051919;0,000000;0,051919;
0,051591;0,136606;0,085015;
0,134995;0,814332;0,679337;
0,054647;0,136809;0,082162;
0,054647;0,136809;0,082162;
0,071378;0,381322;0,309945;
0,068645;0,381322;0,312678;
0,105281;0,828796;0,723515;
0,071632;0,383070;0,311439;
0,071632;0,383070;0,311439;
0,078749;0,273877;0,195128;
0,070273;0,374228;0,303955;
0,065256;0,360047;0,294792;
0,070949;0,380318;0,309369;
0,070949;0,380318;0,309369;
0,069975;0,375249;0,305274;
0,068599;0,375249;0,306650;
0,063617;0,364217;0,300600;
0,016914;0,244465;0,227551;
0,067036;0,351686;0,284650;
0,068945;0,355933;0,286988;
0,068945;0,355933;0,286988;
0,070799;0,380670;0,309871;
0,070799;0,380670;0,309871;
0,068890;0,366025;0,297135;
0,070866;0,385120;0,314254;
0,094438;0,854690;0,760253;
0,062081;0,000000;0,062081;
0,062081;0,000000;0,062081;
0,062081;0,000000;0,062081;
0,066135;0,000000;0,066135;
0,070861;0,370155;0,299294;
0,063573;0,369191;0,305618;
0,001399;0,000000;0,001399;
0,070308;0,389221;0,318913;
0,077084;0,385179;0,308095;
0,067908;0,374475;0,306567;
0,066956;0,370513;0,303557;
0,066956;0,370513;0,303557;
0,053036;0,873643;0,820606;
0,066387;0,375102;0,308714;
0,069012;0,000000;0,069012;
0,069012;0,000000;0,069012;
0,066149;0,393754;0,327605;
0,068430;0,382305;0,313875;
0,066914;0,373596;0,306682;
0,063994;0,000000;0,063994;
0,068591;0,394624;0,326033;
0,057837;0,347608;0,289770;
0,067027;0,000000;0,067027;
0,144428;0,376438;0,232009;
0,066505;0,000000;0,066505;
0,062134;0,000000;0,062134;
0,066645;0,377609;0,310965;
0,066645;0,377609;0,310965;
0,065270;0,399398;0,334128;
