Reconstruction Coord z;Map Coord z;Error z;
0,061519;0,502825;0,441306;
0,075453;0,609609;0,534156;
0,075453;0,609609;0,534156;
0,043969;0,265948;0,221979;
0,062494;0,517257;0,454763;
0,063470;0,519419;0,455949;
0,044557;0,274112;0,229555;
0,044557;0,274112;0,229555;
0,066413;0,539535;0,473122;
0,044137;0,299120;0,254984;
0,045935;0,297934;0,251999;
0,065915;0,551385;0,485470;
0,077442;0,632535;0,555093;
0,068857;0,608976;0,540119;
0,044027;0,271715;0,227688;
0,045841;0,296720;0,250879;
0,045957;0,817267;0,771309;
0,066391;0,549847;0,483455;
0,053855;0,289839;0,235985;
0,046099;0,300983;0,254883;
0,058022;0,449164;0,391142;
0,045327;0,285121;0,239794;
0,045327;0,285121;0,239794;
0,068094;0,000000;0,068094;
0,069298;0,597769;0,528472;
0,044995;0,279957;0,234962;
0,047834;0,818869;0,771034;
0,072767;0,602580;0,529813;
0,044918;0,790554;0,745635;
0,044918;0,790554;0,745635;
0,071921;0,587847;0,515926;
0,071921;0,587847;0,515926;
0,055399;0,428837;0,373438;
0,012177;0,818120;0,805943;
0,049574;0,335704;0,286130;
0,047493;0,299705;0,252212;
0,057835;0,425626;0,367791;
0,063367;0,555543;0,492176;
0,045558;0,303238;0,257680;
0,046224;0,820387;0,774163;
0,069919;0,595667;0,525749;
0,046041;0,290323;0,244281;
0,044972;0,819725;0,774753;
0,048894;0,341540;0,292646;
0,045617;0,286014;0,240397;
0,045362;0,287560;0,242198;
0,045481;0,825287;0,779806;
0,055966;0,743382;0,687416;
0,045346;0,286844;0,241498;
0,055416;0,382373;0,326957;
0,045173;0,287186;0,242013;
0,070593;0,589043;0,518450;
0,069764;0,591504;0,521740;
0,071601;0,577310;0,505708;
0,058994;0,435902;0,376907;
0,190587;0,361734;0,171147;
0,038296;0,210094;0,171798;
0,074321;0,623609;0,549288;
0,038639;0,212565;0,173925;
0,074869;0,610959;0,536090;
0,040762;0,212707;0,171945;
0,125985;0,671170;0,545185;
0,012039;0,870641;0,858602;
0,084795;0,429398;0,344603;
0,046911;0,000000;0,046911;
0,098261;0,714434;0,616173;
0,070983;0,679985;0,609002;
0,056848;0,449612;0,392764;
0,056848;0,449612;0,392764;
0,050081;0,712571;0,662490;
0,131458;0,490184;0,358727;
0,050380;0,341038;0,290658;
0,065009;0,531693;0,466684;
0,044425;0,000000;0,044425;
0,044584;0,000000;0,044584;
0,100162;0,762083;0,661921;
0,101830;0,760177;0,658347;
0,020628;0,574872;0,554244;
0,043845;0,000000;0,043845;
0,102170;0,771901;0,669731;
0,036358;0,782877;0,746520;
0,103265;0,774228;0,670963;
0,053143;0,421495;0,368352;
0,053143;0,421495;0,368352;
0,022074;0,802212;0,780138;
0,105212;0,785532;0,680321;
0,108454;0,792537;0,684083;
0,021398;0,790197;0,768800;
0,048909;0,445981;0,397072;
0,104955;0,782354;0,677399;
0,077203;0,558556;0,481354;
0,106326;0,787762;0,681436;
0,106326;0,787762;0,681436;
0,107237;0,790736;0,683499;
0,012589;0,808235;0,795646;
0,012589;0,808235;0,795646;
0,106819;0,792984;0,686166;
0,108141;0,797873;0,689732;
0,105253;0,785163;0,679910;
0,105253;0,785163;0,679910;
0,013267;0,812481;0,799214;
0,016538;0,790737;0,774200;
0,109469;0,797873;0,688405;
0,112485;0,814044;0,701558;
0,105289;0,786287;0,680999;
0,106957;0,796520;0,689564;
0,111511;0,819845;0,708333;
0,114224;0,819051;0,704826;
0,110066;0,804152;0,694087;
0,110066;0,804152;0,694087;
0,013031;0,818986;0,805955;
0,104243;0,785902;0,681659;
0,108566;0,796343;0,687777;
0,013414;0,796343;0,782929;
0,113642;0,815718;0,702076;
0,113642;0,815718;0,702076;
0,107270;0,792833;0,685564;
0,118175;0,826744;0,708568;
0,106753;0,786273;0,679519;
0,109590;0,802697;0,693107;
0,060768;0,506612;0,445844;
0,115326;0,823495;0,708169;
0,025489;0,823495;0,798006;
0,111020;0,802533;0,691513;
0,114026;0,821121;0,707095;
0,113214;0,814840;0,701626;
0,113214;0,814840;0,701626;
0,110722;0,806512;0,695790;
0,110255;0,806047;0,695792;
0,111592;0,810801;0,699209;
0,105643;0,830802;0,725159;
0,110161;0,804426;0,694265;
0,110161;0,804426;0,694265;
0,115814;0,818519;0,702705;
0,115814;0,818519;0,702705;
0,111141;0,808428;0,697288;
0,115121;0,822896;0,707775;
0,109799;0,802505;0,692706;
0,109799;0,802505;0,692706;
0,110721;0,808509;0,697787;
0,111973;0,813433;0,701460;
0,110179;0,801718;0,691538;
0,109567;0,836081;0,726514;
0,053641;0,406702;0,353061;
0,117687;0,834314;0,716628;
0,115732;0,824638;0,708906;
0,115732;0,824638;0,708906;
0,115732;0,824638;0,708906;
0,118912;0,837750;0,718838;
0,109563;0,805268;0,695705;
0,109563;0,805268;0,695705;
0,118674;0,837024;0,718349;
0,121660;0,837502;0,715842;
0,058987;0,417473;0,358485;
