Reconstruction Coord z;Map Coord z;Error z;
0,089685;0,777297;0,687612;
0,092351;0,785677;0,693326;
0,091052;0,787494;0,696442;
0,093748;0,791651;0,697902;
0,058840;0,792795;0,733955;
0,101152;0,828508;0,727357;
0,000012;0,834065;0,834052;
0,049520;0,426750;0,377230;
0,041296;0,231575;0,190279;
0,038439;0,831293;0,792854;
0,039008;0,830768;0,791760;
0,014523;0,000000;0,014523;
0,038010;0,212922;0,174912;
0,011775;0,000000;0,011775;
0,038781;0,221299;0,182518;
0,038721;0,222056;0,183335;
0,037561;0,205544;0,167983;
0,038676;0,218531;0,179855;
0,037479;0,183868;0,146388;
0,039130;0,210831;0,171701;
0,038439;0,224868;0,186429;
0,038708;0,218501;0,179793;
0,036575;0,175171;0,138596;
0,037380;0,000000;0,037380;
0,036926;0,178219;0,141293;
0,039069;0,212103;0,173034;
0,039892;0,248154;0,208263;
0,039712;0,245620;0,205908;
0,037464;0,194344;0,156881;
0,037464;0,194344;0,156881;
0,039507;0,237271;0,197764;
0,036874;0,000000;0,036874;
0,040343;0,257465;0,217122;
0,038292;0,193045;0,154753;
0,037918;0,215403;0,177485;
0,034267;0,000000;0,034267;
0,034933;0,102280;0,067347;
0,037207;0,183620;0,146413;
0,037207;0,183620;0,146413;
0,034048;0,101751;0,067704;
0,034048;0,101751;0,067704;
0,039872;0,239239;0,199367;
0,038037;0,215988;0,177951;
0,034037;0,149615;0,115579;
0,039470;0,241678;0,202208;
0,012069;0,235366;0,223297;
0,034180;0,112819;0,078639;
0,034180;0,112819;0,078639;
0,034201;0,111477;0,077276;
0,037064;0,179332;0,142269;
0,037728;0,197961;0,160233;
0,036672;0,176421;0,139749;
0,037399;0,184824;0,147426;
0,035972;0,155217;0,119245;
0,011257;0,155217;0,143960;
0,036241;0,197576;0,161335;
0,036241;0,197576;0,161335;
0,037291;0,192880;0,155589;
0,035916;0,194492;0,158576;
0,036241;0,195651;0,159411;
0,035953;0,162835;0,126881;
0,039537;0,220990;0,181453;
0,035978;0,161130;0,125152;
0,036256;0,164693;0,128437;
0,036258;0,215113;0,178855;
0,036087;0,170797;0,134709;
0,034802;0,123428;0,088626;
0,036340;0,177194;0,140853;
0,036015;0,179348;0,143334;
0,034675;0,127458;0,092784;
0,030558;0,732523;0,701965;
0,036241;0,159528;0,123288;
0,036223;0,178649;0,142426;
0,036223;0,178649;0,142426;
0,036260;0,000000;0,036260;
0,038213;0,204620;0,166407;
0,038245;0,203848;0,165603;
0,036205;0,156691;0,120486;
0,036291;0,164922;0,128631;
0,035967;0,000000;0,035967;
0,033132;0,000000;0,033132;
0,037131;0,142398;0,105267;
0,046697;0,279631;0,232933;
0,050967;0,000000;0,050967;
0,036160;0,000000;0,036160;
0,033766;0,732125;0,698359;
0,036593;0,173226;0,136633;
0,037085;0,193073;0,155989;
0,035431;0,149145;0,113714;
0,035278;0,126592;0,091314;
0,035677;0,145705;0,110028;
0,049411;0,172937;0,123527;
0,036098;0,148497;0,112399;
0,034502;0,116741;0,082240;
0,035733;0,139331;0,103598;
0,033637;0,144463;0,110826;
0,035232;0,142577;0,107345;
0,034031;0,142392;0,108361;
0,036202;0,157167;0,120965;
0,031987;0,108749;0,076762;
0,035428;0,141654;0,106226;
0,035574;0,145116;0,109543;
0,032033;0,155538;0,123505;
0,035225;0,137682;0,102456;
0,033508;0,152319;0,118812;
0,032841;0,153398;0,120557;
0,032329;0,179477;0,147149;
0,034414;0,124912;0,090498;
0,034414;0,124912;0,090498;
0,031974;0,041584;0,009610;
0,031974;0,041584;0,009610;
0,035725;0,146036;0,110310;
0,032297;0,261789;0,229491;
0,135786;0,135035;0,000751;
0,033036;0,043784;0,010748;
0,033036;0,043784;0,010748;
0,040524;0,739273;0,698749;
0,031868;0,042791;0,010923;
0,032079;0,042144;0,010065;
0,032413;0,096528;0,064115;
0,032561;0,000000;0,032561;
0,048500;0,133005;0,084505;
0,033275;0,149001;0,115727;
0,036042;0,155115;0,119073;
0,034104;0,102883;0,068779;
0,035830;0,149263;0,113433;
0,035503;0,136183;0,100680;
0,033551;0,155293;0,121743;
0,034032;0,103572;0,069540;
0,032370;0,045533;0,013164;
0,034251;0,101628;0,067377;
0,033076;0,000000;0,033076;
0,033934;0,152662;0,118728;
0,035059;0,129334;0,094276;
0,033906;0,045812;0,011905;
0,034016;0,157140;0,123125;
0,033525;0,199149;0,165624;
0,035823;0,150261;0,114439;
0,033973;0,099143;0,065170;
0,035909;0,152517;0,116608;
0,035909;0,152517;0,116608;
0,016165;0,167185;0,151020;
0,014124;0,098502;0,084377;
0,015289;0,251968;0,236680;
0,040684;0,229239;0,188555;
0,016162;0,099688;0,083526;
0,031825;0,198035;0,166210;
0,033857;0,175184;0,141327;
0,014775;0,097890;0,083115;
0,034269;0,000000;0,034269;
0,034876;0,126108;0,091232;
0,015504;0,241322;0,225818;
0,035610;0,146450;0,110840;
0,028812;0,175326;0,146515;
0,010762;0,213814;0,203051;
0,034856;0,123296;0,088440;
0,032311;0,046715;0,014404;
0,034004;0,102153;0,068148;
0,015246;0,102153;0,086907;
0,035565;0,142038;0,106473;
0,035565;0,142038;0,106473;
0,016221;0,172057;0,155835;
0,016221;0,172057;0,155835;
0,016221;0,172057;0,155835;
0,033985;0,176033;0,142048;
0,033875;0,099611;0,065736;
0,033875;0,099611;0,065736;
0,032920;0,065178;0,032259;
0,033937;0,100021;0,066084;
0,033907;0,099876;0,065969;
0,033907;0,099876;0,065969;
0,033163;0,062957;0,029795;
0,034257;0,173759;0,139502;
0,034099;0,141080;0,106981;
0,035257;0,138633;0,103376;
0,033446;0,119443;0,085997;
0,014985;0,100751;0,085766;
0,033999;0,100667;0,066668;
0,033999;0,100667;0,066668;
0,033973;0,100595;0,066622;
0,034272;0,149659;0,115387;
0,034300;0,163971;0,129671;
0,018796;0,000000;0,018796;
0,029438;0,096362;0,066923;
0,033939;0,167597;0,133658;
0,033810;0,096721;0,062910;
0,034440;0,155583;0,121143;
0,033412;0,092260;0,058848;
0,033412;0,092260;0,058848;
0,014769;0,103358;0,088589;
0,014360;0,200116;0,185755;
0,027182;0,119879;0,092697;
0,016876;0,101923;0,085047;
0,016876;0,101923;0,085047;
0,016218;0,200572;0,184355;
0,034929;0,134196;0,099267;
0,034639;0,050886;0,016247;
0,034407;0,118652;0,084246;
0,018332;0,102731;0,084399;
0,013481;0,102214;0,088733;
0,032694;0,090252;0,057558;
0,034593;0,117629;0,083037;
0,034117;0,109141;0,075024;
0,015626;0,103898;0,088272;
0,033843;0,096210;0,062367;
0,034036;0,166883;0,132848;
0,016177;0,148001;0,131824;
0,037350;0,108755;0,071405;
0,039238;0,233806;0,194568;
0,034264;0,241093;0,206829;
0,033566;0,165286;0,131721;
0,034691;0,143531;0,108840;
0,034245;0,213017;0,178773;
0,011434;0,213017;0,201583;
0,034307;0,160034;0,125727;
0,036733;0,149321;0,112587;
0,034391;0,154248;0,119857;
0,034032;0,167276;0,133244;
0,033565;0,095726;0,062161;
0,020000;0,000000;0,020000;
0,040535;0,733498;0,692963;
0,034183;0,106562;0,072379;
0,034104;0,104063;0,069959;
0,042707;0,179026;0,136319;
0,034466;0,116730;0,082264;
0,034277;0,000000;0,034277;
0,033874;0,104975;0,071101;
0,015913;0,105980;0,090066;
0,034244;0,000000;0,034244;
0,014401;0,179989;0,165588;
0,016969;0,000000;0,016969;
0,033623;0,095429;0,061805;
0,034281;0,150517;0,116236;
0,034373;0,228407;0,194034;
