Reconstruction Coord z;Map Coord z;Error z;
0,074843;0,796720;0,721877;
0,074843;0,796720;0,721877;
0,075858;0,798279;0,722421;
0,074529;0,770181;0,695652;
0,076498;0,800296;0,723799;
0,077723;0,802501;0,724778;
0,076404;0,800625;0,724221;
0,075778;0,803988;0,728210;
0,075570;0,800349;0,724779;
0,074360;0,762418;0,688058;
0,074835;0,780884;0,706049;
0,075546;0,800040;0,724495;
0,073741;0,757922;0,684181;
0,073683;0,766960;0,693277;
0,072809;0,744414;0,671604;
0,076334;0,804195;0,727861;
0,113361;0,738042;0,624681;
0,078716;0,794062;0,715346;
0,076546;0,000000;0,076546;
0,075215;0,795968;0,720753;
0,088349;0,865653;0,777304;
0,088349;0,865653;0,777304;
0,078614;0,835376;0,756762;
0,070266;0,708691;0,638425;
0,073418;0,762203;0,688785;
0,073418;0,762203;0,688785;
0,075725;0,858187;0,782461;
0,068713;0,689335;0,620623;
0,073731;0,757245;0,683515;
0,075447;0,813429;0,737982;
0,045975;0,872191;0,826217;
0,052137;0,842854;0,790717;
0,068257;0,681868;0,613611;
0,075974;0,858951;0,782977;
0,075974;0,858951;0,782977;
0,073270;0,752648;0,679378;
0,072957;0,813880;0,740923;
0,078141;0,856080;0,777939;
0,070952;0,814545;0,743593;
0,046443;0,872961;0,826518;
0,076655;0,872188;0,795533;
0,075410;0,865117;0,789707;
0,075410;0,865117;0,789707;
0,072920;0,755321;0,682402;
0,066312;0,663319;0,597006;
0,078923;0,864466;0,785543;
0,080386;0,874616;0,794231;
0,079092;0,872285;0,793193;
0,078045;0,812449;0,734404;
0,074720;0,826260;0,751540;
0,066815;0,642748;0,575932;
0,066961;0,650544;0,583583;
0,059020;0,634676;0,575656;
0,074209;0,871891;0,797682;
0,063301;0,576109;0,512808;
0,063301;0,576109;0,512808;
0,075479;0,870495;0,795015;
0,080909;0,869441;0,788532;
0,062513;0,599744;0,537230;
0,064092;0,619613;0,555521;
0,064769;0,856238;0,791469;
0,061767;0,738041;0,676274;
0,051575;0,852182;0,800607;
0,682166;0,000000;0,682166;
0,062847;0,577381;0,514533;
0,062847;0,577381;0,514533;
0,634364;0,862109;0,227745;
0,086169;0,728840;0,642671;
0,064242;0,615776;0,551534;
0,062953;0,571212;0,508259;
0,062570;0,625690;0,563120;
0,066444;0,804404;0,737960;
0,029883;0,860484;0,830601;
0,067707;0,870126;0,802419;
0,070531;0,716087;0,645556;
0,062517;0,566874;0,504356;
0,063855;0,621684;0,557829;
0,066154;0,678708;0,612555;
0,056761;0,442657;0,385896;
0,056617;0,432011;0,375394;
0,075655;0,683174;0,607520;
0,062311;0,584002;0,521691;
0,081238;0,567034;0,485796;
0,060649;0,587951;0,527302;
0,064449;0,690477;0,626027;
0,071894;0,659236;0,587342;
0,067391;0,678537;0,611146;
0,066119;0,664560;0,598441;
0,067167;0,666935;0,599768;
0,063402;0,000000;0,063402;
0,040286;0,854770;0,814483;
0,069389;0,865336;0,795946;
0,067644;0,849322;0,781679;
0,021210;0,702410;0,681200;
0,070237;0,879698;0,809461;
0,069667;0,875691;0,806024;
0,067443;0,693566;0,626123;
0,068821;0,879621;0,810799;
0,068251;0,667700;0,599449;
0,012563;0,666135;0,653572;
0,068399;0,683405;0,615005;
0,068586;0,691196;0,622609;
0,053220;0,429138;0,375919;
0,068642;0,665738;0,597096;
0,071807;0,710294;0,638487;
0,071807;0,710294;0,638487;
0,069606;0,700715;0,631109;
0,060473;0,818797;0,758324;
0,222389;0,862704;0,640316;
0,069114;0,000000;0,069114;
0,070250;0,753217;0,682967;
0,069314;0,000000;0,069314;
0,069578;0,703709;0,634132;
0,057769;0,421296;0,363528;
0,072670;0,876947;0,804277;
0,069346;0,711217;0,641872;
0,009675;0,855776;0,846101;
0,054112;0,427704;0,373592;
0,059619;0,553740;0,494121;
0,009960;0,692137;0,682177;
0,066182;0,710204;0,644022;
0,072366;0,859846;0,787480;
0,069107;0,710790;0,641684;
0,039208;0,522554;0,483346;
0,069472;0,699620;0,630149;
