Reconstruction Coord z;Map Coord z;Error z;
0,005979;0,638607;0,632628;
0,038144;0,811584;0,773440;
0,005976;0,638030;0,632054;
0,005991;0,638607;0,632615;
0,006028;0,637589;0,631561;
0,024145;0,636817;0,612672;
0,005998;0,636129;0,630130;
0,006174;0,636154;0,629980;
0,049984;0,811032;0,761048;
0,023955;0,633002;0,609047;
0,005428;0,807341;0,801913;
0,012259;0,271587;0,259328;
0,009641;0,568495;0,558854;
0,012285;0,270507;0,258221;
0,012285;0,270507;0,258221;
0,011704;0,238442;0,226739;
0,085136;0,992235;0,907099;
0,005163;0,498245;0,493082;
0,012317;0,286315;0,273998;
0,011634;0,234900;0,223266;
0,038569;0,808058;0,769489;
0,012181;0,266050;0,253869;
0,022403;0,630119;0,607716;
0,011569;0,231248;0,219679;
0,012182;0,265491;0,253309;
0,021705;0,807153;0,785448;
0,012214;0,273639;0,261425;
0,023783;0,627140;0,603357;
0,012090;0,259531;0,247441;
0,012307;0,265224;0,252917;
0,012072;0,263960;0,251888;
0,012257;0,263796;0,251540;
0,023552;0,624971;0,601419;
0,012215;0,270067;0,257852;
0,089507;0,988941;0,899434;
0,012281;0,000000;0,012281;
0,038244;0,806034;0,767790;
0,026741;0,623446;0,596706;
0,011810;0,235305;0,223495;
0,011630;0,235854;0,224224;
0,011770;0,236208;0,224438;
0,008774;0,621159;0,612385;
0,012090;0,263569;0,251479;
0,012286;0,268192;0,255906;
0,012233;0,267760;0,255527;
0,065805;0,804391;0,738586;
0,007644;0,811092;0,803448;
0,023067;0,615636;0,592569;
0,023005;0,613317;0,590312;
0,007429;0,614220;0,606790;
0,038364;0,802663;0,764299;
0,039847;0,711750;0,671904;
0,040324;0,818781;0,778457;
0,022755;0,610092;0,587337;
0,039401;0,982777;0,943377;
0,039351;0,810416;0,771065;
0,037190;0,798692;0,761502;
0,032612;0,808355;0,775744;
0,031761;0,739621;0,707860;
0,009151;0,797798;0,788647;
0,033047;0,806244;0,773197;
0,037310;0,797192;0,759881;
0,004697;0,744478;0,739781;
0,006119;0,416389;0,410269;
0,015682;0,419118;0,403437;
0,027085;0,682821;0,655736;
0,006436;0,738038;0,731602;
0,015045;0,394252;0,379207;
0,015045;0,394252;0,379207;
0,027216;0,719755;0,692539;
0,029451;0,665256;0,635805;
0,021369;0,578849;0,557480;
0,014693;0,380433;0,365741;
0,014634;0,376703;0,362069;
0,014450;0,371128;0,356678;
0,036974;0,790425;0,753451;
0,021381;0,582625;0,561244;
0,014211;0,358679;0,344468;
0,037552;0,799719;0,762167;
0,014150;0,363100;0,348950;
0,014150;0,363100;0,348950;
0,014058;0,356681;0,342623;
0,026765;0,794198;0,767433;
0,014054;0,355321;0,341267;
0,014047;0,354226;0,340179;
0,014047;0,354226;0,340179;
0,014015;0,353502;0,339488;
0,021162;0,574234;0,553072;
0,014033;0,354100;0,340067;
0,013932;0,348307;0,334375;
0,013932;0,348307;0,334375;
0,021292;0,668343;0,647052;
0,051289;0,793691;0,742402;
0,013882;0,345996;0,332115;
0,020912;0,573274;0,552362;
0,036891;0,793008;0,756117;
0,013925;0,349043;0,335118;
0,020867;0,572273;0,551406;
0,020903;0,573178;0,552275;
0,021035;0,701680;0,680645;
0,013906;0,348462;0,334557;
0,013983;0,348308;0,334325;
0,020814;0,567599;0,546785;
0,036936;0,792255;0,755319;
0,037398;0,797126;0,759728;
0,020812;0,565992;0,545180;
0,020720;0,565118;0,544398;
0,020751;0,565440;0,544689;
0,021006;0,659933;0,638927;
0,021154;0,666479;0,645325;
0,035708;0,791895;0,756187;
0,020791;0,564367;0,543576;
0,020785;0,564505;0,543720;
0,017535;0,564998;0,547463;
0,020675;0,563573;0,542898;
0,020589;0,562539;0,541950;
0,020601;0,561507;0,540906;
0,016031;0,431419;0,415388;
0,036769;0,791151;0,754381;
0,037161;0,795662;0,758501;
0,037205;0,794612;0,757407;
0,015814;0,429581;0,413767;
0,020165;0,559663;0,539498;
0,036627;0,790509;0,753882;
0,020481;0,560825;0,540343;
0,021046;0,572055;0,551009;
0,014485;0,557817;0,543331;
0,014445;0,557817;0,543372;
0,037041;0,795354;0,758313;
0,020439;0,557293;0,536855;
0,013229;0,557239;0,544011;
0,020299;0,556204;0,535905;
0,020299;0,556204;0,535905;
0,020280;0,556000;0,535720;
0,011574;0,794605;0,783031;
0,013872;0,346439;0,332567;
0,020072;0,553634;0,533562;
0,025323;0,655944;0,630620;
0,019277;0,553660;0,534383;
0,013662;0,349547;0,335885;
0,020136;0,550760;0,530624;
0,020155;0,551187;0,531032;
0,023895;0,630781;0,606887;
0,023895;0,630781;0,606887;
0,020092;0,549507;0,529416;
0,022680;0,629616;0,606936;
0,019600;0,549251;0,529651;
0,019600;0,549251;0,529651;
0,020019;0,548501;0,528482;
0,020052;0,549161;0,529109;
0,020012;0,547515;0,527503;
0,014161;0,358384;0,344223;
0,023769;0,631847;0,608078;
0,020022;0,547376;0,527354;
0,020022;0,547376;0,527354;
0,020033;0,547113;0,527080;
0,020033;0,547113;0,527080;
0,020049;0,548436;0,528388;
0,036971;0,793250;0,756280;
0,020054;0,548035;0,527981;
0,008263;0,688105;0,679842;
0,019960;0,547440;0,527480;
0,014196;0,361529;0,347333;
0,020060;0,547742;0,527682;
0,020026;0,547451;0,527426;
0,019923;0,545852;0,525929;
0,016852;0,435541;0,418689;
0,019752;0,545654;0,525902;
0,018619;0,545654;0,527035;
0,017246;0,545151;0,527905;
0,006859;0,652792;0,645933;
0,036239;0,787987;0,751749;
0,019930;0,545645;0,525716;
0,020031;0,546588;0,526557;
0,020031;0,546588;0,526557;
0,020048;0,546588;0,526540;
0,018829;0,545005;0,526176;
0,020019;0,546006;0,525986;
0,020019;0,546006;0,525986;
0,023938;0,627436;0,603498;
0,020829;0,642549;0,621719;
0,019198;0,545992;0,526794;
0,020798;0,545622;0,524824;
0,024746;0,646063;0,621317;
0,022027;0,545055;0,523029;
0,019726;0,543837;0,524111;
0,019726;0,543837;0,524111;
0,025550;0,646286;0,620736;
0,024765;0,646286;0,621521;
0,019940;0,544579;0,524639;
0,024521;0,639769;0,615248;
0,020004;0,545092;0,525088;
0,036721;0,792259;0,755537;
0,024001;0,542954;0,518953;
0,016184;0,436435;0,420251;
0,021799;0,542004;0,520205;
0,019861;0,543107;0,523246;
0,019861;0,543107;0,523246;
0,019805;0,542512;0,522706;
0,019753;0,542040;0,522287;
0,036084;0,787425;0,751341;
0,019898;0,545519;0,525622;
0,019864;0,541593;0,521728;
0,019822;0,542307;0,522484;
0,023721;0,661704;0,637983;
0,019718;0,541326;0,521608;
0,019652;0,542843;0,523191;
0,019858;0,542528;0,522670;
0,019802;0,542153;0,522351;
0,019734;0,541405;0,521671;
0,036739;0,792440;0,755701;
0,019823;0,541296;0,521473;
0,019740;0,540906;0,521166;
0,019783;0,542042;0,522259;
0,022516;0,540489;0,517973;
0,019646;0,540117;0,520471;
0,019750;0,540616;0,520866;
0,019750;0,540616;0,520866;
0,006073;0,364895;0,358822;
0,019719;0,540511;0,520792;
0,019671;0,539681;0,520010;
