Reconstruction Coord z;Map Coord z;Error z;
0,118917;0,492318;0,373401;
0,140897;0,000000;0,140897;
0,130581;0,557421;0,426840;
0,131163;0,557272;0,426109;
0,119932;0,508791;0,388859;
0,132390;0,557979;0,425588;
0,132390;0,557979;0,425588;
0,132390;0,557979;0,425588;
0,123077;0,509102;0,386024;
0,132868;0,558860;0,425992;
0,137136;0,579736;0,442599;
0,136300;0,578437;0,442137;
0,136300;0,578437;0,442137;
0,132236;0,559735;0,427498;
0,133645;0,556199;0,422554;
0,116038;0,487215;0,371178;
0,120202;0,506215;0,386013;
0,120202;0,506215;0,386013;
0,116467;0,484726;0,368260;
0,118613;0,504007;0,385394;
0,134313;0,576674;0,442361;
0,133783;0,576343;0,442561;
0,131566;0,559080;0,427514;
0,131566;0,559080;0,427514;
0,132896;0,577675;0,444779;
0,135635;0,577828;0,442193;
0,135789;0,000000;0,135789;
0,136049;0,000000;0,136049;
0,139897;0,607222;0,467325;
0,132608;0,000000;0,132608;
0,104359;0,000000;0,104359;
0,142044;0,620790;0,478746;
0,114831;0,488803;0,373971;
0,132332;0,560385;0,428053;
0,134641;0,000000;0,134641;
0,135486;0,576091;0,440605;
0,136039;0,000000;0,136039;
0,136396;0,572240;0,435845;
0,106677;0,436844;0,330167;
0,133399;0,570555;0,437157;
0,133470;0,568938;0,435468;
0,121307;0,574223;0,452916;
0,079841;0,499954;0,420112;
0,117930;0,492163;0,374234;
0,117930;0,492163;0,374234;
0,137153;0,574052;0,436899;
0,106432;0,437780;0,331348;
0,116813;0,496359;0,379546;
0,022190;0,586229;0,564040;
0,122374;0,532900;0,410526;
0,133075;0,561887;0,428812;
0,131202;0,562209;0,431008;
0,136662;0,562287;0,425624;
0,111937;0,464116;0,352179;
0,111634;0,459104;0,347470;
0,117455;0,496804;0,379349;
0,112339;0,553545;0,441206;
0,132417;0,563896;0,431479;
0,111547;0,465104;0,353557;
0,111453;0,461967;0,350514;
0,133185;0,569419;0,436234;
0,113752;0,472488;0,358735;
0,110960;0,459856;0,348895;
0,132585;0,565480;0,432895;
0,109835;0,474164;0,364330;
0,112851;0,471330;0,358479;
0,134038;0,567873;0,433836;
0,123461;0,517699;0,394237;
0,133658;0,568178;0,434520;
0,017390;0,479254;0,461864;
0,113429;0,474272;0,360843;
0,017177;0,583385;0,566208;
0,027706;0,525665;0,497959;
0,129649;0,551327;0,421678;
0,129649;0,551327;0,421678;
0,121188;0,510173;0,388985;
0,095849;0,575462;0,479613;
0,116127;0,484899;0,368771;
0,018416;0,550915;0,532499;
0,112772;0,470740;0,357968;
0,112772;0,470740;0,357968;
0,116394;0,000000;0,116394;
0,137974;0,599333;0,461358;
0,113737;0,471455;0,357718;
0,052216;0,000000;0,052216;
0,116833;0,494794;0,377961;
0,113389;0,471383;0,357994;
0,117933;0,494786;0,376853;
0,116751;0,488357;0,371606;
0,118787;0,498315;0,379528;
0,118040;0,497712;0,379673;
0,120357;0,500582;0,380225;
0,112974;0,500333;0,387358;
0,121196;0,503371;0,382175;
0,137320;0,583302;0,445983;
0,121472;0,506239;0,384767;
0,126803;0,505585;0,378782;
0,119297;0,499058;0,379761;
0,121851;0,508935;0,387084;
